,date,funny,business_id,text,user_id,useful,cool,stars,review_id
16009,2015-06-08,0,Da6_mToH_MY1bWnC3xF0tw,"Best seafood in town period! Really fresh seafood, u have to try there aguachiles there amazing.",rufU4ZkmbflFT6c1r7wIKA,0,0,5,uOJsS1-tsGRKOuOKdLZkUw
246189,2015-07-19,0,Da6_mToH_MY1bWnC3xF0tw,"5 star on taste, flavor and authenticity. Generous portions

4 star on staff-friendly but lacking something
 Can't quiet put my finger on it

3 star on the location. The restaurant needs a face lift 

Aguachiles  Verde's de camaron y pulpo (shrimp/octopus) -are very spicy be prepared to dunk your tongue in a big glass of Horchata . I supposed you can ask for them less spicy but then how are you living on the edge? 

Shrimp Ceviche - are very fresh. Good flavor

Oysters- meaty. were fresh and very clean But needed some chilling. Make sure to ask for them extra cold. Ask them to  serve it over ice cubes

Pacifico Mucheladas are a MUST. One of the very few places that I can say that they know what they are doing. Perrrrrfection


Horchata- is good. Not too sweet.",_sBn-hfP3DsrOGwXmnwSpw,2,1,5,bVoKX1OdDsmlO1My_TfRVQ
281398,2016-04-23,0,Da6_mToH_MY1bWnC3xF0tw,La comida esta muy buena. Las cerveza helada como debe de estar! Bien atentos. Olvidate,magxxfPSSiOJt5PEVYLCJA,0,0,5,yuczL0A6ENt61DiilVTkaQ
289920,2014-11-24,0,Da6_mToH_MY1bWnC3xF0tw,Omg this place is so good they have a  new twist to a beer soo good  instead of salsa and chips they serve you ceviche with crackers.,b3ZL65vRn4CYE21wkiJq_A,0,0,5,Cpzang0UtVkQ2CJusepXEA
772209,2015-07-11,0,Da6_mToH_MY1bWnC3xF0tw,"Me encanto la comida y como nos atendieron, llegando te dan un plato de ceviche para empezar para botana, mi esposo y yo los quedamos satisfecho, esta un poco caro pero la comida vale la pena.",ieGHFaT4hQGgviYLBeTNAA,1,2,4,sYfcvGiuDy1Vg0IDFcMGMg
891103,2015-05-24,0,Da6_mToH_MY1bWnC3xF0tw,"My wife and I are always on the lookout for what I would call great under the radar restaurants, and I had been wanting to try Mariscos El Dorado for quite sometime. I had read some revues and they made it look promising. As it turned out, we were in for a treat.
First, if you are expecting fancy, this is not it. the atmosphere is simple and understated. It is a large clean room with several tables, and a karaoke lounge to one side. Thankfully there was none of that when we went, but instead, they were playing great Mexican music. The service was very good, and prompt, and our waitress was very friendly. They started with tostada shells which we broke up and used as chips. Along with this came two dipping plates. the first was a plate of Swordfish Ceviche, that was absolutely delicious. The second plate was Habenero Pico De Gallo. And I was warned ahead of time that it was HOT. Being raised in the southwest, I have loved spicy food my whole life. Usually when a waitress tells me something is hot, it is nowhere near hot enough. This time I only had two bites and was very satisfied. If you don't like very hot spicy food DO NOT eat this. I however found it delicious. For dinner I had the Camarones A La Diabla. It had a wonderful kick, and went very well with a cold Negro Modelo. My wife (a little more of a tenderfoot) Had the Camarones Al Ajo (Garlic Shrimp). both dishes left us very satisfied, and the portions were large enough that we finished them for lunch the next day. All in all, I would highly recommend this for a fun night out.",SZhz_puEKQ6jotEYJiZCmQ,0,0,5,N0fY1_kqtC2osMkA6aMshA
914852,2015-06-29,0,Da6_mToH_MY1bWnC3xF0tw,"Mariscos El Dorado was AMAZING! They're mixed ceviche was fresh and delicious. The portions are huge and the service is excellent. My fiancé and I are huge mariscos fans and this place has definitely surpassed our expectations. We felt like we were in Mexico, especially with the great background music. We will be back!",ZqzpuQ84OMuss3NqOBdNjw,1,0,5,6aKkldXriG8GvkGm1doIAg
1217580,2018-06-23,0,Da6_mToH_MY1bWnC3xF0tw,Muy mal servicio por parte de la mesera y la comida se tardó 45 minutos no llego nos venimos porque esperamos una hora no llego ni la comida y la mesera nunca llegó para preguntar si todo estaba bien no lo recomiendo,mPX6K_8pyA3CwPVoTPgdEQ,0,0,1,phJgTCagKQdtKqNhoNeSpA
1482750,2017-09-07,0,Da6_mToH_MY1bWnC3xF0tw,Food was excellent! Loved their michelada (it's like a Bloody Mary) ceviche and oysters! Service was also great!,kHrzXUadw_BI0mP3Z8tOvQ,0,0,4,swa0Q9AefZ49xmlktJOrgA
1537820,2017-11-05,0,Da6_mToH_MY1bWnC3xF0tw,I was looking for a good place for Mariscos and found it here. The ceviche was one of the best I've tried. (I'm picky when it comes to ceviche) I asked for the raw style and it was fresh and delicious. I also had Langostinos garlic flavored. That was off the hook!!! Fresh and good size Langostinos. It was definitely worth the price.,4sMsSiHePXGTL2WZ0h4rgA,0,0,5,Q-fB_9GdEPvh52bevUMt3g
1683556,2014-11-24,0,Da6_mToH_MY1bWnC3xF0tw,"Food is awesome, fresh seafood Mexican style. Staff is friendly food is great. Try the molcajete if you love mixed seafood. Empanadas are great filled with shrimp, wow, their cervezas preparadas come with cucumber, jicamaand orange, sounds odd but it's delicious.",LPwqTHpf77UWU2WoYrj8pg,1,0,5,l_iig-UvnZYcUjUoASuS8Q
1823558,2017-08-19,0,Da6_mToH_MY1bWnC3xF0tw,"best fish and shrimp tacos i've ever had... great delicious food, can't wait to go on a weekend night and enjoy the live mexican conjunto... 

aqui se preparan los mejores tacos de  camaron y pescado ... musica en vivo los fines de semana y buen servicio.",28RruWeA7ZFSNk8kWvY1-w,0,0,5,x51Ax-c0FxQt4j_a2Du40w
1890184,2016-09-05,0,Da6_mToH_MY1bWnC3xF0tw,"Very entertainment place , I love the karaoke and the entertainment person that singing when i was there !!!! Was awesome",brtvUem4E9AHbUp7n9dXbQ,0,0,5,GGzhk6Aohmsb0PNvz3oEPw
2239694,2014-10-18,1,Da6_mToH_MY1bWnC3xF0tw,"Despues de1 hora buscando un buen lugar de mariscos, finalmente nos decidimos llegar aqui, mirar las puertas abiertas nos dio un sentido de invitacion a entrar, casi nos ibamos porque la licencia de vender cerveza esta en proceso y mariscos sin cerveza pues como que no, pero la señora Maria que nos atendio mucho mejor que si estuvieramos en casa, nos aseguro que la comida estaba hecha como en casa y sabrosa y decidimos quedarnos, para nuestra sorpresa los aguachile verdes riquisimos, unas empanaditas de camaron riquisimas, y nos prepararon para empezar un rico juguito de camaron calientito, definitivamente regresaremos pronto a probar otros platillos, Estilo Casero y Nayarita. Muy recomendable, los haran sentir como en casa.",OSEkmRvbmvePwYvNv1VnaQ,2,1,5,aQ6J9WffU2QOVO6l2jrNTQ
2519924,2015-01-13,0,Da6_mToH_MY1bWnC3xF0tw,"When they sit you, they give you ceviche for appetizer with very nice and spicy salsa. The location is a little hidden but not too difficult to spot if you are looking fkr it. The staff is very nice, the chef comes and checks to see how you like. will definitely come here again when im in the area. i recommend this place.",QR5Hx586a5B0OeZf4DHwjw,1,0,5,D1n91oIwVlTRiZzbdGRPoQ
