,date,funny,business_id,text,user_id,useful,cool,stars,review_id
109596,2010-01-12,1,DgCAM01n2Qo5DsoKj_zkug,"Checked this place out on Saturday night and left unimpressed.  The place was pretty empty but we were still seated in the very back corner by the kitchen (all the customers were seated against the far wall which felt a bit strange).  After being seated, we waited about 15 minutes for the waitress to come by to take our order.  Throughout dinner, the waitresses were all huddled around the sushi bar chatting with the sushi chefs, and they seemed annoyed any time they needed to check on their customers.  Plus, the music was blasting so loud all night that I could barely have a conversation.

The non-sushi menu is limited and has only the basic chicken teriyaki, etc.  Also, there weren't any combo plates like other places offer.  I ordered a couple of rolls and they were fine (the spicy tuna was actually ok) but they were all covered in not so great sauces that were too salty or sour.  The chicken teriyaki came out on a huge plate and was all breast meat...however, the chicken was very very bland (the chicken appeared steamed and later topped with a little sauce and a pile of green onions).

Next time, we'll stick with I Love Sushi...better sushi, better non-sushi, and better prices.  Plus, much better service.",yB7V5yP1tmz2Q3AWlUdyeA,0,0,2,zDlWDJU5brPcLuHJzFhOBQ
190156,2009-08-13,0,DgCAM01n2Qo5DsoKj_zkug,"It's been a while and we keep giving it a try, but ever since the Police tape and the booth removal, it's gone down hill.  Sushi is usually on the good to really good side but the service is hit and miss.  And usually a huge miss.  And really, after all this time, could you not get a stall around the men's toilet?  Suggest Spicy Tuna next to Trader Joe's on Eastern if you want to taste what The Ka used to be.",88jEmtSKSqzlREzKIVsd7A,0,0,2,lwvyBOtN3ZFfP_uBfsBhkA
335577,2007-07-14,0,DgCAM01n2Qo5DsoKj_zkug,"It looks like just another of the many failed restaurants that have inhabited this building, but it isn't. We went for sushi last night before going to Tao, and it was great. I had the tuna poke, and we also tried a few rolls. The ambiance is pretty cool too, and the wait staff is super attentive. I liked that. They were playing Amy Tweaker Winehouse a bit loud, but that was okay, being a Friday night and all. This may be my new sushi spot. It is nice to finally see more and more quality restaurants sprout all over Green Valley. It only took ten years.",HaPtQKTZmtIDjyKzjaCmqA,3,1,4,o8beze_5WxfNuMt3Di3HKg
452410,2010-04-01,2,DgCAM01n2Qo5DsoKj_zkug,"Tried Ka the other night, and not being a huge sushi fan, I won't judge the quality of the fish, but i tried a few new things that i did like or at least not hate. 
Loved: The bacon wrapped scallops were really good, the yakitori was prefect, also tried fresh wasabi for the first time and won't eat anything else now. The noodle bowl was good but the ginger was overpowering, not bad, just make sure you like ginger.

Tried the Jalapeno yellow-tail and spicy tuna roll, not bad for someone who doesn't eat raw fish.

The biggest problem with the night we went was the service, they are restructuring the menu and staff so there was a lot of confusion with prices and what things were available or not, but it was almost comical and won't change me opinion of going back.

For most this might be a turn off but i kinda liked the 140bpm Japanese  techno music in the background, made you want to put your hands in the air and wave them like you just need more Saki.",pabMYegF28KjHQ5hybAJ0A,1,1,4,691NOWdgHxZ01Tp-YRAHSw
604589,2010-03-01,0,DgCAM01n2Qo5DsoKj_zkug,"My girl and I frequent the place and just this past Friday found out there is no longer all you can eat. Not that we were gluttons but we enjoyed trying different rolls.  I even commented that the rolls got smaller in some way. I still enjoy the rolls and will return but the market out there is just huge and there are a lot of places to try. Sorry ""KA"" you took a step back.",3_ADYmIPlP1dt5aWDsZOJA,0,0,3,ypiewUFZot_r3Xyejp0Y5g
719606,2010-03-28,2,DgCAM01n2Qo5DsoKj_zkug,"Holy shit , where do you start with this one. 
If McDonald's where serving sushi , it would have to be better than the dung sandwich i was served here. They try to fool you by showing this impressive selection of rolls, all with clever names, but they all have the same items in them, eel, Salmon ,crab, and a sauce. deep fried. 
The soft shell crab I ordered had a beer batter on it. I am not kidding , like it was a cheap onion ring. The salmon eggs must have came from a bait shop, they had no flavor, and I hope to hell I'm not going to vomit them through my nose tonight. The topper was when I ordered Toro, It was light green with a funny slime on it. I told the waiter i didn't want to die today and sent it back, and asked for the check. 
I feel lucky to get out of this place alive. 
If you want to get back at someone , get them a gift certificate from this shithole.",JI5joQjNtkhUMT9tcm8Wag,1,1,1,i6EG9a-s4aiccYUwQ3IyLA
838427,2009-04-22,0,DgCAM01n2Qo5DsoKj_zkug,Ka has gone WAY down in the short time it's been open. Last week they were shut down by the health department for a second time! I don't know if they are open again as of then but I can assure you I wont be going back.,3RElHPTvw7_lmZdu1HPrYQ,0,0,1,oCUje0DMOGCxcfCqPz1bMg
1331262,2008-05-21,0,DgCAM01n2Qo5DsoKj_zkug,"Ka is one of our favorite places to go in henderson for sushi. The atmosphere is great and fun in great for groups. The price is reasonable around $8-13 for rolls, but one roll is more than enough for me. Some of our favorite rolls are the Hulk, Sexy Girl and the Lasagna. The food is always consistent and always great there!",DvnIL1YNpci5l8OVgk0bMQ,0,0,4,BQpw26Ztd7_KzPe4-hwt_A
1453610,2008-11-03,0,DgCAM01n2Qo5DsoKj_zkug,"I must start by saying that i have frequented KA for many months since I was introduced in April '07.  When i say frequented that means or once or twice a week which became a very expensive habit that I ""had to have"".

Sadly, times have changed.  Since the unexpected closure (and weeks before) service has changed.  The rolls have shrunk in size, rolls fall apart, my most favored rolls were removed from the menu and their BESt server, Kathy, is also gone.

I will upgrade my rating to 2 stars for their saving grace - Brian an AWESOME sushi chef who knows how to throw down on some sushi!

What happened to my beloved Ka?",VLpUDG5dg70k4HHlhPPQrg,0,0,2,1_KVzEvowU086dOly9oXvA
1502050,2009-12-13,1,DgCAM01n2Qo5DsoKj_zkug,"This is my first review via iPhone!  I just ate here for the first time since I moved out of Green Valley in 2007.  If I had seen the reviews from late 2008, I probably would have continued on to Claim Jumper as planned.  Fortunately, they have gotten their act together it seems, and they are now offering a $27.95 AYCE option (which drew us in).  The AYCE covers the full menu including kitchen food and dessert ( sashimi excluded), and it's pretty solid in the roll department.  Usually I just get a bunch of nigiri, but tonight we were in the mood for rolls, and the Warm Springs and Sexy Girl rolls were both very good.  The tempura ice cream included at the end was a nice touch that's not usually included at other places.",jmM_nn2kK6CnYenMz7wmHw,0,2,4,WjOFWmV7-gNweHhK6F2o1Q
