,date,funny,business_id,text,user_id,useful,cool,stars,review_id
506224,2013-10-25,0,Dlv2d2mZbyRIO7V9ZUKoAw,"Randy, the sous chef, is AMAZING! Fried pork belly and arroz caldo on the side was amazing!!! (Off the menu) Randy even came out and spoke to is about the dish! Chris was an amazing server explains the menu! && Jake the new owner was very helpful in every thing we wanted! We will definitely be back!!",zDMTTPsLTH2XjOlG6UUedQ,3,3,5,l1mez2pmM4mOUrNrhynWBA
916260,2014-02-12,0,Dlv2d2mZbyRIO7V9ZUKoAw,"This place is beyond help. For those of you who have written a 5 star review you probably were paid to do it. This place has never been fantastic only mediocre at best. I came to eat here during its opening and only came back because they allowed you to take leftovers home and had a killer tempura ice cream. They also had a fantastic Japanese chef who was in his late 70s that is no longer there. He was a great chef and the sushi tasted much better than it does now.I have eaten here because their prices were competitive and they promised better service.This place has gone through several closures and new management. I wanted to believe that this place would be different but again I'm sadly disappointed. I arrived at this restaurant with my two young children as a way to treat them to an early dinner. I purchased a group on and had planned to use it. I ordered a combination platter that had great California rolls and the mixed tempura was great as well. The chicken was dried up and the teriyaki sauce tasted like cardboard. I ordered a poki appetizer and a 69 roll. The poki came out  brown in color.The 69 roll came out and you could see that the yellow-tail was pale and had a pungent fishy aroma. I sent the food back to avoid getting sick.  The untrained sushi chef yelled across the bar and started verbally assaulting me. The chef told me to leave if I didn't like the food and he never had a complaint until me. This guy failed to realize that this wasn't my first rodeo.He kept telling me to just leave and so I got up and confronted him at the bar and told him how unprofessional he was for yelling across the bar in the presence of other guest. He didn't care. I approached the table next to me and apologized for the ruckus. The couple stated that they couldn't believe he would talk to me that way and that their fish was pale as well. I wanted to talk to a manager and Michelle obliged me. I waited 30 minutes for the manger to arrive but before he did, the maniac chef wanted a round two! He told me to leave again and stated that the manager is not going to fire him. He stated that they would take his side. I told him that I am not trying to get him fired but that he is unprofessional and needs training.  This guy wouldn't let up and was persisting that I just leave and all I did was wait quietly on the white f aux leather sectional in the lobby. His name I'm told is Balto. Matthew the manager finally arrived and gave me a song and dance about how the chef has been there for years and he would check the camera to obtain the whole story. What type of passive aggressive junk is that! My children whom are 6 and 8 witnessed this lowlife verbally attack me. I tried to be quiet about sending the food back but this guy caused a scene.You would have to be a none sushi goer to think that this place is remotely good. There is no value when the sushi is low grade, the chef if disrespectful, and the wait staff is usually slow to deliver food. The value was in their price but for $4 more you have great options within a 3 mile radius. This place is truly extreme! I bet that this place will close again in the next year. Maybe the common denominator to the restaurant failure is the chef. I will say a prayer for this establishment. Go to Sushi Mon or Sin City sushi for a better experience and sushi grade fish. Sushi should melt in your mouth like butter. Sushi shouldn't be so chewy that you feel like your eating steak. Michelle was a great waitress and was better than any waitress that i had at this place. I made sure i returned to tip her for her service although the food and chef were terrible.",8ROc2lau2q029UBlQPmnDw,0,0,1,Y2drmgde67Qrsw1SHL8xjw
927317,2013-11-14,2,Dlv2d2mZbyRIO7V9ZUKoAw,WARNING DO NOT EAT HERE!!!!! Whatever you do stay away this place is back under the old management and it's terrible. Been shut down by the health department so many times!! Most of the stuff they serve is from restaurant depot and is not very good quality. Please save your time and money for all sushi restaurants sake. So sad the other owners didn't work out the food quality went way up now it's just crap like before.,yEJqcuknyIYxJmwC0qPpeA,3,0,1,6XJvE-lDvWBLSDWUn85K4w
1228681,2013-12-02,0,Dlv2d2mZbyRIO7V9ZUKoAw,Best sushi east of Los Angeles!!!! Great staff and great atmosphere....owner is friendly but always seems to wear his little brothers t shirt!!! Love this place and food is fantastic!,pnTBbhSvukpTmFn_hTGLVA,0,0,5,fnpgfKIA_eDHhQEjZp-TFQ
1455425,2013-10-26,0,Dlv2d2mZbyRIO7V9ZUKoAw,"My friends and I have been coming to this place for a while now, even before it was ""under new management"". When we first started going there service was average. However, we loved the Pacquio rolls so despite the service we would still frequent the facility. After the last time we went and service as usual was bad and food took forever as well. We all agreed we would not go back. I live in the area so after seeing the big sign reading Under New Management I talked my friends into going again, hoping it would be better. Worst mistake EVER!! Service went from average to terrible. We had a total of 3 people in our group and we all got the AYCE. We ordered the first doing of sushi rolls and waited about 35 minutes for the first roll to even show up!! When our waitress noticed we had yet to receive any of our food she proceeds to appologize and tell us she's so sorry they're working as fast as they can. Then we get partial of our order after waiting an additional 20-25 minutes. By this time I have canceled the rest of our order. The manager then comes out and tells us that my order is coming out next, an hour later it finally shows up. Needless to say my entire party is livid. All of our appetites are gone and we just want to leave. Under new management or not this establishment is just a waste of time!! NEVER EVER again!!",TjNPv66FDusZHs9SMbEV0g,1,0,1,u0h1aUoRfeHoglbxH8v2mQ
1596467,2013-11-05,0,Dlv2d2mZbyRIO7V9ZUKoAw,Appears this place has closed. A call to their # says the number is no longer in service. Also received a notice from Groupon that they have closed - in regards to the Groupon that I had purchased.,uByIGcI5EJeKNGyBtCkWBw,0,0,1,d8XFsNAqeR2fGSkfqTRNPA
1846896,2013-09-28,0,Dlv2d2mZbyRIO7V9ZUKoAw,"Tried this place for the first time. I was told that it was under new management and that  Chef Gene was from Bravo's Top Chef 5. I love sushi and have tried many restaurants but this place surprised me in a very good way. I love all the dishes we ordered; Pacquiao roll, OMG roll, Sunshine roll, PB&J roll, & Xtasy roll.  The chef even surprised us with a complementary plate of tapas. The service was great. Friendly staff.  Will definitely go back and bring my friends. Prices were very reasonable. I really like this place and cannot stop talking about it. Plus, this is my first restaurant review, EVER! So that tells you something. 

Don't let the old reviews stop you from going here. Those reviews were made under the old management. Give this place a try, you won't be disappointed.",0vsnmXJ8j_enuWcub58ilQ,1,0,5,lXtiCjuVZsIeHGdyQE_fkA
2016068,2013-10-21,10,Dlv2d2mZbyRIO7V9ZUKoAw,"This place has potential but when I went I was a little disappointed by the rave reviews compared with my own experience. 

For starters, we weren't a big fan of the fluorescent, interrogation ""Where were you on the night of October 5th, 2013?"" lighting above the sushi bar so we asked to move from the sushi bar to the tables. We switched to a booth and the ambiance was better there but they still had bright lights that shined down hurt my eyes and as such I wasn't a fan. The service was both friendly and excellent so kudos there! No complaints at all with that.

However, we couldn't quite figure out what they were trying to do at this place. There was an area with couches and a DJ booth. They were playing old school hip hop and the DJ would get on the mic here and there and encourage us to buy shots, etc. I must say it was kind of comical. We had already heard ""Ice Ice Baby"" and ""The Humpty Dance"" and I started to feel like I was in a time warp. Instead of being at a sushi bar, I felt like I was sipping on a Zima and doing shots of Goldschläger at the 18 and over club, Kokomo's in Irvine, that I used to sneak into with a fake ID back in the day. At this point, I started giggling uncontrollably because the whole vibe seemed so lame. My friend and I decided that we would make a request for the DJ, so we googled ""cheesy 80s old school hip hop songs"" and I shit you not that every song we had heard so far was on that list. Armed with a $5 bill, I sent my friend to tip the DJ and suggest some of the silliest songs from that list while we continued to laugh and lipsynch as they wound up playing them on their rotation. We were having a great time...

Unfortunately, the food was not as great of an experience. My Christmas Tree roll that was recommended by the waiter was bland because there was so much tempura on it. And while I did think that the Asian tapas idea was a keeper, the portions were extremely small for pretty expensive prices. As a footnote, I came before their prices were lowered. Those that are familiar with my reviews know that I don't mind paying top dollar for food but the quality and portion sizes did not warrant what we were being charged. The salmon poke with peanut sauce was downright odd. While I like both of those two things on their own, they didn't go well together. I was hoping they would because I had read a review that mentioned one of the guys from Top Chef was somehow involved with Xtreme and I trusted that because of that, the chef must know what was up. While he may very well have created the menu for this restaurant, I am willing to wager a rather large bet that he was not the one preparing or plating our food that evening because the food was not up to par. Maybe if he had been, our experience might have held true to the ""Woohoo! As good as it gets!"" reviews that got me in the door in the first place.

Overall, Xtreme has potential but I think they need to work on a lot of things. I debated whether or not to write this review because I'm not the type to kick somebody while they are down and I didn't want to be the first person to say something negative. However, I felt like I was doing both Yelpers as well as this place a disservice by not expressing my honest opinions. If everyone keeps blowing smoke up their ass, they might not ever get it together. And if they don't change for the better and soon, it's sad to say but my prediction is that they will end up meeting the same fate as their predecessor. I'm actually rooting for these guys though. I will be continuing to watch the reviews to see if they end up turning it around. If they do, I wouldn't be opposed to giving it another try and updating my review then.",ZcFB7xOpJufgX9hHPFh9mQ,12,7,2,yvJ4O7ABdLRj181UuqPxhg
2651298,2014-02-25,1,Dlv2d2mZbyRIO7V9ZUKoAw,"I cannot believe that I went there tonight with 5 other people, a party of 6; and was turned away. We were told that there was a party of 20 coming in in a few minutes and they couldn't take any more customers. Inside, there were 3 tables sitting which I felt was very slow for about 6pm even on a Monday night. The guy, who claimed to be a manager, said that the two sushi chefs weren't capable of making sushi for our table of 6 when they had a party of 20 coming in 10 minutes. He said he knew there limits and it wasn't possible but that we could wait 2 HOURS to be seated!! WTF??????? Two sushi chefs cannot help us. BTW, we went to Starbucks next door and noticed the party of 20 go in at 6:30pm. How ridiculous!!!! They could have sat us and make a lot more money off of us and still had a party  of 20 30 minutes later and we would have probably had most of the sushi we were going to eat. In any case, I won't waste my time trying to eat there again because if they cannot figure out how to manage a restaurant in any decent way, then they shouldn't get my business.",5xK23U5Rskfpo6PZY2pAfQ,0,0,1,brtAuniRY7o8PKgjUc_ezw
3135008,2013-10-07,1,Dlv2d2mZbyRIO7V9ZUKoAw,"I love sushi (well the wussy kind lol) and living in Las vegas there are many sushi bars and buisnesses to choose from. after a year of waiting i finally went to xtreme sushi and tapas bar. Boy was it GOOD! a friend has been going here for a while but they were under new management so things have changed alil bit. 
Be prepared to spend 30-40$ dollars on dinner and a soda plus tip. 
all the wait staff was super awesome, we had to put them to the test due to  them closing earlier then they used to on sunday night. (11pm) but they filled all of our sushi requests with a smile.

I can only comment on my dinner but I will say the table kept saying how awesome everything looked and tasted.
Seaweed salad~ typical nothing extra special about it but didnt disappoint
Edamame~ steamed and salted. U get a huge bowl i munched on from start to finish.
Japanese Lasgna~ ive never had before but it was amazing hot and gooey and yummmy! cali roll covered in creamcheese and baked.
XXX~deep fried cali roll with sauce on top.
PB and J roll~ Prawn, Bacon, and Jalapeno I dont do hot  very well but its not hot spicy just has a jalapeno taste that makes you think spicy. 
Kelly~deepfried philly roll very tasty
micha~ this was light and fresh tempura shrimp and cucumber rolled with cooked shrimp on top
to finish off meal Tempura Ice Cream to die for!!!! scoop of strawberry rolled with pound cake layer then tempuraed garnished with whip choc, carmel. sooo good.

my only disappointment was in the mix of all the good ness we got a plate of reg cali rolls and they just tasted bland and wrong. so start plain or reg rolls then move to the more flavorful. 
thanks Xtreme It made me crave sushi AGAIN!!!",EEHLxTpReQkpmkQX2U9I_A,3,1,5,rdVxrcXWJDKQtXypmAJG0g
