,date,funny,business_id,text,user_id,useful,cool,stars,review_id
37345,2014-11-22,0,E-3LCDxXg8ojxDe4c7VZ1g,"No longer open in the sun coast casino!!!
Closed for months

How can this been on yelp. Incorrect info!!'",vHUmIX4x_sIlMdhLBpUY8Q,1,0,1,tLMUiQNdL_Kn0YGfHiqOXw
174323,2014-09-11,1,E-3LCDxXg8ojxDe4c7VZ1g,"OK let me get right to the point: The food was NOT Very good. I ordered their sizzled chicken and spinach and it didn't even look a little like the picture. The chicken was small as hell and it was supposed to come with mushrooms. PLUS they only gave me very little vegetables and it was supposed to be a lot of veggies. On the bright side my family absolutely loved dessert and the service was great, But they most definitely need a new chef on board.",T-qMfNmFz8soV9wa_iZTNw,1,1,2,X6O-pCe1HNjnG6FWl0p-hw
303314,2012-01-16,0,E-3LCDxXg8ojxDe4c7VZ1g,"Nice place. They've got some great bargains.  Check out the menu before ordering anything. Some drinks are triple the specials price if ordered with different brand liquor and food specials will keep you from looking at regular priced stuff. 

Great sliders!

Bartender really friendly.",W_JWFvxVuUiFs9nb2XyxGQ,0,0,4,7bfl9UJ7BhHotGqwomptuw
409378,2013-11-15,0,E-3LCDxXg8ojxDe4c7VZ1g,Yummy. Good food and good service.Luv their wings with the bone haven't tried boneless but I get their scorching hot sauce on the side.,KenhG5urwrJB9wqvOjZP0w,0,0,5,ZHg4Q7A-65CF_3kYEbbo4A
479219,2013-06-29,0,E-3LCDxXg8ojxDe4c7VZ1g,Always choose this location because there is never a long wait! Maybe only five minutes. The food has always been amazing and for the most part the staff is decent. Only a few times we had a so-so server. Great location because the casino is right there if you want to hang out before you get to your table or even fun if after you eat you have a place to hang out at! Dessert is always the BEST!!!!,XWRws7WO0ct4gGifQpNNKg,0,0,4,ALlSCy42l83N0RmRIY4Kjw
1362164,2013-07-24,0,E-3LCDxXg8ojxDe4c7VZ1g,"If you have looked at my review history you know how rare it is to get 1 star from me.  I'm pretty easy going and easy to please! The reason I say that is because if you get a 1 star review from me...you really suck.  

We went here on a whim after being in the casino.  I knew it was going to be a rough ride when we stood at the hostess station for 5 minutes before we were even greeted.  After she finally came to seat us she took us to a booth in the back where she told us it was happy hour and K*** would be our server.  (Remember that she told us it was happy hour)  While waiting the 10 minutes it took our server to make her way to us we noticed a sign on the table detailing happy hour pricing and specials, which sounded good.  After she finally arrived and asked what we'd like to drink we asked for two drinks that were shown on the happy hour sign.  We were then informed that you have to be in the bar area to take advantage of happy hour pricing. WTF? Then why did the hostess tell us it was happy hour when she seated us outside of the bar area? Why are there signs on our table about how awesome happy hour is, with prices, when the table is outside of the designated happy hour area? Anyway, our ray of sunshine waitress told us there are tables open over there if we want to move, which we agreed to do. 

After grabbing our novels that are the Friday's menus, we follow K*** over to the promised land where she proceeds to wave her hand at an open table and walk off. After 5 minutes or so of setting there with no service we walked.  You suck Suncoast Friday's...you suck!  

And that concludes the story of ""The Great Happy Hour Misunderstanding of 2013"".",xSt--5JG6QqTEOwXJj_pRw,0,0,1,BynAwz-B4Io6CWOBgAIcDg
1364400,2012-06-14,5,E-3LCDxXg8ojxDe4c7VZ1g,"I was happy until I went to this TGI Friday's for happy our and ruined my mood. 
Let me first tell you that TGIF is one of my favorite chain restaurants, I usually go to the one at the Orleans casino but this time there was some kind of event going on and they were real busy, I had set my heart on the steak and lobster so I decided to take the trip all the way across town to the sun coast.
When I got there the place was almost empty and honestly I was happy it was since I was starving. The hostess offered us to sit at the bar area so I we take advantage of the happy hour which we agreed.... and happiness was over.
 We waited for a long time to order our drinks, we waited a lot time to order our appetizers then we waited a long time to order our entrees and having worked in the service industry I'm the first one to stand in defense of the help. I understand that many things can happen that affects good service, problems at home, bad management, crew under staffed, super busy, but when it happens to me that's when understanding stops, specially when the place is this dead, I could find no excuse for him but that we didn't fit the waiter's ideal tipping customer's profile?
 By this time I was willing to ignore the waiters sad service during happy hour, get my own beers at the bar and concentrate on my much anticipated steak and lobster.
 Short version .....WTF!",EG6qatWgJ2WTJnzBCCH_Dg,0,0,2,B4vipx4V3-bXh7_OhQLqZg
1386058,2011-07-02,0,E-3LCDxXg8ojxDe4c7VZ1g,Service is not that good but the pork chop is! I was pleasantly surprised.,_i3IZYU28R3xgV4hxkmKjw,0,1,3,EISdgkKwbUwumr_HrPu-xg
1446213,2014-01-18,0,E-3LCDxXg8ojxDe4c7VZ1g,Friendly service. Decent food. Close to the movie theater. And pool tables if you want to take a break from gambling!,5v6juPIOisfmogp7QSso-A,0,0,3,C3L9yHxpcal0egR1gfhl6Q
1594915,2009-08-30,0,E-3LCDxXg8ojxDe4c7VZ1g,"This TGI Friday's is a bit out of the way for me, but it's worth it.

First off, not all of the TGI Friday's outlets in Las Vegas are created equal.  Usually when we're talking chain restaurants (e.g. Chili's, etc) you can't tell the difference if you're in San Diego or Santa Fe.  But I've been to a few Friday's in Vegas and let me tell you the spectrum of quality on what is some fairly basic food is vast.  But here at the Suncoast, you'll find the best staff and that's a good start.

I've only sat at the bar to grab a bite before or after a movie.  All the bartenders and servers I've come in contact with are very attentive, friendly and don't mind chatting you up as you wait to pass the time.  The food is the same at all Friday's but it seems like the cooks know what they're doing and put some effort into the preparation and presentation.  I usually get the Gourmet Mac & Five Cheese, which is just the right portion size and pretty good for a cookie cutter chain.

I also like the entertainment setup here.  Plenty of HD flat screens well positiond for sports viewing.  Most the appetizers are half-price and domestic beers are cheap for vegas at $2.50.  The only downfall I have is that my iphone gets bad reception for its internet service, putting me at Edge rather than 3G... or sometimes nothing at all.  But that's really stretching to find something bad to say about my experience here.",On_1ZwRgD2Ry0eoKYC29iQ,1,1,4,YgGuat29wTVe4_A1Kq1udg
1615606,2014-08-08,0,E-3LCDxXg8ojxDe4c7VZ1g,Amazing service and Jordan is THEE BEST server we have had in quite some time! He was full of recommendations and kept our endless appetizers coming faster than we were able to keep up with. We definitely plan  on making this our new hangout when we're looking to get out.,yZmitTfUaQVZcIXKN-G0AA,1,0,5,ylApAxHWftCZXImAOyPuYw
1958324,2014-09-01,0,E-3LCDxXg8ojxDe4c7VZ1g,"Friend and I went at 4pm as we had tickets for a 5pm movie so we decided to sit at the bar. Brian at the bar got us taken care of and quickly with Buffalo Wing Appetizers, while my companion had the French Dip while I had the Jack Daniels Chicken sandwich. We both had Jack and Cokes also. Great service and food.",VdKkGBEXvD6uBUl2k1ljfg,0,0,5,aztLNXqAiIeEG18ulFrpIQ
2024917,2014-09-20,0,E-3LCDxXg8ojxDe4c7VZ1g,Took 40mins for my meal to come out horrible !!! Got my buzz before my food ! Horrible but the bartender was really good about it n comp'd out bill! U better sucker,zHowc7nVm1NxGbsCwYaf8Q,0,0,1,ThKD0IJcuJU6COgY9_aKBQ
2106508,2011-08-18,0,E-3LCDxXg8ojxDe4c7VZ1g,"I've had better experiences at OTHER T.G.I. Friday's.

The food is still the same like other locations.  ""Thank goodness.""  BUT the service need to be worked on especially when there's only five tables to service and three servers are out on the floor.  The means something, which is called POOR SERVICE!

I'm here with family and it's my cousin's 21st birthday.  It's not the best place for dinner but we want to make it something special for her.  The birthday celebrant's sister asked the waiter in advance to bring out  a birthday dessert for her so that we could sing her Happy Birthday but the server failed to remember and offer it.  We asked him three times and instead gave the brownie with ice cream dessert with no candles to the celebrant's brother.  We looked at him and said where's the birthday dessert.  The server replied, ""Oh I thought it was for him.""  He instead brought out his cigarette lighter and told the lady celebrant ""here you can pretend to blow of the light with this.""  HORRIBLE!!!",Gdzqo32xFRrHF2-27FW7vg,0,0,2,efqEAJq_IHcx2QcDeQOViQ
2149148,2014-01-11,0,E-3LCDxXg8ojxDe4c7VZ1g,Very bad customer service. The server gave my to go order to somebody else and they claimed it is not their fault. The manager apparently don't care and just blamed it on the other customer. Customers are treated very poorly and we waited 47 minutes for the guy to pick up the check. We keep trying to stop somebody to get our check so we can go home but nobody is paying attention! We feel so discriminated! The manager had the nerve to tell me that next time we should the to go bag. As a customer I have never been treated this poorly before. I cannot imagine myself going through somebody else's to go bag!,SHNeOoHDz8SnF0insLurhw,2,0,1,Qo5vHWOVm3Ipgff5LIrSnw
2265352,2014-01-30,0,E-3LCDxXg8ojxDe4c7VZ1g,"Lets start off with being seated. The host was having a ""lovely"" conversation with another employee and took a good 5-6 minutes to finish her conversation and address our party. Loss of a star right off the bat. Once we were seated it took 20 minutes till a server arrived to take our order. Loss of another star. This is no exaggeration. Once we placed our order it took exactly 43 minutes for our food to come out. Yes i timed it. Lost their third star right there. Next my ""burger"" which i feel is a dishonor to even give it the name burger was about the size of a slider...and not to mention the order was messed up. I had asked for a few specific modifications to my ""burger"" for example no tomatoes. However when it arrived it had exactly what was written on the menu. As if the server completely ignored my requests. The patty was dry and bland no flavor at all. And they were extremely skimpy with the fries. It was a bag with about 15-20 fries in there, it looked like it had been half eaten. Boom lost their fourth star there. If yelp would allow me to give 0 stars i would. So it seems this yelper will not be returning to T.G.I fridays.",49_0pBoLFXuAoFz0uNlO7A,0,0,1,HotGUvUsKJQ0-WD5spFVaQ
2289817,2010-12-19,0,E-3LCDxXg8ojxDe4c7VZ1g,"I used to love TGI Fridays about 10 years ago but it went downhill at some point and I stopped going.  But looking for a bar in Suncoast, TGI Fridays seemed as good as any of the other options.  I'm glad we came!  The bartender was super nice and helpful.  We made just in time for the 9pm happy hour which offers $4 beers (anything on tap), $5 sangria, and $6 for any ""ultimate"" drink.  

They have Styrofoam cups and lids in case you need to take your drinks ""elsewhere.""  I'm not sure about the food but the bar is definitely a good time.",iAevEfcmtCr2cpd6IRqnTA,1,0,4,YOyW288masfZuq0kcN99dw
2599253,2011-06-20,0,E-3LCDxXg8ojxDe4c7VZ1g,"The guy cannot operate the ordering machine, the bar tender did not care to serve us.  The food is just like any other T.G.I. Friday's - but the people working there are dumb and rude.  We went there because it was very late... We didn't have that many options... There are definitely better places to spend your money.  DO NOT GO HERE.",YzCRr11c7KVCK4nF9sIeog,0,0,1,oX89CPXceHSiRFM2Gk5S3Q
