,date,funny,business_id,text,user_id,useful,cool,stars,review_id
8970,2015-10-29,0,E67gGK8yOn9kkNzx8FzQKA,"This review is for takeout. I'm a lover of BWW and this location is right by my work so me & my coworkers order out of here almost every week. Customer service is usually just okay, better when you actually go in, sit down and eat, especially in the bar. Today I placed 3 separate orders over the phone. When I arrived, they forgot part of the first order so I had to wait there for them to make it, in the middle of my work day. When I got back to work, we found I was shorted a ranch that I had paid for, and my coworker found that his wing order was short about 5 wings so we called in and spoke with a helpful manager, Daniel, who offered to remake the order. 

My coworker went back to the BWW to pick up his order and, when he asked for the ranch that they had forgotten, they refused to give it to him because it wasn't on that receipt.  Lol  are you kidding me? He mentioned it was on a separate order and they really wouldn't give him one side of ranch valued under a dollar. At this point it became laughably bad to just about everyone in our office. 

There are plenty of other BWW locations around the valley with awesome servers & hosts who treat customers as they should be treated, unlike this one. If you feel like wings but don't want to waste your time & money at this location, just go to the one on Durange since they're always great.",hBmJs49zYcXdV4wo8F5iiA,0,0,1,btYo90XQz6N_FZeDoYjuGQ
11710,2010-10-30,0,E67gGK8yOn9kkNzx8FzQKA,Great bar and good staff. Annie is always friendly. Food is very nice. Good for football or anytime.,O9nQ3G-ZCCexp0Z1F9eFpQ,0,0,4,e8QUcWfa0LQ_iozWqlBMRQ
13830,2014-02-04,0,E67gGK8yOn9kkNzx8FzQKA,"I've always been a fan of BWW's.  I love traditional wings and I always like to switch it up with different sauces. Most of them are great medium, spicy garlic, Asian zing, honey BBQ,  I've even had them mix sauces.  You can't go wrong with Buffalo Wild Wings.  It's quick and easy to get to-go orders also.",ZXw7A5RRoc64xcGVKKfXow,0,0,5,0ssN55cLr6-a3BoZFfY3QA
44809,2016-01-24,0,E67gGK8yOn9kkNzx8FzQKA,"First off, they took a more flavorful approach to their lemonades instead of sour, which I love. Their strawberry lemonade is a classic must-have. If you like ginger I definitely recommend the ginger lemonade, and the blueberry mint was excellently balanced. Also, Cody was our server and he was AMAZING to my group. Really friendly and fun.",w9j_R9WotuZrrF9OqJUZ2g,0,0,5,iefYv_PsuVwSE9G7zcbMzw
122644,2017-05-10,0,E67gGK8yOn9kkNzx8FzQKA,"PROS:  Tons of sauce flavors for your wings.  Friendly staff.  Full bar.  Decent food.  Great sports coverage.  Amazing fried pickles.


CONS:  Prices are high for the level of quality you're getting.  Speaking of which, the quality is not always consistent.  Some wings have no sauce or very little sauce on them after being tossed in sauce in the kitchen.  Buffalo ""chips"" that are described on the menu with a word like crispy is false.  They are usually greasy, floppy and soft.    They've got to be understaffed, because the service is usually slow, even though you see your server running around like a madman (or woman.)  Hate that they upcharge for an amount of sauce that should come with the orders (for 10 wings, you get 1 sauce and 1 celery or 2 sauces.)  Don't like that when you play the trivia type games, you have to wait so long in between each round for tons of commercials/ads.   When you get there for pick up after ordering online,  you'll almost always wait 10 to 20 minutes past whatever was quoted to you online.  Kinda crazy.",5fTEVByUVKUhrS-hA4rRNQ,1,0,3,I-fMkIxXhwi9uh228Kzp6g
122774,2015-12-19,0,E67gGK8yOn9kkNzx8FzQKA,"Love this place, the service is always top notch. I did feel s bit dissapointed when I found out they discontinued the jammin' jalapeño. But besides that one of the best places to eat after the office with friends and co-workers.",Q54WjC9ZXJko1ws9nhMG3g,0,0,5,q8wqeWApSsIOSBf9i0DXzQ
139170,2011-07-01,0,E67gGK8yOn9kkNzx8FzQKA,I did not have a good experience at this location.  Service was slow on a not so busy night.  Food was not at it's usual quality.  Have not been back to this location.  I prefer the one a few miles south.,DWfos3PxcrkqAJoAZHEg3A,0,0,2,7Kie9O_w_IgMP8Lk-xU5xQ
139627,2017-04-30,0,E67gGK8yOn9kkNzx8FzQKA,The worst customer service from MIKE! Unprofessional rude& completely just turned me off from this place wont be coming or Ordering here again!!!!!! Open 24 hours but if you call for a pick up after hours you get treated like garbage& lied to!,-ioo9dsEAhF8c6645Paqdg,0,0,1,VcP8wByfB-wEFYbYI5UFTA
167934,2015-03-02,0,E67gGK8yOn9kkNzx8FzQKA,"Guys, free limo ride to and back from one of the best exotic clubs in Vegas. No cover - free limo anywhere within 10 miles of Vegas strip. Two drink minimum purchase! Contact me for more details! Bottle service specials! VIP! I got it all!",uSUWd736E8HJE75mLCL9mw,0,0,5,ZrdTM8vrcluKPCoGrhaYiQ
258675,2013-02-15,0,E67gGK8yOn9kkNzx8FzQKA,"Dining in is pretty straight-forward. If you order over-the-phone they usually only take 15-20 minutes to make your order and they're ready at the front. When it gets busy though, don't be surprised if you're placed on hold for upward of 10 minutes. The wing flavors are all really delicious, and so are appetizers. The staff is alight. In the years I've been coming here I haven't ever experienced truly terrible service, but I've experienced waiters forgetting orders, getting orders wrong, not checking on us enough, etc etc. Overall, if you come at the right time, the experience is really good. Sign up for rewards, you get free food! Also, they have wi-fi!",ZSxrOliinraUSicPRiv2xQ,1,0,3,58Tj9-17PYDuYsC5fUmLAA
