,date,funny,business_id,text,user_id,useful,cool,stars,review_id
17770,2017-06-30,0,Ec9CBmL3285XkeHaNp-bSQ,"Seeing that this place received 4/5 stars and 900+ reviews, I believed that this restaurant would live up to the hype. There were so many good reviews on the bone marrow and oxtail pho as well as many other dishes from the menu. However my experience here fell short. I usually don't write reviews but I thought I would share my experience.

First thing was when we walked in, there was a host stand but no host. There was a sign for patrons to sign in on a sheet with a name and number of guests. Our presence wasn't acknowledge until about 25 minutes later. Not sure if this is a Vegas thing because they're so busy (we had a similar experience at another restaurant) or that's how they operate.

Once we sat down we looked over the menu. Most of the dishes had unique twists on Vietnamese cuisine. But long story kind of short - we wanted to try the oxtail fries, they were out of fries. My friend and I wanted to try the bone marrow pho, they were out of bone marrow.

Since trying the bone marrow was out of the question I went with a basic meatball pho. After 30 minutes the dishes started to arrive to the table. This is also when one of the servers informed me that they were out of meatballs for the meatball pho. 
Are you F'n serious!?!? I mean bad enough you made me wait 30 minutes to tell me this but  those meatballs  for pho ( and French fries) are usually frozen.  You would think.. running a restaurant that serves PHO you would make sure you have some of them suckers in the freezer at least.  Manager probably wasn't on top of inventory this week.

At this point I was getting really HANGRY. Everyone at the table had gotten their food and now I had to look at the menu and decide what to get (being if they didn't run out of it already)
I decided to go with the oxtail fried rice remembering that there were rave reviews on the dish on Yelp. The dish came out about 15 minutes later and let me tell you... I thought you couldn't really mess up fried rice but.. this was pretty horrible. I don't know if they forgot to season it bc they were in a hurry to push it out since they didn't have any ingredients left in their kitchen for any other dish on that menu or what but.. it just tasted like i was eating steamed white rice with onions. Because there was a lot of white onions in it with maybe a bit or a shred of oxtail meat here and there. 
I ended up having to season the rice with whatever condiments they had at the table, which wasn't much. I should have known- any Vietnamese restaurant that doesn't have fish sauce or soy sauce on the table as a condiment should be a warning sign.  

I don't know..maybe we went at the wrong time or maybe that's just how they roll.. but I would not recommend this place to anyone- not even hipster foodies. This place is just overrated and over priced.",pwDckoLjvf0E5nyVt3RSHg,1,0,1,eIeYOS3sYJacXgdtX3gf6w
22112,2016-11-11,1,Ec9CBmL3285XkeHaNp-bSQ,"Great place, great food, awesome people! Abundant selection of libations, from craft beers  to high end Japanese whiskey. I'm a happy man :) Vy rocks!",6oX-4iGhqyIRWpESvR_ZgQ,0,0,5,R_WH7jervx7jQm2EEhuvwg
30139,2015-08-30,1,Ec9CBmL3285XkeHaNp-bSQ,"I just had the worst experience here. It started with a cluster of a mess waiting for a table since there was no hostess or waitlist. We saw another aggravated couple seat themselves at the bar so we did the same. We ordered egg rolls, chicken pho, and rice combo. Simple enough right? No lobster this, no oxtail that. 

Am I suppose to ask for my side garnishes when ordering pho? Accept my apology if it's suppose to be ordered a la carte. My pho came out first and sat there as I tried to flag down any staff member. Fifteen minutes later, my boyfriend's rice combo comes out so we asked the food runner for the garnishes for my pho and fish sauce for his rice. By the time that came out, she brought along the eggrolls. I'm not even upset about the sequence of the food but damn, 2 of 4 of my eggrolls were soggy because it was placed under all the wet greens. I asked for our check since we seem to be adding on to the masses that were stressing out the staff. I am in the restaurant industry so I totally understand, but for such a beautiful business opportunity... staff up, get more organized, and be consistent. Smile even if you're stressed from all the big tops, I lived in Vegas prior and learned to treat the tourists kindly. This might be their first and only time out here so make their experience amazing. 

I couldn't eat anymore because I was just so upset with the experience. I was really hoping for a good last lunch before my flight. This just ruined it for me.",bQqvAPzsBsUm91BhZaM5Og,0,0,1,6E1jjcC5iJw63PBEVDvnSQ
32128,2015-05-02,0,Ec9CBmL3285XkeHaNp-bSQ,"We went to this place two days, back to back because our first visit was so great. The second time around was a complete 180. They lost our reservation. They didn't bring us enough menus. The first time we came in, the server brought over the specials board and suggested different items since we had never been there before. This time, we had to ask about the specials and he didn't even bring the board, he mentioned the few that he could remember. We saw all the other servers bringing the specials board to the tables. Our share plates WERE NOT WASHED! They had food remnants from the last guests. When they brought ""new"" ones, they were also dirty! We asked for everything to be brought out as it was ready. We placed our order at 6:40, by 7:25 we had not received the appetizers or my sister's meal. We had to ask the manager and then the server about the missing items. When the pork buns finally came out, one at a time, and they were hard and inedible. By that time, everyone had completed their meal and my sister was not interested in her meal. I asked the manager to remove the buns, she apologize and said she would, but the check was presented with the buns. At that point, the server, Johnny L, was scared, and stopped coming to the table. He wasn't attentive anyways. We had other servers stop by the table more times than he did. The ""manager"", Vy, was too busy talking it up with her friends, to assist us. We were so impressed the first time and brought our family back to try it. Had high hopes in becoming regulars at this place. That's definite no.",-ouzfV5nm0Fmv3JRLXegmQ,2,0,1,8fsSaRohGqDkf8X4PCumYw
39226,2017-06-20,0,Ec9CBmL3285XkeHaNp-bSQ,"Wow. I am impressed. Seriously delicious food. The house special oysters were incredible good and very very fresh. The grilled whole squid was fantastic and the best that I have ever had in a restaurant. Tasty and tender. The beef carpaccio was very good, too. Their pho is one of the best that I have tasted. I am very picky when it comes to pho and I have tried a lot of pho in the US and in France. Service was very good and friendly, too. I cannot wait to get back again.",pbFsiIaQdwNMwMAhHGX4PA,0,0,5,3JWqfz-j7ajG2Yy4oQroNA
40938,2017-01-03,0,Ec9CBmL3285XkeHaNp-bSQ,"a great place to get food other than pho. I didn't get pho this time but next time I will. I had a sample of the broth and it was really good. 
Must haves.....oxtail fried rice and the pepper garlic lobster! The oxtail fries was hella good too. They put a good amount of oxtail in both to make it better than other places. 
I'll be here on my next visit to vegas after a night of drinking of get some pho.",qWKGC0dkooHX1JNr3vjntw,1,1,5,ZJPWJdkic70MxiCQ5MMgrg
46466,2017-06-08,0,Ec9CBmL3285XkeHaNp-bSQ,"I am Vietnamese living in Orange County, the largest Vietnamese community in the country, just to put my expectations into perspective.  Hate to be so blunt but If this restaurant were in Orange County, it may last for about 6 months at most.  Ordered the lobster pho. It was totally bland and devoid of any true pho flavor. 50$?! I was totally confused.  The presentation was nice tho. The big bone soup was similarly bland. However the meat and marrow from the bones were tasty. We also ordered the ox tail fries. The fries were loaded with meat and gravy. Good value but again, not much with taste. 
The service was good. People were friendly and helpful. The food came out quickly.  the ambience was nice. 
Im glad I did try this place as the concept is good and novel.  However, I would not come back
I have to wonder if the chef is truly Vietnamese or familiar with how pho should taste. Maybe they had a bad batch of the broth. Having read through some of the other reviews, I see others thought similarly about the blandness of the broth. 
Sorry, This place missed the mark.",YHOR2iWwSHW9we-ZtoNYGg,0,0,3,6rSLNNtTsDo0yxpNRKwKgw
47543,2014-06-19,0,Ec9CBmL3285XkeHaNp-bSQ,"Live down the road and last night was my first time in.... WoW! Bartender Seth amazing the ox tail was out of this world! 

~Hands down, one word DELICIOUS!!",mtoUf77eLpnSq7wWsOUwZQ,1,1,5,7mhu-WpKojSLkI1LcCyPfw
57705,2016-02-02,0,Ec9CBmL3285XkeHaNp-bSQ,"The food quality was not very good. The flavors were neither authentic Vietnamese or well executed fusion. Confused as to what their objective is.  It definitely isn't tasty, fresh food. Wish Chada Thai would have been open :)",4H0aiO6z0bIst3N3WiA0Ww,0,0,2,RzrS7EZMTdFHxXnBKwUCKQ
81304,2016-02-13,0,Ec9CBmL3285XkeHaNp-bSQ,"District one is an amazing restaurant. The service is great, fast and friendly. I highly recommend ordering the oxtail fries as a starter .The oxtail meat is tender and an egg on top just makes it that much better . I also recommend the lobster pho , the broth is delicious on its own and the lobster is fresh and delicious.",2vPIvdbmu26Wp3t7uvIVKw,0,0,5,YN6qxpi35fRHwFrzDnCIrQ
