,date,funny,business_id,text,user_id,useful,cool,stars,review_id
436881,2016-03-24,0,EqisTm5p7M27J4NUY5XG_w,"I feel like consistency is key and they just don't have it. Sometimes I'll get giga tots and the cup will be overflowing other times it barely reaches the rim. Sometimes they will have HELLA flavoring on them like too much, other times they have like barely any on them. Sometimes they're piping hot and crispy, other times they're as soggy as old cereal. I really like when they get it right because my mouth is like in heaven, But I feel like my negative experiences out weigh my positive. Also, I understand that they're in a little hut, it gets really stuffy and smokey and they can't keep their door open because town square is the most anal shopping center I've ever worked in and I was in a store, but just wanted to throw it out there that it's not that hard to be friendly when you're being paid for it, stop acting like every single customer is an inconvenience and smile once in a while and maybe your tip jar wouldn't always be empty. The galleria location is much more consistent and friendly so if you're really craving some good spuds go there.",LACUvCVunyzVki_X8muBrQ,0,0,1,rCO4_fvz9FMEhKSHw6ZTHg
533966,2014-05-31,0,EqisTm5p7M27J4NUY5XG_w,Been here several times and this last time was the worst.. Bought a giga fries and the girl said it'll be ready in 30 seconds.. =\   After she packaged the fries I left and when I got to my car (which was around the corner) they were completely stale and cold.. Called the phone number to their location and the phone just kept on ringing.. Finally got ahold of someone and she was just speechless on the phone.. Literally speechless.. We were loyal customers but after this.. I don't know if I'll come back and support this business due to their customer service,QZ29frosKZtl9anCDRl3aA,0,0,1,VzCKw-IE6wfteil1pd4ROA
595647,2015-08-15,0,EqisTm5p7M27J4NUY5XG_w,"Came here a few days ago with a friend, we ordered 2 giga fries. It was over priced ( like $12 something) but We didn't care until we got our food. So little portion and there was barely any fries. Also the wait was a huge disappointment too. We asked the girl how long the way would be because we were in a hurry to go see our movie she said it'll be 3-5 mins wait but it took way more than 10 mins for us to get our food ( even though there was just one person in front of us)",wIrNAd6D8y8WFCAWfJl23Q,0,0,1,EHwmuhwREXn5DtD_2b9edg
955417,2015-12-28,0,EqisTm5p7M27J4NUY5XG_w,Really good food and great service. Shout out to Mikey and Bianca for their friendliness and smiles. Will be coming here again.,JtjE64n6-PJUrqLdWl3BZQ,0,0,5,uXwd_uYQrQ27zeW7jCodvw
1047581,2015-09-20,0,EqisTm5p7M27J4NUY5XG_w,"After learning from a friend that this place is very popular in the Philippines where it was founded, I decided to try it out. They use a seasoning powder to flavor the fries and can actually be really salty so make sure to get a drink. Also they have a rewards card and you can get free food pretty often if your a regular. They also have chicken wings and fingers that are pretty tasty with the ranch and buffalo dip. I Would highly recommend the loopy fries with cheddar seasoning.",f4NdDEdefqJWe7MRMUDnig,0,0,4,2GhhZ0bhReBeruUK0i1npg
1360314,2015-05-03,1,EqisTm5p7M27J4NUY5XG_w,Worst service ever. For a little kiosk with 3 people working.. There should be no excuse for the service I just received. They all literally stood in the back while I stood at the window for 5 additional minutes to order something else. Jeanne while using profanity to her other staff members was not friendly. I waited about 10 minutes to get my food and I wasn't even handed my drink.  She could tell I was a little irritated so she took my bag of food and slammed it down on the pick up window and didn't say a thing. My first ever experience here being a mall employee.. And I won't give my money to them again.,CBwtWy0_ueRhM9Lo8Zj7Yg,1,0,1,YN-mv-VzN5AXtyiQXAmRMA
1733791,2014-07-22,0,EqisTm5p7M27J4NUY5XG_w,"I had a 10:30am appointment with a movie, so I decided to stop here for a little sustenance first.  There was absolutely no wait at 10am, the girl at the stand was cute and my order took less than 5 minutes.  The food was fine, although there's plenty to choose from and go back and try (traditional, curly, tots, chips, the works) as well as chicken strips and wings.  

The moral of the story?  Sometimes being a lonely loser with nothing else better to do in the morning has its benefits.  Or something.",QZDS5x8YE7KWsOBhXmw0Fg,2,1,4,3Mtl4KA9FYNKtcCKHZumog
1777933,2014-06-16,0,EqisTm5p7M27J4NUY5XG_w,"I came by today..was very upset on how this guy made my  Giga Cheddar/Sour Cream and Mega Cheddar/Sourcream! :(( Ufortunately, i didn't try my ordered fries when I got in a To go bag..not until I got in rhe car with my son. Psshh! Drove there for lame a** flavored frenchfries!!! THEY SEEMED TO BE UNTRAINED . NO TASTE AT ALL! NO FLAVOR! FYI EMPLOYEES!! POTATO CORNER IS KNOWN FOR FLAVORED FRENCH FRIES!!! They need to be trained again pleeaasssseee!!!!!",awkfXQaaOpe4LuLSfbr7lA,0,0,1,2hw0274ben3l2-pbyX-d9g
1946072,2014-04-15,0,EqisTm5p7M27J4NUY5XG_w,"Flavored fries: cheddar, sour cream, BBQ, and parmesan cheese. I like the regular fries but they have all sort of fries like waffle fries, curly, and sweet potato. I'm always satisfied with their service. Also, they have a point system where you get a point every 3$ you buy. Once you get 10 points, you get a Mega fries for free",xSbjA2USIxkBmLsiSBvj8Q,2,1,5,vBbKws0T-ACbbVZUVdtMUg
2187492,2015-04-24,0,EqisTm5p7M27J4NUY5XG_w,"Changing price again and again. Right now, one fries' price is same as a hamberger combos in Mc. Reduced a quantity of fries and wings. Poor cashier service. I just break down $20 bill for paying 1cent.",zaWvP2ESorPYPYD7Wb6hxA,1,0,1,4i5vFHg9hWJ8x4hmxTiZRA
