,date,funny,business_id,text,user_id,useful,cool,stars,review_id
24578,2017-04-15,0,ErzHs0c5EKwLD_YM2ZjsGQ,"This establishment has poor service and bad attitudes, food was not ready. This place is just horrible. There was teenagers running around all over the place and the employees just ignore you. I had saved a table for my family to sit at. One of the employees took two chairs. I told they that I was saving those chairs for my family, the employee said that they needed it to close the bathrooms and still they took the chairs. I had to move to a different table at that point. 

When I finally got my food, which was the same as every other panda, moderate tasting. At the end of my dinner, we started to hand out the cookies and they ended up not giving us the proper number of cookies. Then, one of the cookies didn't even have a fortune in it. So we were technically screwed out of two cookies! Just the topping of a horrible time!",0yYJt9KjHdXqUrISKZVjCA,0,0,1,A2EOWoIkUkpY-0sJFFhTsA
163085,2015-05-26,0,ErzHs0c5EKwLD_YM2ZjsGQ,"I don't frequent panda express at all, and this location did not help alleviate that trend in the slightest. Customer service was very lackluster. Servers appeared lifeless and unamused, and would not pass information to one another. I had to repeat my answer to their asking if I wanted plates 3 times to 3 different people. Not to mention, they failed to inform us of the wait it would take for one of the items and just let us idly sit by.

It doesn't help that the food isn't too exceptional either. This was probably some of the driest fried rice I have ever had the misfortune to experience. Avoid this Panda location... better yet, go find a better Chinese restaurant.",ByTsWFSr423OVk3oitOPmQ,1,0,1,PcsIDrdVYFvHQ4PAhKI0nQ
259555,2016-09-20,0,ErzHs0c5EKwLD_YM2ZjsGQ,They are so stingy with the food its not even funny. Then you gotta pay 1.25 extra for fuvr pieces of shrimp rice tasted old I'll never come here again and will tell my ci workers not too either,h_Api3nIj5-IHqN-CUTTzg,0,0,2,UG_mN-suWah0cMxGiU_KGg
565877,2017-01-26,0,ErzHs0c5EKwLD_YM2ZjsGQ,Rose is the nicest lady ever(cashier). The rest of the staff totally ignores her and have loud personal conversations. They took 10 minutes to bring my child's cream cheese rangoons. They were frozen in the middle. They finally came out around the time we were ready to leave. Panda should fire the entire staff besides Rose and start over with this location. I will never eat here again. Overpriced small portions and fully staffed with cocky high school kids. No thanks,oot40t_I0AG2U6nQO7fByw,0,0,1,SYEmBPyfw2X13kBleBpAUA
638711,2016-04-18,0,ErzHs0c5EKwLD_YM2ZjsGQ,"This location is quick for lunch, usually in and out fairly quickly. Staff is friendly, restaurant is clean. A bit overprized, likely the Town Square location..",omBQGtW2L3K2bTtEoehchg,0,0,2,CuYT2glsdmmw5F11_hs-qA
1268542,2014-12-17,0,ErzHs0c5EKwLD_YM2ZjsGQ,"Town square Panda Express.. This place is clean and that's all it has going for it. The food is soggy, they charge you a dollar more and give you less food than other locations. Save your stomachs and go else where.",GOQjimgFk_shAC3A6oJQ3w,2,0,1,ejZPH21cYSNCgdSysBBlQQ
1360311,2014-11-25,2,ErzHs0c5EKwLD_YM2ZjsGQ,"This is the town square location. I called to place an order and the lady who just answered could not answer my question so I asked to speak with someone else and she said hold on. I waited about 5 minutes while she had a full conversation about what days she was working with someone else. She then picked up the phone and hung up on me. I tried calling back and they instantly picked up and hung up on me. I tried back for a third time where they just left the phone sitting there without a greeting, and now they're phone is off the hook. I guess I'll take my business somewhere else. Horrible costumer service. She was very rude and could barely speak any English.",CBwtWy0_ueRhM9Lo8Zj7Yg,2,1,1,ZnWd_24ev9hKiBbRlcCQQA
2768087,2017-04-13,0,ErzHs0c5EKwLD_YM2ZjsGQ,"Bbllllaaaahhhhh! The food is mediocre and the same no matter which panda express you go to. The line was long, long, long, and even when we got through the line, the lady, as loud as she was, I couldn't understand very well. 
Once I got my food, some of the beef tasted burnt, from sitting under the heat lamp. And the chow neon was like chow me in, very blah. Probably won't come back, only came for my kids to eat quickly before the movie.",e3T9PP79lQCfu5luDoJDIw,0,0,2,tmDSvQH_CohpmPZmdRtAoQ
2784316,2015-10-04,1,ErzHs0c5EKwLD_YM2ZjsGQ,"I've written a review of 2 stars before. And I am updating my review. Still the worst panda out of all the pandas I've been to. I've been to a lot trying to eat a bit healthier than normal fast food. I did say a bit, I know fast food is unhealthy. But my lunches are short and if I forget to bring a healthy lunch I have my choice of expensive restaurants, pretzels, panda and potato hut, btw potato hut is worse than panda. 

So anyways the stepped up their Kung pow chicken it's spicy now! That's a plus! But the ran goons were dry and cold. They don't make them fresh when you order here.  so the Kung pow brought my hopes up and the rangoons brought them back down. Oh well. The shrimp was cold and old. The chow mein needs some flavor. Still no brown rice. 

Little Mexican girl was really nice. Poor girl got slammed after I got my food.",KMddoqBFJ2h9AYbaetprFg,3,1,2,t6j_981Fk9RZERK3sR0_Yw
2846531,2017-10-28,1,ErzHs0c5EKwLD_YM2ZjsGQ,"Quick. Customizable. Affordable. That's what you can expect when you go to eat at Panda Express. Since I'm a visual person, particularly with my food, it's nice to have a wide array of dishes to choose from readily available and freshly wok'd. The sweet fire chicken is a hearty choice with balanced flavor - the pineapple chunks offer sweet notes and a glaze over the crispy breaded white meat chicken that delicately cuts through just enough of the bell pepper and spice. If you're opting for a lighter dish try their chicken and greenbean entrée which is less caloric yet satisfying.",LC_o79IQTseA2Qi41v_rMg,1,3,3,QwvtoBEZzlcMPYduT4SWwA
