,date,funny,business_id,text,user_id,useful,cool,stars,review_id
49950,2015-01-03,0,FQB3VXrWYM_m_XrzwRozAg,Quality of food and meats is low. Not worth the price and not what me and my friends expected from the average star rating. I gave it two stars because the staff was very courteous.,1VLVEmdf8AQpJvjK6ZOz3g,0,0,2,KYQk6WWUm_mUOKb-atStWA
68171,2014-11-16,0,FQB3VXrWYM_m_XrzwRozAg,Brought my friends to Sura today. Would not recommend this place..meats tough and not fresh including shrimp. Not good value for your money ay 25.99 per person. Did not enjoy the food.  Would not go back.,DgP37v4XAKdstWzKsOLCRA,0,0,1,Yn3BK2PGUzdwBtxbyCMOkQ
70470,2010-12-05,0,FQB3VXrWYM_m_XrzwRozAg,"If you haven't had Korean BBQ yet, you're missing out in life. #justsayin

It's pretty big for a Korean BBQ place, Plenty of tables. It's not fancy (just like most Asian restaurants). The place is open until 3:00 AM and is about $20 a person. All the meat is raw and you bring it back to your table where there is a spot in the middle to cook it. I always get the bulgogi (marinated beef) and this spicy marinated pork. The kalbi is good too, but it comes with bones and is difficult to eat with chopsticks. They also have all the available small dishes like kimchee, marianted cucumber, noodles, mung beans and other korean delights. Also to finish off there is this ginger drink in the dessert section. It's weird the first time you try it, but I always crave it when I eat there now.

www.anitaeat.com",aN5q5_vC8TiFc5wKngmTaw,0,0,5,6Xo0gQ0zg6UAnM-Xj8cMKA
74603,2014-09-02,0,FQB3VXrWYM_m_XrzwRozAg,"I've been to many KBBQ places. We LOVE getting the AYCE bargains, but this was just disappointing. For a city that is known for it's quality food at cheap prices, this just doesn't cut the mustard. The selection of meat wasn't impressive and the price for this selection was too much. You can get better options at most KBBQ places in and around L.A. for quite a lot cheaper. There were many sides which made it a bit better but it lacked an essential side dish. There was no steamed egg. Truth be told, I probably wont go here again.",nN00Ef-TQW1Nresg54MzEA,0,0,2,qYEvWEJQqZbpAlR3Wcq66w
76859,2017-10-31,0,FQB3VXrWYM_m_XrzwRozAg,"shame on this restaurant. I saw a video of a family getting kicked just because the waitress thinks they're not eating the meat the ""way"" they should and was complaining about how they only grabbled short ribs and nothing else. As far as I'm concerned its a BUFFET and you're entitled to whatever you want as long as you pay. 

Change yours ways or you'll go out of business. Its only a matter of time since you guys started the cycle.",57SfaVMly77gAUdysPBAaw,0,0,1,cNdkW6RLSsFL8gAbh1vmTg
78488,2015-06-07,0,FQB3VXrWYM_m_XrzwRozAg,"Prices went way up!  I remember this place used to be 22 bucks per person and now $29 bucks for ayce. They charge half price for kids over 2 years old which is pretty hefty.  If you're a brisket eater, this place isn't for you. They slice their brisket super thick. The marinated galbi is super sweet and all other meats are super thick which fills you up quickly. The flavoring of the meat isn't good and banchans are limited.",95XWgSWlid_Y37RcYJNE1w,0,0,2,Zu_TEVqBWMJqoNYVQpyAxQ
87051,2016-11-30,0,FQB3VXrWYM_m_XrzwRozAg,Not service oriented place.   Much higher prices than other Pho places I've been to.    My family did not like their Pho.,L546UcdIGsIq69HwybQMzA,0,0,1,imuGknw4YkM1z2S_IbYHOA
90414,2013-05-26,0,FQB3VXrWYM_m_XrzwRozAg,"Most AYCE KBBQ places have servers coming back and forth with thinly sliced meats and banchan. But hey, why wait when you can just serve yourself?

Sura BBQ is a buffet of brisket, bulgogi, and pork belly goodness with your favorite banchan. You clearly won't be getting wagyu beef here, but when that meat hits that hot grill, all is forgotten with that delectable aroma of juicy, tender slices of sizzilng meat. Other proteins include chicken, galbi (short-ribs), and the roasted or baked fish that's typically found as a side dish in Korean restaurants.

The banchan are no longer limited to those miniscule circular dishes! If you need carbs, there are huge pots of rice (either white or brown) and salad. Their soups, such as the kimchi stew and a beef radish soup, rotate on a daily basis. They offer some Chinese dishes, some sushi, and tempura as well. Not much for dessert here besides some fruit and cut-up jello, but it's a refreshing end to that meat massacre. If you're daring, ladle some of the persimmon cinnamon drink known as soojeonggwa then water it down a bit. That stuff packs a punch!

Talk about Korean BBQ done Vegas-style.",EHvPZx_EY_s4r_5K6fL6tg,2,0,4,7NFn-fJ2Ky7emZ837V_PSQ
91577,2012-08-10,0,FQB3VXrWYM_m_XrzwRozAg,"Came here with my boyfriend last night for all you can eat BBQ buffet. All the meats are well marinated, I love the ribeye, beef bulgogi and spicy marinated pork belly!! They also have many side dishes to choose from, like japchae, kimchi, spinach etc. You can also find sushi rolls, tempura & Korean salad and soup. I love eating the meat with the Korean spring onion salad. I felt less guilty for eating all the meat :-) love dipping the meat into the salt & sesame oil sauce!

One thing I don't like about the restaurant is that you have to go get you own fork/spoon/chopsticks! Those should be brought it over to you. Have to run back and forth from the buffet line just to get the sauce & cutlery. 

Service is pretty good. Our server kept refilling our water cup & Asking if we are doing ok. Ventilation is ok, I smell like barbecue after I went home! (it's expected though) I would have worn my old clothes if I know i was gonna eat there. 

Would come back in the future :D",Pvehs_IlQWkT1pDG8od_Uw,1,1,4,9Z2c4cEmaDRi9VBd0HPglA
116114,2012-04-27,0,FQB3VXrWYM_m_XrzwRozAg,"This is my first and only time having gone to an all-you-can-eat Korean BBQ restaurant in Vegas. I am writing this review based on my experience with authentic Korean food, since I'm in Korea every year, and the quality of the meat and service, etc.

First of all, let me say that the selection of meat is excellent. My family and I kept going back to pick up our favorites, and I have no major complaints about the quality. I just wish that there were more options for spicy marinated meats, besides the pork. Banchan (side-dishes) available were okay. I would've liked them better served at the table, and not having to run back and forth holding multiple mini-bowls to get all of the ones I like. 

Major complaints: My mother and I ordered sprite, both of which tasted watered down (like toilet water or something). Very gross. I thought only casinos had that issue with their fountain drinks, but apparently not. Also, I'm used to having the grill changed every so often by the staff in normal Korean restaurants, because after a while the grill obviously builds up black char (not sure what that's referred to as), so it will taste gross on your meat if you don't switch it out. I asked about twice for them to change it, so the second time around, the guy finally came and just cleaned off the grill with some napkins, but it did the job. 

No major complaints with the service. It's a buffet-style establishment, so of course you need to be independent about getting what you need. 

I would come back here again, but I hope to find something better for $20 a person. I'm picky nowadays about where I get Korean food, so I'll be looking around Vegas til I can find the best AYCE bbq place. I really hope this isn't it. Perhaps I've been too spoiled though, getting great quality cuts in Korea for less than $10 an order. ;) haha!",4e6MMvMT_VFEtYXmRRelUA,1,0,3,uoZ9HvKij7paUDQcgStjsg
