,date,funny,business_id,text,user_id,useful,cool,stars,review_id
4352,2013-06-19,0,G5or_Fra4-6IYOVlm_dI2Q,"My boyfriend and I stopped in here for dinner. First we went to the bar directly off of the casino, where we waited about 5 minutes and were not acknowledged once. We figured maybe we would have better luck getting a table. We stood in line at the hostess center, where there was one party of about 6 ahead of us. I'm not sure what was going on, there was a lot of back and forth between the party(who I don't think spoke great English) and the hostess, but we waited our turn for 5 minutes or so, while doing so the line behind us grew even longer of people waiting. At no point did the hostess even look up at any of use, and since the party of 6 was still in front of us, we waited. From the other door a couple walked up around the waiting party, and asked the hostess about seating, and she put them down!!! UMMM Excuse me??? You have a line of people waiting honey, why don't you try looking up! 
Needless to say we left, plenty of other choices in Vegas, although I think it's important to point out, we looked in the windows after leaving, and there were plenty of open tables. REALLY?",cwmozH0btTWP1a84TLoSJQ,1,0,1,2kLDaM2LFlrrapnnGrBVLw
10141,2012-03-24,1,G5or_Fra4-6IYOVlm_dI2Q,"Went for Karaoke on Tues/Weds night 8 pm. We went ""early"", not knowing how the set-up was. Sat at the bar, bartender seemed ""aloof"" and annoyed they he had to serve drinks. We did not tip him at all. We then moved to the seating around the bar area which was getting crowded. Service was a tad slow, but OK. The bigger room was closed off for a private party at 6pm. We thought this party was going on all night, but actually ended at 8. However, no signs telling anyone of this.

So the Karaoke guy shows up at a few minutes before 8 and seems pissed off that I'm asking him his procedure. You know, like sign in sheet, or internet choices etc ? Every Karaoke is different. 

So, anyway, Karaoke gets going and I'm 2nd up and was great, Excellent sound system screens etc. Only got to sing 2 songs because everybody and their brother starts coming in and gets to sing immediately, so rotation keeps getting pushed back.

We will be back in June again. Waitresses dressed in Bikinis with chaps seems a little corney, and mechanical bull is really corney, especially with 50 something lardos  mounting up.",6UXGaTo6_xySXmEah0gzGA,0,0,4,X4MuG98cyzeK8BxJ0L5ejQ
33006,2011-04-12,0,G5or_Fra4-6IYOVlm_dI2Q,"We had a very pleasant family lunch in the Gilley's restaurant.  We didn't go in the saloon but the restaurant at the back is family friendly with super friendly waiting staff who really took care of our boys (7 & 5).  We went in as it is one of few strip restaurants that looks onto the Strip with natural light - the darkness of the casinos gets oppressive after a while.

The food was nothing remarkable, just bog standard burgers and fries etc but it was pleasant enough and the cocktails are good!

There were big TV's which kept our children happy with the baseball and soccer coverage.  We went at a Monday lunchtime so it was quiet.

Highly recommended for families with fussy children.",pFwZJmc2ueIZpMFvFnKsfw,1,0,3,irQiy4kTImf-JS6ugGhJpg
56555,2013-09-05,0,G5or_Fra4-6IYOVlm_dI2Q,If you are a country western dancer don't go here. Dance floor is horrible. Not slick at all and in order to dance at all I had to take off my boots plus drink prices are outrageous. Left and went to the Revolver....fantastic time.,JHN9oWT1GV3RI4_UtXF0Ig,0,0,1,1wp0hQhVx6ccWuIs_qUP3g
60621,2015-02-13,0,G5or_Fra4-6IYOVlm_dI2Q,"Being from Texas I was looking forward to a taste from home.  

Food was worse than what I could get at Taco bell.  Should have saved $$!

Service was HORRIBLE with absolutely no excuse.  there were only 3 other couples in the whole restaurant with 3 other wait staff.  It took us 15 minutes for her to take our cards and another 5 minutes to bring it back.",zl5GKhwMKuZIT8TZ4pDcFQ,0,0,1,L1UElIvT_LE_xaeTSw2zKA
105397,2017-10-07,0,G5or_Fra4-6IYOVlm_dI2Q,"Food was good but if you are looking to watch a game, don't come here. Came for a prime time college football game and no one was authorized to change the channel on the TVs. 3 of the 4 TVs in our view were on the same channel and none of the 15ish TVs were on the game we wanted to watch -which was on ABC.",Dl1XT7dlEjGqAQo9ZR9kaw,0,0,2,NDNgwwkk7q9ojJ__9FJtDQ
123441,2015-10-28,0,G5or_Fra4-6IYOVlm_dI2Q,The atmosphere is awesome. Love the BBQ and everything else. The beer was great and the food was out of this world.,0Xp-in8ByH36_XX8i-EEOA,0,0,5,0QvVNWh-z_fDrNEh1K-H1Q
126668,2015-12-12,0,G5or_Fra4-6IYOVlm_dI2Q,Honestly.. I came for the NFR! First time.. Great environment everything was great.. Only thing. THEY NEED MORE RESTROOMS!!!!!!!!! 10-15 min wait to get into TWO DAMN STALLS!!!!! Cmon gilleys!! Get it together!!!!!!,2ikO7Jp8PFiJ9girSZaC1w,0,0,2,wgTEBiBgFqWMvvYkXusWyA
134530,2013-10-28,0,G5or_Fra4-6IYOVlm_dI2Q,"A massive restaurant and bar as big as Texas.

I sat at the long bar and was very well attended to throughout my dinner. The bartenders care and are eager to serve food at the dining area bar.
The main bar area is big enough to host a small concert. 

The food was great.  Hot smokey and flavorful. Lots of sides to choose from. I had the brisket and loved it. Better than expected for a mega facility. 

Great barbecue in the heart of......Vegas?

Yup",ai5zC_CBYG4OXmJLrgQVAQ,0,0,4,uDMpR7VvZAKOktiHn6gWuQ
153363,2015-03-15,0,G5or_Fra4-6IYOVlm_dI2Q,Waitress was great. As a whole it seemed something was out of joint. An hour wait and slow kitchen delivery with an order goof.  Not bad for drinks on a night when the windows are rolled open!,jiY6gNqEeaF7zLngoDHhYA,0,0,3,pRuG4FHiLn08NVI7MHY7_w
155221,2011-07-05,0,G5or_Fra4-6IYOVlm_dI2Q,"The only reason this place get's 3 stars instead of 2 is because they served me all my drinks in a giant mason jar. 

The food here was meh. I ordered their take on fried chicken. How can you screw up friend chicken? I sure don't know, but GIlley's does. 

I had previously been to the GIlley's inside the Frontier but apparently had been moved to Treasure Island where is now has more of a restaurant feel than a genuine country bar.",1sA4O76JHK6c0_mhiidX3g,0,0,3,vMOItQb-kmlRv-JwjpNkjw
164353,2014-11-29,0,G5or_Fra4-6IYOVlm_dI2Q,If there was a zero star I would give. We happened to be walking through Treasure Island and came across this place 5 min before opening. We were at the bar entrance inside the casino and couldnt understand why the bartender and many cooks that walked past us didnt even ask if we were waiting on a table. Finally figured out that we had to walk through the bar to the front for the restaurant. Finally got seated and I ordered the $15.95 Bob Eills burger which I upgraded french fries for sweet potato fries for $2.50. This meal was extremely overpriced and I would say a horrible meal but the fries were 'okay'. It advertised onion straws and I had a few sprinkled on so I asked for more...I mean its a $15.95 burger. Waitress brought me a small bowl of onion crumbs and I realized they were French's onion straws from a can and not homemade. My companions food was no better if not worse. We would have done better eating at Fatburger's down the street!,Rg520JWVXkw_SUiMBMFU_g,0,0,1,q1yBHk4l7sb8SRkYjAmigA
168007,2016-04-22,1,G5or_Fra4-6IYOVlm_dI2Q,Well if y'all are truly from the south and have been in a true honky tonk or two then you will hate this place. Line dancing is not dancing folks. And y'all call that a dance floor?  I guess you have to keep the dance floor sticky so the line dancers don't fall and break a hip.  I didn't eat the food because I wasn't hungry and it was $7 for a Shiner Bock. Mickey should be ashamed of calling this place a honky tonk.,BMdg92LiJrWWghEJHzmTTA,1,0,1,cx9H2lQczgTAEaoEkeXQJA
199452,2014-08-17,0,G5or_Fra4-6IYOVlm_dI2Q,"Terrible service from the waitress to the bartender!  We came here two years and had a great time, we were looking forward to coming back.  The service definetly has gone downhill, just terrible wait staff.",dQJIvCru2smXsgs3Zz9E1A,0,0,1,o3PN4hjpQdhOc6q4hGwUWQ
201635,2015-12-20,0,G5or_Fra4-6IYOVlm_dI2Q,"As a local from Las Vegas I would expect better. I ordered the Bob Willis burger with fries. Server Jesse check # 10180 table 300 time 2258. Now kitchen closes at 12 on Sat Nite. My burger med well was medium, maybe. And the fries were left over and microwaved from lunch. Didnt even have 2 of them. The Meyers hot links were ok but the little biscuit was left over from last year. Could have hammered a nail with it. If you want a great country band and bar, its good. But do not, eat a $17 burger with cold fries.",tJC3zHW7L8iar4Udz1UAVA,0,0,1,PN1RrlMUMCqjmcjCUOcl_A
206899,2016-10-08,0,G5or_Fra4-6IYOVlm_dI2Q,Came in here with high hopes and was disappointed. The food looked amazing but was flavorless. I haven't tasted BBQ this bland in my life. With so many places on the strip this place is a waste of time and money.,D2wcZnOujfGqUn7KU70G4w,0,0,1,MECdCzmZagma5VBSvp2I7g
216069,2015-09-07,0,G5or_Fra4-6IYOVlm_dI2Q,Rude bartenders they made us wait for a table then gave it away. The bartender shook up the beer and when it foamed over on the bar he threw a fit and when we explained what happened and apologized (for his mistake) he asked us to leave the mechanical bull operator was extremely rude. Just a awful unfriendly place it would be cool except for the staff.,xLW8P_yuFO8pTFV5SyNZgw,0,0,1,q069HG2dAIo8KKLg28IuIg
217306,2015-12-12,0,G5or_Fra4-6IYOVlm_dI2Q,I could not believe how bad the service is the worst place the waitress was rude she never ask us once if we would like something we went to the bar for all our drinks !! I'm sad because we couldn't wait to go there . :(,Wb9iAYe8MIh2d70g9ZNZjA,0,0,1,-dXNP8_HwLZCdtxb5kBjTg
230693,2014-08-11,0,G5or_Fra4-6IYOVlm_dI2Q,"We took our family to Gilley's  In treasure Island and had one of the worst dinning experiences I've ever had.  Besides Very slow service (and they were not busy, 2 tables in the bar section we were at)   Never received water we asked for, Didn't get what we ordered and it took an honest 40 minutes to get our final check.  We finally had to get the manager involved just to pay and leave!",C2gQ38V_UBIzKIr27QgGSQ,0,0,1,BbxEtbrmvooz-Qw5r_VLZA
249283,2017-11-11,0,G5or_Fra4-6IYOVlm_dI2Q,"service was tip top but the food was...as if they are not even trying...cheapest possible...very sub par and definitely not worth it, even with the location",CJbDZWxqBAS0BE-6vWB6Zg,0,0,2,i0wjxcrWMwKWBqo3nqxrAg
