,date,funny,business_id,text,user_id,useful,cool,stars,review_id
53758,2015-09-21,0,GPVnzRcvlhEK0-c6PImyoA,"Meh, I just had a cream cheese blueberry bagel which came out as any Einsteins should be serving it. 

What I didn't like is that I went up and ordered with no line (sounds great if your flight is going to board soon right?) thinking it would be quick... Only to find out their were 6 orders waiting before mine! That's a little extensive for what should be quick turnaround considering you're serving people who are getting on flights. Okay, maybe I was being impatient? I don't think so, their were 3 employees and it seemed like only one was actually peeping the food which is why it was taking so long. One lady that had been waiting had to ask about her order and the gentleman apologized and said he would make it right away, as if they had forgotten or lost her order. 

Not to mention, a lot of their stuff is over priced like crazy... Almost $6 before tax for a medium or large chai latte?!?! No way I'm spending that much when even Starbucks doesn't charge that much for the same thing! 

Basically, if you've for the time and money, than it's worth a shot but nothing I recommend messing with.",ttSfq4BASMCTDUuofAzslQ,0,0,2,ssMQuC1ZQ4w9zEEWRJo9nw
284306,2017-12-28,1,GPVnzRcvlhEK0-c6PImyoA,The slowest grossest I've ever been to avoid this place.  Aside from how long it took they got the order wrong while the manager stood around playing on his phone.  There were only 20 people waiting to get their orders.  Horrible,55dh9N4bUfCObaQTI_1KFQ,1,0,1,-P9x6fEL5EjMcodrBNgTHA
344711,2016-09-01,0,GPVnzRcvlhEK0-c6PImyoA,"On Tuesday August 30th, I ordered a bagel sandwich and a hazelnut coffee. While ordering the coffee, the cashier screwed up my order and charged me for a hazelnut mocha. The cashier called me a liar. To be fair, a crazy lady was next to me screaming about her order and she could have miss heard me. I corrected her and another cashier said they would fix my order and only charge me the $9.52 not the $12.52 that they charged. Now I checked my bill and it is $12.52 on my card. And these people want $15.00 an hour.",rux4xOssdNzM4WpP5pklCA,0,0,1,02CVGXTgc1-rqWN0gbBjTw
414535,2014-07-17,1,GPVnzRcvlhEK0-c6PImyoA,"Had a layover in Las Vegas and immediately saw the Einstein Bagels outside the gate I arrived in. Was kind of in a rush to get to my connecting flight on the other side of the airport, but had time. 

I ordered an everything bagel with plain cream cheese and tomato. I moved over to wait and watched as everyone that ordered before me and just after me received their orders. I went to the barista to get my order filled. She was very kind and walked to the bagel line to tell them what she needed. But she whispered something. Didn't sit well. First flag. When she gave it to me, she rolled up the bag though she hadn't done that for any of the other orders. Again, flag.

As I walked away I had the feeling that I should look in the bag, but didn't know where I was going and thought I should focus. Well, when I made it to my connecting gate, I was sorely disappointed to see that I had nearly NO cream cheese. Thinking that maybe they limit their cheese, I just started to eat is, but it was STALE! Not toasted... Like it was old... 

Ruined my travel day. Already stressed and tired... Definitely didn't need that today. I don't recommend this stop. Go to Starbucks...",k-cXoJbpBsQzNgc4I7ZcSg,1,1,1,Vv6mjGg_0bdAjquUnL5R-g
1429694,2017-12-21,0,GPVnzRcvlhEK0-c6PImyoA,"In today's world Einstein Bros are in most of the major airports in the US. Those of you that travel on Southwest through Denver have likely seen the massive lines at that one. Meanwhile, when flying through SWA in Las Vegas I haven't seen those lines amass here, which is a good thing. In fact, in the dozen times I've either walked by this spot (or grabbed a bagel here) the lines have moved quickly and service has been adequate for an airport location. Unlike Dunkin Donuts (where locations are littered across Vegas) and many of the other airport restaurants that serve them the bagels at Einstein taste fresh like they were baked on site. If you're in search for a bagel and coffee - this is likely your best chance at something good.",SAfNyiLVgPZzp_aGpXnfwg,1,0,3,ARZn077dvnsLmkubB0yhZg
1697196,2015-05-11,3,GPVnzRcvlhEK0-c6PImyoA,You are a bagel place - how do you not have plain shmear? Whoever is ordering inventory needs to get retrained.,B6jpRixDy1v7cd0nIYtsSA,0,0,1,z5uDABmux7dnirQjdGOu5A
1715033,2015-08-03,0,GPVnzRcvlhEK0-c6PImyoA,"Meh. Decent service, decent food. Every time we go in they seem to mess something up regarding our order. Only this location for some reason.

Keep going back for the bagel and lox. Good luck!",3893gHkrUR-1bEy4w_P7oA,0,0,3,5klrE7LWogouhMmPnqD6Yw
1789926,2016-02-21,3,GPVnzRcvlhEK0-c6PImyoA,"Came here to grab a post-lunch snack for my connecting flight from LAS.  Since its Year of the Monkey, I got the Plain Bagel with Nutty Monkey spread - can't go wrong with nutella, bananas, and sliced almonds!  Bagel was good (soft and chewy) and they did load up the toppings.  

I last came here some three years ago - so I'll keep the 4-star rating.  Much better food option than 360 Burrito I think.",VHjR5F6mdnLrQcCb0nqCYg,5,5,4,EfCQcdWddUflz_UxDglACQ
1907492,2014-07-19,0,GPVnzRcvlhEK0-c6PImyoA,Keystone Kops run this one. out of ice at 3 pm who does that? bagel came with cream cheese spread so thin it was fugghedabodit. Took it back and new one wasn't toasted like the order. five people working at cross purposes. And airport bagels are not cheap!  company should be ashamed. Not up to their standards at all.,JA6H7fVqPJJfhOcY6Om-IQ,0,0,1,tDirdRnamOyB1fKQoXOZjg
2059910,2015-08-06,1,GPVnzRcvlhEK0-c6PImyoA,"Ordered two bagels at 7:19 pm and didn't get them until 7:42 pm. 6 people and you are in the weeds, bad form",6Mk5tCulcH28emBq3z5_sQ,1,0,1,8rxjFK_vBb32m8jMwykZWA
2173648,2018-02-25,0,GPVnzRcvlhEK0-c6PImyoA,"Had the hummus wrap while awaiting my flight. Nice quick snack, nothing to fancy but tasty",zMeW5bFv-tcKfk9PMpyouw,0,0,3,9m2f6f0EDQl4r_DvLbbJdw
2317777,2015-10-28,0,GPVnzRcvlhEK0-c6PImyoA,"Nah.

""Toasted"" to this place means ""a little warm and still soft.  Not crispy whatsoever.""

Butter wasn't even melted.  Nor was it spread.  Just a clump in one corner of the bagel.  

Bagel is sub-par to ""real"" New York style bagels.  As far as bagel chains go, Brueggers is far superior.",DZO2lmlHi41X19g9U44I1w,1,1,2,YNfZejRA5ritdnhSk_dxeg
2366104,2016-10-13,0,GPVnzRcvlhEK0-c6PImyoA,Everyone was so polite and they were fast too!! After receiving bad service several times at this airport I was impressed with the service and friendliness of the employees.  They have tons of options for food and snacks and they taste great!,TjsGKCuvQ2QQHYDzNzcbgA,0,0,5,RbHhjpBFpDLadtJCQoBoXw
2432385,2015-03-28,0,GPVnzRcvlhEK0-c6PImyoA,Bagels are pretty good a little pricey but it's not like there's another bagels shop in the area A+ on creativity of food,8xauBMcpppb7PVvmPSz8Qg,0,0,3,lqQuU9Ikrv-5LNm-6BB3zQ
2468111,2015-07-03,0,GPVnzRcvlhEK0-c6PImyoA,"Nicest cashier on the planet!! He was so kind and friendly with EVERY, SINGLE person. What an awesome dude.",rWh7zPy_nLoAO__inwidbg,0,0,5,5667ydVLAty6yAyybgGX9w
2507073,2016-10-08,0,GPVnzRcvlhEK0-c6PImyoA,"Not bad at all, I grabbed a coffee and bagel. My bagel was toasted just right, not too crunchy or soft.  The price was okay for airport food and the customer service same.",i6w3b30SrR2xbVLv7Z3Jow,0,0,4,Y2wMhy04CIDEyuvVhHCMvw
2642940,2012-07-06,0,GPVnzRcvlhEK0-c6PImyoA,"So in a place (at least in this part of the airport) where your starting price for food is $9-10 for something awful, I figured $3 for a bagel with cream cheese wasn't a terrible idea.  Of course their bagel sandwiches start at 8... 

If you can, go to Wendy's, I'm convinced it's the best option in McCarren.",ZMMOMP5kLoXWcm3keolHCA,0,0,3,6Hx0DB64BOC6v4zvopjEMw
2674928,2018-01-02,0,GPVnzRcvlhEK0-c6PImyoA,"I'm not usually one to rate an airport fast food place, but damn. Super slow line, and when we got to the front of the line, the only available bagels were sweet flavors. Why are you cooking eggs in that situation? What monster is going to put egg on a blueberry bagel? Make some bagels, fools! The bagels themselves were super stale. Never knew it was possible for a bagel place to be out of plain bagels and plain cream cheese (among a million other things) at 6am.",pzelhXNsE2P-2MgK0kmBNA,0,0,1,aKWS0TJBZ9l6EOnfWxxHiw
2882644,2015-04-29,2,GPVnzRcvlhEK0-c6PImyoA,"Not very please with place. They try to up sale u. I order a small white chocolate mocha. Quinton goes ""it's 25 cents more"" and I said okay. I look at the menu and it was more than 25 cents. I asked him to changed and he supposedly did. I read the recipe and it said regular. The girl at the counter said it was the same size and made a rude face. If it was a small it would of said ""small"" or ""sm"". They both lied. This place sucks!!",y0AEB6ahudAlNc1nkLV_nQ,1,1,1,MeW3qs5IfV_M6uetQ3iFhA
3003361,2015-02-02,2,GPVnzRcvlhEK0-c6PImyoA,"Located in the Southwest Terminal B Eistein Bros Bagels has a decent menu:
Breakfast wraps, Lunch wraps, bagels, breakfast bagels, bagel sandwiches, coffee drinks, fresh juices etc.  

There was also a pretty large staff on hand for a Saturday morning to make your food quickly.  Unfortunately the food and drinks come out scorching hot. My breakfast wrap and caramel latte were practically burning my hands and there was no way you could eat or drink them til they cooled down.  My wrap contained, eggs, turkey sausage, pepper jack cheese and salsa.  The wrap was supposed to have jalapeno smear, but it came with salsa instead.  The only thing I could taste was the salsa.  I took a bite out of the egg and sausage separately and they pretty didn't taste like anything.  My coffee was also very sweet.  Prices are pretty reasonable for airport food, but we will not be trying this place again.",qZ3sJPn5NqSVFMLYGAJH_A,7,2,2,LE1TtniWmndCA6WHEY8hbA
3137118,2015-05-19,0,GPVnzRcvlhEK0-c6PImyoA,"Nasty. Got an egg wrap and the eggs are so cold they're bordering frozen.

Person who took my order was friendly. Person who prepared and served my food was as cold as the eggs.",vz_vlSQ2kH9RgpsCY6_r7Q,0,0,1,C1zT0prpaROBj1izMxSeJg
3309691,2016-03-01,2,GPVnzRcvlhEK0-c6PImyoA,"Got a Italian Chicken Bagel Sammie, chips, choc chip cookies-in-a-cup, and a big Fiji water for lunch.  The Sammie was meh...a bit greasy (had basil pesto).  The chips and cookies were good! Service was good and efficient.  I'd go for the normal toasted bagel and shmear next time.",J2W5pb0_300Gmy-W7gZz6w,6,4,3,iowtw0qA0mPElNHbjdpxqQ
3388022,2018-06-10,0,GPVnzRcvlhEK0-c6PImyoA,"Gate 11 location.  Outstanding, efficient service with a smile.  I did not catch the name of the young woman working the cash register, Saturday June 10, 2018 5:45 am.  She is a gem! Her infectious enthusiasm, smile, and entire demeanor was noticed and noted by everyone with whom she assisted.  Hang on to this one, Einstein, give her a raise and get her training othersothers.  She sets the example for others to follow.",e5F3a9L-UEqnMfb4f20OZQ,0,0,5,X5v8bd7AKlaMi0CDGtcd_A
3528772,2014-09-10,1,GPVnzRcvlhEK0-c6PImyoA,"Toasted Asiago bagel with cream cheese shame at and vanilla hazelnut latte on the way to San Jose...breakfast of champions!

Good, fast service. Airport prices though...$10 for the pair. Still...it not a surprise...it's an airport after all...",2oTvvZHFuH_U7OHYj97wXA,1,1,5,EAd2b-Et4ZKRx73uevE6NA
3594714,2014-10-22,2,GPVnzRcvlhEK0-c6PImyoA,"Disgusting! I am the one who posted the picture of the blue egg and contacted corporate about the terrible experience. I was contacted by WILLIS WALKER in response to my corporate feedback. I had multiple back and forth emails with Willis which included sending him pictures of the offending sandwich and a copy of my receipt. The last email from him was on 8/18/14 in which he asked for my address (with the assumption a refund for my purchase was coming) and I have yet to receive any other feedback, anything in the mail, and clearly since it is now October 22nd the ball has been dropped. 

There is clearly no care of oversight at this location. There are really not many places to eat in this airport but you are much better off getting a bag of Doriitos for the store than dealing with this location. 

Terrible.",wJpEMwE8rp7TP6gFm_8-Uw,3,1,1,X5BM0EneHFSJNWWZLT_fUw
3626347,2016-04-21,0,GPVnzRcvlhEK0-c6PImyoA,"I was pleased with how quick and nice the service was here.
ALTHOUGH YES - it is quick and that comes at a cost - your bagel will only be luke warm, stuff won't be melty. I get it, though. It's an airport location. I think they are trying to move people through.

THEREFORE If you want extra heat/melty, let them know. But I would def go again. I was starving and it hit the spot. Not bad at all for airport food/option.",sMRucNvjaoSrvo6Jo5yjhA,1,0,4,irpwbT3pGVweP7bI4mv_vw
3661799,2018-05-03,0,GPVnzRcvlhEK0-c6PImyoA,Good food but POOR customer service. 5 people working and not a single one engaged in customer service. I had to ask if the order that was slapped on the counter was mine and then half of them ignored me and the one guy that answer looked annoyed.,_MNPA2nk8FfC4STNYIMIrg,0,0,2,GP_G4F0xzgFjxmr2rynkWA
3952455,2014-12-20,3,GPVnzRcvlhEK0-c6PImyoA,"Great employees!  

Black dude making specialty coffee drinks  (named Larry Walker?) was super nice, friendly, and quick at getting all of the impatient customer's drinks made :) 

Another really cool black dude (couldn't see his nametag) was quick to refill the self-serve coffee dispenser when he realized it was empty... that's good customer service.

Coffee drinks tasted good too, so no complaints here.",CSnPiKGBOVdeW1rGxFJ6Dw,1,2,5,HK2Fkwn-iMBFoKmkRbWu2Q
3979303,2013-02-17,0,GPVnzRcvlhEK0-c6PImyoA,"My favorite items from Einstein's are their Paninis, but this location doesn't serve any!  If you like their bagels and beverages you're fine, but I was largely disappointed they did not serve my favorite item.

Also be careful at reading the directories when finding this stand, they say it's located in Concourse A, but I found it in B.  Get it together McCarren.",H2o0rJEdNuOFPbcJnseBqw,0,0,2,NH1lufeICTtvy7dMyVc6Sw
4014694,2015-03-27,0,GPVnzRcvlhEK0-c6PImyoA,"Inside McCarren International Airport.
This little stand has a little fridge to grab ready-made items and drinks or you can order at the register. They serve breakfast all day and offer sandwiches, bagels with shmears, etc.. I haven't had a breakfast sandwich anywhere for a long time and I don't know why I did it here... bored at the airport, I guess..

It was pretty gross. I watched them microwave the egg and assemble it.. I had it on an asiago bagel (you can choose which bagel for your sandwich).. I couldn't pick it apart and say I liked any of it. Not even the bagel. 

I don't know if this is a reflection of what Einstein Bros Bagels are everywhere else or if it's an airport thing but I'm pretty much over it. I don't need to try another Einstein Bros to find out. It wasn't good at all. *Except those cookie poppers",AyVI_VJ3My6ibiIkcLQYGw,0,0,2,ICK2ubc1NYQC5LbPqcr0hA
4175447,2014-10-06,0,GPVnzRcvlhEK0-c6PImyoA,"I see reviews here are low... did I have a good experience because I was starving??  Hm... Well I waited in a fairly long line to get my order in at this Einsteins, but my order of a buffalo chicken bagel came out quite quickly and I devoured it.  I even debated ordering another one but dammit I am a tiny girl and I don't want that judgement!  Along with my bagel I ordered and iced tea.  I can't complain about my tea either and as my boyfriend says I love to complain.  The service was quick once I put that order in!  Oh, my boyfriend's bagel I did ask for toasted and they forgot.  I was going to give four-stars but I guess that merits three-stars.",vepRbwKOq3KuN7VSB3PEcA,0,0,3,uHyqcmEi6eyCyc9aMGkoBg
4184817,2016-10-25,2,GPVnzRcvlhEK0-c6PImyoA,"I have one word for this bagel place, rude! Lord help me baby jesus. I had to look around and make sure I didn't have a camera on me. I could only think that this cannot be serious but oh it was. I mean they look at you and I guess your suppose to just say your order. No may I help you? Nothing, I didn't know if she was having a seizure or a eye problem but either way i went ahead and stated my order which was a turkey sausage bagel on a regular thin wheat with cream cheese. She gave me the total, swiped my card and told me to stand "" ova there."" The only guy working since his counterparts only wanted to talk to each other quickly called numbers and place them on the side. This left it open for any and everyone to come and pick up your stuff since they forgot their number ewww. I was not impressed and for that reason I will not be back.",NFDmd77SQ_mQqHAFfehYow,2,0,2,m3kJjpbb2AW_bgg75F1L_A
4356225,2016-03-17,2,GPVnzRcvlhEK0-c6PImyoA,"Hot coffee and emergency food.

They even smiled at all the grumpy people, 
which might have included me.",oSjxHFZjcuY_PX07a9Fm2w,3,2,3,RL-fWoJzAqgbIPw54FhDjA
4407321,2017-10-21,0,GPVnzRcvlhEK0-c6PImyoA,"The tuna salad on the menu turned out to be a tuna sandwich but it was not bad at all and priced fairly at 8.99.  A little messy to eat because it is well stuffed with what tasted freshly prepared vegetables and plenty of tuna 

My friend had the same but was not too impressed but did agree that it is very messy to eat.

The options at southwest terminal are very few and this seemed most healthy",Zw4d_4rqPAF3TavdbRfisg,0,0,4,5hiM3V9eqiSzA_sMQWZ8VQ
4419069,2017-11-26,2,GPVnzRcvlhEK0-c6PImyoA,"I love Einstein's but this place was wayyy too dry. Their bagel's were very mediocre, and the pricing is ridiculous! Probably would not come here again- but again, it's quick solution if you needed something to nibble on.",08Dhk90xsB7X_0CmMfYMCg,6,5,2,1cfEn_BKrTx4pcy5VRmJ8A
4655058,2014-07-27,6,GPVnzRcvlhEK0-c6PImyoA,"This Einstein is not smart. The number of mistakes they made on my order, brother's order, and a customers order is stuff a business can only get away with in an airport concession. I ordered a toasted blueberry bagel with salmon shmear. They didn't toast my bagel. My brother ordered a toasted bagel without cream cheese. They did not toast his bagel plus they added a bagel with cream cheese that they charged him for. When I poured my dark roast coffee another customer brought it to their attention that they gave her the wrong bagel. We were about to board a plane for Chicago and didn't sweat over the small stuff.

  Obviously the Terminal B Einstein Brothers Bagels is not sweating over the small stuff such as their bagels. It leaves a poor impression on the business when they are out of sesame and poppy seed bagels at 6 in the morning. But they sweat over the big stuff: making a profit. The bagel with salmon smear and coffee that costs me $5 and a few pennies at a local Einstein Brothers Bagels costed about $6.50 here. 

  Two things save this location from my pending ""Mad Check-ins: 1 Star places that Annoy Me"" list. Although the employees need to be trained to comprehend what the customer is ordering and to learn to toast a bagel they made the wrong orders fast and with a smile. And the coffee was strong and favorable on the tadte buds. It is the same setup with all the Einstein Bagels where you serve your own coffee. And that is a good thing because if I was pouring it I know it would not be decaffeinated.  

  What this location has going for it is its location beyond security. Because their isn't much competition beyond the security gate,  especially at 6 a.m.; Einstein Brothers Bagels is in a position to charge more and continue to run a 2 star business. In the future I will try to leave more time so that I could have a 3 star or above breakfast experience anyplace else before a flight.",0tvCcnfJnSs55iB6mqPk3w,6,6,2,2iVEAg0vY-l29hFF77Wnbw
