,date,funny,business_id,text,user_id,useful,cool,stars,review_id
501310,2015-06-24,0,GT9Hx_Na0vH3Na7ym9dp4A,"As a San Diego Chargers fan, this is the best bar ! The people here are so funny and great, I love just coming after work and  relaxing with a cold bud, and sometimes when the game is on. Well that's even better!",G2vljP_LAtF2s8jq9cxESA,0,0,5,ab8w7Dju9FGNYZ3X4XUlAQ
796361,2018-01-15,0,GT9Hx_Na0vH3Na7ym9dp4A,"Found a local bar that has some good drinks, pool tables and nice machines.  Didn't get a chance to try the food. The bartender was friendly and made our night.  Thanks Donald! Can't wait to come back with other friends.  Cheers.",gCSrU_kawNdUC2ZqgH5ICA,0,0,5,XPF2Ctsmv1-oqPe9vfocHg
843714,2012-01-24,0,GT9Hx_Na0vH3Na7ym9dp4A,"Cool dive. Stopped in Thusday for a drink late-night stayed till dawn. Jukebox rocks. Didn't play but saw 4 pool tables big screen TVs. Thanks to the bar tender Steve, we had a great time. Will go back. Soon.",TGubQutRUBOF9ABsPeVYCg,1,1,4,w90fOlkExGuf5_dfhd2CGw
1081945,2016-01-16,1,GT9Hx_Na0vH3Na7ym9dp4A,I just ordered the 18 inch meat pizza and it was the best pizza I have had in a very long time..very fresh!!,VFLZbmiPsAl57Q2nQmr3SQ,0,1,5,ynCSE3Jx8u2p9PYALYWaEQ
1153826,2017-03-31,0,GT9Hx_Na0vH3Na7ym9dp4A,"I used to come to this spot all the time. They fired some of the previous staff members and for the most part, nothing has changed. I'm sitting here...played a hundy, bartender walked past me a few times (no eye contact, even though I swear I asked for service...maybe my voice doesn't work right today?) and there's only like 6 people here...I had to yell to get attention and I'm gaming like a hungry person...I never had to ask, I'd have to cut them off...they'd come and take my drinks and bring back a fresh drink without hesitation. Ally...apparently, has an at home issue that she needs people in the bar to recognize. I don't go out to bars to hear the problems of a bartender...I go to game, drink and forget about my shit for a while...can't do that here anymore. For this...I'm out! Sorry guys. I will still come here, just not when this mopey personality is here...",x2c5o85kZPEKV1MSmUeWSw,0,0,1,jWCZoncf9cZlXZFN9wWcWw
1232774,2016-07-17,0,GT9Hx_Na0vH3Na7ym9dp4A,"It was a great place but with the new owner it's the last time I go there, he's an ignorant person. Brown pride be aware you don't want to watch your charger games there at all!",hd3jfpK8iLLEPkZnwh_NSg,0,2,1,zvDXqt1XQV2CjEUDWH-ClA
1554308,2016-06-12,0,GT9Hx_Na0vH3Na7ym9dp4A,This place has outstanding wings & fries!! They have over 70 flavors to choose from and offer free samples of the flavors! Great  customer service too! I would recommend this place to everyone who loves great wings & fries!! :),dwXF-IRI8be9T3M-78gh1A,0,0,5,JBumzdXpvTJr5a-3qvXOhw
1712964,2016-01-29,0,GT9Hx_Na0vH3Na7ym9dp4A,"Was looking for wings and this place came up so We made the trip from the strip to this place. I walked in and it was not very full. Personally I loved this aspect of it. It is a San Diego or Los Angeles Charger bar. Staff was friendly and talked shit, made me feel at home. The wings were freaken amazinggggggg. I didn't want to leave but I am not a charger fan and they were going to play next. All the Tv's go to the Chargers. Fantasy Football is my choice of football so I went back to the strip! Next time im in town I will go back and demolish those pigs wings. My Fiancee and I murdered 4 pounds of wings. Left an impression there!",ADOO452wPBt0IgWRCu5jkA,0,0,4,jQKoVREIaZYBPC0mr3K-cQ
2055675,2017-12-10,1,GT9Hx_Na0vH3Na7ym9dp4A,Ambiance is unbelievable. Food is great! Awesome specials. Welcoming cowboys family! Wish we had a bar like this in Houston. Love this place!,Z2rSEGjk-vrl2YpbDFHoPg,0,0,5,qOJRq4Y-Z2asmOik_Yuo-w
2628966,2017-07-17,0,GT9Hx_Na0vH3Na7ym9dp4A,"OPEN 24/7 They have changed Shooters from a Charger bar to a DALLAS COWBOYS bar but any team is welcome.  They have a nice large bar with gaming(smoking), a section for people to watch the game (non smoking), a large pool area with six pool tables.  Bar is very CLEAN and bartenders are amazing!  I may be biased but DONALD is the best!  Worth coming in and checking this bar out.  Stop by grave shift from midnight to eight am!  Bar is 24/7   #gravelife",7FGaox4G5LG361eZkx4o_Q,0,0,5,PPgjtTdl_HOqzrqs7fLI5Q
