,date,funny,business_id,text,user_id,useful,cool,stars,review_id
109070,2017-06-04,0,GU7ww3eoGTcXAze8VJtC7g,We were in town and were anxious to have a nice dinner so we thought we would try this place.  BIG mistake.... it was horrible the wait staff was anything but helpful and lacked any enthusiasm. The food  was even worse than any frozen dinner i have ever had. My frozen dinners have actually been better! Really save your money and dont waste your time its HORRIBLE $150+,1gMU-jIHLfrux7FOc5zw6Q,0,0,1,TRTKqiSrm2JolOuGwgGbHw
238993,2016-05-31,0,GU7ww3eoGTcXAze8VJtC7g,Closed at 9pm??  Are you serious??  Very disappointing. Unfortunately we won't be back folks.  Sorry.,rlIkdlO0OZjWBKC3IM5Rdg,0,0,1,xxWy2WtI9ZffXCepVPQEtg
265773,2015-04-17,0,GU7ww3eoGTcXAze8VJtC7g,The atmosphere and food were good. We ordered the Mongolian beef and egg too young. The egg too young said it came with pork. I must be blind because I didn't see it or taste it..after dinner we ordered dessert. The server said the only dessert they had was ice cream. Really? You're a restaurant in a casino and you dont have dessert? We decided to order the ice cream anyway.. It comes out in three ping pong ball sized scoops for $9....are you serious???? What a rip off..overall the food was good but beware of dessert...,XC_3neQqxAXjBzFQYnV5QQ,0,0,3,nM5fTeeMrFfmnPpIpubYHg
267694,2008-05-29,1,GU7ww3eoGTcXAze8VJtC7g,"Fin is, quite possibly, the prettiest restaurant I've been to in the US (if you've been to restaurants in Hong Kong, you'll understand why I explicate on the fact that it's ""IN THE US"")

The food is alright. But let's not kid ourselves - the selling point of Fin is NOT the food (ugh, yes, I hate myself for writing this since I consider myself to be somewhat of a ""foodie"" who RESPECTS food).

I went during lunch hour which, in Chinese people language, means dim sum time. From all my previous experience, dim sum is something to be eaten at a gaudy/tacky restaurant where old men eat goose feet while reading the horse-racing section of Ming Pao. THAT'S authentic dim sum. And that's when you know that Fin is FAAAAAAAR from authentic. I mean, when was the last time you ate shumai at a place that looked like it was designed by Philippe Starck?

Don't get me wrong - food is not horrendous. Of course, foodwise, I still prefer the ""authentic"" (i.e. greasy) Chinese fare over the B*sterdized $13 chow fun but, like I said, the food is not the star of the show with regards to Fin. And, in their defense, at least they are conscious of the fact that they are NOT authentic (they sell themselves off as ""CONTEMPORARY"" Chinese cuisine) - just the fact that they have sashimi and pad thai on the menu is proof that they're not trying to pass themselves off as being authentically Chinese.

So yes, you'll enjoy the food but you probably won't remember it. But go anyways - go for the beautiful interior!! That's what the 4 stars are for - not for the food in particular, but for the restaurant itself!",baDwrsfEM_F3n26nhP9Cpw,1,1,4,HVZ2jWqyaefsNiqqLwvApQ
293245,2013-04-04,0,GU7ww3eoGTcXAze8VJtC7g,"Nice food chinese food.
We had a ful dinner with wine and the check was about 700 dollars (with tip and tax) for 11 people, that is not expensive compared to the quality of the food and service.

Helpful personel who helped us change table so that all eleven of us could sit together at one table

Will definitly go there again when I'm back 2015.",f1Sx1AzFQoZoktbt7KWS-g,0,0,4,Twjs-AAmzxfC9vubqNIveg
341185,2008-06-25,0,GU7ww3eoGTcXAze8VJtC7g,"Went to Fin before seeing LOVE. Really beautiful place, the food was delicious. We were four people and we ordered family style and shared. Everyone in the party enjoyed every last bite. We were full but still wanted to eat. We opted not to order dessert but they served us bailey's, pistachio cream shot which was soooo delicious. Also, their homemade fortune cookies were awesome. I would give this place a five star,  but most of the time none of us could understand the waiter. so that knocks off a star.

I would totally recommend it.",iIAr7PDFay4aRjt_DJnPyw,1,0,4,0TqiOaLq1uVI_0f44QEhRw
341929,2011-09-05,0,GU7ww3eoGTcXAze8VJtC7g,"We ate off the fixed price menu as part of of a ""Dinner and Show"" deal. The atmosphere and decor are nice but the food was terrible. The hot and sour soup wasn't either and tasted like dishwater. The appetizers were soggy and warmed up from days ago. And the entrees were like a bad day at Panda Express. Except at Panda Express dinner doesn't cost $50. AVOID!",SDvMzsdNKna4j96_IQd_Wg,0,0,1,1uwALF2U1jl4vUNsrn6azg
371595,2016-09-10,0,GU7ww3eoGTcXAze8VJtC7g,Tried there best but they forgot our order. Food did not come in an orderly fashion. The servers is good.,GhHunx4NE0PHTy_7JMoRew,0,0,2,9ojyvgTkVT2wkuEif8-7sQ
393263,2016-12-30,0,GU7ww3eoGTcXAze8VJtC7g,"Stunning decor, beautiful presentation, indifferent service, and mediocre-at-best food. Lemon chicken was over-cooked to point of toughness and General Tso's chicken was bland and tasteless. There are many wonderful places to eat in Vegas for the same price. Suggest going elsewhere.",519oD-IP7X622we7CBophw,0,0,2,3U-VeWF61FkUTCoqGUZs_A
513745,2016-06-11,1,GU7ww3eoGTcXAze8VJtC7g,Don't waste your time and money on this place!  Panda express was better quality then this restaurant.  Oh and if you want rice with your entree it is an additional cost.,UQ-f7Ue4qyeyrainqi4Hog,1,1,1,jKtiguMEvnkj0VcRd1HQlg
603785,2013-08-14,0,GU7ww3eoGTcXAze8VJtC7g,"Fin was great! Yes, it's expensive for Chinese food but yes we are in Vegas and yes on the strip inside a huge resort so it comes with the territory! I thought the service was impeccable; the décor was very modern and classy. The food was delicious, way better than PF Changs, and beautifully presented, total upscale tasting Chinese food. Absolutely recommend it!",Qe1KBAFr6ddntrZZMgmzkQ,0,0,5,8FqeFcTXwO8tYAwgPHI3lw
618221,2009-03-14,2,GU7ww3eoGTcXAze8VJtC7g,"I saw this place while strolling through the Mirage and the atmosphere seemed snazzy and relaxing. So I peeked at the menu and it looked pretty decent. I proceeded inside and hoped for the best. Sadly, FIN was a bust for me. 
I ordered some sort of duck dish with rice and the duck was bland and the rice seemed to have a weird taste. Also, the duck hadn't been de-boned and the amount of work it took to get any meat off these bones was just unreasonable. Now to be fair, the server did warn me the bones would still be intact, but I'm a newbie when it comes to eating duck and apparently I had no idea the effort it would take just to wrangle a morsel of meat from this creature. So not only was my meal bland but also frustrating. 
My family also seemed to echo my sentiments about the food's flavor. We all kind of agreed that it had potential but something was just a little off. And I think anyone who's been to FIN would agree, for the kind of money you're paying, you should be having a meal that will knock your socks off. 
Next time I will coast right past FIN and head to Cravings, the Mirage buffet. It's not excellent either, but it's leaps and bounds better than FIN.",aS8d5npW9hp8vy0HZUfjiA,0,0,2,aDL9elBpphcI_moR80_GoA
662279,2016-05-29,1,GU7ww3eoGTcXAze8VJtC7g,"Having Been to Many 5 Start Restaurants and this place is NOT one of them. Food was nothing more than Panda Express at $26-40 a Plate. Was not worth it. Went on 5/28/2016 and there were only two other customers inside. Asked for condiments, which was about a 10 minute wait. Food was not good. Nor was the service. Host was awesome! Will not recommend this place to anyone. Try Samba, CPK or others. FIN is a NO GO!",E1FhmGQAbp-omvpuVqTwug,0,0,1,2tB1OmAhgXIvMVk3UMjJTQ
725482,2008-06-24,0,GU7ww3eoGTcXAze8VJtC7g,"Fin was good, not the best Chinese I've had but as far as the overall dining experience it was very good.  The place looked good nice date place or a big party.  The service was excellent.  It's advertised as fine dining so yes it lives up to that in both decor and service.  As far as food it was just A-OK.  But then again it's not as expensive as other ""Fine dining "" Vegas restaurants.",2LGsEZRSOI_zEfowjbP0bw,0,0,3,KGAHVLdroZu6dCf0osGcEg
821236,2009-05-08,0,GU7ww3eoGTcXAze8VJtC7g,"Great service, nice decore. 
Weird atmosphere. 
I ordered the crispy chicken thinking it would be chopped up breaded & glazed. What I got was nearly a whole chicken (bones & organs included) that was fried and had little to no flavor. Wife had noodles with shrimp which was ok but she said it was blan tasting. 
I won't go back you shouldn't either.",zgmrJcfKgnHfyLWQh-hy8A,0,0,1,pfLevcOenmzztNIYHIwezg
843143,2009-07-21,0,GU7ww3eoGTcXAze8VJtC7g,"Ducked in here to get away from the noise of the Mirage casino, in which the restaurant is embedded.  It was quiet, the waiters were attentive, and the food was good.",0P_o3SzWwRgTf_I1l3DO6g,0,0,4,5c2zviMT96-FgB0PPQQpLw
