,date,funny,business_id,text,user_id,useful,cool,stars,review_id
986452,2017-07-03,0,GisIy4El3OAxJwnkovgv_A,They only got 3 stars because the food is good but why are you selling gift cards if they can't be used. I've called corporate nobody returns calls or anything.,JmnSxJFpvfUo3sY1Nvp3HA,0,0,3,dhHiFFzWZ_ZS63wxawiRjA
1093197,2014-08-13,1,GisIy4El3OAxJwnkovgv_A,Always a favorite when I go to the malls! It hits the spot and you can't go wrong! Best corn dog you'll have!,dS6FT5HvZmllH3YRLxGPrQ,1,1,4,QXNvHlPbF38LigAblOCz3g
1155243,2017-10-22,0,GisIy4El3OAxJwnkovgv_A,"We went this Friday and had an ok experience. We ordered cheese filled, fries and lemonade. There was no frozen available though. There were several people after us that ended up not ordering because there weren't any hot dogs.",oe1UiwEpu0gi6bxvPXpIGw,0,0,3,7CY7ZQdHMXX1SheW4CHcSw
1206935,2015-12-18,1,GisIy4El3OAxJwnkovgv_A,"I've been to this location many times, this time was the absolute worst experience ever! Last week my kids, husband and I waited in line for over 35 minutes, while two people stood in the back texting and goofing off. I was infuriated. Tonight, there were three people working, but they were so stoned and wreaked of marijuana. I wouldn't care so much, except they didn't have a manager to get me change for a $100. Ok I was like whatever, I'll walk somewhere else and get change. It took me so long because nobody wants to just give you change ya know. There were people behind me waiting and the nice man in his army uniform paid for my meal to keep the line moving. I totally appreciated that but, he should not have had to do that! I should have been able to pay for his meal instead since he is serving my country. They need to get this HDOAS back on track! My kids always ask for their lemonade and I hate having to deal with bs every time. Where are the managers, were are the owners?!",eMBRNc3DpjlgJUUcpfemlQ,2,1,1,KPo1wkA5eUttDHYDw9AJmw
1381892,2013-04-11,2,GisIy4El3OAxJwnkovgv_A,"I have been *craving* a cheese stick so one o' those... Xtra mustard!... funnel sticks for dee-sert... and cherry lemonade!! Yummy, cheap, mall food court... this is what I call ""simple pleasures"" when feeding my cravings. 

** For vegetarians- veggie dogs are available just not something I like. 
Also, as a girl who formally worked for coffee shops do ""right"" by the employees and upsell to a larger size for that extra $0.50 cents :)",B7_4IcWNdRq2VZozF34BZQ,2,4,5,N5-g133JL9kGgNIBEJX7Lg
1572392,2017-11-21,0,GisIy4El3OAxJwnkovgv_A,They were training someone who I could not hear. But my complaint is the corn dogs. They were way way way over done and did not taste good. I'll never eat there again. Frozen corn dogs taste better. 2 stars because the lemonade and fries were good.,U_v8mw7fFh3rGTT_r0NGWg,0,0,2,0-HoIFmG0p-DZnzJWozgKw
1698457,2017-01-29,0,GisIy4El3OAxJwnkovgv_A,The people are not the best here anymore. Instead of that happy smile you'll receive awkward passive aggressive comments. Just had a bad encounter with who I think was the manager. She was horrible and so rude. We get it ! You hate your job!,-SkHDEEOdiOIIzuanEiJBA,0,0,3,94Rm6lQlQlCbSBJ2szaySA
2253689,2015-04-14,0,GisIy4El3OAxJwnkovgv_A,Frozen cherry / strawberry lemonade for the win.. ALWAYS!! cheese in a stick.. Uh... Well.. No,ylCz0y57-aVG_Y9rGC6xTA,0,1,3,M7UXEGXZj_YjCouzYmufCA
2268726,2014-01-16,1,GisIy4El3OAxJwnkovgv_A,"Oh man, their lemonade is good here! Sometimes I drive to the mall just because I'm craving some of the lemonade at HDOS! They sell a souvenir cup that's slightly larger than the large cup but gets you $2 refills when you bring it back. What a deal! Sometimes I forget to bring it though :(

Love their turkey dogs and cheese on a stick. I don't know what it is, but they're just better than corn dogs elsewhere...must be the batter. The employees here are always friendly and serve your food/drinks with a smile on their face. They even warn you how hot your food is going to be because it comes fresh out of the fryer and onto a tray. 

Wish their pricing was a little lower though, but oh well they know I'll be back regardless! If you come here often be sure to ask for a stamp card so you can work your way up to a free item.",zBi_JWB5uUdVuz3JLoAxGQ,1,1,5,fbjnn0Ofcqbue0ZF81Bchg
2741625,2018-01-31,1,GisIy4El3OAxJwnkovgv_A,"Stopped by this location on my way home. After all, how could I say no to Hot Dog On A Stick?! It's a quiet Wednesday and there's no line to wait in.

I ordered off the ""Fresh Made to Order $5.55 "" menu and it hit the spot. One cheese dog and one corn dog for me pleassssee!! Staff was nice, offered me a receipt, offered to sign me up for rewards program, and said thank you. 

Food was exactly was I was expecting. 100% hit the spot!!

Tip: The now have Turkey Dogs and Veggie Dogs!",g73QLrVANuqE8bdMlnIOXQ,2,1,5,fSrbnE6F_qLIV3ODwmW2YQ
