,date,funny,business_id,text,user_id,useful,cool,stars,review_id
227243,2016-06-07,0,HKSyA7YZplj9i_vIdtwyzg,Can always count on this McDonald's for a late night bite.  Food is always hot and the staff is always friendly.,P8cpeQZI4I2HSLLr5CVH1g,0,0,5,j1g-uYdyBhc2wgT7LvPRLA
533947,2015-07-03,1,HKSyA7YZplj9i_vIdtwyzg,"I wish I could leave no stars. I waited in the drive through for 15 minutes even though there's a 60 second guarantee sign outside. Got no apology. Said to the girl 4 times what I wanted and assumed she got it right...which I should know better than to do. Got home and all of my stuff was wrong. I drove all the way back & got no apology and was told to wait in the drive through line again. Which took another 15 minutes. Never coming back. I'd rather drive to Henderson to get good service.
It isn't my fault that you have a mediocre job and hate your life.",68p_UVmCk8FkZ_QAlvvJsg,0,0,1,bRK-2IMszaqG2r52GneWGw
642039,2015-09-28,0,HKSyA7YZplj9i_vIdtwyzg,"Went there yesterday September 27 2015 and sat at 1 of the 2 drive threw menus they have for about 5 minutes and they never ask to take our order or please wait. NOTHING! As they help about 3 cars beside us the cars behind us started to back out and leave so we did the same. But not before going and telling them what happened. 

Very Poor Service. I manager didn't seem to care. I wouldn't go back there. 

Needless to say we didn't buy anything and just went to the Burger King next door.",OR3Z58oRmF24MyK0IE-bQw,0,0,2,z2QX80CZt0rZ3BKMZmzlIw
646399,2016-01-18,0,HKSyA7YZplj9i_vIdtwyzg,Talk in to McDonald's and told my family to sit down while I order.  I started to order and my family came back . Said let's go there are no open tables because their are people on computers not even ordering anything from McDonalds and sitting there occupying seats. So paying customers may not sit down to eat. We were leaving and one other my family member went back to talk to the manager. My family member ask the employee to speak with manager.  The employee when to get the manager and came back.  Employee said that the manager would be right out. My family member waited five minutes and then said I want to speak to the manager now or I'm going to call the district office.  The guy run the drive thru told the employee to go get the manager now. The manager came out and was the told the problem. He looked around and assess the situation and started talking to the people sitting down and telling them if they're not going to buy something at McDonalds they need to leave.,3rX9hODsgECtZgVkHznNdA,0,0,4,7ok8rT23Vqtjg0XnGQO2Hw
906053,2016-02-09,0,HKSyA7YZplj9i_vIdtwyzg,"Cold Big Mac and cool Fries. Why can't Mc D,s serve a hot hamburger or at least warm?",UTc3NiWB7ckMybkYXkBkfQ,0,0,1,CW5-Izyw7Zg5ceoyjA9Piw
1360392,2018-04-07,0,HKSyA7YZplj9i_vIdtwyzg,Don't eat here unless you want the Mcshits. I've never been so sick. Place was dirty and trashy in the parking lot. I should have known better.,QUQFsW1K7p3SFpI9hFb1Tw,0,0,1,EneTuxkOQdIoAtVpr--PbA
1454870,2018-06-02,0,HKSyA7YZplj9i_vIdtwyzg,Worst McDonald's I've ever been to. Scary to have people like that handle your food. That drive thru was the worst. Just careless for what they do. If I can rate 0 stars I would. Won't be eating at a McDonald's anytime soon!!!!!,coP8T_K4FXe9S9AfAo2tAA,0,0,1,pKZms3_-8Ue7GSvV2BDWnQ
1504008,2016-03-28,0,HKSyA7YZplj9i_vIdtwyzg,"The food isnt any different from any other mcdonalds and the service isnt particularily bad, but half the time when i go there i get pan handled. So if you are feeling generous go there and spread the love otherwise its a mcdonalds like any other.",dodh2M1s6cD0ar-ugdS2Kw,0,0,2,7PBFnyZ98yx8p6xUw_nKHQ
1512292,2018-04-19,0,HKSyA7YZplj9i_vIdtwyzg,"I'm writing a good review after having a bad experience. I went through the drive through and ordered my food. When I got to the last window they asked me to pull forward and they would be out with the rest of my order shortly. I sat for about 15 mins and finally decided to go inside. When I got inside I explained everything calmly. The Manager was polite and took my old food and remade my order from top to bottom. While I was standing there waiting I could see that they were very busy and understaffed. Who knows, maybe people were out sick. But they could definitely use more employees on the floor to help handle the stations properly. Thank you for remaking my food",YEBBzyaYR2Flm2pniQO_TA,0,0,5,qWOCgVGdEOzpFHzAxD9jiA
1543890,2017-10-19,0,HKSyA7YZplj9i_vIdtwyzg,"I have avoided reviewing this location but I can't do it any longer. It always has something that is screwed up in every order. Today was simply sloppily, hurried work. No excuses for it. My Big Mac was put together wrong, the bottom bun was in the middle, the middle was on the bottom.  Which meant the whole thing was a mess to eat. At first I thought the bun had been flipped over but after a few slippery bites I learned differently. It was an over sauced disaster. Maybe an afternoon of re-training is necessary for the entire store. The sweet tea was sour AGAIN and there was so little ice it barely qualified as ice tea. Someone needs to do something there.",rE4q3lTnVoyR95_Ikgs9Hg,0,0,2,PmVxip5OKPKcxGD5jbHGAw
