,date,funny,business_id,text,user_id,useful,cool,stars,review_id
2344,2017-06-21,0,HhVmDybpU7L50Kb5A0jXTg,"Come hungry! Huge portion. Outstanding service. If you want great Nachos, come here.
All we needed was two more people to eat it all.",8HMN1jABE5y7my-B8m62Cw,0,0,5,H0IjrmTpYHwfhtStQ2fZwg
4791,2014-06-29,0,HhVmDybpU7L50Kb5A0jXTg,"Service was amazing, the ambiance excellent and the food was off the charts. Best Prime rib dip I have ever had and the teams that served were tight and knowledgeable. Management was out and about ensuring everyone was happy and enjoying the menu to the max. We loved what we ordered and rubbernecked a ton of other yummy sights we saw go to other tables. Will go back and try other things! Go! You will not be disappointed!",vmFs4WWLzfWQX7f7DZZPqw,0,0,5,U8DKmermpd2miGUXP8y66A
5336,2014-06-08,0,HhVmDybpU7L50Kb5A0jXTg,"Let me start with the good. The waitstaff was awesome. Very nice. And helpful as this was my first time at the restaurant. Also were helpful when my son got sick at the table from eating the Fresno Chile that came with his bbq wings. Also they removed the pepperoni breadsticks from my bill when it was obvious they were not a hit with the table. 

Here is the bad: my son said the Wings tasted funny. So I made the mistake of eating them. I didn't pay attention to whether the meat was fully cooked. But the meat must not have been, because within one hour of leaving I became violently ill. I am on my third day of suffering the effects of the food poisoning. Ruined the last 2 days of my trip to Vegas. My friend's son got the runs from eating the hamburger. And my friend is still sick as well from the grease. We are pretty sure the issue was  uncooked chicken and old grease. We will not return to the restaurant. Which is sad because we only went to the restaurant because my son loves Guy Fieri.",SXqQpHrbZ-NYQaZnUfMmoA,0,0,1,qT9FqVP1B_mxdcZdYLmrUQ
5517,2014-09-02,0,HhVmDybpU7L50Kb5A0jXTg,"Love Guy Fieri's show on the Food Network channel.  We had high expectations, but was sadly disappointed. The atmosphere was cool; we sat outside on the patio to listen to the music in the surrounding area/casino. Our server looked like he did not want to be there and was not pleasant. The Mac + Cheese Bacon burger was huge and pretty good. My husband's Triple B Burger was over seasoned, leaving a bad taste. All our fries with our meals were all too salty - over seasoned!  Even both our kids, who love fries, didn't like it or want any. The  Double Barrel BBQ wings were ok, nothing to brag about. Our server never checked on us during the meal, then all of a sudden, another server was asking if we wanted dessert. We kindly declined and asked for the bill. When we got it, some of the billing/charges were incorrect. If you have a ""Total Rewards"" players card, each of the meal prices should be discounted. This had not been the case,  only two items were discounted; the new server blamed our first server since he entered our order on the system/computer. Please review your itemize receipt before paying. They fixed the bill after we addressed it to the server, but if we didn't review it, then we would have paid more.",zlbnyl1AKpRKpOjiedsraw,1,0,2,0Mi9tCX5aozSZiAvJyCcuA
7645,2017-08-29,0,HhVmDybpU7L50Kb5A0jXTg,First trip to Vegas and we had to stop for a bite here. Food was awesome! Very tasty! The Bloody Mary looked and tasted fabulous! Portions were WAY too large to finish but overall we LOVED it! I didn't think the prices were any higher than some of the other places around here. Would definitely recommend! Especially the Motley Que sandwich! Yum!,DudP84k0N545LD0YPjPtKA,0,0,5,ilRQ8rGXnF2pCIEzQOokJA
9347,2017-06-15,0,HhVmDybpU7L50Kb5A0jXTg,"I am a big Triple D fan and was excited to try Guy's restaurant while visiting in Las Vegas.  My wife ordered the brisket nachos and I ordered the French Dip.  
The nachos were made with processed cheese out of a can, not even fresh shredded cheddar.  They were heated just warm canned cheese which made the nachos soggy.  I could get better at 7-11.  Such a disappointment.
My french dip was very large and looked good but the cut of meat was very poor and chewy.  Not like a prime rib dip.  Another disappointment.
I had such high expectations but now I realize he has never visited his restaurant but always somebody other than his.  I was so disappointed and would say maybe the burgers were the bomb but not what we ordered.  
We won't be going back.",6qquS9PvBHYkpLlfK4RUCA,0,0,1,FQMGZUzx_3Z_GeYEpowgxQ
10151,2014-09-13,0,HhVmDybpU7L50Kb5A0jXTg,"Last time a visit here. Way too much food, very slow. Staff seemed confused, lost. What a let down.",OZ7EkPvpsaXr-BRlebQ7oA,0,0,1,cwlHpaH2JcAyJU5yx2MRuA
11280,2015-09-26,0,HhVmDybpU7L50Kb5A0jXTg,Lots of open tables yet long delay to be seated. Service was very slow. Food average.,eG3uX5GNdapW-muH6vd5jA,0,0,2,6J7NKhJgL27XsVfVRgad2A
15303,2014-04-22,0,HhVmDybpU7L50Kb5A0jXTg,I just had the pleasure of eating at Guy's Vegas Kitchen & Bar.  The food was amazing.  I highly recommend the Triple T fries.  The white truffle cream dip is to die for.  I am so glad I do not live in Vegas.  I would be dining at Guy's every night.,mOyd2nDzHAa8mLFp5Bbqbg,0,0,5,q2WiYN06NVBjH9W5hE37Kw
16408,2016-03-30,0,HhVmDybpU7L50Kb5A0jXTg,"I was a little hesitant to eat dinner at Guys for dinner. I thought it was going to be an over hyped over priced greasy burger and fries place. My boyfriend wanted to go and it was in our hotel so we decided to give it a try. The wait was said to be 30 min but called us in 10 always love that. I ordered a pulled pork sandy and my bf got the Mac n cheese burger. OMG everything about it was AMAZING how is that even possible it's just a sandwich? My sandy was served on a pretzel garlic bread bun and the fries were ridiculous. I would absolutely rate this place 5 stars if it wasn't for the service! The reviews we read prior could not have been more accurate! Amazing food WORST service. It's awful because I am aware of what it's like in the food industry and I try and give the benefit of the doubt always, but our waitress was extremely rude to the point of making us both uncomfortable. It was apparent she hated her job or maybe us? Who knows. Perhaps they should hire more on demeanor and experience rather than what you look like in their jean skirts.",f7QpB6eLPo49a6zSFdmQGQ,0,0,4,_Nq0haBkGPBvVra4lyOAGA
