,date,funny,business_id,text,user_id,useful,cool,stars,review_id
12374,2014-05-28,1,HnQVDNGFWOS5zle0dhpOkw,Just lost a regular customer raising the footling burrito to almost 8 bucks... Bummer,xz8nT6_s7mzjn19YAyI1YQ,5,1,2,Cq4cyuQBnL_hBqvy0NN1lw
94407,2013-01-23,1,HnQVDNGFWOS5zle0dhpOkw,"I had a foot long burrito that starts at $4.99, I opted for carne asada which adds $2 and cheese which added $1. I'm a very athletic 6'1 215lb guy with a voracious appetite. For $8 I got two meals out of that burrito. Great value and flavor was good enough to order again. 

My lady friend had the 2 taco chicken platter which she enjoyed very much. I tasted the chicken and it was tasty.

I'll definately be going back to Baja Taco and I too hope to see them around and wish them good luck with their endeavor.

I must add that I almost walked straight out the door when I walked in because they didn't have the tray of jalapeno's and carrot's like Roberto's and most other taco shops have. I love that stuff so much in fact that the majority of the time the actual reason I go to Roberto's or similar places is because I'm craving the peppers and carrots and just using the food as something to go with them.",Mf4RAiWyGAs7LoMOaVksEw,0,0,4,fMmq3AYwXLCXK03nRNkDtA
95155,2013-07-21,1,HnQVDNGFWOS5zle0dhpOkw,"Inexpensive mexican food, this place is pretty solid! Tried the Carne Asada fries and the chicken and carne asada tacos all were really good, this place  is better than robertos!",xaBLkvnxhRJl39ykKw8vfw,2,1,4,VeesbwlmOolsQCxRskU3Qg
255179,2013-02-12,0,HnQVDNGFWOS5zle0dhpOkw,"We decided to try this place being that it is so close to my families house and I was craving tacos. My husband and brother got the footlong burritos which they both said they were bland. My brother also got the ranchero sauce to put on top and he was so glad he tasted it before he put it on his burrito because it was awful. It had a really weird taste like tomato sauce and slight enchilada sauce taste but no seasoning whatsoever. My sister and I ordered the carne asada soft tacos and the meat really wasn't that great. It had like a grilled weird flavor to it, my sister said the same thing. We got our son a soft chicken taco and he ate half and said he didn't like it. Overall the staff was nice that's why I gave it 2 stars but unfortunately my family and I agreed we'd never go back.",OK_vkRR2nO1cNWV5NGtoEA,1,0,2,3Qrt8qUG85bgpdCwoIEY5g
327893,2013-10-07,0,HnQVDNGFWOS5zle0dhpOkw,"Back again. Really great food at ridiculously low prices. Today when our food was ready they forgot one of our taco plates. A few minutes when it was ready they also included another at no charge for their oversight.  I mean who does anything like that? It was just a few minutes extra I had to wait for my food which was no big deal. And then another plate at no charge. This is a great place.  Food is delicious. The salsas are excellent. Everything has that homemade taste. It's food served fast but not in anyway you would classify it as fast food, like the mainstream fast food Mexican places.  Delicious rice and beans. Excellent tacos and burritos. 5 stars for sure.",zUftxbDN37tL_ghulwdwFA,0,0,5,goDjQOkEUMzRoccPZMVWwA
330460,2014-12-04,0,HnQVDNGFWOS5zle0dhpOkw,"While this used to be one of my favorite mexican style eatery...fine dining taste @ fast food prices, it no longer well get my five star rating from me. Yes the food is fresh & delicious but it in no way justifies a 50% increase in price on nearly every item on the menu over night!!! WTF for these same prices I might as well go to a regular mexican restaurant & not a fast food joint & get charged the same!
I would only recommend eating here if you want to pay fine dining prices from a fast food joint!",AxHB7ROxGBFYtSjKkrmchA,2,0,2,3iMSO-HHZ8F4pPHWROHMRA
393519,2013-08-13,0,HnQVDNGFWOS5zle0dhpOkw,"Luv,luv,luv this place!!!! Food like this at a fast food place, ARE YOU KIDDING ME?!!!!!!! I'd rather eat here then any other Mexican place in Vegas, period. Great food, cheap, big portions, great service. Did I say DELISH? Yep!!!
We live way up by Centennial, takes 15 to 20 minutes to get there. So worth the drive.
Come to think of it, I think I'll head there right now.
Try it!",XifTHaTNMK-SoSEJfCRSPA,2,2,5,Si7CrPs2yJSAZuuzu99H9A
400657,2014-03-02,0,HnQVDNGFWOS5zle0dhpOkw,"WOW! Great food the taste is incredible. The prices are very reasonable. the only downside is that it's probably not good for you, but then again nothing that tastes this good is. : )",S4aa5O_81wE4sM0LrBZ4kQ,0,0,5,5_ucK6A5Bb-vgt-V63hJLw
411290,2013-04-06,0,HnQVDNGFWOS5zle0dhpOkw,"This place is great, We have been there 3 times and it has been consistently good. Had a taco salad today with ground beef. The price was less than $5 and it was as good if not better than taco salads Ive had in sit down restaurants for less than half the price. I love salsa ND they have a great salsa bar. For the price this place cannot be beat.",gn1-24LgFMefUxOofoVwNA,0,0,5,xRzDv2MDQY9mhZcGsXnvsw
436402,2013-02-03,0,HnQVDNGFWOS5zle0dhpOkw,"Just ate there yesterday after a night of partying (was a bit hungover). I've tried La Tacos la Mexicana on Durango, Robertos, and Don Tortaco in this area. Baja Taco hands down beats them all. 

The price is so cheap. 4.99 for a 2 enchilada plate with beans/rice. The servings are great portions. Food tastes great and well cooked. Staff is nice and friendly and they also have drive-thru. 

They also have a foot long burrito which is very modestly priced. Highly recommend. Definitely my new favorite Mexican food on the go.",FOR6SSRRB93xhDLok_ToBQ,2,0,5,lMzCHlaKs_5Ie7Vd5p2RIQ
