,date,funny,business_id,text,user_id,useful,cool,stars,review_id
46317,2015-11-07,0,HojKatUfX4UHWaPqtl63NQ,"I had high hopes for this restaurant but left extremely disappointed.  Rivea sits in the Delano Hotel on the top floor where Mix used to be.  The restaurant claims they have spent multi-millions of dollars to update the place but it is hard to tell.  There were many specific mishaps throughout the night but the bottom line is - the food just isn't that good.  They recommend sharing small plates which we did.  Each small plate costs between $8 - $20 and are SMALL.  We ordered the striped bass carpaccio and laughed when it came out because it was served on what looked like a tea cup saucer.  Unfortunately, the entrees and dessert were not much better.  Really, this place is a dud.  The service was disjointed, the Skyfall lounge looked tired, the bar was sticky when I sat down and the bartenders were non responsive.  It's a shame because the location of Rivea is unbelievable and the chef has such a good name.  With Vegas having an abundance of great chefs and high prices dining options Rivea stands no chance of competing based on my experience last night.  Too bad.",lJFMzizKJLuADH7JYKSfaQ,1,0,2,uoh16XkKUmeJtr08OAzQKw
62387,2016-04-29,0,HojKatUfX4UHWaPqtl63NQ,8th anniversary dinner to kick off the weekend. Upscale but not ostentatious. 8:30 pm reservation obviously. Request north east sides seating. Lobster risotto was creamy and fresh. Rivea salad is a spin of a fresh take on Cesar salad meets sushi hand roll. Octopus salad with coco beans and confit sweet bell peppers. Sea Bass and minestrone reduction. Medium Ny steak with Béarnaise. Pictures wouldn't do the flavors justice.,QmGuDVTT3GzKC7iGisLk1g,0,0,5,Wehd21T1-oPVhUCtpkRFJA
86097,2017-01-11,0,HojKatUfX4UHWaPqtl63NQ,"What can I say? Just perfect in every way! We had halibut and bison, yummy! Service is awesome. Going there every Vegas trip.",WguT7jqHJh9cGmB9NRur8w,0,1,5,j5_answQlEu0M8nmo1oJ0A
207842,2017-01-11,0,HojKatUfX4UHWaPqtl63NQ,"Great meal I had at Rivea, bravo to chef Bruno and his team ,our server Bianca recommended the duck and the lobster they were on point! Oh! Save room for the ZUCCOTTO is enough to share between 2-3 people! After the meal then you should head to sky fall lounge next door for a nightcap.",-zTajjyPl_JBXO1lNH8bSQ,0,0,5,iPPK-GOkM0-WDslLUGQaLA
217027,2016-06-13,0,HojKatUfX4UHWaPqtl63NQ,Absolute delight. We dined with a family of 5 and the waiters were super friendly. Drinks and food were very well presented me tasted exceptional. Would come back but it was a bit pricy. Oh and the views from terrace are unbeatable.,zWzbjmP2om3F8cof-HZbIw,0,0,5,Eol-YzdA2QXzDoVOcbD48g
252697,2017-05-21,0,HojKatUfX4UHWaPqtl63NQ,"This was our second time at Rivea, chosen because it has an outstanding view -- the best outdoor restaurant view of the strip in Vegas -- and we were seeing Criss Angel at 9:30.  We are from Northern California and like to bring our own wine.  Right off the bat, we were told that we had been misinformed about the corkage fee -- we were originally told $35 but it was really $50. They honored the $35 which was decent of them.  As for the food, my girlfriend was pleased but I was not.  I ordered the filet medium rare, but it arrived well done and very dry.  They took it back and brought me another one that was marginally better.  But not as good as a filet from Albertson's that I grill in the backyard. I also got the ""grilled"" asparagus that were big fat stalks that looked like they were boiled instead of grilled. Not as good as the baby asparagus that I grill myself or what I recently had at Red Lobster. The cappuccino was a good Olive Garden quality brew. Then came the bill -- I guess you pay a lot for the view!",sTc2otVI8dpAZCpI3zexYg,0,0,3,fDb52oKdC_AqjZgC3mn05w
310584,2017-01-12,0,HojKatUfX4UHWaPqtl63NQ,Rivea is divine. My boyfriend and I dined here while attending the CES. The cuisine is outstanding and Chef Bruno's attention to detail and taste is impeccable. We love the interior and our sweet waitress was a delight. We will definitely visit Rivea again. Thanks for an amazing meal and the fabulous view.,Qzgc-HdfC-EiiQckKegIwg,1,1,5,BDMj16D0Kx2JMiP-rYMMnA
357602,2017-04-24,0,HojKatUfX4UHWaPqtl63NQ,"My wife had a great meal at one of Alain Ducasses's restaurants in Paris, so when we saw Rivea at Mandalay Bay, we had to give it a try.  It is on the top floor of the Delano Hotel, a chic, non-smoking alternative to the Mandalay Bay with a fantastic view of the strip facing North.  We spent an hour in the adjacent bar, and then headed in for a dinner that didn't miss a beat from beginning to end.  The octopus appetizer was simply the most tender and flavorful I have ever tasted, large pieces that were perfect.  The Burrrata was tasty and the assorted breads were an interesting selection.  For mains, my wife had the Maine Lobster with Lobster emulsion that was divine, and I had the Pepper Crusted Bison tenderloin.  It was cooked medium rare to perfection.  Others have remarked that theirs was dry.  Bison is a very lean meat, so anything cooked past medium rare will not be tender, so be warned.  We finished the dinner off with the Chocolate Souffle.  A perfectly prepared meal in every way.  Our waiter was very experienced (Lawrence) and guided us through the menu with just the right amount of direction and a whole lot of enthusiasm.  All the wait staff was very attentive, but never hovering.  I am not sure why some people have had less than perfect experiences.  Perhaps they have difficulty managing large crowds (the place was pretty empty the night we were there).  Any way, we loved it.  The prices came to $100/pp, so you do have to pay for the experience, haha!",TzboFATwIwl9QYWviv0aog,1,0,5,QbZoTd6MaqBwLlJrTmuSkA
360137,2016-07-08,0,HojKatUfX4UHWaPqtl63NQ,"Service was impeccable. Absolutely great. The food... atrocious. I mean seriously, it should come with a barf bag. Beyond awful. Airplane food is better. It's possible it was just the meal we had, but a $95 meal that consists of 5 or 7 plates of food should be exquisite. We pushed at least 3 plates away tasted but uneaten. I'm going to give this 2 stars because the service and view was great. The waiter did comp us a free round of drinks because he knew we were unhappy.  But we were unhappy with the food we had.",uFsRzkLLHhrUwScgbR6NEQ,0,0,2,aBck926dBqsjL0VTCN7iTA
369309,2017-03-23,0,HojKatUfX4UHWaPqtl63NQ,Great views! Excellent staff. The food was great. We ordered a bunch of small plates and they were devin. Chef is amazing.,RbRH-kERTdznCJ1Jnw7knw,0,0,5,Rwv1-8pPbWFftNEnvUqn1A
381226,2016-04-11,0,HojKatUfX4UHWaPqtl63NQ,"Honestly every person will have their own opinion, but let me tell you mine. The staff was just perfect from the moment you walk in to the second you leave you are treated with respect and taken care of like you are the only person in the room. The view was perfect saying it was beautiful does not do it justice. If you want to impress anyone from family to business meeting this place is the spot. The food though was good but could have been better extremely small portions even for entrees. Overall a place that's worth experiencing.",Di59sJ2r5nXog7waGBiqOA,1,1,4,_aCvgkgUyiSun7drQ7Gd0g
433837,2017-03-28,0,HojKatUfX4UHWaPqtl63NQ,"It was our first time there, anniversary celebration. We chose to seat outside. Great view! Our server Christopher brought us complementary champagne which was very nice. Appetizers octopus salad and burrata (my favorite) were excellent. Bison steak and duck breast were cooked just as ordered and delish. Tiramisu was outstanding, very light and tasty. Servers were very attentive. Portion sizes are on a smaller side but very expected for this type of restaurants.  We left very satisfied with food and service. Highly recommended and we will be back for sure!",vBnoMexYrywnY-DHPulxyA,0,0,4,hqk7ynLdvGhM8zriTIHGYg
497443,2017-01-22,0,HojKatUfX4UHWaPqtl63NQ,"As a nearly 10 year Las Vegas local I have been a huge fan of Mix restaurant and lounge because it truly had the best view in town, but the newly remodeled Rivea and Skyfall are such welcomed upgrades and are perfect compliments to that view! 
We started the evening at Skyfall lounge for some Absolut Elyx cocktails and Mumm Napa Rosé! 

Dinner was delicious! Our steak was cooked perfectly, the side of sweet corn was amazing and the Farmers Vegetable Cookpot (a suggestion from our server, which I typically wouldn't have ordered) was my favorite! 

Scott and Sebastien were such amazing hosts and truly made the experience unforgettable!
Rivea is a true Las Vegas gem!",E-vlPDIud25sSsQ88FF1AQ,0,0,5,g23fgMk4eOXbxWMMlnhqyQ
580438,2017-01-13,0,HojKatUfX4UHWaPqtl63NQ,"We went to this amazing restaurant just before New Year's Eve to celebrate my brother's birthday. It was Amazing, the view is breathtaking, the food is excellent and delicious, with the fine and elegant French touch. A big High Five also to the ""crew"". These guys rock! We'll come back for sure.",0OsR4iU-urTSMgsZps7LbQ,0,0,5,XSEvu425BhPNF5zP28mE-w
600375,2017-02-07,0,HojKatUfX4UHWaPqtl63NQ,Wonderful dining experience. Cannot go wrong making this your evening out. Mouth watering dishes with the best dining view in Las Vegas. Great service EVERY time. From the minute you walk-in you are greeted with smiles to everyone you will encounter. Love the lounge as well. Can't say enough great things about Rivea! We will be back soon!!!,qRqbmGFwyRO962ZsZAnPug,0,0,5,5OlPpnOtZmW_vkjlOCrUcA
