,date,funny,business_id,text,user_id,useful,cool,stars,review_id
32264,2012-04-28,1,HpKcIWjcq3osQ13pBF0RXw,"Completely and utterly awful.  The service sucked, the food choice completely lame, and the shot glasses were a 1/2 shot.  The seating is cramped. Don't bother with this hole in the wall.",tCnl6AS6HaNtYHeEB08eKg,0,0,1,OTgu6BnMhk8kDbiJdOI9gQ
76134,2014-12-19,1,HpKcIWjcq3osQ13pBF0RXw,"I ordered a $9 pre made sandwich and got a loaf of bread and two pieces of diced chicken.  If you're going to rip someone off, a least make a somewhat passable sandwich.",XG1tZ9csSuDdgFxqbKqcgQ,1,1,1,jYfKw5lbGHVzEO1TI0bHVA
320440,2011-01-31,0,HpKcIWjcq3osQ13pBF0RXw,"My wife and I had time to kill before boarding our flight.  We wanted to get a drink and watch a particular basketball game.  Neither the bartender on duty, nor the 2 servers ""could"" (or would) change the channel for us.  They were completely indifferent to our request.  Their claim that they needed ""another bartender"" to find the game/change the channel is mind-boggling, given the fact that they're all working in a sports bar!  We simply left.",CKRXDj38c09Vsr1PxlKWnA,1,0,1,deXdma18_n_wbNRp28GLYA
391815,2011-08-15,0,HpKcIWjcq3osQ13pBF0RXw,"The bartender was rude and acted like a zombie behind the bar. I am a bar owner so I watched with interest as the server and the bartender managed to look busy but accomplish nothing. We waited 45 minutes with no menu, no server, no food order-- no one came to the table. My husband tried to order at the bar- but was told he could order one drink only per customer.  The prices were higher than even the expected high prices of an airport so when our party of five ( all in thr bar industry ourselves) had been ignored long enough we walked to he sub shop brought our drinks and sandwiches back to the bar and sat down and ate them. No one even noticed or cared -they were not even half full and certainly not in the weeds so we should not have gone unnoticed. Bottom line. Can't comment on the food cause we couldn't even order. Drinks are over priced and one of our party ordered a double and it was about 2 thirds of an industry standard shot. SKIP THIS PLACE!!",b8tSPUiXvHt9dlKkiJPzrw,1,0,1,98tFnpqNnJWo8Vee-7qMLQ
543070,2012-11-03,0,HpKcIWjcq3osQ13pBF0RXw,Great to grab a drink before your flight and watch sports on the many tv's. Don't order food or you will be sorely disappointed,ny4SWeT37Un6PHJRNp3ZXA,0,0,3,A4tNATGvOtmVhia0OYoPeA
611807,2012-02-27,0,HpKcIWjcq3osQ13pBF0RXw,"Terrible.  I stop by here expecting at a minimum some standard sports bar fare like burgers and fries.  I was disappointed to find that everything is pre made, wrapped in plastic and very cold.  You're better off going to the food cart in the terminal.",SN0vTo8noobsRy_twYMZlA,0,0,1,yG9to3F7RdCKkCTJc_538w
791497,2011-09-17,0,HpKcIWjcq3osQ13pBF0RXw,"Skip this place if you're more interested in food than alcohol. Turns out their food is all pre-prepared cold (and by that I mean almost frozen), cello-wrapped sandwiches and packaged salads. You can do better for less elsewhere in the terminal. Beer was fine, if a rather limited selection. They do have a full bar.",XlpULpM8Zd5RpMx6SD661A,1,0,3,8TcTEo9qkV0RxIYx0eowqQ
888122,2012-03-12,2,HpKcIWjcq3osQ13pBF0RXw,"If you need a drink so bad that you will stop here, then you are an alcoholic. The bartender was a beat up, washed out, utterly obese Elvis impersonator. He was the perfect metaphor for vegas or Fox. Your choice.

Skip this place and wait for your plane.",cjRvf7kf7HLk9MRD1k0yEw,0,0,1,NS26_65f9M668cPXKoj7jQ
1174007,2015-03-02,0,HpKcIWjcq3osQ13pBF0RXw,"Conveniently located at the airport, this place has a decent selection of drinks and food.
However the service is horrible. They only have one waitress.
Don't come here if you are hungry, you will not be fed",9PtnUIQoi7Eg-f6ifs4kFg,0,0,1,AbbzqQevB6uen-ggr0lkVA
1374078,2013-04-29,0,HpKcIWjcq3osQ13pBF0RXw,"We walked out of our B gate, searching for a beer. We took a right and it wasn't long before we ran straight into FOX sports SKY ""lounge"". We were so excited. We approached the bar and we were greeted with a frown from the male bartender. He stood and tapped his fingers impatiently as we set down our bags. My mother asked, ""are you waiting on us?"" He threw some napkins at us and said, ""yeah just tell me when you're ready"". Ugh. I didn't want to be here any longer but figured that we could ""turn his frown upside-down"" somehow. Nope, wrong! We ordered out beers, they only had 4 to choose from. Ugh. We decided to close out even though we had an hour to kill. But we no longer wanted to be in his presence. He continued to saunter around in his Depressing mood. For my Shocktop Belgian Wheat, guess what the price was? $10.17. Lol. A few chairs down from me, a man received his bill. To his dismay it came to $125.23. He got out of his chair and calmly questioned the bartender about the amount. The bartender barked, ""we'll come look at the screen yourself!"" The poor guy didnt realize that it was $10 a beer and on top of that he had ordered a sandwich, chips, and some bottled drinks for his trip. The bartender was indifferent and insensitive. So the man said, ""wow! I didn't realize it was this price! I mean, I have the money but this is highway robbery."" The bartender just scoffed. Ugh. My mother and I each left $1 and even THAT was too much!",tEFq2z_M4r0l4MjcM9X7Fg,0,0,1,H83FL5M4jd0rsM9h-PrAMQ
1473118,2014-12-08,0,HpKcIWjcq3osQ13pBF0RXw,"This is the former Fox Sports Sky Box bar at McCarran International Airport near the B gates. Same management, still in need of a remodel, different name. It's non-smoking and has no wait staff. There is a slot room nearby that allows smoking.",Fs86jVUsCc1JHIlHs1mUmA,1,1,2,p0iDEIGf3hWVB_0xEdF1aw
1563094,2012-10-27,1,HpKcIWjcq3osQ13pBF0RXw,This ended up being a GREAT place only because I was able to watch the GIANTS win the 2012 championship game before I had to catch my flight!!!  They did have a limited menu of food.  Another downer was that when we arrived around 7:30pm a waitress told us she was off and if we wanted anything we had to go to the bar.  Needless to say I kept seeing her pass our table for the next 45 min.  Her loss of a tip.  Oh well...  Funny how the signs say tables are for patrons only and it was so hard to get food or drinks.  I really can't complain too much though cuz they didn't kick us out and some of us had food from other places since we couldn't get them to take our order.  I was just glad to be able to watch the game.  Other than that I wouldn't recommend this place for drinks and food!,-Qvcv-wzYsWrgYyNkwC3yA,1,0,3,Fx5v7roVZqYhY8EmBuVOsA
1568369,2012-07-31,0,HpKcIWjcq3osQ13pBF0RXw,"Growing up, many people wish for a job where they can travel. Many of us who have those jobs wish for simpler things. While in the airport, I wish not to be delayed through security, I wish for a quiet companion next to me on the flight, and sometimes I wish for a decent fast bar to have a beer while waiting.

The Fox Sports Sky Box Lounge fails on almost all counts. The bar is a fishbowl of smokers with little ventilation and poor housekeeping. The servers are less friendly than airport security on a bad day. The beer selection is domestic and boring.

For a city which prides itself on great service, unique experiences, drinking and gambling, this place is an obscene gesture towards all that is fun and entertaining.",GTcKUjRulTRN_XxehMgSZQ,0,0,1,51zK2wWHl7xk3P1m66M0fQ
1737437,2012-05-29,0,HpKcIWjcq3osQ13pBF0RXw,skip unless you like pre-packaged food and rude bartenders,KCR6R09YuGp8H4WR-JZY3g,1,0,1,MylZiZ-W36HNstfdtvPVNg
2155068,2015-07-06,0,HpKcIWjcq3osQ13pBF0RXw,"You would think with the World Cup game on they would have the sound up and on TV.  The game is on 4 TV's and baseball games on the other.  People asked to change the channels so they could see and they were rude.  The heavyset male bartender was RUDE!  he yelled at a number of customers, was eating behind the bar.  The menu is all prepackaged food.  Not a place to eat or drink sorry!  The waitress is alone and was running crazy.  Corona was $9!  Terrible place.",mBKmqQd0GfD1r-nDKpaLbQ,0,0,1,aemKbNV4EijFfm3K7M-0hA
