,date,funny,business_id,text,user_id,useful,cool,stars,review_id
2347,2017-02-17,0,I5TnTKHzJuLA0YLZPGCNwQ,"the best healthy chicken and rice combo I've experienced. Its the perfect combo, workout and then after get your grub on. No need to cook.",Q86IijZ5DDGrZlhMzPBe5A,0,0,5,UxRVUpdOhwmoQrlVyB3Mfw
34577,2015-07-15,1,I5TnTKHzJuLA0YLZPGCNwQ,"Came here at dinner time .I ordered steak , they don't have it . I ordered noodles , they don't have it . I ordered taro boba , they also don't have it . I ordered shrimp , they don't have it . Soooo what do you guys have ? Theres a whole menu with nothing. . Please re up your inventory . Bad 1st impression .",MkTo0vfnLa0Xp4XH3JAmxg,0,0,1,6a2WeQY5tzLT3Fq0fSS3xg
113590,2014-11-19,0,I5TnTKHzJuLA0YLZPGCNwQ,Great atmosphere with a sense of proud ownership had the pleasure of meeting the owner the service provide was excellent.  The food is great I come here after every work for a good health meal. I truly recommend trying this teriyaki boy.,_CcKmZ6VzW2SKlLb3CZteg,0,0,5,eM_zRBF_dEN9uTunAvzgqA
251165,2016-09-10,0,I5TnTKHzJuLA0YLZPGCNwQ,The best chicken bowls! Karen was so awesome and kind! Try their boba and protein shakes!,YpFeaS8fbmF52_8h2-ESWQ,0,0,5,ms8jDD_2htw9l-3CJpYrqQ
265242,2012-11-22,0,I5TnTKHzJuLA0YLZPGCNwQ,"The location is great. Right next to LVAC and the tanning salon. I am a fan of Jay Cutler so when he recommended this place I decided to go check it out right away. The food is good; not exceptional but good.
 I was disappointed by the customer service. I will pay extra if the customer service is good. The men at the location were courteous and polite, the woman however, was rude and seemed to be very unhappy working there. 'While looking for a table, the tables were dirty and  I had to clean a table to sit there.
It was a disappointing experience. I guess I expected so much more since Jay Cutler was the one to recommend this spot.",tzx0sXXZzn9q3qoq7b4Ujw,4,0,2,zXMdR7UmTtOooVXceudycA
297555,2012-09-28,0,I5TnTKHzJuLA0YLZPGCNwQ,Good food and service is friendly. The location is very convenient to stop in after visitng LVAC.,aKHRHlG-MQVImPAEak8qiQ,0,0,4,_bL-ITXCDswjgv8hc60eqQ
298900,2017-01-02,0,I5TnTKHzJuLA0YLZPGCNwQ,"This place is perfect for a meal after a workout! Quick. Clean. And most importantly,  delicious!",UB2TiwfmRYMYt4NK9CAetQ,0,0,5,PhEoIs-SrT95giFhr62Bcg
430104,2017-02-11,0,I5TnTKHzJuLA0YLZPGCNwQ,This place has the best beef ever! Very good and lean. Excellent customer service and clean environment. Highly recommend this place.,TIew0hBrA_oFTDuoMSa7Ew,0,0,5,BtHL4tsF4yfhdVyBpSEw3w
635739,2014-05-13,0,I5TnTKHzJuLA0YLZPGCNwQ,The food is great but I have problems every time I go to this location.  Service is very poor. I will not be going to this location any longer I leave upset every time. . .,iIoBp9BSoBsLvNztvBvAcA,2,0,1,-_QNCDzJ8We2Z-jmFUeU1g
684567,2016-08-19,0,I5TnTKHzJuLA0YLZPGCNwQ,Delishhhh ! Chicken & Steak Bowl - super healthy and it's delicious ! So much better than madness !,jbWH42jQBNTOKKGBndrOeA,0,0,5,b9JGKUQLz4pfkQydKn9X9w
690091,2016-02-11,0,I5TnTKHzJuLA0YLZPGCNwQ,"So I've gave this place three tries, 3 strikes and youre out. This one is not even close to fresh and hot as the Eastern and 215 one. I like the food, I really really do. This location gave me cold food, again. If I didnt get a great experience time and time again at the other location, then one star. I just don't understand how this one is so much worse.",hcew27vWHQJMqvACAg-xxg,0,0,2,JaLKwDJePIWRvYcfIrAmOw
822002,2016-03-20,0,I5TnTKHzJuLA0YLZPGCNwQ,If you are going to this place for the vegetarian food then just note that they use the same grill that they use for meat to cook your food. Also I think they should get better employees (no care at all for customers).,1lJlWFBLFRp3MElD3kHSnw,1,0,1,bQtWw1_y6696IotCHlbNbw
911115,2017-05-05,0,I5TnTKHzJuLA0YLZPGCNwQ,"They made me wait nearly 30 minutes, messed up my order, didn't fix the problem, and simply gave me a refund. Maybe I shouldn't have pointed out to the cashier that she sneezed in her hands and then handled (other people's) food without gloves. Nasty",uFf5wG7-qSyoKEeqq1_59g,0,0,1,_jSi77J7sGWbxtPKlsBLHw
1020887,2014-10-26,3,I5TnTKHzJuLA0YLZPGCNwQ,"Not very good at all. Went there with a friend, waited about 15 minutes for our food. It was cooked in front of us, but when we picked it up it was cold! Not to mention some tables are directly across from the rest room. A little off putting. My friend got a chicken egg roll that had a weird smell to it. She didn't risk it and threw it away. It was soggy too.

I would rather go to teriyaki madness.",dzu58-1_m1g91ZXYOhmVXA,3,4,1,5RvemcwHERORhmPoeR9j5Q
1137033,2016-10-20,0,I5TnTKHzJuLA0YLZPGCNwQ,great healthy food spot! great variety of asian food! I always get the salmon yaki soba bowl! best spot to eat after the gym!,6NVFKBGESN2bxh0-4jZ5BQ,0,0,5,OFg2pziAlRkoKKykRR-v4g
1174559,2018-03-08,0,I5TnTKHzJuLA0YLZPGCNwQ,"This place is going down hill!! Who is the owner? What kind of people are you hiring? I came inside and no one was at the counter.. after 4 minutes some young kid comes out, looks super high! I even told him that his chicken that was on the grill was burning and he just stared at me!! Like bro are you not understanding what I'm saying? Then he proceeded to take my order and I asked his if he was high as fuck! He giggled and said yea, Smh this is why businesses go under. I sure hope the owner is reading this.",2d3SRtSU1EurPem9wG_mvA,0,0,1,EWUdb4unLCx5dL6jXHRdcw
1175544,2017-05-22,0,I5TnTKHzJuLA0YLZPGCNwQ,This location doesn't even deserve a star. They are supposed to be opened at 11am and it is now 11:15an and they won't open the doors. Talk about horrible service. I went to open the door and was told by the lady inside that they weren't opened yet. She was rude and unprofessional. Never coming back to this location.,o2oykxWiZrRr0QcqDfXkVA,1,0,1,g5vIlJAvOLGaS7GQHCR4CQ
1246648,2018-01-03,0,I5TnTKHzJuLA0YLZPGCNwQ,My kids love coming here after i go workout and now they even  assume that every time that we come to the gym we should stop and get a salmon teriyaki bowl.,mxMotxIVUtkuAALvmmaReA,0,0,5,lc9CA4J9bTrAsKkBrwABnQ
1355189,2017-10-24,0,I5TnTKHzJuLA0YLZPGCNwQ,"I've given this place three visits now before writing a review. The food is alright, the chicken is a little on the dry side but the other items seem to be just fine. The only issue I have is with the portions. I ordered the low carb chicken bowl and it only had a small amount of chicken for the $8.65 I paid. It was good, but for that price I'd rather go to teriyaki brother down the road, they have much better portions for your dollar.",a55Y1SFCnQncDOnG880Z6g,0,0,3,VMfwOC5Xa_qMW-iObcnncA
1404473,2016-10-14,0,I5TnTKHzJuLA0YLZPGCNwQ,Very fresh food. Taste great. We had the chicken bowl. Veggies were prepared perfect. Nice size portion. Clean inside and inviting. Will be be a regular.,P5CUbcmY75Kz8IbLLNmgLQ,0,0,5,oiXo-Csb3AJ5OECyFPh5eQ
1455018,2017-02-01,0,I5TnTKHzJuLA0YLZPGCNwQ,Best clean food in the neighborhood. The service is always stellar and the place is kept clean. I generally eat there twice a week. The Jay Cutler bowl is really my lunch and dinner. It's 2 delicious servings in one bowl. Thanks for the great food.,EnBMZ8fk_j46EFHuu2KoFg,0,0,5,cA10mChDUNRC_CnuBJpQog
1540713,2015-09-03,11,I5TnTKHzJuLA0YLZPGCNwQ,"Came here for a late lunch. This place is located next to Albertson's in a small shopping center. 

Hubby saw the special which was $3.99 for the teriyaki bowl, drink not included. We got three orders of the teriyaki bowl, one drink and one mango boba. I didn't know they sold boba drinks. The mango slush with boba was good. Boba tasted sweet. My daughter even liked it even though she normally doesn't. 

After the lady took our order, we took a seat at a table. Place was small and had air conditioning inside. You check in on Yelp and get six pieces of potstickers for free. I forgot to claim it but hubby did. Yum! Teriyaki bowl was good. It had pieces of chicken, sliced up carrots, cabbage, and broccoli. They didn't drench too much sauce which is how I like it. Rice was perfectly cooked. Perfect meal. The mango boba was good. I could taste pieces of fresh mango in my slush. I loved the taste of mango. 

As we ate our food, we hear music in the background. Definitely a great mix of music. They were playing ""How you remind me"" by Nickelback. I found myself singing along. LOL! Hope no one heard me. It was a mix of old and new school. I liked the vibe in here. 

This place was pretty good! Highly recommend if you are on this side of town. Parking spaces are up front.",AN9y_ctlxODtNOhwk2mx-Q,15,16,4,_JjHsaGOg9BkeQ-ArpuOvw
1545861,2017-01-26,0,I5TnTKHzJuLA0YLZPGCNwQ,They Hit the spot! hands down best place in town! It's healthy and delicious! Great service! Fast and friendly! Prices are the best! And the place is very clean! Will be visiting again.,vhtu9aMl5oOCyPW4rUqOIQ,0,0,5,bCV_pBTP49wY0b8Pz2XhAQ
1589487,2017-01-13,0,I5TnTKHzJuLA0YLZPGCNwQ,Amazing staff and great food. I love coming here to eat. The food is priced good and the place is always clean when I come here. Also the food comes out in a timely manner every time I come here.,D5YZ-GDmLUAiy3OpDvnvCQ,0,0,5,2DsjUyxgiuOM1Q3oQ-N1-g
1612095,2017-06-29,0,I5TnTKHzJuLA0YLZPGCNwQ,Love my teriyaki bowls! Especially the Jay Cutler bowl! Make sure to stop in if you're behind on your prep to grab a quickie before work!,X5AwCp2KhpiYWNXm3xhnIQ,2,0,5,TFdf2aC4NWUlo8dPIkdJHg
1620271,2016-10-09,0,I5TnTKHzJuLA0YLZPGCNwQ,Great and friendly service! Came in right as they opened and was welcomed warmly. They were excited to see people come get some fresh food!,TNqPZ27mgNlnGxQyvG5G5w,0,1,5,rann-BWg3Z7QdbpP1o5LGA
1650279,2016-09-19,0,I5TnTKHzJuLA0YLZPGCNwQ,Super food in Vegas after training and they are always soo helpful! Five stars forever! Best regards Sweden,nXs4JR3eyyZ5vYDaq8rGfA,0,0,5,fTp8yD335_0Xpa5kbiZ9hQ
1708913,2016-08-03,0,I5TnTKHzJuLA0YLZPGCNwQ,"Trying this place out, let's see if it is better then teriyaki madness. I do like the fact they are all about fitness & nutrition. Unlike a lot of other place around town. Trying out one of the protein shakes as well.",slnGlRFUDhCrQTDTFOpz1g,0,0,4,9L89o7qnbxKHtP5P8exGoQ
