,date,funny,business_id,text,user_id,useful,cool,stars,review_id
2180,2014-09-29,0,IOwTrStIy6NinyquhBrLZQ,"Overwhelming usage of ginger on practically everything...fried rice, noodles, orange chicken and mildly on the House special ginger chicken.  Bourbon chicken and green beans were good.",3mZFkwfa6XV0BBazRTva9w,0,0,3,YYHJRLJ-DWgOSF25y-9gbw
93473,2016-01-22,1,IOwTrStIy6NinyquhBrLZQ,Horrible orange chicken and fried rice. It costs $3 for a small drink and then another $1 for a refill which is ridiculous when there are free drinks in the casino. Staff needs customer service training and a cookbook. Worst Asian I have ever had.,wI_xpxzovBPdhKiMinqHfQ,1,0,1,R-Mzx92ExDOt2W8I3KZTZQ
152245,2014-08-09,0,IOwTrStIy6NinyquhBrLZQ,I usually am not a picky eater and I love love love Chinese food. When we stayed in this hotel we ate here and it was awful. Everything tasted old and gross. The noodles were watery.,PLANti5C9IUdN5V2sQF2QA,0,0,1,ytTdMfOkkcx0xzcUVPWsxw
263603,2015-03-17,0,IOwTrStIy6NinyquhBrLZQ,"Horible service.  I know it is ""fast food""  but they should realy treat the customer with respect. They just force us around then say good bye.  Food is ok at best.",hIqgUyQENPFC0xIRrxHFMg,0,0,2,zQkdMlMfHSVYpyDRONlmmg
375613,2017-05-29,0,IOwTrStIy6NinyquhBrLZQ,Spicy chicken it looks like it's the leftovers. service is horrible place at this place. Orange chicken I wouldn't feed my dog with lol. Never again !!!!!,ueWw-FoZ_AVDznz_qrxrxQ,0,0,1,SXnyRMPzQT4RrlmjBiy65A
427749,2013-10-05,0,IOwTrStIy6NinyquhBrLZQ,"Horrible food, its nothing like it use to be. This is probally the only one that serves there food like they do & its disgusting. Why open another pick up stix in las vegas but not have it the way it use to be when you would order and your food was freshly made?",TGFNYeWHjQxqxQ_bnq4SMg,0,0,1,ch03qHygOIISGKphtsfeMw
510313,2014-01-04,0,IOwTrStIy6NinyquhBrLZQ,I was very disappointed when Pick Up Stix closes its locations around Vegas.   They made fresh food to order.   Now we get a mall version that is a pale imitation of the original.    I would recommend waiting for a fresh serving of any dish.  This location needs to step up its game.   China Max located around town is better than this joint right now.,YUz1FRgWHeW2AgLCU2PDkw,0,0,2,cqmOUIGUsy0k6MWvD7p_KQ
693092,2015-06-13,0,IOwTrStIy6NinyquhBrLZQ,"Service was horrible. They ignored us in line. They made food that they already had plenty of and did not make what they were out of. We had to ask twice how long till the honey chicken would be ready twice with no answer. 

The noodle taste like Ramen Noodle flavor packs. The chicken was overcooked and my rice was burned. Horrible would never go back.",dQSVVUoLwjx3sAFKwAhZmA,0,0,1,02r3NYmSFgM4yb1VDpMX4g
825970,2013-02-28,0,IOwTrStIy6NinyquhBrLZQ,"Don't go here for a late night fix - they close earlier than stated/advertised. When questioned about it their staff said their clocks said it was closing time - perhaps their clock is 10 minutes fast, or the staff was just trying to close up a wee bit early...

Maybe for the best - unlike any other location I've visited (and I'm normally a raving fan of Pick Up Stix), all the food at this location isn't made fresh to order. It's pre-made and sits in warming trays. I'll need to go to the LA area to get my fix.",ttALUVVK-zINxQeXghoK0A,0,0,1,q1NZlOgBx6caykBT4Ka-Hw
931794,2015-03-20,0,IOwTrStIy6NinyquhBrLZQ,Worst food in Las Vegas so far in the four days I have been here. I ordered the chicken egg rolls. It was putrid.... chicken????? is that what it was suppose to be? Good thing Cinnabon is next door.,FwNJnRlqww_BIGzI7-2IOg,0,0,1,1ehdvbskrNnnTRQvE6u6Xg
1298599,2014-08-03,1,IOwTrStIy6NinyquhBrLZQ,"Definitely not worth your time or money despite being a ""cheaper"" option. It's my fault for craving Asian food at an old resort, but this isn't even up to Panda Express' standard. 

I ordered a 3-item combo so I could use one of my rewards coupons for a free drink, and it was a pitiful waste of $10.  I was better off getting $10 spicy McChickens. 

Vegetable fried rice was poorly cooked. Kind of soggy and grainy. 

The Kung Pow chicken was mostly water chestnuts and cardboard carrots. 

The ""premium"" extra dollar Thai shrimp was okay at best with plenty of onions. 

The beef broccoli was the best thing I had. The broccoli was cooked well but I don't even remember having much beef. 

So upsetting. Luckily I can use this as a business write off. 

Excuse me as I use the restroom to get rid of what I just ate.",b4bTks98idS6-hx5AT92WQ,0,0,1,WPhWlY_sQU2GOkgfJWuMig
1615751,2015-03-06,0,IOwTrStIy6NinyquhBrLZQ,"Worst place I would say to get food, food sucks with no flavor and the the servers were rude and not friendly and food bone in the chicken not coming back here !!!!",KT4M_dbdpQWEMdx-3w5ibw,0,0,1,NG9vHvnIAcqRUJZn3slx3A
1798710,2014-01-02,0,IOwTrStIy6NinyquhBrLZQ,Slow service considering they just had to scoop the food into containers and the food was so salty i couldnt even eat it all... Avoid this place!,x0d6-8neeYdZKLNw9OcejA,0,0,1,0NhOcasgH6Le70IX6bZlzw
1940504,2017-01-25,0,IOwTrStIy6NinyquhBrLZQ,I spent 34.00 on a dinner last night....orange chicken.....eeeeh ok .....white rice was ok...my daughter got spring rolls and told me to taste because it tasted funny.  I took one bite and apt it out in front of evewryone!  Nasty Nasty Nasty. What a terrible taste... I might as well have chewed on a dirty bar rag.....Horrid.   The employees were very nice...and all did the uosell uosell upsell uosell upsell upsell upsell.....on a positive note....I am not throwing up.....,6PH8anfFrgBIYweonS-U_g,0,0,1,PmJFMp16mZE16zuqKROlcQ
2120233,2016-07-10,0,IOwTrStIy6NinyquhBrLZQ,"I guess I was one the lucky ones.  I had ordered the Kung pao chicken, the green beans, and the noodles.  I guess when I got them they were fresh because they tasted good.  They were a little salty but that was expected.  My girlfriend said the orange chicken was hard as a rock.  After she mentioned that, I thought it looked a little dried out in the pan.  I would suggest getting the non battered/glazed chicken to be safe.  Or make sure you ask if it is fresh.  As for service,it was awful.  The workers were not happy.  Overall, I probably would not eat here again.",XJlO3JkonghDu59nmE62Mg,0,0,3,4w07DBDzT2oXFTcZCr4t8A
2241274,2014-01-02,0,IOwTrStIy6NinyquhBrLZQ,"I come typically come here when I'm at Excalibur because the food is decent, depending on what you get. The food is Asian fusion but some of it is way too oversauced and salty. But for some reason I still like to come here...probably because it's the only location in Vegas. If given an option though, I'd probably choose Panda Express over this Pick Up Stix.",zBi_JWB5uUdVuz3JLoAxGQ,0,0,3,CEulbLR7QdUsxSe0H6OobQ
2288485,2017-07-08,0,IOwTrStIy6NinyquhBrLZQ,"We ordered beef & broccoli when it was literally served with only 1 piece of beef. Which the lady told us ""that's how it is"". This does not deserve any stars. Food didn't taste fresh at all!!!!! I don't recommended going at all.",1m3LSmqCQDGgjkinqXtE5Q,0,0,1,5PPzVv0qfvXVUI7f0MLH6g
2304982,2016-08-22,1,IOwTrStIy6NinyquhBrLZQ,"I order  general chicken, beef and broccoli and also string beans! Half and half on the noodle and rice! I got to say this is the worst Chinese fast food I been to! I wish I should just go to Panda Express! This place is really salty and I don't even think they know how to cook Chinese food! Very disappointed! Don't ever go here!",3cdJs-fYWvVTkEuTzWXZtQ,3,0,1,p57ViGZXRJCDQqPrOC-Vtw
2323202,2017-07-19,0,IOwTrStIy6NinyquhBrLZQ,"I can't say this is anything special.  Ordered steamed rice, the ""house chicken"", and broccoli beef.  I exchanged my third entrée for potstickers.  Broccoli beef had a decent amount of flavor in the traditional brown sauce, but this was the only thing I would recommend.  The house chicken stated that garlic and soy flavors were present, but I detected neither.  Rice was made in a batch that was far too large.  Clumpy and dried pieces.  I was interested in the Kung Pao chicken, but it looked like zucchini was included.  Haven't seen much true Kung Pao in years.

Condiments (even soy sauce) is hoarded behind the counter which slows down an already slow process.  Might have better luck at the popcorn stand.",H7SNU9NAEiwbBonwuZWYWA,0,0,2,w5L564dBAXDfaO9RWQy_HQ
2437986,2014-07-18,0,IOwTrStIy6NinyquhBrLZQ,Don't go there if your staying at the excaliber hotel even if your going to just get a little snack before or after taking ur kids to go to the fun dungeon there food is not great and they even give small proportions not like panda express it's like the more expensive but generic version of it!!!!,TXeGLq0XpViE78BkSF2UjQ,0,1,1,OgFtmGVDmPrpHkemy9c_Mg
2505633,2013-07-04,2,IOwTrStIy6NinyquhBrLZQ,"Wow, this place is really gross and it's expensive (cuz it's Vegas). My friend and I shared a fried rice and two sides of kung pao chicken and veggies. The fried rice was really salty, the kung pao chicken and veggies were just ok. To say the least, we wasted a lot of food. My friend wasn't feeling well from our partying the night before, so she didn't want to eat Popeye's, which our guy friends got. I think I'd MUCH rather prefer fried chicken. Pick Up Stix is pretty much another Panda Express...gross, unauthentic food. Sigh.",_iSS1m_QBY9E1f1xOZovlg,1,1,1,fsosyXWQXergSowpjkIEPA
2703503,2017-05-08,0,IOwTrStIy6NinyquhBrLZQ,This was the worst Asian restaurant I have ever been to. I got that Bourbon Chicken. I might as well ordered chicken and sugar water. I admittedly threw it away the fastest $9 I have ever given away. Stay away it's better to go somewhere  else!!!!,93BpgrvCpiQwwGstUJyZxQ,0,0,1,hGN3C-3hO8GB5pig3sdp4g
