,date,funny,business_id,text,user_id,useful,cool,stars,review_id
23237,2016-10-17,0,IRzXVRIzRoYpnjaVXF3vNA,Grabbed a bite to eat before rushing off to a show and Joseph went above and beyond to provide amazing service. Food came quick and was delicious! Great restaurant if you're staying in or near the SLS!!,EBwsAQgW7HcaHyeoXGIJRg,0,0,5,R3PMkOoJTbVwL1E8MZQQ5Q
45706,2016-10-15,0,IRzXVRIzRoYpnjaVXF3vNA,"Friends and I are at the SLS for a business event. We chose the Northside Cafe for mealtime...We were so glad we did! Everyone at the table had complimentary things to say about their meals! I ordered a cheese sandwich (mmmm-mm yummy provolone) and a roasted tomato soup. The pesto garnish was delicious. I sampled my husbands Asian dish and it was tasty too. The Jasmine rice was moist, the chicken and sweet and sour sauce was good too. The service was really on point thank you Joseph. We noted suddenly that we had run out of time and Joseph helped to get the check handled. Another thing I enjoyed was having the staff ask about our experience as well...Louis the assistant general Mgr was there when I asked for a business card. He was interactive was wanting to make sure we were being helped. This staff seems to work well together.... And we were able to get out the door and on to business. Such a great example of being concerned for  the customers needs. We will definately be back",osOeZnCnZEG5y9_N0Pu0MQ,0,0,5,r5csBkvHqtCLPH9aBn_ENA
53837,2015-04-09,0,IRzXVRIzRoYpnjaVXF3vNA,Server was sweet & our food was good. The price was too much for the food though. Our server gave us a $1 less change than she was supposed to but I have noticed that more than once in Vegas. We would have liked to see just a few items for children. There are zero.,HZh6pzhBekxrEXLKVXu0Kg,0,0,3,LPwFhGSXI0dlo7LI2-KaJg
55578,2016-02-04,0,IRzXVRIzRoYpnjaVXF3vNA,"Probably better than three stars in most key categories; location, selection and flavor but the service is not great, mostly because they are constantly understaffed. More importantly, the portions are really skimpy for the prices. A $13.00 Quesadilla is one small tortilla folded in half with a teaspoon of pico and guacamole. I couldn't believe they could serve it with a straight face, whatever, poor value is poor value. Cutting cost where it impacts quality is rarely a good business decision.",LytEeiPN48wDWBUzottnRw,0,0,3,z54qVQfogOE5dLnVm8sLvg
62290,2016-03-28,0,IRzXVRIzRoYpnjaVXF3vNA,"Atmosphere was very pleasant. Our waiter was friendly and courteous, and the food was well-prepared, and tasty.",P-mImlApJYUuPvUMopP9sw,0,0,4,yeOxK5d0IDovevXGCwoLGA
65611,2015-07-30,0,IRzXVRIzRoYpnjaVXF3vNA,"The food is delicious!! For Vegas the prices are very reasonable. It's located inside of the SLS Hotel and Casino. The ambiance is laid back, come as you are. We ate there several times. I had the corn beef and hash, the corn beef was good quality and tasty but I was not crazy about the potatoes. I normally like them with a little golden crisp. I also had the chilies quiles and the salmon with lemon butter sauce and garlic mashed potatoes, on separate occasions, and it was absolutely delicious!! The servers were very friendly. I can't wait to dine there again when I visit Vegas.",GHoQl3Y4_xT9ddEi6C4gBg,0,0,4,SxGcTe4ju0lsAFPLgMwl7A
68537,2016-01-28,0,IRzXVRIzRoYpnjaVXF3vNA,"Just had breakfast with my husband at NorthSide Cafe, it was busy at 10am. Christian was our server, he recommended us the philly cheese steak, and it blew us away like *ka pow* , their portion was crazy and I couldn't be more happier. ( we also had cobb salad and breakfast burritos and they were delicious as well) We love staying at SLS hotel and will definitely come back next year!",m7GZKPG0Ew_rWD3-KLZFow,0,0,5,9DTxeEZhLTnV7OzNZQZucg
77005,2017-01-25,0,IRzXVRIzRoYpnjaVXF3vNA,Went to the Northside Cafe for breakfast this morning. It was wonderful. I had the chilaquiles verdes which are basically like breakfast nachos with chorizo and pico. It was delicious and and very filling. Our servers name was Joseph T. and he was fantastic. Had great reccomendations and was very attentive. He never let our coffee cups go dry. If you go make sure to try the chile on your plate. It is spicy but has fantastic flavor. Sit in Joseph's section and he will hook you up with some whipped cream foe the heat.,cUnauaPzf_Pu0q3Pa1yqxg,0,0,5,PbVfBlBT4qV4gWisxHz-8g
85703,2016-08-18,1,IRzXVRIzRoYpnjaVXF3vNA,"This place was absolutely awful.  The service was the worst service I got my entire trip to Vegas, and that's not a nice thing to say because the service everywhere was slow and not attentive.  The amount of time it took to get anything - a drink order, the server to come back to take our food order, our actual food, I think the bill was the longest wait of all!  I would have rather spent time at the pool eating some snacks than at this restaurant for 2 hours... And the food was terrible.  I got an omelet and it tasted like garbage.  There were 10 of us in our group and nobody was impressed.  I was shocked to see such high ratings here.",MkJsHoPSfIGXWOXfrhGioQ,0,0,1,vzvEcNqRxs0GEkCskXaljg
87400,2016-08-01,1,IRzXVRIzRoYpnjaVXF3vNA,"This place got me sick with the raw pork...  And I saw it coming after discovering the wonton was undercooked
Now I'm racing back to LA before ""it"" happens.",M40h-lBXrT6Rh1eRJNKZZw,1,0,1,-Bqt0eUK6mc37erF7i6YNg
93041,2015-12-20,0,IRzXVRIzRoYpnjaVXF3vNA,"Amazing staff, specially Tina. She went above and beyond to accommodate us. I would return here more often because of her. She is very friendly and attentive. Great food. For the best dessert, you got to try the croissant bread pudding.",KHfXyNAJyaBa3NggygNYrA,0,0,5,OLcydWLL1joGhB9TCGjFVw
109111,2017-05-18,0,IRzXVRIzRoYpnjaVXF3vNA,Joseph T. Was great!  Really enjoyed a hearty breakfast. Chicken tenders and Huevos Rancheros were really good.,feynsf9qmNvnglXzFKEY5A,0,0,5,VOA2bY2Ba9OQ7fQ7EUMbng
125554,2015-05-26,0,IRzXVRIzRoYpnjaVXF3vNA,"Umm, I think we had breakfast here every single day. The food was GREAT. The service was amazing one day, and lousy the next (but the lousy day wasn't bad, as there was someone to pick up the slack). The food was amazing and I'd go back to Vegas just to eat here every single day. I'll be sure to stay at the SLS just so access to the Northside Café is an elevator ride away.",sB19SmOjUfSmLtgeb4_yYg,0,0,4,taChXpVG2yX6ZDfapfSJtQ
153191,2015-08-23,0,IRzXVRIzRoYpnjaVXF3vNA,"First off, I love the SLS hotel, and the fact that this restaurant is open 24 hours at this hotel is great! Perfect place to hit up after the club and go crash in your room after, or to grab breakfast in the morning without having to drive anywhere. Everything on the menu is good so unfortunately I can not name plates. The sweet potato fries are delicious and they have the best mashed potato I've ever had! The staff is a tad bit slow sometimes but ehh the food makes up for it.",IMdd28aIHewmbbvUkmRfuw,0,0,5,xBzSdD7y63yTCinEyha5Yw
159185,2015-03-24,0,IRzXVRIzRoYpnjaVXF3vNA,The people that sat behind us came in 10 min after us and got there food before us. They ordered omelets and we had French toast and pancakes. Server sucked,2TUac9oZx2SojZ3uPQde0A,0,0,3,YM7fDU48NMpxL1IQx2J70g
161261,2015-04-06,0,IRzXVRIzRoYpnjaVXF3vNA,"I really wish I could give a higher rating overall, but there weren't many positive things about my experience. This review isn't meant to be negative but simply informative. 

Specific ratings

Decor-5
Waitress-3
Potatoes-1
Pancakes-0
Bacon-0

As an avid SLS fan (I often visit the Beverly Hills location as well as the South Beach property (I was looking forward to luxury in Las Vegas.

The decor is absolutely gorgeous. It's a great mixture of modern trendiness with sleek elegance. It's spacious and easy to navigate to the restaurant. Bonus points for being 24 hours. 

The waitress was friendly and attentive, although not very knowledgeable about the SPG/Starwood Rewards program. 

My husband and I ordered pancakes, bacon and potatoes. The pancakes field entire plate, but had some type of generic butter. The butter tasted more like oil and butter. Another disappointment was the syrup. Not a recognizable name brand but a type of liquid make sure that was horrific. The pancakes had a doughy consistency that was so unpleasant, both my husband and I refused to eat more than 3 bites each.  Why have pancakes if they aren't sweet? 

The bacon was thick but had over 50% fat, so that wasn't edible either. The potatoes would have been decent if they had served while still hot and had some type of seasoning. 

My overall experience was so disappointing that I felt compelled to write this review. The experience didn't not live up to the image and expectations I have for SLS properties.

The guests behind our booth had the same experience with their food and ate even less of the pancakes then we did.

I can't say that I would recommend this restaurant, even for those looking for a basic late night meal. 

I will be back this year in either July or September as I didn't get a chance to check out the gorgeous Fred Segal shoe boutique inside the SLS hotel.",RBzZjDp1INUPP_jdDxE23g,1,0,1,Wqk5XNN9wz4jXyS4RTM9JQ
174810,2017-10-24,0,IRzXVRIzRoYpnjaVXF3vNA,"Today is our 25th wedding anniversary minus 1 day. We have been to many restaurants over the years.  while ordering, we requested the food be served HOT. Our server Stephanie acknowledged our request and delivered. My husband acknowledged the meal was hot. He continued to comment throughout the meal that it was still hot.  THANK YOU STEPHANIE for making this doing experience amazing.",JdrygIk7ypZKpjgbv33ECQ,0,1,5,nO0RTgGRntL-IBTvuI2HxQ
176288,2015-08-27,0,IRzXVRIzRoYpnjaVXF3vNA,We were a party of 9 for brunch.  The restaurant were not busy but split into 2 booths. We ordered both breakfast and lunch items.  Everything was delicious and the service was great.  Definitely a hidden gem in Vegas!,T1QlZChXg5U7iMHbTUpuiw,0,0,4,j5u91fKDCd5jMQN-z8Ec2g
179575,2015-08-07,0,IRzXVRIzRoYpnjaVXF3vNA,Luciano GeSualdo and the whole staff at Northside Cafe were friendly and accommodating. Recommend ordering the Pineapple Margarita from Luciano and there food is great too!,EjyPvwo1hQo-WcM3cn3opw,0,0,5,_rRoQUmvvVSf3mhOkTfYyA
179874,2015-02-07,0,IRzXVRIzRoYpnjaVXF3vNA,Our waitress Maria was super sweet and nice.  But if it weren't for the two free meals I would have complained.  My friend got the surf and turf for 29.95 she said the flavor was on point but the portion size was ridiculous and the sweet potato fries were excellent.  I got the ribeye and it was full of fat and the garlic mashed potatoes were gummy.,IOoUETTTS5hzN78Hyjjv5g,1,1,2,p3WpbasaNTpa5-NP3tGpnQ
204304,2015-05-29,0,IRzXVRIzRoYpnjaVXF3vNA,"Food here is reasonable priced and the food taste great. During my stay I had the grill cheese and tomato soup, chicken tenders, buffalo wings, carnitas hash, and nachos.

I like that they add a spicy pepper on some of the dishes for looks and provide enough kick to get your taste buds watering from the heat.

Service is good and they are open 24 hours.",9btRviiGt5BPsYNhoOOU2w,0,0,4,XZ5CQF8lZwB5eIbKd2pYug
210621,2016-06-25,0,IRzXVRIzRoYpnjaVXF3vNA,My favorite is the French toast and omelet!  I came here one year ago and food was amazing!  Today food was okay and the portion were ALLOT smaller!!! Bit annoyed at all the sls restaurant changes!,obPQnO1WzS3doqbBEUxlpQ,0,0,4,KEqKU9Y4yYq1TzBXxro15A
224047,2015-02-14,0,IRzXVRIzRoYpnjaVXF3vNA,Delicious. Excellent. The food was great. The waitress was even greater. There 24 hours. I'm definitely coming back.,D1vzReIX94CMjZLkpdFN5Q,0,0,5,pWRv341CDkjhgu1C604UzA
225325,2015-09-17,0,IRzXVRIzRoYpnjaVXF3vNA,"Went here a few times with my boyfriend because we were staying in SLS. The nachos were delicious along with the chilachiles, dimsum, and burgers. The best service we had was by Nick the bartender. He kept my boyfriend happy with consistent orders of his Jack n Cokes, and he made me an AMF that was delicious and strong.",UtUy4oOu92zOahLQAO34eQ,0,0,5,qA0jwrravfQDOoTu47xqUw
232189,2015-11-07,0,IRzXVRIzRoYpnjaVXF3vNA,"Worst service ever. Ordered my food - got the oatmeal. Never had milk brought out with it. When I finally got our the attention of our food runner, I asked him some milk for my oatmeal and he looked at me as if I was asking him to pour OJ in my bowl and rudely responded with a ""yeah"".  Waited another 10 minutes to finally flag our waiter but by then I just wanted to leave. My whole party had finished eating. Never again.",IQpS5MLiJpKfbQHk_4Toiw,0,0,1,Tih4HAIBdIWjHD8791eHAA
261380,2016-09-16,1,IRzXVRIzRoYpnjaVXF3vNA,"So, how would you define shithole ... Poor service and subpar food... Well, you got it there... Not many neighborhood dive bars can "" rise"" to that standard... Food was cold.. Like really cold and we asked for milk 3 times ( mind you, place was nearly empty) and got nada... Really, star minus",1ur-ji4-AVvtXPCbqY44aQ,1,0,1,xpBD4iSTIjQKXtG92Vxr_g
265817,2016-02-28,0,IRzXVRIzRoYpnjaVXF3vNA,"Went for a Sunday morning breakfast while on vacation. One of the best coffee we had all trip!  Our server CHRISTIAN, even went out of his way to top off the wife's cappuccino with the letters ""SLS"" in foam!  Top notch service!",-8C9DVTRC4Cuto9B4OVuWw,0,0,5,rRtQEusuzqCYP7w4nS4UZQ
268653,2015-11-13,0,IRzXVRIzRoYpnjaVXF3vNA,"Food was good, I had breakfast, but my host Mercedes was even better. Extremely accommodating since I had my two little monsters with me and helped me procure some essential daddy products. Nice to see real people in a party city! She's very cute with a nice smile too so that helps brighten up the day.",dQCr2w_yZ_VP1dgI4vlwmA,0,0,4,3JxHlZ3U-44WY_zV2ljj8w
284705,2015-09-27,0,IRzXVRIzRoYpnjaVXF3vNA,"(Im writing for my grandmother)
It was a memorable experience for my friend and I. Our server, Christian Santos, was very attentive and cheerful. The food was good, but our waiter made it a pleasant time. He really knew how to deal with people! Excellent service.",etNV5AkIy4LkGtrkT7FfgA,0,0,5,kxNR_XlWMtatOfOC5IBrVA
284755,2017-01-23,0,IRzXVRIzRoYpnjaVXF3vNA,"Under staffed 
Tables not cleaned and restaurant manager had a attitude!! Not great way to start evening ..
However we got Sunny for our waitress..
Just great!! 
I will test food and write more..
I have to say we ordered Chinese .. it was pretty darn good!
Still very understaffed!!!
Our waitress was running her butt off and continued to give us great service.. but many other tables didn't have Sonny for a waitressz",jtpv6g5bq9EqHUun6cvOGA,0,0,3,amaYwrD6ApeycB-eUvt6ig
317725,2015-08-17,0,IRzXVRIzRoYpnjaVXF3vNA,"Great food, had the filet with shrimp scampi. French pressed coffee and great service from Christian!",-vVJPe_1SOwBeMdjB_nceA,0,0,5,MHapJ5dPQKv0iyK5LF9J1A
326560,2015-07-21,0,IRzXVRIzRoYpnjaVXF3vNA,Service was top notch! Jim was engaging and offered great suggestions.  The food was generous and delicious! I am a local who doesn't care to eat on the Strip but this has to be a new go to breakfast spot for me!!,SvCtDoCDFt9_-eJ3QOQ04w,0,0,5,PxKT_YiM866kee3YG9vl8w
329304,2016-12-08,2,IRzXVRIzRoYpnjaVXF3vNA,Sub-par at best. The Chinese food is so so but the service is even worse. Had to ask for a server after 10 minutes of sitting at the table watching people pass us. The server forgot our chips and guacamole and when I asked for recommendations on a meal he literally just pointed at some things on the menu-but didn't describe anything. Plus he was suuuuper slow with the ticket-as I watched him at the host stand talking and I was trying to pay and get out. Ugh.,g4BBy09gV7eQ0Od6R4iOdQ,0,0,1,7Ocd3fjmK-aEzZD8miXPKA
330740,2016-08-21,1,IRzXVRIzRoYpnjaVXF3vNA,"This is my second time going to Northshore. While I love the breakfast burrito with Chorizo, the service is terrible. Both separate stays we waited for awhile after being seated for our server to come to our table. The food came out quickly, but there were several tables left with food on them. Management, servers and other staff walked by them several times and didn't clear them. Then after waiting forever for my husband to get a refill on his drink, the server brought the check. Then she came back right away and wanted it back, I found that funny. If you want better service go somewhere else, but food is good.",o79-lpXhDyKSvIVeEprXqw,0,0,2,SmEMaen6PVDptAzw0zvaPQ
334309,2016-10-22,0,IRzXVRIzRoYpnjaVXF3vNA,"Cashew chicken was so good, also good  prices on drink special.   Thank you Juan, you were great.",tzZX-1fHPmf_vPcFmaBP_A,0,0,4,dqUkctG1xFIlxw884K1EVw
388529,2017-05-04,0,IRzXVRIzRoYpnjaVXF3vNA,"I'm. A huge fan of all day breakfast, Chinese,  certain Mexican dishes and unique appetizers and Northside has it all. It's almost like they took the best selections of everything and then created a menu around it. I'm sure you'll find something everyone can enjoy, I certainly did. We had orange chicken, eggs Bennedict and banana pancakes and all 3 were absolutely delicious!",7bxQj5ZUTzb351g3a73Fqw,0,0,5,PkAINL_0FKsUkT36Okw55w
400509,2015-03-30,0,IRzXVRIzRoYpnjaVXF3vNA,"Came in for breakfast this morning with my husband. There was a little bit of a wait so we decided to dine at the bar. We were greeted by Eddie amd he started us off with two bloody marys. We needed some more time to look at the menu since it was our first visit. Eddie suggested the buttermilk pancakes and bacon, which we decided to try. They were amazingly delicious. We haven't had this type of hispitality in a long time. Eddie was very friendly and helped guide us through the menu. He made us feel at home. Whenever  we are in Vegas, we will stop by Northside Cafe for the hospitality and great food.",FRpe71CqUXaqvPuWRLKVuQ,1,0,5,sDFSZlqw1dHkWKs6bC3dpg
