,date,funny,business_id,text,user_id,useful,cool,stars,review_id
28294,2017-03-02,0,Ih5Q1cNDLchhi1FqqTwrag,There was nothing to complain about on my visit. The food and service were both good. Although I found it odd that rice was a la cart rather than included with a main dish. They can do it however they want but it would have been nice to have been advised before the food was served.,BHdUmfNYDMSLyyT9nHCJvg,0,0,5,MKoKWZCMZrxl3oi0kmxqAg
113818,2016-11-11,0,Ih5Q1cNDLchhi1FqqTwrag,"So impressed by the quality and tastes. Ordered a couple items off the appetizer list. The masala shrimp was delicious, pastry/filo exterior. The seared scallops were cooked to perfection. The Malai chicken tikka was unbelievable, sauces were perfect, chicken was so tender and moist. Gobi manchurian is a must have, I don't know what else to say but get it. And then get the cheese naan, super tasty!!",lkABDtLKXj-wIjnQr0b_Gw,1,0,5,ZKsUImTIPqbBDIF5pRNnwQ
149082,2016-12-27,0,Ih5Q1cNDLchhi1FqqTwrag,"Liked the food very much.!!
We are vegetarian and loved the dishes though there are very less options.",Dhy0UOG-VhPsV52tPbuzxg,0,0,4,ik3DALHQIelbQQEwlyxx9g
201601,2016-11-13,0,Ih5Q1cNDLchhi1FqqTwrag,"Delicious! My son and I came in for lunch and was greeted by friendly staff and immediately seated. The place was very clean and our waiter, Evan, was so helpful in answering questions about items on the menu and recommending dishes. Highly recommend and look forward to returning.",oBpZYihhXvsV4beKqwhUtw,0,0,4,ntKW-TsZykFZEErLNE8ZlQ
233486,2017-10-01,0,Ih5Q1cNDLchhi1FqqTwrag,"Food was amazing, tandoori platter was good variety. Garlic naan was the best. And the chai expresso martini is a must. Definitely plan on coming back for more, glad I stopped in to check it out.",U_cGqvV30mRf9oSEivkoIw,0,0,5,rpdgB2uLbtm4oMNdytxeTQ
234101,2017-01-04,0,Ih5Q1cNDLchhi1FqqTwrag,"Definitely the best Indian Food in Las Vegas....Very Authentic Indian Food.. 
Yummy Dal Makhani.....and Awesome Channa Masala...",dvoAKMfGb5PX6jp8G0YluQ,0,0,5,1z-waT5r0rU2gnNk-e2AUQ
311699,2017-01-18,0,Ih5Q1cNDLchhi1FqqTwrag,"Visited Turmeric when I was in LV last week for some recreation. I think it is fairly new on Fremont Street. Unfortunately I was alone, so I couldn't order several different dishes; hence only 4 stars because of my small sample.  But... good garlic naan, and the Lamb Saag (lamb in a savory spinach sauce) was outstanding, probably the best I've ever had. Definitely will be back next trip.",6LI7W2QLAFlHsXCU5mdSQw,0,0,4,yRCSS0noJoKeVfH0bKJftQ
360186,2016-12-30,0,Ih5Q1cNDLchhi1FqqTwrag,One of the softest indian Naans I have ever had in US. The restaurant owner looked very passionate about cooking and asked our review multiple times. The menu is kept simple and spicy level is about right for everyone. I recommend this restaurant for anyone looking for good Indian food around this area.,EH6WRRr-IrKzqai-MkKDdA,0,0,5,KGBGN7ID6cEIhAnm5_rigw
363971,2017-11-30,0,Ih5Q1cNDLchhi1FqqTwrag,"This is my favorite Indian restaurant in the world! The downtown Las Vegas location is perfect.  (Right across from Container Park). The food is modern Indian.

They have the most incredible Naan.  Their Vegan and Vegetarian menus are fantastic!",NGpEAaow4Bseo-urqVjWgw,0,1,5,DN37fMeWyJBwYwAmW7_SCw
432819,2017-08-30,0,Ih5Q1cNDLchhi1FqqTwrag,"Great food and even better service. Had the biryani, the curry and garlic naan with no complaints.  Ask for the mango Lassi, it was great too. Didn't know they have three locations in town. I'll definitely be back to try them all.",kZDydA_ByY-iEGcaEEipnw,0,0,5,wcwGG8cpxPVj3PNldgqYEg
450204,2017-05-03,0,Ih5Q1cNDLchhi1FqqTwrag,"The best veg biryani i have ever tasted in USA. Though food was expensive, taste was really good.",hztTD2H4ie19A2ij2b6dLA,0,0,4,zL4Bmcf-h5OsPagZmwf01A
765821,2017-02-28,0,Ih5Q1cNDLchhi1FqqTwrag,Freaking amazing omg sesame eggplant and cauliflower appetizers incredible wine is good people are kind you must try this if you love Indian food this is place,uxQS6DTkLBbUCa4QhFzsxQ,0,0,5,yTB6o1VOd0FcccgU_bd4nA
