,date,funny,business_id,text,user_id,useful,cool,stars,review_id
4297,2017-10-22,1,IkMwuS3eViVHK09npuG1jQ,"where the heck are they getting their chickens?

8 pieces of chicken barely filled half of my foam tray.  the other half had bean & mashed potatoes cup.  their chicken is the smaller, smallest of the town.  they are chicks, not chickens.


hey, the owner of this dump.

i will never come to your place again.   and i will be the voice of consumers who are sick of getting ripped off by people or group like you.!!

People...  PLEASE stop patronizing places like this!!",glk2FtfJMDIIkbRGilzfTQ,2,0,1,oWO4iUdGS3MwXSqUn_wA8w
157276,2017-02-14,0,IkMwuS3eViVHK09npuG1jQ,"Awful service all 3 times, twice driving thru and once as a walk-in; items left off order all 3 times; rude employees.",9eg999bmgimmBw_hciAvzg,1,1,1,99Q7_6mfSsfNXtR7Hn2vsA
184170,2017-06-28,0,IkMwuS3eViVHK09npuG1jQ,They just opened this store I come to get my favorite thing on the menu and they say it's frozen and not ready. What is the point of opening a new location if the food is not ready to serve?!?! Very disappointed.,K1TmtD53ZFQMLdOjbd9kJw,0,0,1,XjvWhDOXNc_8o3uR5jalNg
302470,2016-12-31,0,IkMwuS3eViVHK09npuG1jQ,"Do not eat here!!!!! I got 2 chicken avocado burritos and when i got home as soon as i started to eat them, i realized the chicken had gone bad. 

Took a 2nd bite and same thing. It was so disgusting and foul. I was so hungry i still at the bread and beans on the burrito.  I should of gonna back to make a scene but it was the day of new yrs and i had plans. 

They know when the meat goes bad. They simply try to save money. How absurd!!! Stepping over a dollar to pick up a penny is what comes to mind.  Disgusted! !!!",_6liPeMF9EGehbV75-ixVw,3,0,1,W7zCqQLDEb_k2wqm3wYC2Q
517149,2017-08-22,0,IkMwuS3eViVHK09npuG1jQ,Worst service ever.  Waiting 20 minutes for soup and they keep telling me 5 more minutes. Everyone here seems so confused.  Not worth coming here anymore.,-XUED98GXaYIzJMaeFWyQg,1,0,1,AAS__C-Yi4in4GdE9QRx1w
625135,2017-06-09,0,IkMwuS3eViVHK09npuG1jQ,This location can't get orders right to save their lives. They are incompetent and liars!,meZ-3SSN2YTGSiGNaRmTMw,0,0,1,ndGxGHEJv1In59tc-xOedQ
768632,2017-09-07,0,IkMwuS3eViVHK09npuG1jQ,"This is the worst place to go to. Cashier rang up our order incorrectly. He itemized our order instead of using the coupon code.  Because of that mistake, that did not show up on the screen for the other workers to prepare the food. So we waited more than 10 mins for our order.  We get our food and guess what.  My order was wrong.  These people do not know how to read the order.  They should have made my food right when they knew they made a mistake. Managers are no where to be found. Never coming back here again.",Jw_DgPaEJ3RGHT4H9qAkuw,0,0,1,w2P-j8HZ_k9Aqlz2xCDh2Q
954988,2017-07-17,0,IkMwuS3eViVHK09npuG1jQ,"Maybe someone needs to remind these guys that the tortilla for the burritos should not be crunchy and fall apart all over your lap. And quesadillas, the cheese should be melted and not cold and fall apart, unless it's a take home deal where you're expected to cook in the oven yourself. Anyways, the chicken is good and maybe I'll stick with that on my next visit....surely beats KFC chicken.",tijIZOEvPetHHn5Gc7iZ5Q,0,0,2,IroU2cCf4oYbtua5eJMlUQ
1141530,2017-06-21,3,IkMwuS3eViVHK09npuG1jQ,"Drive thru order. Sarah was nice, but got home and found BURNT AF chicken! Super disappointing. I tried to call right away and the phone number is a California area code that DOES NOT ANSWER. 

Probably would just go somewhere else in the future.",Km9CX0_3IgYpI9Q22a2XIg,2,0,1,yOCW0lxh_dIemHPNGKLp6g
1318398,2017-01-18,1,IkMwuS3eViVHK09npuG1jQ,"Wow, I feel bad for giving low ratings to my last 3 reviews, but this place is seriously garbage.  No one asked me if I wanted salsa (drive through), my chicken was chewy, the lettuce tacos were soggy, the avocado had hella manchas, the chips I got instead of tortillas was a tiny little bag of 5 chips.  What a disgusting waste of money.  Do these guys realize that nacho daddy, chipotle, apache taco, cafe Rio, and rubios are not a mile away?  Wtf?  DO NOT WASTE YOU MONEY ON THIS CHAIN WITH UNDERPAID EMPLOYEES.  Also,  too much ice in the soda.",buCuVZ0dywS3mVyPHnz6Gw,2,0,1,o3LgNdx0YxcZuAdwaqk2zA
