,date,funny,business_id,text,user_id,useful,cool,stars,review_id
30784,2014-07-29,0,J1MVP1oGbBnKVqriX4HDuQ,"We had a party of eight on the 27th of July. It was well over 80 degF in the dining area where we were located. The entire party complained they were hot and two in our party ended up with migraine headaches. I asked for the manager who acknowledged there was a problem with the A/C. When I asked if contacting corporate would help expedite correcting the problem, he advised ""it might"". I don't know about anyone else out there but I don't appreciate paying over $100 for a meal to have 2 out of 8 in our party needing to medicate themselves because of migraines induced by the excessive heat in the dining area.",iXl3maD99E-EDmPZVD868w,0,0,1,_q7tH2k_WyJgrIE5MFU02w
339773,2015-04-05,0,J1MVP1oGbBnKVqriX4HDuQ,This place is horrible.the service is slow and the food is okay.i would never go back to this place to eat again and they are very unprofessional.i don't think it is appropriate for you to talk loudly to the other servers on how much people tipped you especially when guest can hear you.i should of know better when i happened to see the supervisor and the servers counting there tip in front of the guests and being very loud.very unprofessional!,-llRkkIoPJxpPGskL-WSlw,0,0,1,gCjrAiVJdZrnQKu6EBeZUg
765060,2015-12-22,0,J1MVP1oGbBnKVqriX4HDuQ,"This is one of my favorite places to eat, bkfast, lunch and dinner. staff super friendly, food always great. I have gotten to different Dennys locations but Dennys on Trop and Decatur always the BEST!! 
Juan is a great employee, always smiling, always making sure our table is taken care of. Thank you to all the cooks! food always amazing.",z-cdmcjf4zba9svaOkNwZA,0,0,5,giqC3XDtxX5eIKukleir3w
836536,2016-10-14,0,J1MVP1oGbBnKVqriX4HDuQ,"Poor customer service, went with my family of 5, they sat us down, and about 15minutes passed by and there were no signs of the waiter even coming by to order our drinks, it wasn't even busy & we walked out and left.",YeGfbEXGWMGRjpvHr-V_Mw,0,0,1,u2XoYfAIELpGKJSnHD_1Wg
847465,2016-10-15,0,J1MVP1oGbBnKVqriX4HDuQ,"This must be a corporate training center. Everything that could go wrong did go wrong. They have a huge staff, but only a few people know what they're doing. Was served something I didn't order, but i decided to eat it instead of waiting another twenty minutes. I must say they are very good at apologizing.",GuRdUvO4OMeAfwfSPeJB0Q,0,0,1,4Wm7q0qBPMsEE8rNME4PdA
855517,2013-01-25,0,J1MVP1oGbBnKVqriX4HDuQ,"I have always been a fan of Denny's, good food at reasonable prices. This one did have issues though. Like others that have yelped it is under staffed but the biggest issue that I've seen is they have a pest problem. The first time I went with my wife and we saw little black bugs crawling out of the creamer. At first we thought this was one time occurrence and they took care of the issue (For health inspection reasons) but no, we went again 2 months later and this time more little bugs were crawling from the plates. We showed the waitress the bugs and the manager eventually only compensated the one plate (Could of done a better job, come on... these are bugs crawling in your food, a definite health violation).  Also who knows the bugs could have been in all of the food. The waitress seemed like this was a normal occurrence which makes me wonder how bad it really is. Half of the bugs from the plate escaped into the booths. So next time you go to this Denny's keep an eye out for little bugs in your food. The bugs were the size of a nail head. I will not return to this Dennys.",i0mL1HTLsbHfM_uRacL2oQ,0,0,1,N8oNTdpsZSDpskbTg-4K_w
873952,2016-08-17,0,J1MVP1oGbBnKVqriX4HDuQ,"This Denny's was okay. However, what ruined it for me was that they were so understaffed that I only received one refill for my entire visit. For perspective, I was there for about 2 hours. In addition, the server's attitude was that the onus was on us to accomodate them for being understaffed.",kKRbHSkT2dlGEWQFioXfjw,0,0,2,CEZQoOuiKDoOatF_E-SIPA
916020,2015-07-06,0,J1MVP1oGbBnKVqriX4HDuQ,Waited at the door 10 minutes with a others waiting to acknowledged. The mgr. looked directly at me twice.  Sat at the counter thinking to get more attention. Took 5 minutes for waitress. Ordered banana pecan pancake breakfast and ice tea. Was not busy maybe 10 tables in the whole restaurant and at least 5 servers. Food fortunately was excellent so worth the wait.,KJ8aC2cjysnefuISJcT_fw,0,0,4,1wLglJRW1D8NdzciHlo72A
994314,2013-02-03,0,J1MVP1oGbBnKVqriX4HDuQ,"The only reason I went to that place is because there was nothing else open at this time of the night.
The food is not so good. The place has a very unpleasant feel to it maybe because of the location. It's not too clean.
The service was pretty slow, taking into account that there were only eight customers.
Not going there again.",YlezgTVxMYI52t_u1J7YOA,1,0,1,Q2bYjYLlzx_gtsoWMIlQVg
1122572,2014-01-01,0,J1MVP1oGbBnKVqriX4HDuQ,"I signed up for yelp just so I could leave this review.

This is the worst denny's i've ever been to.!service was poor and slow, and 4/7 of my groups orders were messed up in one way or another.",RM8qADlsPtP_9jwG9e8gzw,1,0,1,P_W1s_dFK3zSOuWDOg4kDA
1263364,2016-01-02,0,J1MVP1oGbBnKVqriX4HDuQ,"We decided to bring our families to this location one evening. Expecting it to be somewhat pleasant, with it being the first time for some of us. We get to the front desk, inform them that we were a party of 10. Right away we were asked to ""move over to the side"" in a pretty rude tone. We did as told. Fortunately it wasn't long till we were seated. They weren't too busy. We all took our seats. I believe the manager was the one who took our drink orders. Later came our actual waiter, who was obviously not happy that she had to serve 10 paying customers. Keeping in mind that we were a party of 10, one person was doing the ordering in order to keep things simple. She had a very hard time keeping her focus on what was even being ordered. Through out our whole meal one person received a refill. We were rarely checked up on as far as food quality. Not nearly enough napkins were provided for the amount of people that were dining. I would not bring my family here again simply due to the fact that we did not feel welcome nor satisfied with the customer service.",5Y_p-xmfCl3rI-4_cEGW_Q,0,0,2,aOjuBdTMEDHe20KSozne-g
1331295,2017-03-04,1,J1MVP1oGbBnKVqriX4HDuQ,"So I'm a little upset that they wouldn't let me substitute my sausages for more hashbrowns.
The lady (Brittany)who took my order told me I couldn't get hasbrowns only another type of meat, so I had to settle for bacon. So I'm just gonna have to go to a different Dennys, because they let me substitute sausages with hashbrowns.",1yPdZuM2TEwrHqJPY1UwVg,0,0,1,97Wz97mBi4LAxWbuXXxAVQ
1344982,2015-05-03,0,J1MVP1oGbBnKVqriX4HDuQ,"Kristen is my waitress, she's actually serving me now. Her service is extraordinary. Her personality is perfect for her position. I'm overhearing her talk to other tables, she is nothing short of great. I don't write reviews for everyone, not even good service, but great... Yep & my phone is dying. If you ""waste"" the last of you battery on a review, that must be serious. Thanks Kristen!",_bgT9zbCfAyfeGMsjZufGQ,0,0,5,ujde6zI3PeNrQcxtXiaK_w
