,date,funny,business_id,text,user_id,useful,cool,stars,review_id
18601,2015-08-08,1,JC7HF7jRVqULhTOTE2n6ug,"What a disappointment!

1) We already know you are expensive!  $$$$
2) Expired meats/seafood common.  FOUL!  Beware of the orange labeled markdowns!  They may be past expiration or tainted !  Had to throw mine in the garbage, amount EXCEEDED the REFUND policy. Beware!
3) Produce inconsistent , sometimes fresh sometimes not.  Must inspect closely.
4) Deli?  Closes early  and the staff apologizes because they are behind schedule and how much work it is for one person!  I feel sorry for them! Prepping sandwiches on a cart next to the cooler on the main floor?   Seriously?
5) Purchased pre made sandwiches, found a PIGEON bird feather nestled inside. EWWW!
6) Beware of the hummus with the Haggen label in the ""non"" tamper proof containers! 
7) Roses died in 2 days after purchase!  :-(  
8) Management, why don't you respond to the YELPERS?  
9) Is there a loyalty program in place?  Soon, you will LOSE your customer base if this nonsense continues.
10) Perhaps the SNHD should be notified of the public health issues that are ABUNDANT?",w4SSyHI0vNnv8wKEtRv9EQ,7,0,1,0ROqekS4EBzufjas924-uw
365897,2015-11-02,5,JC7HF7jRVqULhTOTE2n6ug,"Haggen it's new in Vegas 
I like it 
The best super market 
In town !!!",YBOLcKutXgNazubtFMxDtw,0,0,5,5pFijKDxqznB_SbP9AQ7Fg
392084,2015-07-13,1,JC7HF7jRVqULhTOTE2n6ug,"I miss Vons!  The prices are exorbitant (in some cases, almost 100% more than some stores - Grape Nuts at $4.49, whereas Nutty Nuggets at Smiths is $2.29; 40 calorie Popsicles are $1.99, whereas at Smith's they're $1.00 or $1.25 depending on the week).  I'll never go back. Instead, I now to go to Von's on Durango and Desert Inn as part of the shopping routine.  So, Goodbye Haggen and Hello Hassle.",LY8CDgzquTLinlYVEwyl8w,9,2,1,uCETfts7DjEXLT2cvLagRw
465923,2015-06-22,1,JC7HF7jRVqULhTOTE2n6ug,"Summerlin, Las Vegas is a sophisticated community with lots of sizzle, competition, and grocery store options. Haggens is extremely disappointing. Having shopped in the Trails for over 13 years, I really was shocked by the obvious lack of homework done by the Haggens transition team. 

1) More expensive - no comparative pricing! Much more expensive than Vons. If I want to pay more for specialty items or organic, I'd go to Whole Foods, Trader Joes, or Sprouts - all of which has more ambiance. personality, and warmth. Do your homework Haggens! See what pricing Smith's, Walmart and Albertson's are offering for key grocery staples. Vons was a neighborhood grocery store. Haggens as it opened is not. 

2). No community interaction! When you open a store with new brands and product, it is critical to develop relationships. A few Interactions with the customers through sampling would go far to connect Haggen's new brands with a new community. 

3) Limited choices! I found many of my favorite national brands had reduced shelf real estate and I couldn't find favorite product - (including Oikos chocolate strawberry/raspberry yogurt.) (I understand why Vons/Safeway products would not be there... but replace like for like.) 

4) No suggestion card at the cash register or question from the cashier... Did you find what you were looking for? 

5) Sterile non-energetic ambiance. While bright and clean are good qualities, the new store seemed anemic and bare. Even the new piped in 'mu-sack' was a yawner.

I was really looking forward to a bright new neighborhood grocery store which Haggens is not....at least not yet. So our family did something they haven't done since we moved to Las Vegas. We drove 5 minutes out of our way and went to Smith's.",DHA-cIv8OlxDuQfIK1LSbw,11,2,1,A2TTpqBU68aDdTmk7UH3TA
479216,2015-07-06,1,JC7HF7jRVqULhTOTE2n6ug,All i can say is wow! The only reason to go here is to go to the Starbucks! Otherwise drive 5 minutes the other way and hit Smiths for better prices! Extremely over priced for EVERYTHING! I would rather deal with all the senior citizens and crazy parking lot at smiths then shop way overpriced food! This is the only place to grab one item if your in a binned. Otherwise stay away!!!!  My entire family as well as neighborhood all started going to smiths now. This place is horrible! Save your money and go somewhere else.,XWRws7WO0ct4gGifQpNNKg,11,0,1,AVYj4rZ7GcuSXEbsipTEhg
503996,2015-07-25,3,JC7HF7jRVqULhTOTE2n6ug,"I will make this short & sweet as all the other negative reviews represent my opinion and more.  I have gone to the Von's store for 13 yrs, live nearby the Village Center Store and wanted this to be a great improvement over Von's, however, am very disappointed, the place is now like a ghost town, prices are too much to swallow, and every time I go back, no one is shopping there anymore.....all my friends are now going elsewhere, and unfortunately I will be doing the same...yes, if I could give 0 stars, I would",U825hDWxSdsr3E6FcrsD3A,11,0,1,kZNjRpdTuxU9FecahL0OKQ
526148,2015-06-17,0,JC7HF7jRVqULhTOTE2n6ug,"Poor service, and it's basically Vons but way too expensive. $6 per POUND of chicken breast, seriously?!",JtYJS8Zs7ZJWJKbZgIaNww,14,0,1,BFqghlGkvDEGXNyUX9P9Cw
583434,2015-08-15,0,JC7HF7jRVqULhTOTE2n6ug,"Like others, I miss the old Vons. It's more expensive on most items, fewer store brands, and the selection isn't better. This Vons was my go-to grocery, and I'm sorry for the old employees, but I am going to start shopping elsewhere. In fact it's exactly like the layout of Vons with less selection and higher prices.",JWK0dsyhgUA68fU2HsXwOw,2,0,2,BToCJc0Bf5-AIhLsTx2FFw
597151,2015-08-04,0,JC7HF7jRVqULhTOTE2n6ug,I agree that the prices are ridiculous and only go now to pharmacy only because I like the employees but they are some days struggling with the restrictions.  Can't even get a shingles shot now.  Extremely disappointed and loved Von's.,Fc5sC7An3yH4WazgRT61VA,5,0,1,jbAsOf8IEGy6PrHzPfFizg
619314,2015-07-03,0,JC7HF7jRVqULhTOTE2n6ug,"Actually would score it 0 stars but unable to on site.  Was a Vons's shopper 1-2 times/wk. since it opened in the Trails but will no longer shop at the new Haggen unless it is a dire emergency since I live just up the street.  Prices are about 1/3 higher than Vons & other competitors, sale items in advertised flyers are merely higher or regular prices elsewhere, bakery items are scarce & look dry & unappealing besides being pricier, produce & bakery has all been significantly reduced & sparse, everything else looks similar with brighter lighting and MUCH higher prices, less selection and poor customer service despite several employees just hanging around the service desk talking & laughing with each other.  I had asked for a raincheck for the single item I came in for & it was a major ordeal for the manager to issue it despite them being out of it.  No grand opening ""hoopla""or anything to welcome customers to its new stores in new communities.  What a total disappointment!  Will be counting the days, along with everyone I know who used to shop at Vons & has been to Haggen, until the store is hopefully acquired again by a company that cares about the shopping experience, competitiveness and its customers.  Haggen has now lost many loyal Von's customers and the Smith aisles are ""bumper""carts where ""customer service"" reigns supreme!",45tdz43-j0CYjc77vVysnQ,11,0,1,nggBRbUoGxuCRUv0olxQzg
