,date,funny,business_id,text,user_id,useful,cool,stars,review_id
1136,2017-02-28,0,JIfSollg32ifUzTw2K4PDQ,This place is beyond amazing. My boyfriend took me here for the first time a month ago. By far the best tacos ever...,SopkFrK7bO7VqLsPyokHxw,0,0,5,IIQkjUqghEgJ0mnBymtEOA
7710,2015-06-18,0,JIfSollg32ifUzTw2K4PDQ,"I was so happy to find this place! My Mom was in the hospital the day before and wanted some home cooking. This totally hit the spot. It seemed to be a little under staffed and I felt sorry for the cook and the front counter person, but both ladies did an awesome job! There appeared to be a steady stream of regulars. That's always a good sign in my opinion. The carnitas and horchetta were spot on....so good! :) I'll definitely come here again.",w8RJWIqnsCghrs4sIh9hPA,0,0,4,BG3ctiHmGloNpS-byBCS-w
34794,2017-03-09,0,JIfSollg32ifUzTw2K4PDQ,"I had their adobada tacos with some pineapple. Hands down better than most taco places, probably the best I've had in all of Las Vegas. They told me they have another location on Fremont (I've seen it) but they swear the truck-stand has better food. It is located around a rough area, but nothing really to concerning. Just wouldn't recommend walking there alone at night (even tho I did). Just amazing. 5/5. I'm going back today.",E156Pmq2Us_Q2Dt9c7D71Q,0,0,5,goirBYaPkjEFK0Iibh9wmA
44566,2016-08-01,0,JIfSollg32ifUzTw2K4PDQ,One star is way to generous for this place ...horrible horrible  horrible. From service to their food.   3 dollar tacos not even meat but pure grease...don't waste your time or money here.  ...  but that's my opinion,J-rQ5460ODhP4IXI9f4JSg,0,0,1,K3TLoOzJLewOcmjg8eKoQQ
62244,2016-12-27,0,JIfSollg32ifUzTw2K4PDQ,Best tacos and horchata I've had in Las Vegas! Staff are friendly and service is quick. There is no way we leave Vegas without first stopping by for dinner. Downside: Parking is limited.,q5hV5AG6I3FsaXt0px-GPg,0,0,5,NH6rh3_O4oQFgrE0zxtD2g
134343,2017-09-12,0,JIfSollg32ifUzTw2K4PDQ,Love this place!  We visit often. The employees are very nice and the food is great!  A true hidden treasure.,pRg_Ukqyb4ZOT63EPqaVZQ,0,0,5,-dIlmhc7o3UkZx8nQyeepQ
428164,2015-06-16,0,JIfSollg32ifUzTw2K4PDQ,"if you've never been here. They provide the food, it's up to you to figure out where you're going to sit. Maybe it sounds weird but I really like stuff like that, especially when the food is worth it. Who knows what kind of person you might end up eating with, where they come from, what they do for a living.",LoeUteBZooYge6kkb5hlrQ,0,0,5,GL-PwEoR4qfzXufpG9d4DQ
442897,2016-08-15,0,JIfSollg32ifUzTw2K4PDQ,"For al Pastor, this is the place to go.  It should not be called al pastor if it is not sliced off the rotisserie with a pineapple on top and this place does it right.  They also automatically threw grilled Jalapenos and onions in the to go bag without me asking, big bonus.",54XVB5lV4dLaV4wYhpf7jA,0,0,5,DKTnmDPbOJV8V_dCswjsiw
515078,2014-05-11,0,JIfSollg32ifUzTw2K4PDQ,"Best Pastor Tacos this side of the Border period!  I have tried to find good pastor tacos here in vegas for years, some that would be as good as the street tacos I had in Monterrey, Mexico every place has failed miserably except gordos tacos which are decent but not as good as these.  These matched the tacos I had in mexico, they also sell the ""Gringa"" taco which is the way many of the street vendors sell them in Monterrey, MX which is,:flour tortilla, white mexican cheese, lots of pastor meat, avacado slices.  I highly recommend the ""Gringa"" taco, it's big so one is usually enough.  In mexico they also sold one called a ""Campechana""  which was exactly like a ""Gringa"" but it had pastor meat and bistec/steak meat mixed.",P0UiCzSn84cmE9XXjK7YpQ,0,0,5,BCZn4hUPf_G5GJVd4ZK6yg
581552,2017-01-23,0,JIfSollg32ifUzTw2K4PDQ,"I always get the Carne Asada Plate, so yummy. They have a drive through which is great because it's fast and i've never waited in line. Unfortunately, the last time i ordered the carne asada was dry and the rice was cold ): Hopefully it was just bad timing.",0lszkA3LuoLNeNbjNfSU3g,1,0,4,vZvhRNYr0cw6Vg3sddTiyQ
598012,2017-04-18,0,JIfSollg32ifUzTw2K4PDQ,Good flavor! And moderate portions giving 4 stars because there are no spots to sit down and eat.,YVja9DNPXjfiE-Fzs5-kZg,0,0,4,JryNRxn8yO9BGlaIyRfSoA
667242,2013-02-18,0,JIfSollg32ifUzTw2K4PDQ,"A part of me wants to keep this spot a secret, but it is way too good not to share.

IMO, best tacos in Las Vegas, especially the pork.  

Served on a street corner from a portable food cart.  

This isn't the safest part of Las Vegas, but the food makes it worth the trip.",6Iqd0BPJPceBCqkEtqVCQg,0,1,5,_FZ21eUsEpLdVwWlBlWGqQ
747986,2016-07-21,0,JIfSollg32ifUzTw2K4PDQ,"Mmmmm mm
I was craving tacos late night!
Thank you yelp for guiding me here.
The meat is perfectly seasoned and the salsa!",BpV-KsJG8ojaT13JIzG8KA,0,0,5,LaKNz2xaBUhTYcxzrKCE_A
795257,2014-01-20,0,JIfSollg32ifUzTw2K4PDQ,Wow. Al pastor is amazing. Authentic and delicious tacos and salsas. Definitely going back tomorrow!,GtB1usrSkHRgAVh4xcRLRg,1,0,5,RuW5_n02pkKHZ4lmRLo_GQ
868973,2015-09-12,0,JIfSollg32ifUzTw2K4PDQ,"The service was rude and they were a rip off. $2 per taco..6 small tacos for $12. The cashier wasn't courteous at all and I kept having to repeat what three different types of tacos I wanted. 

Tacos weren't good at all...they had a condiment bar with flys all around. Not recommended at all, you're better off going to Taco Bell. BIG DISAPPOINTMENT!",U7V1-Go3hPe3arG9a-gi5A,0,0,1,rK7LUUT8X5Zt43qjC2-WUw
901552,2015-01-24,0,JIfSollg32ifUzTw2K4PDQ,We were in Vegas for a couple of days and found this taco wagon on yelp!!  Come and try this out. Best asada quesadilla EVER and we consider ourselves food truck foodies. Fast service great fixings you can add yourself. Excellent  ck it out u won't be sorry,EfcCUg3Jcffo09tpLW1dLw,0,0,5,-mLq_0zQv_IRwN73V_Vqmw
1014182,2018-02-02,0,JIfSollg32ifUzTw2K4PDQ,"By far my favorite taco spot. The prices are fair and the pastor is to die for. They always have your food out in an appropriate time. Open 24 hours, so you can fight your taco cravings anytime!!! Watch out for the green chunky salsa if you don't have a high heat tolerance. It is so Spivey!!!!! But of course in a good way.",RBf1t0WSD0dcV0UhyeWgYg,0,0,5,je9j6iwG8cAzbdwtLryvKg
