,date,funny,business_id,text,user_id,useful,cool,stars,review_id
1025,2014-07-23,1,JcFyuyo0Rt6gDiVZ9yJ3VQ,"Four stars for the food here, one star for the drinks.  The food is delish- favs include the kale & sweet potato wrap and the bbq chicken wrap.  My issue is with the juices... $11.25 for fresh pressed pesticides.  You cannot charge that much for a juice made with conventional (NON organic) produce and position yourself as a health conscious restaurant catering to that clientele.  People who can afford a $12 juice are smart enough to care where this guy sources his ingredients from.  Also worth noting that the meat is not organic either, so the whole concept is a little off for me.",dEgO4_n8thLMbG1dKfFMHg,4,1,3,2YazjPNZPXaQqAS1sP0MGQ
14639,2016-03-25,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"I went back for a second time since the first time was really good and just as I expected the food was really really good and the staff just as friendly as the first time.
now days is hard to find a place that offers healthy and delicious food, im glad my friends recommended this place and ill be coming back for sure.",IVexKxZFL-z8V7gz1llgyA,0,0,5,7LlfgcCpW__XP5AxiIEl6g
20624,2014-09-02,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"LOVE the Tuscan Chicken sandwich - olive tapenade and Proscuitto and greens - even my picky picky daughter who hates vegetables tried a bite then took the other half. SO good I'm having a hard time ordering anything else! But I have tried the Beet Salad (yummy) and the BBQ chicken salad and the steak salad. They also have a fruit tart that is to die for. Clean, friendly, we now go about 3x a week :)",jSPLIcj0rgOA4pB7jzDmGQ,0,0,5,2bnN0xHWXB-rz19mYKwkRw
45339,2017-04-16,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"If you are a one of those people who say ""Nothing tastes as good as being thin"". This place is for you. You will leave guilt free and probably still hungry. Millenials will love the ordering process, the food is as good as sprouts and foofy can be. The whole corner patio area is awesome and having to share it with other restaurants makes Kravings's confidence in their menu worth a try. I liked it and I am not one of those skinny butt bike shorts wearing guys. You should too.",vHSm0P2ty5WXeCgjA2W6Cw,0,0,4,ItTPkGa4JKmKnjugBaFCaw
47351,2014-05-01,1,JcFyuyo0Rt6gDiVZ9yJ3VQ,"Real great food near red rocks SP- tasty and healthy. I hope these guys franchise to California, I could eat here often.",fUnNr7_swkjt_BqtCWJyAg,1,1,5,2Xah84l5Uzujior6P61YpQ
56104,2015-07-15,1,JcFyuyo0Rt6gDiVZ9yJ3VQ,"We were hiking at Red Rock and stopped at Krayvings for lunch.  All six of us loved our food and smoothies!  Healthy, nicely presented food that hits the spot.  Wish there was a place like back home!",_XisHvabELSf3fQhPl2YwQ,1,1,5,YK9Ds0kwSVcZ-QtNt0HhKA
78171,2016-08-28,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"Delicious food! When you're wanting to grab a quick tasty bite, this is the place. Healthy and easy to order. Would recommend!",Dh-Le9sz5G0s25AGsSq7Nw,0,0,5,C_ZSRtVzYry0Cmeky4mMQA
89482,2015-03-03,1,JcFyuyo0Rt6gDiVZ9yJ3VQ,"I went there once for lunch and that would be my last visit there as well. The taste of food was not bad, but I don't like how the service was run. First of all, we were told that we just had to order thru the tablet on the table. So I pretty much had not much chance to ask about allergy. I ordered the grilled steak sandwich, the menu on the tablet said the bread is whole wheat bread, so I was OK with the description, but there was nowhere I could note that I wanted my steak well done. So I had to go to the cashier counter and told the guy about my need. And my husband ordered a chicken wrap. After some wait, my steak sandwich came first. And I noticed there were whole seeds on and in the bread. So I paged for someone thru the tablet to ask and confirm. Turned out they were really whole flaxseeds, which I am allergic to. Besides the bread was big and there were a minute amount of steak. So the staff person asked me if I want to change the bread to a wrap. At that point, I was worried not knowing if there is anything I would be allergic to in the wrap, so I asked if I can have the brioche bread instead. So the guy took my plate to the kitchen, and then came back to take care of our bill first with a mobile device. I was a bit unhappy about how he handled it, it was as if I would sneak away after I made a request of changing bread. I saw everyone pay after finishing the meal, why would we have to pay before we even had any bite in our mouth? I didn't want to argue with him as I don't want any spitting on our food. So I paid and still were ""forced"" to pay tip right away before we had eaten anything (he stood right next to me watching me signing the receipt. Later on, the sandwich came and I was even more upset, as the brioche was smaller than the flaxseed wheat bread, they couldn't fit all those steak meat in and took away some. And remember what I said earlier, there were very minute amount of meat to begin with, so taking away some making it as if there was not much left. I didn't want to bother to ask and just finish it, and in the back of my head, I was hoping that no one had spotted on it just because I asked for changing the bread. My husband was upset about my sandwich too. And my husband said there was not much chicken in his wrap either. Anyway, this meal was not just and the meat portion was very unreasonable. It wasn't worth to pay any tip at all for such kind of business, we can hardly call that as service, when most of the time was interacting with the tablet. We will never go back and would not recommend at all!",gm8nNoA3uB4In5o_Hxpq3g,2,1,1,7bX9PcyUznsV6BYlZ503Bw
92247,2014-12-28,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,First time here - very impressed.  We had the BBQ Chicken Wrap without Serrano Peppers and the BLT Wrap.  Both were excellent and the service was very attentive and friendly.  I hope thy open one in Henderson before too long.,He9LuvJKM4MK7CXmIkZz-g,0,0,5,-LQDOlYynhKxhe90AMNsPw
96737,2014-06-17,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"FANTASTIC! As a frequent traveler to Las Vegas for work I sometimes find it hard to eat delicious healthy food. Not anymore, Kravings definitely hit the spot for me. I can assure you I will be staying at the Red Rock Hotel more often just to be close to Kravings. 

What did it for me was the steak protein bowl (add extra steak) and a delicious pineapple mojito followed by a chocolate chip cookie. All very reasonably priced. 

The staff was courteous and friendly, the ordering system a breeze. The goods news for me is they are opening a second location in Phoenix very soon. Another city I have to travel to for work.",vEYZM5GBerw2R5WHzuxjcA,1,0,5,4B4SESYiN-kGV2hmtMPc6A
97911,2014-03-26,1,JcFyuyo0Rt6gDiVZ9yJ3VQ,"Quite casual and inexpensive, yet delicious, healthy food and an extremely accommodating staff. The décor is Spartan; you order from your table via a tablet, but special requests are easily dealt with. I have an unusual food allergy and they were very willing to make something special for me. My super healthy chicken bowl was less than $10 and I could only eat half of it.  They have only been open a couple of weeks, so I wasn't expecting them to have it so together, but they exceeded my expectations. I will definitely return.",mz3Z84G2Ab0ogHHr8NOTpw,3,2,5,_oY8lBlg2WmnyTHyiN-ULA
134345,2014-03-16,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"The food is really healthy and tastes great! Lots of fantastic drink choices.

The tablet menus are really intuitive and easy to use - you can even customize your order.",FHEsuHqCyofGOyzpureIEA,1,0,5,-0I13gWnjrUvLkUsh-g3rA
138261,2014-08-04,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,We stumbled across this hole-in-a-wall last week and I've already been to it twice. Great food (loved the Turkey burger) and pretty reasonable prices. Liked ordering food on the IPads :). Nice touch.,2zoYzYffhWYzhjjlR5eMhQ,0,0,4,SW_IGRrRSCjeQzSzOsgwIQ
179856,2015-11-07,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"I have been here a couple times and really love the chimichurri steak sandwich! I
Brought back my family and they were impressed too. The buffalo burger is also pretty tasty!",poQ7jHVataKngWKQKApMNw,0,0,4,BiOikYKNM-2CNZTOyJj8BA
179973,2014-05-09,1,JcFyuyo0Rt6gDiVZ9yJ3VQ,Changing my rating for today....we ordered to go for work lunch and they forgot the dressings on the 2 salads and also packaged the sandwiches incorrectly. Luckily I love their food but maybe they aren't up to speed on to go orders.,2iJCZ23cxVW03fbf-JuYlA,2,1,2,x1vKixvPWujMEB2a_0yd6w
185871,2014-10-13,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"Great food! I stopped by after a big day in Red Rocks, and ordered a protein bowl.

I was very excited to find the serving is humongous! Maybe about 6oz of steak, but a huge amount of mixed quinoa and veggies.

I'll be back for a smoothie.",YdgFwPbuY3_5MTc2RhbOFQ,2,0,5,MtpXie78IsMASyGMZN1K5A
190149,2015-04-16,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"Food is awesome, fresh, great menu for vegetarians. I'd give 5 stars, especially as a regular, but EVERY TIME I've gotten carry out (at least 15x) they mess up the order. I've even emailed them with feedback, which sadly was ignored, never heard back. The staff in the restaurant are always friendly and super nice to our dogs. I'll keep eating there, especially for the waffle sandwich.... Just wish they'd start getting orders right.",pTNUxlX0lMdUv8PfOV0LLg,0,0,4,4Ez53Zbkmf3aPiwUDWyyWg
202734,2016-12-28,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"Grilled cheese with tomato soup - 5 stars, not having real plates and serving dressing in plastic cups - 1 star, service - 5 star, very accommodating, so overall averages to around 4.",-b8aXW98PBaSPaXjMsXY_g,0,0,4,6EkdgzHpTd6F79bqq-ziPg
214899,2016-05-23,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"I've been here on a handful of occasion, each being as pleasant as the next. I'm a fan of the Get Skinny juice.",4Cs6StU5yIRtJH92hf3Djg,0,0,5,53-7aFVrHXx1nFxWcAEv3A
223525,2016-04-03,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"Great place for lunch! The menu is creative and the food is very fresh. I had the ""salmon burger"", which was an actual salmon filet on a bun (rather than the processed salmon patty most places serve), topped with fresh apple-and-pineapple pico de gallo and some kind of spicy mayo. Delicious! My husband had a fantastic-looking salad. Their order system also lets you 100% customize your order using the iPad on your table. 

The only drawbacks are that the location is on the small side, and it probably gets noisy at busy times since it's designed in the industrial style where there's nothing to absorb sound - but both of those will improve when it's warm enough for the patio tables to be open! I'll definitely be back!",-k7dsaDfKzixIiiGMC1rnQ,1,1,5,-lTYS1w2E7GKA9pIMaTCkQ
230907,2015-02-28,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"Updating my review to the Full Five after today's meal! I've been a fan of Krayvings since they opened. They are consistent in great flavors & service. 

While Kray's menu definitely caters to many different diet preferences (vegan, gluten) they fall a little short on sugar free options and there lies my challenge --probably why I haven't been there in a few months even though it's around the corner.

So today I was krayving their breakfast wrap and decided to go with the determination of customizing something on the menu to what would fit with my diet -- and I did it! And it was my most delicious and satisfying meal there yet!

So here is my suggestion to Krayvings - I was able to customize the heck out of your STEAK BREAKFAST BOWL to what turned out to be: Sweet potato hash, mixed veggies, egg whites, avocado, chimichurri and your AMAZING SALSA - all the other stuff on the side because it didn't change the price.  You have several great bowl options that are customizable so why not just make a ""Build a Bowl""?

Also, I would get a smoothie if I could swap out juice base for almond milk, and fruits that are lower glycemic (berries).

Love your menu, please consider some low sugar / low carb options - thanks!",0qka5xnvBpBm7ZfGsU9oCg,1,1,5,2v7g3Cc_mcvFGgAvefsEtQ
245327,2017-04-04,0,JcFyuyo0Rt6gDiVZ9yJ3VQ,"Kravings is my go to place to eat several times a week. Everything on the menu is tasty and yet it fits into my healthy eating lifestyle. I love their ginger shots and all their juices! The staff is very friendly, always warm  and smiling. They offer great deals daily as well when you sign up online to receive their specials. If you don't have time to dine in, they package everything up for you ready to go. 
Thank you Kravings!!",XwOK4TUwiu9zf44apnuTVQ,0,0,5,gpSqlesOf_BoH-xk95FlSA
