,date,funny,business_id,text,user_id,useful,cool,stars,review_id
13110,2016-02-22,0,K2_zfa7cKbg5klHJYqoWnw,The food here was great!... once we finally got it. We had a party of 9 and they brought out all the food seperatly. By the time i got mine 6 people were done eating already. Out of 10 i give the food a 9 but the service gets a 5.,j_1lh9Y8BY9PQWiJu_gF1g,0,0,3,2bgkH1KsR-VkznNqsMjV9w
19914,2016-07-31,1,K2_zfa7cKbg5klHJYqoWnw,"If I could just rate the food, it'd be 5 stars but in this case the two stars go for the terrible customer service. 
I've given this location 2 try's and both experiences were shitty. 
The guy with the beard who works the front attended us both times. He never greeted us when we got in or when we left. The first time we went, we ordered king crab and he forgot to give us the crackers for it so we had to ask for that. He didn't give us gloves so we had to ask for that. I ordered water and when it came, there was no ice (which wasn't a big deal) but when I asked for ice he never came back. The second visit, we ordered a pound of crawfish but there was only about 4 or 5 full bodies and the rest of the ""pound"" was just claws.",UnZDFU57Q6a0vBUAbZEGKg,1,0,2,8SucDeO3JZhB820dg1hi3g
85604,2014-04-17,0,K2_zfa7cKbg5klHJYqoWnw,"This is the second location of Hot'n'Juicy I've been too (the other one being in Chinatown off Spring Mountain Rd) and it remains off-the-chain. This time we had a wonderful server who's name escapes me (Brooke?) but she was very helpful. My wife had never been before and opted for a pound of Crawfish. I went with the shrimp (more meat), we shared a dozen pieces of sausage tossed in the hot'n'juicy sauce in her bag, and we also had an order of the corn fritters (a MUST have with your meal). The biggest thing for me was the recommendation from our server to toss my shrimp in the lemon-pepper sauce. It. Was. Awesome. 

My wife's only complaint was that the crawfish was a lot of work for little reward, but that's not the restaurant's fault. If you want more meat, get the shrimp. If you want to try new things, get the crawfish or lobster or any of the other delicious things they have. You can either have your fish tossed in a bag with the sauce of your choice, or order the sauce on the side. You also eat with your hands but they do have a washing station near the restrooms if you decide to go gloveless. 

All in all another great experience at Hot'n'Juicy. DEFINITELY go here.",On07LboilFAEaDARXKOQCA,1,0,5,_VHhwAiSKUP4UDm1mvviUg
109162,2015-08-09,0,K2_zfa7cKbg5klHJYqoWnw,"Friends and myself were looking for some good reasonably priced seafood on our recent trip to Las Vegas. Someone recommended we try this place. We are so happy we did. The food was great, tasted wonderful and was really ""Hot and juicy"". We had shrimp, clams and lobster with a few sides. All superb. The best part about he experience was the staff. They were funny, bright and right on it whenever we needed anything. Parking was easy and there is plenty of seating. Definitely recommend this location when visiting Las Vegas. This will be a regular stop for us every time we are in town.",NhEij-XNiSEVPJNFuKCkRw,0,0,5,3ErgS5YQLJFEyWA-AgJAOg
137223,2017-07-09,0,K2_zfa7cKbg5klHJYqoWnw,"We stumbled upon this place by accident. We had a soft shell crab po boy, catfish po boy, and a pound of shrimp. The garlic herb sauce on the shrimp was excellent! Po boys were also great. Service was fast and friendly. The only complaint we have is the ranch dressing was definitely out of a bottle and it was terrible.",OinwckZBhYx33ByawDGjGw,0,0,4,nGRexqSYARYbRIegOBfVKQ
162801,2017-03-16,0,K2_zfa7cKbg5klHJYqoWnw,"Delicious and flavorful!  Copious amount of food for an awesome price.  My husband and I were visiting Las Vegas for a small weekend getaway, and we had this place on our list.  We finally made it, as it took a while to find it..but, BOY was it worth it! We ordered the fried catfish. It was fresh and made-to-order.  The french fries (my favorite addiction) were cajun flavored and fresh out of the grease!  We ordered the etoufee (not so great, just spicy) and the get your feet wet shrimp, crawfish, sausage, potatoes and corn boil.  It was delicious!  The sausage was spicy, and my husband couldn't stop eating them.  My favorite was the huge shrimp and the corn (flavorful and simple).  We would definitely come again.  They have other locations (some on the west and east coast), but they have yet to make it to the Midwest...i am hoping that this would change in the near future!  BUT, while we are out traveling, if we happened to see a Hot N Juicy sign, we are stopping and eating!",zqEPS4W6jdQme2EIFy3Csg,0,0,5,EhYCvHW5IE4xFuoLWsxZCA
179977,2014-07-19,0,K2_zfa7cKbg5klHJYqoWnw,Jessica was the bomb server! ! She did a great job of explaining the menu items and gave great recommendations on the seasonings. She even helped us deshell the crawfish. We will definitely be back for more.,2iJCZ23cxVW03fbf-JuYlA,1,0,4,1y3y0cqrh6mL8GeBjBmuWQ
224815,2017-05-29,0,K2_zfa7cKbg5klHJYqoWnw,A lot of options and great flavor!!! I got the shrimp and king crab with garlic butter and both were great,HQXFi8Xw_ZNOi-gkgnf5YQ,1,0,5,7NmoI-Q2cO5TgLrkKVc3ig
261790,2014-11-17,0,K2_zfa7cKbg5klHJYqoWnw,Awesome food and service! Food was tasty especially the hot and juicy sauce.  Servers were very attentive and kept our drinks coming.,lfiJgdaa3w7OZ_brmdDazg,0,0,5,VzEVJdr3vlwk9afwISZUlw
268909,2014-11-19,0,K2_zfa7cKbg5klHJYqoWnw,Hot and juicy rocked again my girlfriend and I were served quickly and the crab and shrimp was off the chart good. Hostess aubree was quick and kind very cool.,t8mKfft5Z8XFEHuY7VPJBg,0,0,5,eZNo8z1EdbIw3o9JCLD4Ww
269136,2014-04-25,0,K2_zfa7cKbg5klHJYqoWnw,"Hey Yelpers, this place is awesome. So awesome I signed up for yelp just to give a damn review. My group had the Hot n Juicy spicy crawfish. Don't be scared of the spicy, not like you're drinking the juice. Also had the snow crabs and shrimp. All of it was delicious. A BIG thank you to our awesome server Brooke. Ask for her, she did a great job showing us how things worked here. Great. Valeria also stopped by the table to see how things were going. She gave us all the scoop on what to do in Vegas. Big ups to her. As a matter of fact, bigs ups to everyone here. Even me.",eXW4G8WjJEmdb7bvQjAW7w,0,0,5,etBFqjRou4vqrRxprKV38A
280639,2014-04-14,0,K2_zfa7cKbg5klHJYqoWnw,"We live in Henderson so we wre so excited when this location opened up. We tried it a few months ago when it first opened. The food (sauce) was not the same and neither was the service. We chalked it up to just opening. 

Tried it again last night. Service is BAD. Several people did come to check on us. however after asking for my husband's rice THREE times we finally got it at almost the end of the meal. The sauce for some reason is absolutely not the same. We both ordered snow crab, one with garlic butter mild, one with hot-n-juicy mild. Very little sauce in the bag and the taste is just different. The crab was not as fresh it seemed either. We both became sick last night. 

It was so different that when we left I called the location on Spring Mtn to see if it was the same owner. The girl on the phone was very nice and said yes. She advised me to place a YELP review and then someone would contact me. We will only be going to this location from now on, but I do hope they fix this one. If this is the first location someone tries I doubt they will be back!",IY9fvoD0BqKYpNC-wXb5TQ,0,0,1,CAqUNG1yWScB7_tDw9Zd6g
294437,2016-01-29,0,K2_zfa7cKbg5klHJYqoWnw,"Went to this location on New Years Eve, love!!!! The fried catfish basket is a blessing to my life, LOL. Cajun fries are equally as delicious. Repeat customer for sure.",7YWkpjUb-YWbfpN7d7sRqg,0,0,5,PTDvEL4aEFmelBnBBJzDJg
311627,2015-10-16,0,K2_zfa7cKbg5klHJYqoWnw,"I order the crawfish w Louisiana seasoning wasn't anything like the way southern seasonings taste (being raised from there I know) it was spicy, other than the false impression of ""Cajun"" service was good.",ueOi-pt-DbllCAFWZfv4aQ,0,0,2,wAWM6T46JnzOiWJTq_8zoA
346625,2014-02-10,0,K2_zfa7cKbg5klHJYqoWnw,"There was this nice woman named Molly, that made sure we had every thing we needed before we can even ask! Plus she had a smooth Pimp limp!! I think it's because she injured her leg!",2Co1ynI4U2vBXZPWffUD3Q,0,0,4,LDKA-V2XOc4qW4g79x9pdw
348212,2015-10-12,0,K2_zfa7cKbg5klHJYqoWnw,"It's definitely more about the experience than the food. You pick your fresh seafood, which includes: clams,mussels, crab-3 different kinds, shrimp and crawdads. Shrimp being the cheapest ($12.00/lb) and king crap being the most expensive ($27.00/lb). You have to get at least one pound and can mix whatever you want and add corn on the cob, red potatoes and sausage for an extra few dollars. You then pick the seasoning you want and the heat/spice. They steam it all together in a plastic bag and bring it to your table. I felt that the seafood was good quality (we tried everything except the mussels) but with the seasoning and spice it all ends up tasting the same. For that reason, I didn't enjoy the meal itself as much as I normally enjoy eating seafood. The experience was different and sort of fun because you are eating out of a bag with your hands and it's really messy. The service was alright and we did end up ordering a side of their corn fritters which were delish. 
For good seafood at a high price I would rather have it at a traditional restaurant or even a buffet. It was a one time experience for me.",vismhbX6zKvldiNh-cTL1A,0,0,2,oRmd7gzLV5SCkYjcQar6Gg
392677,2016-02-22,0,K2_zfa7cKbg5klHJYqoWnw,"We got there and there was a few busy tables and a large party. It took a while for us to place our orders and then it took about 40 minutes to come out. Seriously??!! To order some catfish and fried shrimp?? There was a large party but it wasn't a party of 20-that I can understand. No follow up as far as beverage refills and when it did come around, we got water added to whatever we were drinking. Regardless of what it started out as. This place is cool if your food is To Go-otherwise? I'd frankly go elsewhere....... Will SO not be back-especially at those prices and level of service.",Yr9pkuYEe2JBBTLHaVTAyw,0,0,2,SRcz2znhNCRKtKFHl-hVBA
405299,2013-11-21,0,K2_zfa7cKbg5klHJYqoWnw,"I love the other two hot n juicy locations near china town but this location has the worst service I have ever experienced. We walked in and had to wait about 5 min and there was a couple in front of us and there were about 7 free booths. No one even greeted us. We got sat and waited about 10 min, no server to ask for our drink order yet. Many servers walked passed us and did not even acknowledge us. A man walked in and got seated immediately and was asked what he would like to drink. We still haven't gotten acknowledged by any server yet. So we decided to leave because that is just not acceptable. No one even paid attention or saw us leave. Ridiculous!!!!! I was really surprised how bad the service was because the other two locations are awesome. Sad because I won't be coming here again!!!!!!",KuzbrcnHBcrCIdRhMEqhLg,3,0,1,1CF0ttCsMrX5tt0LU2gzpw
