,date,funny,business_id,text,user_id,useful,cool,stars,review_id
114176,2015-08-06,0,KNTjauGqmib3sG1HWJyKEQ,Perfect place for Korean breakfast and soup. The brisket soup is so good and great prices.,AOsKZP_0Ivs5OOtxIzMxUQ,0,0,4,s6ycivDhW7-NbbMklRrW1A
126716,2015-09-21,0,KNTjauGqmib3sG1HWJyKEQ,"Best Korean Food in Las Vegas!!! Must get the Galbi, Gom Tang and nangmyun!! Authentic ingredients, great service, a perfect warm meal after a long night :)",SAzSQufDNDMvua_N8yIoQA,0,0,5,ikxa6kGufIWzrHKKjoqf2w
141629,2014-01-03,1,KNTjauGqmib3sG1HWJyKEQ,"How to write this review is very tough for me.  I want to give it 5 stars because the bone soup is really good and the broth is so simple and good.  I have to agree with all the other reviews when they say it has the best Kimchi and Radish in Las Vegas...its really good.  I have been here several times but my last visit has made me skeptical of the Kimchi and Radish...which is why i can't give it 5 stars..are you ready?.......

We usually finish the kimchi and radish, but this last time we had leftovers and didn't want it to go to waste, so i ask for a to go box.  the waitress informed me that you can't take the kimchi and radish home....(okay since i already removed it from the bowl it comes in why would they care if i take it home unless.....they reuse the kim chi and radish from other customers...this is gross!!!!!).

I questioned why i couldn't take it and another waitress came over and said I could take it this time but not ever again owner policy....I asked why?  Do you reuse it?  she said...oh no! we keep it for the employees....yeah....sure.  

Though i dont know  for sure thats what they do with the kimchi and radish i can only assume that would be the reason and that has me questioning whether to back now.  Why make it so obvious over such a small amount of kimchi and radish too.  i wasnt taking the bowl full of it.",_O34OQgnyeJ-9w3VnjDR1Q,5,1,3,B7yaI0NYZtIxwXBZzgNGiQ
185641,2016-04-25,0,KNTjauGqmib3sG1HWJyKEQ,Every time I visit Las Vegas this my go to place for delicious Korean food. They keep there side dishes simple and very traditional. The kimchi here is fresh and delicious just like my grandmother use to make it. I love this place!,opDLRnJoNK5KmrSOh0ki0Q,1,1,5,vV1U9NfD8cV2n_Dtxgmu_w
188577,2013-01-01,0,KNTjauGqmib3sG1HWJyKEQ,"Have only tried beef brisket soup.Love the soup and their radish kimchi is very tasty.
I am going back to try other menu items.",lyz5X3WqrgTgn8ipgtDCOw,0,0,5,Mh4fEXpO4mFaqPufuxix9A
247430,2012-09-21,0,KNTjauGqmib3sG1HWJyKEQ,"I hadn't thought about Korean ribs until I stumbled on to E-Jo's, on my recent trip to LV. Typical Korean restaurant with TV playing some weird Korean TV game show. Entertaining in it's own way. Of course I ordered the ""ribs"" they were delicious. Rice, kimchi, and radish rounded out the meal. The hostess/waitress was very nice and  helpful to this caucasean guy who walked in from the street. She even cut up my ""home made"" kimchi. The place was clean. It was enjoyable.",7caomKkMs28ZEjJ6O-NOvA,1,0,4,TN5PkBOgZ8Ii8MmrmjnKYA
264890,2016-10-06,0,KNTjauGqmib3sG1HWJyKEQ,"In Vegas for business.  Best Korean I've had (albeit from an East coast perspective). 

Awesome service.  Owner came out and we chatted about her house made kimchi.  Great experience.",3EbW7oTIg3MWlKKi7JzffQ,0,0,5,Xsru6lBA57lcrJuq1VrzxA
289778,2015-07-26,0,KNTjauGqmib3sG1HWJyKEQ,"Best Korean gookbob restaurant in town.  If you are familiar with gookbob style, a combination of soup and rice, you should love it.  This restaurant is not for typical Korean barbeque, so dont expect to have a BBQ party here.  Anyway, you can give it a try-!",ZhDrfwZDs2XMVBOjVJA-wA,0,0,5,A6gBT9KeK8PvvcSSxndZFw
344916,2014-08-31,0,KNTjauGqmib3sG1HWJyKEQ,"Roach infested disgusting restaurant ! 
This is what I saw during dining ; 
1. Waitresse was killing roaches off the walls & tables 
2. Located unsafe neighborhood, bars on the windows
3. Overall, unclean feel and just didn't feel comfortable in every way after watching waitress handling roaches and trying to laugh it off ; Disgusting !!!",8vdY4lufaZwAb437zbDlZA,0,0,1,g9pzjbS9TKSQw73yELeu_w
366080,2015-04-19,0,KNTjauGqmib3sG1HWJyKEQ,"This restaurant is not on Spring Mountain in midst of Korean bbq restaurants that serves menu broadness that challenges range of cheese cake factory. 

This restaurant specializes in soup that has bone broth as base. I personally love to see restaurant that specializes in certain cuisine and take pride in it. So that was a plus for me. 

Nothing fancy, but food they serve is what I would expect to get from country side of Korea. Soup has deep taste that comes from hours of preparation. Not too many side dishes just two kinds of kimchi which is the norm for Korean restaurants that serves sullungtang. I wasn't a fan of their bulgogi, as I found their meet a little too tough. 

However their soup is something I would definitely go back for. Anytime you see older Korean men eating in a restaurant, you know what they're selling is going to be good. ;) 

I wouldn't say this place is spotless clean but based on food they serve solely, I give four stars. This is not a place you want to take for people who want modern, clean, westernized Asian food.",mhc1aW9wfIBIRQL7zeUoAA,0,0,4,xkiuspOcdSHv4a9YZF2GHA
