,date,funny,business_id,text,user_id,useful,cool,stars,review_id
2849,2015-06-13,0,Ki8seQY5mtXc36xjoMfeDA,Way overpriced and not that good.  Had the chicken wings that were fair and about 15.00 with tax for 5 wings Total rip-off.  Had calamari which had more of the other stuff in there than calamari. Pizza was ok.  Try someplace else and save some money.,OcG7IyWe2q4fv1UbCwIzbw,0,0,2,AjDnA8lC9qoCI2isUb-A3Q
3032,2016-10-21,0,Ki8seQY5mtXc36xjoMfeDA,"Honestly one of my FAVORITE stops for a bite along the strip!!! We started with the meatballs, which were absolutely delicious and served with great bread!! We split the Genovese white pizza - SPECTACULAR!! Highly recommend it. We sat in the outdoor dining area and had great service. All in all, good experience and we'll likely return!!!",3Kz12-pb8UgGG6jUJwcFNA,0,0,5,dsCMwTWG3PBsLrDE83NnYw
25283,2017-12-03,0,Ki8seQY5mtXc36xjoMfeDA,"Best pizza I've had in years!!! The dough is homemade, perfectly thin and the food was at our table 10 minutes after we ordered. Thumbs up!",YJ37fdJ3H4z4EkKK4xzcIg,0,0,5,vCCphmNyJFMEvrsD3IH4gA
46007,2017-05-17,0,Ki8seQY5mtXc36xjoMfeDA,"This pizza definitely hit the spot! Great taste and many options to choose from! Our waiter, Moses, was fantastic! He was attentive to our orders and making sure they came out in a timely manner AND he had such a great personality! I would highly recommend Flour & Barley to anyone who is looking to have some delicious pizza!",mD3qcLtX-DxshfArdSloSQ,0,0,5,HN47_Bot7P7p48VUlcLyew
68313,2017-06-03,0,Ki8seQY5mtXc36xjoMfeDA,Had a nice slice of Pepperoni Pizza after a concert for 5 bucks worth it!,0joxKntA7BHdugYK_p5vbQ,0,0,3,VE26iviExYcBvSjAMM6UCg
87707,2014-06-01,0,Ki8seQY5mtXc36xjoMfeDA,"Service was perfect. Food was tasty. Ambiance was great - we sat out on the patio and had a lovely time people watching and enjoying the weather.  We ordered two pizzas and the meatballs appetizer for two adults, a teenager and a big kid. It was the perfect amount of food. Meatballs had a pesto sauce and were delicious. Our drinks were never empty. 

My only complaint is the price was higher than you might expect for a pizza joint. But it definitely is more upscale than your average pizza joint. They make everything fresh, from scratch and have a variety of pastas. So you pay for quality and it is Vegas, after all. The sodas were $4-6, kinda pricey and it was $19 for a 22-ounce Lagunitas IPA. 

Overall it was a nice experience. We live in Vegas and will definitely be back!",gx35aFi_ZrIuDp8HtLqUEg,0,0,5,GFr4o8Gv2t70f7M5saCqdA
90322,2016-12-02,0,Ki8seQY5mtXc36xjoMfeDA,"Service was wonderful, the staff were all friendly.  Garlic cheese bread and bolognese were both excellent.",AK2VAl0Bb-VSpS2UifkBvg,0,0,4,Gn_FNr88RhN-T9Mft1Aptg
99822,2015-03-03,0,Ki8seQY5mtXc36xjoMfeDA,"I'm sharing my personal experience because I appreciate reviews, good or bad.
We ordered the ""Big Apple"" pizza. They were able to do ""half peperonni-half chicken"" with an additional $4 charge. It is not the best pizza I ever had,  neither the worst. It was edible and the service was fast and friendly. It is an ok place, but not so memorable for me to go back. Especially because there are SO MANY better options in Vegas.",Pcu5Zm5AthDFEH_CBDDx4g,0,0,3,T1giE5MmfqBIAZPgDjKD-g
100831,2016-05-29,0,Ki8seQY5mtXc36xjoMfeDA,"Excellent value, food and service.
Penn vodka and pizza were all really good.
And you can watch the game on multiple tv.
Highest recommend",Rtn2SW45PYWxfeMmlnFdFQ,0,0,5,xkh45BG3g1tqWRHdY3j-lQ
115962,2015-09-30,0,Ki8seQY5mtXc36xjoMfeDA,"Great pizza, fast and friendly. Off the strip a bit down the walkway. Nice outdoor seating.",ZV9jL5ZCkrMrt9y2OEZtyg,0,0,4,8yYga02UoO8LmRtOKpg2Qg
121118,2016-03-24,0,Ki8seQY5mtXc36xjoMfeDA,"Horrible service. I ordered a vegan version of the pizza and the guys ignored it and gave me one with meat on it. Then they just gave me the pizza by taking off meat from top of it.

No respect for customer.",V4QVwi2mmXDWPaX8vMcUBQ,3,0,1,95PLAl2e31J9HPDlBpcLJg
133232,2015-05-07,2,Ki8seQY5mtXc36xjoMfeDA,"My wife and I were married in the High Roller wheel on April 25th and had our 30 guest dinner party at F&B immediately after.  All of the guests, my wife and I could not have been more pleased with the professionalism and courtesy of the staff as well as the delicious and well-portioned food!  Not to mention the wonderful beer and wine selections available.

Working from the group menu we selected the following:

Appetizers:  Meatballs and Garlic Cheese Bread

Pizza:  Bianca, Gianna and The Parma

Pasta:  Bucatini Alla Bolognese

Desert:  Cannoli

Everything was presented in huge portions and all were fresh and tasty.  Some of the favorites among the guests were the meatballs, garlic cheese bread, the Gianna and The Parma pizzas, Bucatini Alla Bolognese and of course the cannolis! (I think that was pretty much all of it!)

During our ""scouting"" trip to F&B my fiance and I also had the Salsicce and Reggio-Emilia pizzas which were also excellent.  Being mushrooms lovers we especially enjoyed all their mushroom based pies.

My wife and I are pizza addicts, we had a truly great experience and would definitely recommend F&B to anyone for any occasion and we will certainly be back as we frequent Vegas often.",jDOunJlabYaCfQIAd_zOrA,2,4,5,kD3lyZ-Zp72KJG_qErgG4Q
203164,2015-01-10,0,Ki8seQY5mtXc36xjoMfeDA,PIzza and Salad was great only thing for me was the price of the fountain soda $4.00 thought was a litttle pricey wife had reguler ice tea and that was $4.00 as well.,HdIjMHe6FtvTtJZt7vBKIw,0,0,4,MUKxVGltqEutDJvMvaMA7w
212630,2016-08-10,0,Ki8seQY5mtXc36xjoMfeDA,Their pizza is a 4 out of 5.  Great service and drinks were good but paying 70 dollars for two pizzas and two drinks it's just way too much. Prices are too high but if your are willing to spend then go ahead.,IlmXDTH00NKNJiaWxZFgzQ,0,1,3,jUUaGYz9dsHurzXxkNK7pQ
239214,2015-12-28,0,Ki8seQY5mtXc36xjoMfeDA,"Brick oven pizza as they call themselves. Pizza is thin and comes in one size only.
It's fresh and they have red sauce and white sauce.
They are over priced and your bill will turn out to be around 25 bucks or so if you order food and soda or a beer.
I'm quite sure there are better pizza places in Vegas.",KHwl3ALvFWAfnBXrZO0vzg,0,0,3,wH3alaLzGUQakQvWfdMXjw
239780,2017-08-08,0,Ki8seQY5mtXc36xjoMfeDA,Pizza was alright. I still rather go to Pizza hut. Good cocktail selection. TVs with sports channels like ESPN to watch.,TkRbyFSi7mmcI7TvEKzyzw,0,0,3,gxKeP2Km7Vk-TVnGlVcDSQ
246482,2016-03-17,0,Ki8seQY5mtXc36xjoMfeDA,The service was super slow. They had MAYBE 5 people inside and another 15 outside and we had to wait close to an hour for our pizza we NEVER got. Wouldn't suggest if you're hungry.,PAAhetqAf0mwfL439i2YrA,1,0,1,PfAILkpj8Lp2aBlabXg6ow
287410,2015-01-15,0,Ki8seQY5mtXc36xjoMfeDA,"Food was great! Had the Giana pizza, sausage, pine nuts, mushrooms. Crust is great (thanks brick oven). Kale & arugula salad with sun dried tomatoes was fresh & filling.  Great service, clean. Outside seating available.",CQxB4M_3j5EHWrAdQBMOOg,0,0,5,WE7IqfLltWDYQ3qQuC4gKw
301023,2014-04-13,0,Ki8seQY5mtXc36xjoMfeDA,"It was a Saturday night and we didn't have reservations so we were expecting a wait, but they didn't tell us how long it would be. They instead just offered us bar seating. I was with 5 guys so we were fine with it. Our waitress seemed confused and inattentive, spending most of her time flirting with the bartender. She never offered refills. We ordered five pizzas. The first two came out 30 minutes later. The second two 10 minutes after that. And the last another 5 minutes later. The cheese pizza I ordered was WAY to salty. So much so that I had a stomach ache almost immediately after the first bite. Lastly, they couldn't split our check. Overall not a great experience considering the promising location.",F0HVZwlse6y4owU0J9qQaQ,0,0,2,RtAGc4Bw2VnOQE74KVuaJQ
347776,2016-01-17,0,Ki8seQY5mtXc36xjoMfeDA,"My family and I went here last night and had a great experience. We were greeted immediately by the nice young ladies outside and got a table right away. Despite the fact that they were really busy (NFL playoffs), we didn't wait long to meet our server, Andrew, who was fantastic and very helpful. I was skeptical at first because they don't have vegan cheese listed on their menu, but I checked Yelp! before visiting and saw it was available (thanks, random yelper)! The food was delicious, we never had to ask for anything, the atmosphere was accommodating, and everything was made of happiness. The only thing that sucked was the pretentious old French couple sitting next to us who complained about everything. 

Highly recommended!",IbgWItVPEPlF2qhJihycpg,0,0,5,54cluhZXDvBrBIFu0thyHg
393141,2014-07-11,0,Ki8seQY5mtXc36xjoMfeDA,"The food was delicious! Our waitress was great and the decor is minimalist but original. I wish that we lived closer to this place.  Please put one in Louisville, Kentucky.",oThUfvRQLeODiJFvPQg54A,0,0,4,EUVaejnNTGinXkqXjJFB2Q
398717,2016-08-31,0,Ki8seQY5mtXc36xjoMfeDA,"Pizza is pretty average. Nothing awesome but nothing bad. This place has an indoor and outdoor seating area where you can purchase pizza slices outside if you want just a quick bite to eat. I went during my lunch break during a conference and my only advice would be to allow people to sit in your outdoor seating area during your slower times when they purchase a slice from the outside window. A few of us just bought a slice of pizza and wanted a place to sit for a few minutes to eat and when I asked if we could sit and eat we were told no, that the area is for dine in customers only. I took a look around the large outdoor eating area and there was no one sitting out there. Not really a good customer service answer especially because no one was there. We ended up having to stand and eat.",i6w0VfTvvvbPk6Rj2gsBdw,0,0,3,1lxEYZRBYhtd1N2US5JetQ
420852,2017-05-25,0,Ki8seQY5mtXc36xjoMfeDA,Got parma poccuito pizza. Was amazing . And our waiter was fast friendly and had good advice.,9Q8plz2fPHFxJXPUt6hKoA,0,0,5,iYTcBKJBKI65APJ-U-fzTQ
482732,2014-06-28,0,Ki8seQY5mtXc36xjoMfeDA,Meatballs were the best! We eat meatballs everywhere we go and these were by far the best! Bloody Mary needs some work....,FyWrHq79knd0X7dB7hPT_Q,0,0,5,pCI5ojWfgT4EYEOybrYloQ
498879,2015-03-12,0,Ki8seQY5mtXc36xjoMfeDA,Fantastic pizza. And Stephanie at the togo window is the best! Amazing service and really friendly!,TLBHvCdMVaSx_6lLnvzTXQ,0,0,4,7Sdwt63Bo03r-S_lRIYgUg
503035,2015-07-13,0,Ki8seQY5mtXc36xjoMfeDA,"Went for dinner and wanted to sit inside to get away from the heat. It was nice we were seated near the bar and ordered 2 pizzas. they were fairly quick. The pizzas were only ok here, they were very soggy (two different pizzas and they were both soggy) My main problem with this establishment is that we were only three slices in to the two pizzas and one on the bartenders was screwing around with a glass behind the bar and lost control of it over the bar and shattered 3-4 feet in front of our table and NO ONE came over to ask if any glass may have flew our way. Not sure if it did or not but I saw glass shards flying. Needless to say since they did not give a cr&p about the customers possibly being hit by glass or glass possibly being in our food we stopped eating it boxed it up paid and left. I threw the rest of the pizza in a garbage can outside. I know I could have complained to the manager and probably received different food but we all know what complainers get in their food. And to top it all off the stupid employees were all laughing about it. VERY UNPROFESSIONAL!",Qeg3guoqtT9GtfAqmD4qpA,0,0,1,LpRu_iMD83kHMeitAFwYhQ
517070,2015-04-23,0,Ki8seQY5mtXc36xjoMfeDA,"Located at the Linq, this is a great place to spend an evening.  We had live music during our meal, and enjoyed shopping afterwards.

Food was great, and waiter's recommendations were exactly as he claimed.  Draft beer selection was lacking, but not enough to kill the experience.",s47aScCmFx3B851qfybi9g,0,0,4,iO26P59oZ6jrCgsSXMs9bg
549163,2015-02-10,0,Ki8seQY5mtXc36xjoMfeDA,Only went to take out counter. Pretty good pizza for grab and go slice. Sauce was slightly lacking but overall would grab for lunch for 2 under $10 in vegas. More like 3.5 stars,bkBNibu9StZRLT8jIW3PRQ,0,0,3,lz0AO51RlHcyMPiyRQTzuQ
550859,2014-10-15,1,Ki8seQY5mtXc36xjoMfeDA,"The slice of pizza was good. The service by General Manager Vincent was horrible! The location is inside the Linq, potential for better business. But the restaurant was empty and quiet. Vincent was rude and unprofessional. No wonder why they did not have any clients dining in and even the staff looked unhappy. I wanted to dine in but unfortunately we were denied service for a party of four because I had my smoothie drink that had piña colada but because it was an outside drink we were not allowed? Hello - we are in Vegas, everyone is walking around with a drink. Besides the point, the outcome would have been a positive one if Vincent wasn't RUDE! I asked if he was the owner and he said he was it, WOW he should go to Business school to first obtain an education on service and then know how to run a successful business.",C8izKRGmERoCsayTo3TUQg,4,1,1,dZlZ0v9oV9WuZmrRctuzQg
