,date,funny,business_id,text,user_id,useful,cool,stars,review_id
2012,2014-04-26,0,KjV_68oLLSpqR96VnV68tw,First of all when you go thru the drive-thru they dont greet you at all. There food is also very greasy. And when your done ordering they never tell the total. How are we supposed to know how much the total is if they dont tell us.,SQm5TEeF_tP9QJKg1HAN6Q,1,0,2,IcWBYf4oXSb27EMxoADLmQ
30308,2012-04-21,0,KjV_68oLLSpqR96VnV68tw,I love Robertos... But lately the food they make tastes like booboo. It's never hot and the next day I get sick from it... This place doesn't get my order right on the regular so we will not be coming back. Get it together !,i6cOMdhHpvkMvy54_Flpyw,2,1,2,t-OarbnZjt2ClovbjjCBMg
64565,2015-12-06,0,KjV_68oLLSpqR96VnV68tw,"Though in general, I absolutely adore the food here at Roberto's, I was absolutely disgusted be their restrooms. Not only was there a roll of paper towels in place of a roll of toilet paper, there was a droplet of bloody on the floor, and a blood stained paper towel atop the trash can. For one, people should be courteous enough to throw their blood stained toiletries in the toilet or at the very least the trash can, but for two, the staff should be on top of the one restroom enough that their guests don't have to encounter the potentially dangerous (health wise) effects of a blood laden bathroom.",kocSktxgnlI_E9g5fovT2g,0,0,2,8W-3p9l0hDQgtyS2SjMYgQ
78700,2017-02-04,0,KjV_68oLLSpqR96VnV68tw,"Horrible customer service!! There's plenty of good taco joints in Vegas that have good food and nice service, don't waste your money at this robertos. It's a shame cuz the food at this location is not bad but I'd much rather give my money to a place where I'm not treated with attitude by the cashiers. 

The cashiers especially those in the drive thru need a major lesson in friendliness.",MGAVmCz_lpE-zX3frnMFEA,0,0,2,I-hL-y852EYIKtU85d7nWg
86726,2017-06-03,0,KjV_68oLLSpqR96VnV68tw,Horrible customer service - I felt like my appearance bothered them . Twilight zone weird,6ekFdcz0JkaaafuR45LxSA,0,0,1,Ra3eRJ0LkQoVMvvGfYh67Q
91557,2010-12-08,1,KjV_68oLLSpqR96VnV68tw,"i don't really crave mexican food, but sweet chihuahua their tacos are frickin good! i thought $2 a taco was a bit high, but they were stuffed, and worth it.   why not 5 stars? every Robertos i've ever gone into, smells like floor cleaner.......wth? you know, that bleachy smell. so i drive thru. or get to go. ole",tT35CXTczsgP7GjOEKTZkw,1,1,4,shRp7XOPabJhs-d6mcTnrg
130517,2015-01-17,0,KjV_68oLLSpqR96VnV68tw,"I have noticed that the breakfast burritos and chicken tacos are half the size they used to be.  Portions used to be generous and I found myself there 2 to 3 times a week.  Two chicken tacos used to be enough to fill me up, it now takes 4.  I used to be able to split a breakfast burrito with my wife, now we both want our own!  The food and service are good but I am disapointed that they are cutting back on portions.  I will be looking for another place for my Mexican fast food fix!",x8sKxHSVAHtITqeQKk6CFg,1,0,3,tvghQZ7-OsNor2eqvhi5Nw
247732,2016-09-23,0,KjV_68oLLSpqR96VnV68tw,"Grabbed some food for me and my crew after a hard day's work. I should have known better than to eat my lukewarm burrito! A few hours later I was sick as a dog. Puked and almost crapped myself to death over 3 days with the food poisoning (sorry to be graphic).

Swore myself off fast food forever after that fight for my life. DON'T EAT HERE EVER!
Just looking at their pictures is enough to make me wretch. Reported them to the health department. Minus infinity stars. Puto!!",AvmNAhDP91h_oYkUaHa5Mw,0,0,1,DgykgLfqz5hRLiF_LCILfQ
325193,2013-11-07,0,KjV_68oLLSpqR96VnV68tw,"Since I moved to Vegas 6months ago I've seen a Roberto's in like every shopping center, so for lunch today I said let me give it a try, must be good if it's all over the place. Boy was I wrong!!! It was ok at best, I had the chicken Tacos and I had some cartilage in it, not okay with me, the cheese they use is super cheap, all in all no quality, only reason I give it 2 stars is they had good sauces and it's open 24hrs, if I'm not drunk and starving at 3am in would probably never come back here again",I760E7CstbIV1UdxvwEJwQ,0,0,2,edr9xBlsxRXENgEYVVtGYA
335871,2015-12-06,0,KjV_68oLLSpqR96VnV68tw,I come here often and love the shrimp cocktail but tonight was pathetic. I had 3 little shrimp in it. When I called for a manager I was told there was none on duty. Pathetic and will lose customers this way.,PxOKW5bGR4jJEwPcdyJdSg,0,0,1,k3_3hLTXFFfljtRCxIAndQ
348960,2015-12-24,0,KjV_68oLLSpqR96VnV68tw,"Went inside to order 12 chicken tacos on taco night. Big mistake. 3 people before me and 3 people after me got their orders and the entire drive thru line was cleared up. When I asked about my order, they still managed to get it wrong. Their only saving grace is they are lucky I'm so cheap. I guess you get way you pay for.",fzK1C2fLeEsqh0zHs70p7w,0,0,1,M-PhYBOiJDbJBZCbV5Mgwg
493737,2017-01-22,0,KjV_68oLLSpqR96VnV68tw,So i bought a carne asada breakfast burrito and found egg shells in it. Really the cook didnt see it or just didnt give a you know what.,dzuDeiIxJzgfH8OTxS8TrQ,0,0,1,r79w3ssmsFKUwV3ZGl76Ig
