,date,funny,business_id,text,user_id,useful,cool,stars,review_id
23667,2017-02-15,0,L1-1P3acJc4gEFvWwjXcNQ,"I'll start this post with a confession . I'm a foodie and a diva when it comes to good food and fresh ingredients . 
In a city of good restaurants , it's not very often where we are blessed to have a Great Resturant open its doors . From the decor to the staff and most importantly the FOOD , this place is must have/try. 
The owner/chef and his family really care and its demonstrated in the warm family atmosphere and fantastic, fresh , flavorful food. Local or just visiting u HAVE TO try this place.  U will not be disappointed I promise.  The hummus is home made and gyro are best in town. The kabobs ( kalamaki) are excellent . Try the soup too . Mmmm so good !!!! They also have a great authentic dessert line up as well . This place will be around for a very very long time . My compliments to the great people who opened this place .  . Great job !!!! 
Wish they were open 24 /7/365 . Lol",aahxmN1tsvlufuU_y4OT1A,0,0,5,I29yXbEzRO7J4yMISI4v5g
33122,2017-06-27,0,L1-1P3acJc4gEFvWwjXcNQ,"Great place, great food, great vibe! It's nice and clean, and portions are huge. If you love Greek food, this is the place to go!",ZYWE_5FQRAzZPOoXxuKqRA,0,0,5,ggq7DBRGA3PORWEYe8ZxaQ
62614,2017-04-23,0,L1-1P3acJc4gEFvWwjXcNQ,BRAVO.....Finally authentic excellent Greek Eats in Las Vegas!!!!!!!!!,LTcZTenm-5ODdPQ-T5S_DQ,0,0,5,imZURnE6SN8XfXS9wOObtQ
77493,2017-10-19,0,L1-1P3acJc4gEFvWwjXcNQ,"The absolute best Greek food you will have in Vegas! Being a chef and having owned Greek fast food restaurants in NY I can tell you Meraki rivals the best and closest thing or maybe even better than being in Greece . The gyro is made there and is excellent.  The lamb burger is a must try and off the charts too. If you have room left you must have the ravani cake, made with semolina and syrup, like my mother made and their homemade Baklava ice cream. Awesome. My favorite place!",ARkQTIcXfk6DIcDcRAk0_w,0,0,5,cV3Mx8UMNTiT2H_UwW89CQ
87500,2017-05-17,0,L1-1P3acJc4gEFvWwjXcNQ,"Legit 5 star food. Stopped in after seeing it on the way to my doctors appointment. This is the best Greek food I've ever had and dare I say my favorite restaurant in Las Vegas. The gyro was moist and flavorful, not greasy and crunchy like some places. The rice pilaf was delicious and the salad was fresh with all the proper toppings. Feta fries were amazing.... flavors reminiscent of garlic bread. and dolmeh appeared to be fresh made as well. Everything was delicious and reasonably priced. Huge portions. Definitely give this place a try !!!",V-Y2bJWLjKlxr_gn-YIkUQ,0,0,5,aWZ6pDVoWmDIbNjKVSbaRg
134360,2017-11-15,0,L1-1P3acJc4gEFvWwjXcNQ,I stumbled upon this place on total accident when I noticed a spot I used to frequent next door had closed down. I was pleasantly surprised with the entire experience. The service was fantastic and so fast. I ordered the signature bowl with quinoa and chicken. Presentation was stunning and the food tastes delicious. I will definitely be returning. Great spot for authentic greek food for a guy/gal on the go like me.,_58fyhEvJ3tDU2ukjXkXXg,0,0,5,Fy0Ekfu4xli19XFBu040IA
205951,2017-03-10,0,L1-1P3acJc4gEFvWwjXcNQ,"Alice and Jerry the owners did a great job with the new restaurant. The food was great and the restaurant is very nice inside. Interior is comfortable, clean and it has a friendly atmosphere. Rosie our server was the best!!! We live in Green Valley but will definitely drive the 15-20 minutes to eat here again.",Cr74Ih0TFdbFlfNuNjoWVA,1,1,5,G-Xjp15EPnTAW6cbhn4yYQ
244634,2017-02-26,0,L1-1P3acJc4gEFvWwjXcNQ,"Had dinner here with my family last night, it was wonderful. We had the Gyro plate, the Steak plate, the Feta fries, the lemon chicken rice soup.  
We shared everything. There was nothing we didn't love.  We live on the other side of town and were here for business, saw the place and gave it a try.  It was so good we will make the 35 minute drive to eat here again.  Enjoy",xulplALTIRHtU2ZoC6BJzQ,0,0,5,vOqx_xv2fJ0_Gtf-2yRErw
298395,2017-07-23,0,L1-1P3acJc4gEFvWwjXcNQ,Absolutely delicious.  Moist kebabs the chicken and steak is mouth watering I love the meraki gyro.  Village Greek salad is also a favorite.  Im middle Eastern and this is my most favorite restaurant in town.,khMX1z3Uyl8mG20WEfXv9w,0,0,5,5YmPT6X02yAcXJQ-bSO4Lg
332897,2017-07-27,0,L1-1P3acJc4gEFvWwjXcNQ,"The food here is AMAZING!! Huge portions, enough leftovers for another meal! Food tastes fresh and authentic. Staff is very friendly too! Love coming here.",Pcp-UienRkw8oZRn2cZzpw,0,0,5,5T15WM8wUELZNpg3q9rmXQ
342166,2017-03-06,0,L1-1P3acJc4gEFvWwjXcNQ,"Wow! What a great food and service! Definitely my new favorite Greek place in town! 
P.S Lamb Burger was delicious.",UQ-nPCs-7DTmsSEaOIk8vg,0,0,5,aPc2bGqdNxGU-Q5AU2OZqw
365080,2017-03-18,0,L1-1P3acJc4gEFvWwjXcNQ,"best place I've found in Vegas for Greek food, delicious and reminds me of the food my family made",s1SdMNXduUEzMmjFEBBiyw,0,0,5,V-Gm4KGeavvzgjau7C7v4w
473714,2017-03-31,0,L1-1P3acJc4gEFvWwjXcNQ,"In Vegas for one of the many trade shows I come to here a year. Tried our Meraki because we were tired of spending On Strip prices. We had a car so it was easy to get to. Could not be happier! The service was great, clean, and the food was awesome. Coming from NY/NJ, I am very picky with my Gyros and this is up there with the best I ever had.  The hummus was also great and they give you enough Pita to eat it all! 

Don't let the relaxed ""take out"" atmosphere fool you. 

You know it's a good Greek joint when there is a 3 generation family of 10+ Greeks eating there!",4VN0jVKvBUa0o331Q-pEUA,0,0,5,HYi05eyU5YYcFaoKwRRPog
483815,2017-05-29,0,L1-1P3acJc4gEFvWwjXcNQ,Incredible food and service to boot. You won't be disappointed with quality and the taste of the food. I say be bold and Try everything you will not go wrong. The place is clean and you can see the food being prepared. Love it.,0rbhjdiiW_9XhWTIhB2Z3w,0,0,5,u3XP40KHylRUUWBhvc_eAg
486067,2017-04-09,0,L1-1P3acJc4gEFvWwjXcNQ,"Very good moment. A very beautiful assortiment of five appetizers, specially the hummus. 
The falafel sandwich is a total success, it reminds me the one made in ""chez Marie"" restaurant in Paris. 
All the menu is compose to fresh products.

Je recommande vivement ce restaurant grec !",libdukS-jQTKTPu4chSMpw,0,0,5,gpuoOhT0ds1mljND6g2YKA
611953,2017-07-27,0,L1-1P3acJc4gEFvWwjXcNQ,Well worth the visit. Very busy at lunch time but there's a reason. Delicious! Try the Baklava ice cream...world class.,l-sahNDVZhbrVCltskbDiA,0,0,5,lyZce2NL-d5IZQ_cBCOMNg
645441,2017-04-19,0,L1-1P3acJc4gEFvWwjXcNQ,"This was our fourth time coming here.  From one to three the visits were great, service was absolutely great, food was excellent, presentation was excellent and the atmosphere was exceptional.  This visit however was not the same.  Of all the staff there we got a smile from only one.  While the food was good it did not live up to the first three visits.  I placed our order and asked that everything be served at the same time, the Mediterranean Grilled Octopus was great as far as seasoning, though the dish had been changed, and instead of being served over a salad was served over cold beans.  Also when my wife asked the blonde server if there was a difference and was told they changed things when they wanted. After the Octopus waited some fifteen minutes for the remainder of the food to arrive and was cold by that time, the salad delivered was not the one I ordered and the Steak Kalamaki platter I ordered with French fries came with rice and the steak kabobs had no seasoning on them at all.  Overall the food while a little bland was still good.  For the first time since coming here both my wife and I had to salt our entire meal.  Too bad they had already set the bar so high previously so we know what they are capable of.  The food earns five stars, the service tonight brought that down to three.",QevYjxVahffbvVM53g9a0w,0,0,3,Dmz1ScJc4LALQqXnaau_OA
716895,2017-07-02,0,L1-1P3acJc4gEFvWwjXcNQ,"We escaped the blazing heat of the strip to try this restaurant for a late lunch and we are so glad we did!  We have a family with a picky eater, a vegan, and one with a lot of food allergies. We all were super happy and safe here. The gal at the counter was so kind and took her time to explain the best options for us.  Everyone working there seemed glad to be working there and appeared happy to make us happy.  Boy, were we happy! I had the quinoa bowl and added falafel. The teenager had the kids chicken plate with rice.  The husband had the falafel sandwich.  The other teen had fries and a side of falafel.  That was enough to keep us full for the rest of the day.   The price for the four of us was quite reasonable. I wish that this place was closer to LA because I would go often if it was.",Z97tQHSEb0Ohc9W0d7wiyQ,0,0,5,0AODvEcp0ijliGAe9zgWsQ
735593,2017-07-10,0,L1-1P3acJc4gEFvWwjXcNQ,"Absolutely great Greek food . Of all the places I have been to or tried or sampled Greek food .in have to give this establishment thumps up , for service and most importantly the authentic taste and the overall Greek vibe . This is my second time here while in vegas . And I'm certain I'll be back again .",_dQZyivig-Y2idtNz7ocdQ,1,0,5,U0OltOt48uXHgW0h4nZUNA
752912,2017-11-30,0,L1-1P3acJc4gEFvWwjXcNQ,"The Gryo Meraki was the best gyro I have ever had!  The service was kind, quick, and amazing.  Everyone loved their meal! Highly recommend.",zJjehyZBh4fwo_PWMey8bA,0,0,5,i6SE-e_QJT3CJwUsLie_0A
764009,2017-09-16,0,L1-1P3acJc4gEFvWwjXcNQ,The best Greek food in vegas. Prices were great for the amount of food we got. Everything was tasty and fresh. Great food and great service!,0WNHi2MW6a3rSfxtrjVp8A,0,0,5,dKaS8dwyh1jXI1Eoh3XDXg
792579,2017-05-26,0,L1-1P3acJc4gEFvWwjXcNQ,"This place is awesome. Authentic Greek food, all of the right flavours and traditional Greek fare including desserts like baklava, Greek beer, and even Greek music playing in the background. By far one of the best Greek restaurants I've been to outside of Greece. Highly recommend!",6zDp4vSc2mMslbSRtHGWeA,0,0,5,Wx2DjMZrnD0Yqx_t-fb8OA
