,date,funny,business_id,text,user_id,useful,cool,stars,review_id
12204,2016-10-17,0,LIU7IcJtD9VieoIo__wd9Q,"We came here because of the great Yelp reviews and were not disappointed! It's a little hole in the wall and doesn't look promising from the outside, but don't get deterred by looks. I had the Tom Kha soup and Pad See Ew and both were delicious.  I definitely recommend coming here. Great service, super friendly owners, super tasty food.",1KP6EAPQY7cFagH_iTdUQQ,0,0,5,h2FSL3sP4RZlAqJgUzJWUw
87339,2017-07-30,0,LIU7IcJtD9VieoIo__wd9Q,"WOW 
The food is amazing 
The prices are even better.
I ordered -
Pad Thai with Thai Coffee & tea 
Salad with beef
Chicken Satay with Thai Green tea
My wife and daughter, are very tough to pleased, and both of them really enjoyed their food with many compliments 
Happy eating family",ai2cXbwFH4hIvasZuAefmA,0,0,5,ryewQbBDUaRorVXS79M6Pg
169384,2015-08-03,1,LIU7IcJtD9VieoIo__wd9Q,"Thai Pan has terrific food!  We've enjoyed everything we've tried but our favorite is the mango curry. Very nice people, good prices, interesting menu, and they consistently cook to their spice scale. They are a great little neighborhood gem!",Nro2yW4LlfaQUCqnz35rxg,1,0,5,UEZ4Hk1Ius1f0YdTYJ1J9g
197168,2015-12-30,0,LIU7IcJtD9VieoIo__wd9Q,"Good Flavor!   They forgot the little pot with the flame in the middle for their soup though. It's small in there, 3 tables Only. But overall Good and reasonable$ .",2AjN5bK1OtQbYslMR9mOyA,0,0,4,j8ugd5ER4J5g7tMV1QLE3A
201816,2016-07-18,0,LIU7IcJtD9VieoIo__wd9Q,"Great Thai home style food! Tried Green Tea latte, Thai Ice tea, Tom yum soup, Mango curry, Pineapple fried rice, curry puff, and mango sweet rice. Recommend all. Very friendly staff!",_UFZCHtaTvU3O-x6XVExsQ,0,0,5,8EJNiuuV9_aYaTZnbV6VAw
242033,2015-05-09,0,LIU7IcJtD9VieoIo__wd9Q,"Very very good food !! I had ever eat.. Nice price. You guys should try...
  I god pat thai !! Rice noodle it come with egg , scallion , bean sprout and i got it with beef it was super good !! Really good. You have to try.",TcL2IiTi8wWvfo0B87tP2w,1,0,5,_hUuCo8iJ0vrZQWaMDsarA
298228,2016-10-02,0,LIU7IcJtD9VieoIo__wd9Q,Very good experience. Food is excellent. Highly recommend if you enjoy authentic Thai food.,EiUbCkbuD9AcsvzJVJY0IQ,0,0,5,lzylvKvfCJRlQoOlQA7G8w
316764,2016-05-01,0,LIU7IcJtD9VieoIo__wd9Q,Ordered for the first time tonight and definitely will be returning. Super friendly and awesome customer service. My family enjoyed the teriyaki with veggies. the sauce didnt overtake the chicken/veggies which was good and the chicken was cooked just right. Ordered the beef pho and another one with shrimp and portions were spot on and taste better than others. Small place but a must try.,yJYpPOOYqeTdKcVZNU5PVw,0,0,5,4QzOSgJnGrjeAunJrTcBcQ
442715,2016-05-18,0,LIU7IcJtD9VieoIo__wd9Q,"It was our first time here and the food was amazing!! The curry puffs and khoa soi kai were out of this world and the service was excellent! Next time your in town and craving some great authentic Thai food come here, you won't regret it.",7EYEAn8D_mi-0j9D7IvpaQ,0,0,5,uBlemHk1YHQFnrr-ii-lNA
476397,2016-03-07,0,LIU7IcJtD9VieoIo__wd9Q,First time here looked up on Yelp and enjoyed every minute of it. it's near to csn campus.,VcKk20XS8BnZqsTzjOnyKQ,0,0,5,WsnWfwryJ_Wridt8mtBj6g
485008,2016-10-21,0,LIU7IcJtD9VieoIo__wd9Q,"I love to support local business.
Came from L.A. on Saturday, going have Sterling brunch on Sunday, 
decide to go for something light.  
Arrived at restaurant around 5PM, location was empty during our visit.
Order the Pad Thai, Chicken Satay 5 Pcs Yellow Curry.
Got two Thai Tea free for doing the Yelp check-in.
All food and drinks ordered were great, generous on the meats, ingredients used were fresh and handle with care.  Rice was fluffy and perfectly cooked.
Location was clean not only in the dining area, it's  super clean  in the back of the kitchen as well.
Server were nice, didn't charges us for rice when we ask for second serving.  Owner even came out to say goodbye when we leave.",E0f48XxsVsaVsgNjUoriRw,2,0,5,KkyycHrn75T8Prd_6ruGmA
499303,2016-03-13,0,LIU7IcJtD9VieoIo__wd9Q,Great food excellent service and very clean resteraunt. Definately a well known place for locals thats away from the crowded las vegas strip.,RhwVGBeovMBDITj_DY_KBg,1,0,5,FryqhGiygKmsZ1fF6LI0pg
524937,2015-09-10,0,LIU7IcJtD9VieoIo__wd9Q,"I saw the great reviews on yelp and decided to try this place. I'm so glad we did. The pad thai was very good, as well as the Mongolian chicken and spring rolls. The service was very attentive. A great meal for a great price.",caKdJXKjobsFB_yCy5JlKw,0,0,5,HCjmE2ml-_RvkKPLTHY9sA
525636,2017-07-04,0,LIU7IcJtD9VieoIo__wd9Q,"Ordered take out Saturday evening around 7pm.  Right after I placed my phone order, I called them back to cancel one of the ordered items, they said ""no, we made it already"".  I highly doubt that you made it after just me placing the phone order.  That was already strike 1!  Then when I picked up my food, I saw they had a special that if you ordered over $20 you get a free thai tea.  I bought $50 worth of food and asked if I can have 2 thai teas.  The girl at the counter said ""no"".  That is strike 2!  Would it have killed them to make a girls day?  Then there was the food.  Having had a lot of thai food before, my family was not very impressed.  I guess you get what you pay for?",XExCvmxSy3pQIxl0XGbcFw,0,0,1,cCKFY6wIz2ncFUH0m3D30w
558244,2016-05-18,0,LIU7IcJtD9VieoIo__wd9Q,"It's better than any other thai restaurant in LA!!
Reasonable price.
Warm service
must try curry puffs and trust me it is sooooo good!!",-XRPYlssPuHGC2Dlbzqmog,0,0,5,W_VCnFwfZ3LS1j5mBzB2Vg
633358,2017-12-23,0,LIU7IcJtD9VieoIo__wd9Q,"Veggie Pad Thai , coconut milk soup, chow main chicken  most definitely we are coming back for more Thank you!",VUk1D5hOEE9Xcdu_kO4Hvg,0,0,5,f4KltOfL8or1VOyalOvxAw
647333,2016-12-22,0,LIU7IcJtD9VieoIo__wd9Q,"Sooooo, delicious! Had the Tom Kah soup with shrimp, and it had the perfect blend of broth and coconut milk. The shrimp were plump and perfectly cooked. Will certainly be back!",OBmLZ55Xh4TNkqinNUChww,1,1,5,m8a3nGG3k_EdVxnvQKDJeQ
662098,2015-09-22,0,LIU7IcJtD9VieoIo__wd9Q,Such good thai food! The staff is super nice and the food is authentic and tastes amazing! Highly HIGHLY recommend!,0A7oVdg8kWaPHhqOUKfNbw,0,0,5,V46fTP1Sq6ID7lghb55n2Q
693964,2017-04-28,0,LIU7IcJtD9VieoIo__wd9Q,"My husband and I moved to the area a little over a week ago, and we love this place so much we've already eaten here 3 times. It's tiny (only 5 tables) and tucked away in a strip mall, but the bright minimalist decor is very welcoming and pleasant. The service is very friendly and attentive and food comes out promptly. And oh the food. So far we've tried all of the curries on the menu as well as the basil chicken. Everything has been absolutely delicious. Meat is tender and juicy, vegetables are cooked perfectly, flavors are bright and vivid, and spiciness levels are exactly as advertised. Finding this spot was a fantastic welcome to our new neighborhood, we'll definitely be coming back here again and again.",6uF7cP93xCmha8bYDbyd5g,1,0,5,eXTI74PRLVPYqTlOTlEqZA
701000,2017-08-05,0,LIU7IcJtD9VieoIo__wd9Q,Pad Thai is one of the best. Great portions. Friendly service. My kids who do not like anything liked it. I would definitely return.,V9228ch5Y0HjVDpRv4S5Hw,0,0,4,Bqk8Sv09Xh5vP59I0b_QYA
709050,2017-03-03,0,LIU7IcJtD9VieoIo__wd9Q,I was craving khao soi (curry noodle soup) and their version is excellent! The restaurant is small but clean and bright. The service is attentive and kind. I will definitely be back!,mYNOZqx5XcZtSOv8fDImKA,1,1,5,8NxTMRC1ldngQRt25FMiqw
744282,2016-02-12,0,LIU7IcJtD9VieoIo__wd9Q,Excellent service and the food tastes great. Very affordable lunch menus. This will be one of my fave lunch stops.,Z_ulkgxr1EKJuhFBXElZPg,0,0,5,UHB8_2sVUN14izgGeXTEEg
755866,2016-03-26,0,LIU7IcJtD9VieoIo__wd9Q,"I ordered the lunch special that includes the Thai fried rice with chicken and shrimp added. The food was great and the portion size for lunch was well worth the price. 

The waitress was friendly and very tentative. This was my second time eating there and will visit the restaurant again. Please do not let the location or the homey atmosphere fool you.",xOTwIcFgIwSPoiW3Bn9KOw,0,0,4,PSasvOSFnBvgUQ_dVgw8vA
767516,2017-03-16,1,LIU7IcJtD9VieoIo__wd9Q,Food here is great! It's a small family restaurant so the food tastes like home cooking. I ordered the specials off the wall and it was tasty. Prices are pretty decent too as compared to other Thai restaurants near the area. Large variety of items to choose from the lunch specials as well. I would definitely recommend this place.,gt5NfNrG8e_4TNBZeyBbfw,0,0,4,94Fxisa6p0a6zpQrdLSxpQ
789972,2016-07-15,1,LIU7IcJtD9VieoIo__wd9Q,Good food! Quick and friendly service. Every dish ordered was on point would recommending trying the pad Mee mao and the red Thai curry,s5YcFlrmy21Zo6sKqOWtuA,0,0,5,9oXdKEb7pRbZIZs3A3ITXg
804776,2016-04-29,0,LIU7IcJtD9VieoIo__wd9Q,Super lowkey and super good thanks for the beautiful service from the beautiful waitress kara :) i will be coming back for sure,jWGm4tRosUWt4tzclK5aiw,1,0,5,qUbEpZL_kPkZ5LFIqRyylg
832138,2016-04-19,1,LIU7IcJtD9VieoIo__wd9Q,"Ordered 2 lunch specials of pad Thai, one spicy with beef and one medium with chicken. There wasn't enough protein in either one and mine was absolutely not spicy at all and noodles were dry. Tom yum soup was pretty good so that was an extra star. Other than that, no thanks.",jXAUlTxzp27pOPaINXlc8w,1,0,3,oIhznkuRNNTmweBwf69cbA
848048,2016-10-01,0,LIU7IcJtD9VieoIo__wd9Q,Excellent authentic Thai food in a cozy nicely decorated atmosphere! Highly recommend the Tom Saeb soup of spicy broth and pork ribs. Service was above and beyond. Would definitely come back here!,2jBW-LOP61fEFL2v8Wu9TQ,1,0,5,0emk3I43qYr30MPXHD_H2A
867189,2015-05-24,0,LIU7IcJtD9VieoIo__wd9Q,"First off, this place defines the phrase ""hole in the wall"". There are only 3 tables with 2 chairs each, so it's mostly for takeout. We ate there and the service was fine although the TV on what appeared to be an endless loop travelogue for Morocco was strange.

Now for the food, which is what we really care about, right? In a word, awesome.

 We had Pad Kee Mao with chicken, which is a standard for me. Even though we ordered it medium it was still pretty spicy. But perfectly executed with lots of veggies which was a bonus. And under the ""Vegetables"" section we got the dish called Tarzan. It was described as a list of veggies in a green curry. We ordered that medium too but it wasn't spicy at all. It was chock full of vegetables beautifully prepared and the green curry broth was light and flavorful which was super because I feared it might be heavy and thick. Served with steamed rice, we didn't even miss meat.

The only clunker was the scallion pancake appetizer. We ordered it because I had never seen it on a Thai menu before. It was more deep fried than the scallion pancakes I have had at Chinese Restaurants. It was served with peanut sauce, which was it's only saving grace, because let's face it, I could eat a napkin if it had enough peanut sauce. Wouldn't order it again but it also wouldn't keep me from eating there again because the rest of the food was phenomenal and while the pancake was fine, it just wasn't my cup of tea.

The portion sizes were generous, we were both full when we left and we have enough leftover for lunch today. (I call dibs!) and the price for everything was just $22.

So if you want great Thai at great prices, order Thai Pan. They will be my new go to takeout!",CjTgCaIc__WF6MoPGCbQqA,1,0,5,ty9KLNCx9CDnRDcRuI7d6w
879279,2017-09-24,0,LIU7IcJtD9VieoIo__wd9Q,"Genuine authentic northern Thai food.   Mr. Preeda graciously prepared something off menu for us, they are amazing.  Highly recommend that you find your way there!",6qJO1966beu7OPmBJ0tFzA,0,0,5,pGlc7Fmr0vt3wtGjdhiuug
956954,2015-08-02,0,LIU7IcJtD9VieoIo__wd9Q,"The food here is really good. Our food was ready to go when we arrived for pickup about 20 minutes after placing the order through eat24. We ordered the mango curry, pho with chicken, the pad see ew, pad thai, and pineapple fried rice. Everything was delicious (the fried rice was everyone's favorite) and the portions are generous. For under $50, we got enough food for four people and even with some of us have second helpings, there are still plenty of leftovers. Four stars (4.5 really) because we ordered everything at medium spice level and it wasn't spicy at all-they did give us chilies to add ourselves, though.",iVN7xQX23yq30Yn4aJRX7g,1,0,4,_tbpS6hnuHqQqchwHzvpjg
1026232,2017-01-07,0,LIU7IcJtD9VieoIo__wd9Q,"Omg, I past this place 6 days a week n I finally deceided to come in.... Boy o boy, this place is Bomb.com.... All the dishes I eaten tonight has been so flavorful n yummmmmy, Im so coming back for sure.... !!!!",Qty7g83wdEjkMovzpqMbYQ,0,0,5,nyduco1N_rziQx14Neutag
1113984,2016-02-20,1,LIU7IcJtD9VieoIo__wd9Q,"The reviews are accurate. .. small. .. 4 tables. . Did not read reviews initially and almost left. .. DO NOT let the horrible location and hole in the wall appearance  fool you.  It is every bit as good as the 5 star Thai places I have been to in cities like NYC etc.. The food has a lot of flavor and your taste buds will thank you. .. I would definitely be a regular if I lived here. ... I didn't even look at the prices. .. but whatever they were. ..it was worth every penny! I don't take the time to write reviews but I felt this place deserved it,  if for no other reason than to express how looks can be deceiving",4AGex8Z0G2Y-w7uFmGSb6w,1,0,5,3zkOCQeL8Zo7gYZLQVZkaw
1138460,2018-05-31,0,LIU7IcJtD9VieoIo__wd9Q,Really nice and cozy place. Great service and good food. Drinks were very sweet and the atomosphere is very thai.,wiraTxGy6yPzsACLoweqjg,0,0,5,gcUUTCCPDPzDMiejKC6gLg
1158662,2017-07-15,0,LIU7IcJtD9VieoIo__wd9Q,"In town for work and it was 105 degrees. Of all the Asian options around, Thai Pan stood out with all the great reviews so I wanted to add to it so they keep providing great food and we patrons keep them going successfully. Great prices and excellent food.  Mango Sticky rice was to die for and topped off our delicious meal. We had it delivered and it came within 45 mins as advertised.  Online ordering was simple and quick.  Bottom line, all our food was excellent, medium slice was enough to still taste all the wonderful flavors, and everything was still temperature hot when it arrived.  Great place!",k7MmUiTuSZqjinR_spI4Sg,3,0,5,VrG4AgNK9Pha_pNHsbBZ4g
1167499,2017-10-19,0,LIU7IcJtD9VieoIo__wd9Q,This is definitely a hidden secret in Las Vegas. Excellent Thai food for very reasonable prices. I highly recommend.,1RBz-vEdExoQbUac5ysQsw,0,0,5,bFPru0N5BRLwBAoYQC8k3w
1168383,2018-01-28,0,LIU7IcJtD9VieoIo__wd9Q,"We had dinner here with a couple friends of ours tonight, loved it!!! Very clean restaurant, the restrooms and kitchen were spotless( you have to pass the kitchen to get to the restroom). 

Food was delicious! Hubby ordered the Tom young seafood spicy and I ordered the Pad Thai beef, also some pineapple rice for our little one. Our friends ordered pineapple fried rice also. Kara the hostess was very patient and helpful while she took our orders, one of our friends had questions about the Ingredients in the sauces and she was very informative. 

Dessert we ordered Mango sticky pudding and Banana wraps with ice cream, yummy! Prices on all of the food was very reasonable and not overpriced at all. 

The seating in the restaurant is a little small but we were able to fit a group of 4 and a toddler with a high chair, we noticed mostly people coming in for take out, but there's plenty of space to eat there too. We will be coming back for sure !",Od6I65_ncpe_waii0JnFQA,1,0,5,Mwhomb0GlHLPMbPokrvoHw
1186892,2018-04-22,1,LIU7IcJtD9VieoIo__wd9Q,Oh no! They are out of rice!? And it's still an hour before closing! You would think it will never be an issue since more than half their menu required rice. She was pretty convincing too that they were not willing to cook some more. Only thing I tried was the thai tea and that was somewhat decent.,HiQEx_s-dI_PUAiItOyXtA,0,0,2,Ovd4HdhaJF1qBJsNjn4KDw
1336355,2018-03-28,0,LIU7IcJtD9VieoIo__wd9Q,Good solid Thai food that is well prepared and tasty . It is tucked in behind the Golden Arches building corner of Alta if you get lost.,PZbUgRwsLrk53zMzXL2now,0,0,4,HdSOH0w5e9GsHckcaLaYeQ
1345179,2016-04-04,0,LIU7IcJtD9VieoIo__wd9Q,"Owner was Funny and very nice, and the food was great. This place is behind the mcdonalds on alta and decatur, nice joint to pop up in the neighborhood. Really excited to have a good pad thai place around the block.",qhCvIvP5S7B-0NE6WmkCRA,1,0,5,cHRAS0nGp0qLN9PVAIEWBg
