,date,funny,business_id,text,user_id,useful,cool,stars,review_id
46970,2012-02-11,0,LJQCv30PCIpC3FnvHF5mXQ,"Probably one of the best HK food I've had in Vegas. If you're in Vegas and looking for some non-greasy HK food, check this place out!",-hBaAs75OTz7kE4y-Lse1w,0,0,4,bGGyqZiFdBdGkSl_bG6EZQ
129299,2010-06-20,0,LJQCv30PCIpC3FnvHF5mXQ,"This is a great restaurant for some Cantonese dish. We ordered Lobster with Scallion and Ginger, House Chowmein is beyond wonderful, Fried Rice was great. Pricing for lobster do change, I was there once and lobster was $8 lbs and then yesterday it was $16.74 per pound (maybe because of the father's day weekend, I felt that it was a ripoff. Otherwise I will keep coming back.",Qwaz48YnqehiAtWHr_-6DA,0,0,4,GLkkNL9NwFQPy7Ad8jDolA
179718,2013-09-24,0,LJQCv30PCIpC3FnvHF5mXQ,"This place was quite good.  Being from LA, we have access to really great Chinese food and this restaurant can definitely compete with the places in LA.  I would return again.",uN-tjdXAkZZSP7x_sEF8Dw,0,0,5,r_EOU2V6x8C3z3viC0L0kA
226752,2015-10-18,1,LJQCv30PCIpC3FnvHF5mXQ,After years of poor service and unsanitary conditions HK Star has finally closed and gone out of business!  In its place is the new Imperial One restaurant.  Please read my review of this FINE new restaurant.,Wwa7RshRpvf5Ob2zeS6fng,1,0,1,KRSJbZcqf_E9dhg7WnAjVw
253413,2011-06-01,0,LJQCv30PCIpC3FnvHF5mXQ,"Don't you love when you go to an Asian restaurants and all of the folks eating there are Asian?  And even better, they are all big fat Asian families (like my own!)  

This place has great quality authentic Chinese food at good prices.

Pros
Whole fried flounder
Chinese Broccoli with Oyster Sauce
Vegetable fried rice
Pan fried noodles

Con
Horrible, slow or non-existent service all around (to be seated, to get your order taken, to get your food, to get a drink refilled, to get the check, etc.)",P0-WcQ3TyUMPRuX6h4bisg,0,0,3,aY834X_HjvZ_4IwdypxNJw
267576,2010-09-18,0,LJQCv30PCIpC3FnvHF5mXQ,"Horrible service, mediocre food,$25 credit card minimum. Everytime i come to this place it takes forever for my food to come and they never give me the check when im done. Id have to go up to the front counter to pay. The thing is it was never busy at all! The only great thing about this place is daily lunch specials.",IegXTpaLReHvm2PSH7sGZw,0,0,1,41DdeovJaIQ5ug0iZalKKQ
330407,2013-06-02,0,LJQCv30PCIpC3FnvHF5mXQ,"Me and my family comes here for great food, and that's what you'll get when you come to HK Star! It would've been a 5 star if it was the food alone. This place lacks atmosphere, and there is no signs of customer service anywhere. The servers are rude, the chefs will occasionally get your orders wrong, and the manager won't even greet you at the door, whether he's there or not. I like the food here, but I'm going to eat here less often because the servers suck at service. At least they should give you water and refills without you having to ask them.",RKf160RWxFxUZ2a2nU4t4Q,0,0,2,WBiKX2152UCeKAQYwpLwDg
337315,2012-12-12,0,LJQCv30PCIpC3FnvHF5mXQ,"The food is amaing.
Every dish is tasty and the price is less expensive.",YI5w3aasuFSJpJDICBDXEA,0,0,4,LHuX_-wUkmflI_2vAkel5Q
339684,2010-11-16,0,LJQCv30PCIpC3FnvHF5mXQ,"Great food and prices!!  service was also pretty good; no where near as bad as some reports.  Victor was our waiter.  he had a great sense of humor and steered us to some great dishes.

we went there for dinner last night. started with apps of salt and pepper shrimp and veggie egg rolls (menu says seafood, but they are veggie now). salt n pepper shrimp were awesome!  could have just eaten those all night, but we would have missed some other good stuff.

then we had the seafood chowder.  nothing like American chowder.  chunks of misc seafood (i don't like fish, so i didn't look to close at what i was eating) in a broth base.  not an overly fishy taste or smell.  i finished a whole bowl.

the mongolian beef had good flavor and a nice spicy kick.
i didn't try the fish in black bean sauce but the other 4 in our party really liked it.
the chow main with beef, chicken, and shrimp was decent. the large pieces of beef, chicken, and whole shrimp were generous.

and, the best item of the night:  Lobster!  a whole lobster! they had a special where lobster was $8.88 a pound.  ours was just over 4 pounds. there were several ways to have it prepared, and at our waiter's suggestion, we went with the ginger and scallion sauce. everyone loved it!

total bill was only $116 for the 5 of us. great price for 2 apps, soup, and entrees, including us ""splurging"" on the lobster.  all were stuffed and very satisfied.",uftVgvFArubrcsuXu7fEfg,0,0,4,hokqeWV8J70rUxSqOcphEA
370932,2014-12-29,0,LJQCv30PCIpC3FnvHF5mXQ,"I've been coming to HK Star for several years, since they opened, whenever I'm in Las Vegas, which on average 5 times yearly. I have always enjoyed their original Cantonese style of cooking. One of my faves is the live lobster which they always have on special at $9.95 a pound, cooked with ginger and green onions. I love their steamed tofu stuffed with shrimp. Their fried live Dungeness crab is always excellent. There is so much more I have had and need to try more. Only on rare occasions I have been disappointed here.",wMGSZxvjinfgFlR11XnxGA,0,0,4,r_aURfvGiTeBY8Uo40_8Xg
444890,2011-12-28,1,LJQCv30PCIpC3FnvHF5mXQ,"I eat here frequently with my in-laws(whom are Chinese), and the food and service is great. However, I just got back from eating dinner there with a friend from out of town that was craving some good authentic chinese food and it was a total disaster. The waiters were not attentive, everyone around us who came in after us got there food before we did, they never came to change our plates or take away plates that were empty, the food wasn't hot and the worst part is they added a 16% gratuity onto our bill.  I asked why was the tip added automatically if it was only 2 of us and the waiter said that's how it is.  I am appalled at how they treat American patrons compared to Chinese patrons.  I am NEVER returning to eat here again and I will no longer be recommending this place to friends.",-tL-RpVRn8AIiNM5hHKLnQ,0,0,1,ZdImZVY9OEQ3SALJr3_s2A
468636,2014-02-23,0,LJQCv30PCIpC3FnvHF5mXQ,"worst service ever I had experience. had seated at chair for so long no one was even coming to check. Last, do not ever let server recommend something your check will be horrible. I had order a whole duck and a live fish to be cooked. Three people was just enough to eat no more stuff left. My check was $180 I was shock. I mean they are not even a restaurant at strip also their food was not even good as to pay for a round hundred. One more thing was they also add the tips even my table was not more than five. A restaurant with horrible service and no laws no more to say just don't go here",dtPg30WhPqvY8Tq9fGgc0g,1,1,1,O9sTcAhMRe57I_d3aXOPLg
595648,2015-08-17,0,LJQCv30PCIpC3FnvHF5mXQ,"Had this yesterday & wasn't a big fan of Chinese food. The food here is decent but the customer service is what had me given them the 4 stars. 
Only negative thing is ""the place is kinda dirty""( they need to start cleaning the dining & restroom though).",wIrNAd6D8y8WFCAWfJl23Q,0,0,4,6o2KUS2QZq9yJ9k5zG54_Q
656427,2013-04-21,0,LJQCv30PCIpC3FnvHF5mXQ,"Came here on a busy day,everything was disorganized.  Could not get anyone to take our order for about ten minutes.  Should of left then... They were out of a lot of things on the menu that we wanted. Suppose to come with a free chicken entree but ran out of that also.  But what really got to us was we were in the Restaurant before the other tables were and they all received their free chicken entree, we seen about seven of them flying by our table, and they never gave us ours they were being selective. And if you ask for water they get all grumpy too, and another ten minutes before you receive it after you asked two other people for it.  Very disappointing, felt they were being disrespectful going back to KJ Kitchen. Adios HK",ATo4zjqRVMYlsAeid8bkEA,1,1,1,dygEh4lFJtdUtp-JCyB5og
682967,2011-01-07,0,LJQCv30PCIpC3FnvHF5mXQ,"Salt and pepper pork chop - 5 stars
Beef chow fun - 5 stars
Chicken with vegetable - 5 stars
Chicken and salty fish noodle - 4 stars
Service - always a 5 stars",KX__TxaftZYt3Dd3U64t3w,1,0,5,ipchbYvB73xazA5sVtSd7w
743318,2009-12-01,0,LJQCv30PCIpC3FnvHF5mXQ,"This restaurant is on the top of my list for authentic Cantonese cuisine. The lobster is to die for at $8.88/lb...ask for the (Bei Fong Tong)style, it's deep fried with lots of fried scallion/jalepeno and garlic...very tasty!!!",XybrvLEZUD6lJpsy5P3gSA,0,0,5,7LmZE6G2XSxUVBkZ82yzKg
853650,2012-02-03,0,LJQCv30PCIpC3FnvHF5mXQ,"Well, I go there quite often. One thing I can promise: they are cooking real Cantonese food. Not like some other restaurants, they never cook American Chinese food. Tastes good, tastes traditional.
Some dishes I will recommend: Cod Tofu Pot, Roast Peking Duck (2 courses), Plain Chicken, Deep Fry Tofu with Spring Salt and Honey Pork Rib. All taste very good.
Inside the restaurant, the light is very enough/ Four big TVs surrounding the dining area, and they are always playing Cantonese songs. If someone's birthday, they also play Happy Birthday. The only problem is their service. Since they are all Chinese servers, if you speak Chinese, they definitely understand. However, some of them are nice and friendly, but some are pretty rude. So don't be mad if the waiter is rude to you.",0wJH9vhR5yCKw1ZGstbhUQ,0,0,4,eE-wP6NIdm9cR-PWI434zg
856520,2010-05-16,0,LJQCv30PCIpC3FnvHF5mXQ,"I love this place and I go there for lunches and dinners.  I take my out of town friends there too and they've become big fans.  The service is very good, the owner is very nice.  Great lunch prices with entrees at either $4.95/$5.95/or $6.95.  Also, the lobster price for dinner (not lunch) is $8.88/lb and that is cooked.  The only drawback is that the lobsters are usually 4 - 6 lbs.

I have never been disappointed with anything I've ever ordered.  A couple of my favorite dishes though are East River Tofu Clay Pot, West Lake Beef Soup, and Snow Pea Leaves.",wcah6DV2AjuVDacc8Kb-DA,1,1,5,ryRiFqLHEIt2H03ChwN5BA
883932,2015-08-05,0,LJQCv30PCIpC3FnvHF5mXQ,"The restaurant service is terrible. Nobody served the tea and the waiter doesn't switch clean dishes. Worst of all, we ordered the lobsters which is on special but BE CAREFUL, they only give you one dish on special. The waitress who kept suggesting us to order the fish, which is on special. When I get the bill, the fish turned out to be $149. The waitress didn't mention anything about the special policy they have. When we complained, the boss just told us they serve mostly local people and everybody knows. WTF! It's a RIP OFF!",lqav9CJ5bmOopPg2PQ_WyQ,1,0,1,GWf2MeH-T1Gp1Rp3Zd3E_w
