,date,funny,business_id,text,user_id,useful,cool,stars,review_id
421,2012-08-26,0,LrxDRg8SQdgHMoz3TSAYFg,"their menu has specialties that other Filipino restaurants do not have, and food is pretty good",AuIK5tF2GjO7SftHawTLKw,3,3,4,hrmSJm_xq5hQRnoYx4wFKA
30974,2015-07-17,0,LrxDRg8SQdgHMoz3TSAYFg,"Terrible slow service, ordered food ahead of time for pick up, got there 45minutes later and food was still not ready.",8tPGMupCIRz0UKVS6FeKpw,2,0,1,JXvtWpuy-Zl0umDboBzbVA
42649,2012-05-15,0,LrxDRg8SQdgHMoz3TSAYFg,"Food was okay, servers were nice but need more experience or should pay more attention to diners needs. There is one white male (owner?) helping out  every time i go to this place this person always wear a printed T-shirt which  doesn't  create a warm welcoming gesture to the diners. This guy should change his attire or just stay inside the kitchen. Sometime you get pandesal if they remember. One time i ordered a bulalo the server said it doesn't come with rice because it is categorized as soup. I know the place is new and will need a lot of changes and adjustments but right now i rate this place one star.",fDE6npUWolpT-8MEZDnI7w,2,0,1,d616vNp4tZoaz-FV19bbjA
54542,2015-10-11,0,LrxDRg8SQdgHMoz3TSAYFg,"The food is ok here but the service is horrible no refills, no straws, had to ask for silverware,  food took 45 mins to come out. I thinks it's the last time I'm coming here going, down the street to Tina's Filipino cuisine from now on.",yI5eyfPQxYwT09AyxCnV1Q,1,0,2,zlUs7dQIheNF6gIWaWEHfA
65906,2013-07-09,1,LrxDRg8SQdgHMoz3TSAYFg,"If I can give this place negative 5 I would because that's what our experience was...NEGATIVE!! We decided to go out of our way on our last day in town to try this place upon the recommendation of our Pinay waitress at an Italian restaurants that we were at on a previous day.  When we got to DT's we were not promptly greeted like they couldn't care less they have another customer. When we were finally seated, my husband and I were carrying a menu from the front desk and I guess they figured 1 menu is enough for 2 people. Waited another 15-20 minutes to even get any attention from our waitress. We ordered the following: 1 water, 1 pepsi, Dinuguan, Pork Sisig & Garlic Rice. Simple enough I thought...apparently I thought wrong. It took our waitress 30 minutes to bring our Water & Pepsi. 30 minutes!?!?! Seriously?!! People were coming inside the resto as well as picking up food well after us and we noticed they were getting their food before us with more orders than we did. WTF??? I figured maybe what we ordered were complicated to make, hell maybe they needed  to freaking catch the pig, kill it and gut it out first that's why its taking too damn long. After waiting a ridiculous 1 hour since we got there to get absolutely nothing, we decided to finally walk out. I mean our waitress didn't even check on us, no refill on our drinks, no ETA in how long it will be...NOTHING. So i can't even leave a review for the food is the funny thing. For DT owner and employees...google customer service for your own business and job's sake. I'm Filipino and you made me ashamed and disgusted and completely wasted our time. Definitely will not recommended this place to anybody.  Will NEVER return again.",q9KCZJJd4Pb1RArqpDTCWQ,1,0,1,p0o3RsRfgzGrtstSOC8zSQ
78606,2013-09-08,0,LrxDRg8SQdgHMoz3TSAYFg,"If you are a Filipino who knows good fIlipino food, you would not eat here and brag about it. Nor give a decent feedback at all. Price is off, service is not even par, owners are not even Filipinos. I tried their famous Lomi (burnt garlic flavor), soggy lechon and very salty sisig. Never again, my wife thinks I cook so much better than their mediocre chef. 
The place is gimmicky, caters to home sick bunch and karaoke crowd too. I give credit to the savvy business minded Vietnamese owners.",uxEwquHWKDFugW38wVRidw,0,0,1,YobsuijdPizpKtNvrGrTeg
116976,2014-10-03,0,LrxDRg8SQdgHMoz3TSAYFg,"Busy on a Friday afternoon. Placed an order online and they give you a specific time to come pick it up, well Ive been waiting for about 20min now. Another customer said she waited an hour. Not to fond of that. But the food is great and the waitresses are very friendly. I just think, if they're going to set a time. It should be ready no later than 5 to 10min.",R2UDgsb8MD8XtiWYLp8ljQ,0,0,3,sWdqXU5TGPw0428KLoctYg
149194,2014-12-30,1,LrxDRg8SQdgHMoz3TSAYFg,"One word: Awful.

1st dish: Kare-Kare lunch special - 
Veggies on top (beans and eggplant) was COLD! As in straight out of a tupperware container from the fridge COLD! As with the two mini lumpia shanghai that comes with it - they too, were cold. We were scratching our heads,  puzzled. When we asked the mgr, he said they pre-cook the veggies (which was understandable), but he said they shouldn't have been cold. He brought back and returned to us heated. Taste of the kare-kare was one of the worst I have had.

2nd dish: Palabok
Didn't get any better. Generous portion,  but definitely lacking quality and taste of this dish - very disappointing.  Had a several mouthfuls, but eventually gave up. I felt bad having to leave so much food, but it was unpalatable :-(

3rd dish: Pata Tim
I had to throw my towel in - I didn't even taste this one. My family did though only to discover that this dish may have been the culprit of possibly food poisoning? My mother had a very upset tummy with nausea all afternoon./evening! I may be insinuating,  but for good reason. Please be cautious! 

I recently ate at Cafe de Cebu and their food was much better tham DT's. I hate to compare and name drop, but for those who are craving Filipino food, I would recommend you to go there instead.",bGUs2VtGoIj2ri_5hNSh-g,7,2,1,XGkfNbbRua959kPNDblqgg
179282,2012-11-08,3,LrxDRg8SQdgHMoz3TSAYFg,"Been curios about all  your reviews here on yelp, so We decided to try and see it for ourselves. Yup! @ midnight craved for a sisig. So disappointed w/ the sisig's taste. You're right! it was a ""mr mushy"" drowned in a cooking oil. I know u own an oriental store but GEEZ slow down w/ cooking oil, even if It's on sale. Stop using the Filipino name when ur not even Filipino. Just sayin-",JRtoQ8CDzC9Cza9OUUJpTQ,2,0,1,3_o4PBOafeN3jTWVNDtBoA
216468,2014-07-18,0,LrxDRg8SQdgHMoz3TSAYFg,"Not the best, but good enough when you're craving some filipino food and dont want to go too far.",OYDg4eHIDoQXFuLmxti-Aw,0,0,2,XJNPMq8vgsjEKBsJCmgt-A
308014,2015-12-15,0,LrxDRg8SQdgHMoz3TSAYFg,"Mr. Alan D - I am aware of the details of the negotiations because I was a member of the Christmas Party Committee.  When the details of the party were being negotiated, you said that all beverages are included in the cost and only alcoholic drinks are for purchase.  Is coffee alcoholic?  Obviously not, so our reasonable assumption was that coffee is a beverage and should be included in what we paid for (regardless of whether it was $1.35 or $5.00).  Unfortunately, we were sadly mistaken, because in your restaurant, coffee is not a beverage.  The reasonable thing that you should have done as a business owner was to accommodate the request for one lousy cup of coffee.  It would not have killed you or your business and would have gone a long way in terms of customer service.

You also told our representatives that your function room can accommodate 100 people, so even if the initial estimate was 60-70 and 80 actually showed up, there should be no problem if your space was as big as you claimed.  Sadly, more than 80 people were packed like sardines.

I am sorry to rate our experience in your establishment with one star.  But I sincerely believe that it is fair and just, considering what transpired.  I regret I cannot change the rating because it would be a lie and misleading to other customers.  

--------------

Our group of more than 80 people held its Christmas Party at Dt's Restaurant recently.  When we initially discussed the event with the owner, he said the function room can accommodate 100 people comfortably.  To our dismay, we found out that the room was too small and the tables were arranged classroom style with no space between the back to back chairs.  If you were so unfortunate to be seated at the end of the table close to the wall (just like I was), you cannot stand up easily to leave the table.  Everyone has to stand up too, move their chairs and get out of our way.  Too much hassle.  So don't believe them when they said the space is good for 100.
Next, the owner told us that beverage is included with the food and we need to pay for alcoholic drinks, which was fine with us.  To our surprise (and again, dismay) we were told during the party that coffee and tea were not part of the food and beverage package.  Apparently, the owner does not consider coffee/tea as beverage.  The food is below par and all of the dishes were salty.
Word of advice - when you book your party at DT's, make sure to clarify the specific beverage included in your food and drink package, you don't need a surprise on party night.  Also consider you will not be getting the best tasting food and the space is good of 60 people to sit comfortably.  Otherwise, they have to take out all the excess pieces of furniture they stored way in the back of the room.",ZDDp1IIHhK9vFqfEHfj2lQ,1,0,1,nevDiIbEAddJ7oIiU9CIIw
323090,2015-05-06,0,LrxDRg8SQdgHMoz3TSAYFg,The food and the service are both great. We've gotten some good recommendations from staff and the food is always fresh. Home cooked Filipino food made to order. Big portions with reasonable prices. You will fall in love :),rkbvRL5LuL6xmb3eBo7iqg,0,1,4,9u0m8G1F6aMj5lxx_WhpYg
359579,2016-06-01,0,LrxDRg8SQdgHMoz3TSAYFg,"I've gone to this place twice to confirm my experiences. They're not terrible, but working in the food industry in the past, the standard for customer service is pretty high. 

It took us a while to get seated, which in some cases can be understandable. But it was one of the "" I know they see us "" feelings.. We weren't even acknowledged, but 'its all good'.

Our food took a really long time to come out. Understandable again in some cases in which they could be understaffed, cooking for a bigger party, etc. 

But when my food came out, everything was cold. Not refrigerator cold, but for sure not warm. 
The oil in the food was thick because of it's temperature.

I had ordered Garlic Rice.. It never came. They offered an extra fried egg to me because it was taking too long, but that was only expressed after I had asked about the rice.

I won't be coming back here. Nothing personal. 

It might be satisfying for the occasional crave or if you haven't tried any other spots around town.",FJESJ0WIdGhxyYe1YqxSWw,2,0,2,wjYFQak1T-M9IN7YFKP2Rg
377542,2017-03-02,0,LrxDRg8SQdgHMoz3TSAYFg,"I love their tapsilog it is the best , way better than all the tapsi I had in the Philippines. The serving is huge for the price of $8.99, it comes with 2 huge eggs cooked in your liking and garlic rice is also good. I also like their sisig, although its too greasy , it is tasty! I have enjoyed all my order here except that they serve a bit slow.",YOkPFHz-18zS1Odp2NdeNg,1,0,5,APUEJJfHRZdOvEPFU_5-dg
395274,2012-09-07,0,LrxDRg8SQdgHMoz3TSAYFg,"i live in the SW part and this is the only Filipino restaurant in the area, so i gave it a shot. I have only tried the pork adobo, humba and lumpia and the bihon guisado. The pork adobo and humba is tasty, even my non-Filipino peeps i stay with loved it, but the lumpia is not that good at all. i think it is the one that is ready made, the one that you can buy in the frozen section in the supermarket. The pansit is okay, but i'm not a fan. I even dined in once and the server is friendly. She even recommended the lunch special since it's almost 4:00pm and it ends at 4, usually they would never care. The cook ended up giving me a huge portion since I am the last one to order the lunch special. And oh, before i forget, i tried their leche flan, it is chunky and very good. I just found myself eating it until the container is empty. Would definitely come back to try their other dishes. My friend said the pinakbet is good, so that's next on my list! They should consider delivering meals since I'm lazy most of the time, especially driving in Vegas when it's hot outside is irritating!",B1RlmmoKulHBHqmmjA7-jw,2,0,3,pdPQvCp06g-y7wTD5HI05w
404720,2016-06-02,0,LrxDRg8SQdgHMoz3TSAYFg,My favorite dish here is the bangus (marinated milk fish). I like that that have kamayan (eat with your hands on banana leaves) on certain days. The prices are a bit high hence my 4 stars.,XYp5bVmz-bmW9Yuerc8DUg,0,0,4,64CqLvApzmRJkUQAEHc3Ig
423270,2015-01-17,0,LrxDRg8SQdgHMoz3TSAYFg,"I believe everyone will have their own opinions regarding filipino food in general, and I would like to thank DT's for sharing their cuisine. I felt that their service was adequate with friendly service and the restaurant was very clean. I've had many variations of filipino food and everyone does it a little different. We ordered the pork isaw (grilled intestines) and thought it was pretty tasty, pork bbq skewers fatty but flavorful, grilled bagnus (milkfish) excellent, pork sisig good but very oily(not for people trying to keep their figure), bulalo (beef soup) slightly salty but excellent flavor, garlic fried rice (lots off garlic flavor, little oily) and pansit balabok  which was good. The price was fair as we ordered six dishes three deserts and one beer total came to a little less than $100. I would come back to DT's and recommend them to friends, simply because everyone has their own taste for filipino food and I've enjoyed this place. Try it for yourself you may like it. If you don't like it, at least you've given them a chance.",aj8REov00RuKR0FPauQsVw,0,1,4,CcXGdT0aOqxXrtcsN7cF3A
473484,2014-08-18,1,LrxDRg8SQdgHMoz3TSAYFg,"I've been here twice since I am a Filipino and I am missing the food at home a lot.  Their food is good, but the service sucks! We waited there for 10 minutes then the waitress said she is taking us the booth since the people eating there was leaving. But what happened was the person who just came in got it. So we aited another 15 minutes. The food came too late! 30 minutes!!! I was like ""seriously????? Service sucks!!!!! So we didn't tip them!!!",UyLIvWZqyiLOCfWhX-QCaw,1,1,3,ITnAHYM5NUpMzyELuSP-Mw
489278,2013-06-21,1,LrxDRg8SQdgHMoz3TSAYFg,"We went as a family to this place because of a birthday last night. As we entered, we were properly greeted by the host and were seated with the party. The server greeted us, drinks were asked and delivered. So far so good.

A few minutes later, food was presented and delivered. There was beef caldereta, sinigang, pinakbet, sisig, etc. I found everything great except the sisig. It didn't have that ""crunch"" texture like the traditional one. And yes, I did try it without mixing that raw egg on top. Food wasn't too greasy or have a dirty atmosphere like the other Filipino restaurants (Ahem Ahem... Lafayette square, pinoy pinoy, kapit bahay). That's right! I said it. As a born and raised Las Vegan, I have the right to say that. This filipino restaurant is one of the few (3) I would actually recommend to my friends and family.

I would've given this place 5 stars if it wasn't for the sisig and the waitress forgot the serving spoon I asked for. She looked directly at my face and said just minute. It wasn't that busy. 2 tables and a party isn't overwhelming. I wasn't going to rudely re-use my spoon in the rice pot on front of other guests. So waitress, if you're reading this, you know who you are...focus!",1WxG8bZGfOCecx2JllHCBA,0,0,3,7bUFN2ffhUTcHDaE4YWv7g
507239,2014-02-11,1,LrxDRg8SQdgHMoz3TSAYFg,"I typically don't write reviews but my experience was just ridiculous! I've eaten at this place twice before. The food is mediocre but it is the only Filipino restaurant in the SW Vegas area. However, the service is extremely poor! The third time I visited this restaurant was with my parents. As we walked in, I saw there were many empty tables. We stood there for literally 10 mins without acknowledgement from the staff. Now I typically have low expectations for Filipino restaurants with their service since they generally just suck. DT's just completely pissed me off. The server or I guess probably the daughter or the owner had her boyfriend with her behind the counter. Very unprofessional! He was saying things like, ""I don't like Filipino food."" Well guess where you are  dude?! He was touching her on her butt where customers can see. All I was thinking was, ""What the F is she thinking?!"" So after the wait, we were seated at a wet table. They asked us for our drink order and it took another 15 mins for it to come out! Then we ordered our food and it took forever to come out! I love the boneless bangus and it didn't come out boneless! The shrimp sinigang had like 5 pieces of shrimp and they use the flavoring packet! The kare-kare barely had vegetables! The only thing I liked was the ice cream dessert. I seriously hate this restaurant and I would NEVER EVER come back or recommend this place to anyone. I'd rather drive 20 mins to Max's by UNLV to get Filipino food.",OwU3HLEc_4OrlSibqpN9jA,2,0,1,r2W1Nzb-SfeQ_a9TA6e_kQ
537668,2013-10-23,0,LrxDRg8SQdgHMoz3TSAYFg,"Decent food but customer service is horrible!! Ordered 3 party trays online as they said it was the best way to go if you were ordering trays. What is the purpose of putting a pick up time on your order if they are not going to be ready anyway?!  I ordered them a day before, called before I drove out to pick up and still the food was not ready!  Worse, 2 servers saw me walked in and did not say a thing or greeted, I had to flag somebody. They need to learn a thing or two about good customer service and actually preparing their food on time.",FjnUzuWJ0QDzJul5gGoadA,0,0,1,jOfQCAHTEhWyeeyFOYeHTQ
555574,2015-08-30,0,LrxDRg8SQdgHMoz3TSAYFg,A regular customer here but today I was very disappointed. I called in an order to go 2 hours ahead but when I got there my order was not ready. I asked for a refund.  I don't understand why my order wasn't ready when it's already paid for!,XZXgnNTTv8S05b8PPaKlDQ,1,0,1,-db6vF8E7IjlCjdz-XnP-A
566721,2013-11-12,0,LrxDRg8SQdgHMoz3TSAYFg,"Food is eh and this is from someone who hasn't had Filipino food in a year. What really makes it bad is the awful service my family took me here for Veterans Day, at first they tried to stick us next to people when the place was empty and then we waited 10 minutes for drinks and the waitress barely camps by to refill or check on us maybe only once the entire hour we were their. 

Mediocre food
Worst service I have ever had in Vegas especially from fellow Filipinos 
Would rather have had L&L next door",vORSUnkAcJARDrCwQ4uTuA,4,0,2,LhUJZUTAdoHgsCJaUf_AfA
588136,2013-01-03,5,LrxDRg8SQdgHMoz3TSAYFg,"I don't understand all the negative reviews.  It's probably because most filipinos are used to their food being greasy, fatty, and oily which isn't like the food here.  This place is really good.  My family and I couldn't be happier that there is now a good Filipino restaurant in the Southwest part of town!  And it does get crowded (with Filipinos!) so obviously they're doing something right!

BTW - Notice that almost all of the 1-star reviewers have only 1 or 2 reviews to their name?!?! Hmmmm....",eqf73ESNk8UrVCVJvlW5tA,5,4,5,qa8wwkZB4d-_CqzT2bEW_A
617175,2012-11-25,3,LrxDRg8SQdgHMoz3TSAYFg,"Found out there was a Filipino restaurant that opened and wanted to try it out. When I got there, found out the owner is not even Filipino, and they served pho! At this point I was skeptical. 

We were seated fairly quickly on the side of the restaurant.  They have TVs place in awkward positions. They were airing nfl games on all the TVs and would not change the channel to a certain game upon my request.  I was starting to get irritated

After looking through the menu and joking about them serving pho.  We ended up going sisig and menudo.  All I have to say is the sisig was aweful! I was soggy, fatty, had a weird smell and texture. Not like any sisig I've ver had.  They menudo was ok.  A couple bites of the sisig ruined my appetite.  

I took the food to go just to be polite, but deep down was disappointed and will never go back to this fake Filipino restaurant!",35Zu6jB-4RFdsxn8_xQciw,2,0,1,AGCCZE8LwzTX0D6fuJxE5w
625118,2015-05-07,0,LrxDRg8SQdgHMoz3TSAYFg,So far I've eaten at DTs for about 5 times now every time I'm in Vegas and it's been consistently good!!! Friendly people and fast service! Very reasonable and a wide good selection of dishes! My husband and I look forward to eating here when we're in Vegas!,uLdP8bjW3ts0zr6mcE5weQ,0,0,4,Dkh7iKD-AgB3YPMyjG8MNQ
656016,2014-01-26,0,LrxDRg8SQdgHMoz3TSAYFg,"Ive been here twice now.  Both times service was great.  Have had the the pancit bihon, bitter beef, beef caldereta, lamb caldereta, bagoong fried rice, boba drinks, bangus, beef adobo, bulalo.  Think Ive had more :) All were good, but the bagoon fried rice and beef caldereta stood out for me.  If youre craving filipino and dont feel like cooking, this is the place.",MyWCzJni6WWfd2_BYZmHiQ,0,0,4,yp_43ssEjII6EwJUlYqAhA
656157,2013-02-28,3,LrxDRg8SQdgHMoz3TSAYFg,"I'm gonna have to go against the grain compared to the negative reviews and rate this place a five star. Hands down, this is the best Filipino restaurant in Vegas! Not even close to the other Filipino restaurants in town.

I've been here a few times for both lunch and dinner and the food was always great. The portion is big compared to the other Filipino restaurants which I'm very impressed with. We always order the Lechon Kawali which always comes crispy. The Pork Sisig was delicious. The Grilled Squid was out of this world! The Chicken Inasal was tender and flavorful. The only dish i did not like was the Palabok. The noodles were hard and the dish lacked flavor. Instead, order the Langonisa Fried Rice. You can't go wrong with fried rice.

We've always had great service every time we come here. The servers are very friendly and attentive. The food will not be served as fast as if you were at a Chinese restaurant but the staff will check on you and refill your drinks.

If you are on a diet, this is not the place to eat. Majority of the popular dishes here are deep fried. But, if you want to eat in the best Filipino restaurant in Vegas, this is the spot... and the karaoke nights on weekend is fun too.",TA5eFlXupTzQHEtqmy_akA,3,3,5,PJppj4Ly9T8-uCHflhJgcA
672614,2015-01-02,0,LrxDRg8SQdgHMoz3TSAYFg,"The service was disorganized but the servers were friendly and the manager made sure he got our food allergy issues correct. The food was served without placing plates, utensils or serving spoons beforehand. 

The food varies depending on the food. 
- Lechon kawali: 3/5, not bad.
- sotanghon: subpar, just eat pancit canton at home and put your own fixings. 
- crispy pata was pretty good. I would order it again.
- bulalalo tasted watered down and not that much flavor. 
-  bangoong fried rice was the star of the night. It was very delicious. Had pieces of crispy pata skin and mango slices which was a good mix of sweet and savory. 

Overall, I'd say that you should only come here during a drunken night or if you want some food that is two steps above fast food.",psR94xfS8_U0tF6wxl7mrw,1,0,3,qQs-SZKhSwMLxKDeqfvPfQ
698519,2012-12-13,0,LrxDRg8SQdgHMoz3TSAYFg,We went to this place because we like to support are filipino brothers and sisters but the snoty watresses and stale food was too much to bare.,KYk_6oozdOGKcUnEBaNs1g,0,0,1,sTg9usMgMVswGqdQJ5QN_g
709328,2013-06-01,0,LrxDRg8SQdgHMoz3TSAYFg,"The food's very greasy and they served hot food cold.The owners son is very rude and arrogant, only reason for dining is for convenience otherwise i wont.",gGVRtClFYecrxFF1f8-4vQ,0,0,1,z4sVAz0OfBoSnA69_tloLA
712026,2016-05-30,0,LrxDRg8SQdgHMoz3TSAYFg,"DT'S have the worst customers service, starting from management Alan who needs to be retrained and learn how to run a restaurant. Obviously he doesn't have the experience on how to run a business,  because can't even show courtesy to others when it comes to the guest. Family placed an order on Friday to be pick up on Sunday at 6pm. For my surprise the order was late and not ready as we agree upon. And to make things worse management Alan didn't even offer help to load the food in the car. That shows how careless, unprofessional they are.",gO1DieazB3BPUL9-op2TPQ,0,0,1,a_0oqjGNpgt_YMDPuGw_pg
724564,2012-05-22,1,LrxDRg8SQdgHMoz3TSAYFg,"It's a great place to open a Filipino Restaurant for Southwest part of town.  The menu is pretty big. My dad and I ordered Crispy Pata and it was great, a little over cooked but never the less enticing.  

Will definitely be a repeat customer.",zSAUfsaDEobURhGVLHWkzw,3,0,4,rmD3_YaWbTOynkWQdFryOg
732346,2015-03-22,2,LrxDRg8SQdgHMoz3TSAYFg,Was on my way to Albertson's when I saw this place. Was excited to know there's another Filipino restaurant in my new neighborhood and had high hopes that I will have a better experience than I had at Cebu Inasal. Well I've been sitting here for over 15 minutes now and a server has yet to take my order. The place isn't even full. Only half of the tables are occupied in fact. Two tables on my side are waiting for their food and there's a big group of people that are waiting to be seated. I figured by the time I get my food it will be nearly an hour from the time I sat down. No food is worth that wait in my opinion. Walked out without any server even noticing.,8YiSBS084lulmk74h4ACVA,2,1,1,ItjkkysapEdBCw19C1hpbQ
