,date,funny,business_id,text,user_id,useful,cool,stars,review_id
11562,2013-04-16,0,LtXy1VinKWfuLFslVarKRw,The evening walk down Vegas strip made us hungry and we seen a Fatburger. We sat down at a high bar table and no one came to our table to take our order so we went up to cashier and placed an order. When the food arrived the burgers were cooked to our preference. The burgers were huge and made neatly. We would go here again for anoth4r burger.,n7Uc0m8td05aZUeNJC3PVA,0,1,4,9fvFE0lCQ3sJMwNsT7JpKQ
12454,2015-07-29,0,LtXy1VinKWfuLFslVarKRw,Loved the medium fat burger and onion rings. Shake was great too. Sitting outside in the mist was brilliant in the heat of a summer night. Good service and quality burger.,ORff8VuSb_wXvie93oi64A,1,0,4,UnNv4oso2JD-UjbftRJ3uA
16510,2017-07-31,0,LtXy1VinKWfuLFslVarKRw,Great waitress. Fast. Knew her stuff.  Pleasant. And fun to talk to. Great place for a late night drink or a much needed burger.,l5KsXibEX1uEjqais-fsZA,0,0,4,RNfgy0ODytyn1fSk3VWWog
22843,2011-08-08,0,LtXy1VinKWfuLFslVarKRw,"Fat burger is hands down the best fast food burger I have ever eaten.  The quality of beef paired with the perfect combination of condiments makes fat burger a necessity on every Vegas trip.  I suggest at least a double burger with cheese, bacon, and a fried egg.  It's my belief that lettuce has no business on a burger but get it with everything else.  If you follow these instructions and are disappointed you may want to set yourself an appointment with a psychiatrist you just might be crazy.",DJPzeU8KP900lHaPwvkE1Q,1,0,5,bfkcLcCN5-LQ5-ZAqITNCQ
23892,2012-05-13,0,LtXy1VinKWfuLFslVarKRw,"Now they have an open bar outside with waiting service. Big change with last year, changes inside too with the seating. Good thing is it's 24/7. I remember it tasted better years ago. Now it's just like any other place. First time eating since 2008.",iB3iW2re2A4LQEFcpXExFw,0,0,3,osm2ne8YplhUZPMtxv4uUQ
41460,2016-06-22,0,LtXy1VinKWfuLFslVarKRw,"This place is amazing. The bartender Joe was incredibly helpful with finding me a great beer. He was very knowledgeable and super fun. I definitely recommend anybody, locals or tourists to come dine t fat burger",Fu1lJqwdjrB7s12WG4ngvw,0,0,5,QtJr5RUtiA1FBZpsLwyqyQ
44822,2014-07-30,0,LtXy1VinKWfuLFslVarKRw,"o atendimento e a comida demoraram a se apresentar. o hambúrguer veio meio frio. shake de banana bom. hot dog e hambúrgueres OK. nada de menos, nada de mais. uma das únicas opções na strip de madrugada. por isso  4 estrelas, senão seriam 3.",dnvo0vvOyMNAHBQx4aJLSQ,0,0,4,_bmJ_vF_CAWnndBdBgN-rA
105616,2014-06-20,0,LtXy1VinKWfuLFslVarKRw,"I came here on a thursday night. There was a sign that said to seat yourself and so my party did. This place was not busy at all, but it took over 20 minutes to get someone to help us. We had to go up to a server to ask to place an order. After we got our slushies and fries, they did not taste good at all. I did not taste alcohol in the drink and the fries were soggy.",5IIyP1evkoVw0pLnVNuNWA,2,0,2,5XYW08HFlZ3Sn6ZbLJOhuA
116545,2013-04-02,1,LtXy1VinKWfuLFslVarKRw,"This is only my second yelp review. I only write them when I have a very noteworthy experience so believe me when I say this was one of the worst restaurants I've ever been to. To keep it simple Ill just bullet point my experience below. 
 
1.Walked in for breakfast. Saw an employee sitting at a booth eating McDonald's breakfast.  See four other employees standing doing nothing.
 
2.Looked at menu and ordered breakfast burrito and side of ham steak, listed on menu for 3 dollars. 
 
3.Told they don't carry ham steak. 
 
4.Change it to bacon. Ask about what the ""bread basket"" for 10dollars is.  Told they only have English muffins now. The rest didn't sell we'll. 
 
5.Finish order and choose to eat outside. Proceed to walk past the employee sitting at the bar drinking beer and watching basketball. 
 
6.Wait for 20 minutes for my breakfast burrito. 
 
7.Look around at the restaurant where no food is being delivered during the 20 minutes. 

8.Begin to breathe smoke as employee drinking beer at bar decides to light up cigarette. 
 
9.Wait 15 more minutes for food, only being asked how I'm doing once. 
 
10.Get food, which was fine. Just ok. 
 
11.Watch another employee behind bar texting her BFF or something. Had to get up and ask for silverware. Was pointed to where I could get it myself. 
 
12.Finished food, getting asked by what looked like the janitor (he had been cleaning the metal around the bar, sweeping, etc.) how my meal was. Was tempted to leave him the tip instead. 
 
13.Walked out without tipping and wrote yelp review, then wrote fat burger Vegas off my list. 
 
I suggest you skip steps 1-12 above and start right at step 13.",Rt2sJIvO8Xnv0xUxal_FpQ,3,0,1,qtVKbNv_80aa3kDDmtLoow
122039,2009-11-23,0,LtXy1VinKWfuLFslVarKRw,"open 24 hours and on the strip....so if you need to get your burger fix on, then go here.  

But if you can get your eat on during regular hours, then go to in n out on dean martin via a cab.   Had the steak cut fries and burger combo, next time i'll have to try the skinny fries or the onion rings.  

Nothing special, but if you have to get your eat on at night then a decent option.",etW9UhDrLLUULtXKORC7dA,0,0,3,zDuWaP_wYwgtmpP0Kclz9g
129840,2011-02-28,0,LtXy1VinKWfuLFslVarKRw,"This place never disappoint us when we're in Vegas. Normally, we'd stop here first before checking in to our hotel. 

You have to try their chillie cheese fries! I love how their fries are thick enough to with hold the toppings and still crisp. 

The best part is their fresh juicy burgers. Ive never had their other sandwiches but why bother when I can have the best burger! 
Along with that gotta wash it down with their cookies n' cream milk shake! 

If you're on a diet, this place isn't your spot but believe me it'll be worth every single bit. then regret it later when it's all over :)",_gXpxST-xxFPx408bmZmzQ,0,0,5,eFXYkwKGIVB7kdBy-uIhjw
155263,2014-01-31,0,LtXy1VinKWfuLFslVarKRw,"We had a groupon for two menu items and a pitcher of margaritas. We went for lunch, sat at the bar and had a great time. Our bartender was nice and fast. The drinks were great and really, how could you go wrong with burgers?

We made a memory we won't soon forget. Sitting on the strip, a nice sunny day, with a margarita and new friends. Doesn't get better than that, especially when you are coming from snowy subartic Chicago.",RtVkKdCNcUyVbKIapFF4ew,1,0,5,z_4PEMGYQZBjgb4x2FjGvQ
156532,2014-04-07,0,LtXy1VinKWfuLFslVarKRw,"I ordered the smallest burger on the menu, and it was still pretty big. Good thing I didn't add any fries to my order, otherwise I really would have felt guilty afterwards. 

It gets better as you eat. Although the meat could be a bit juicier, there's a nice charbroiled flavor to the whole thing. I think they forgot to add cheese on mine, but the mayo made up for it. 

Good place for a quick burger fix!",gMk5SuwyguSq8owy3kpCVQ,0,0,3,UMQ8mmTQg84mBIku7jTnNg
190597,2017-08-17,0,LtXy1VinKWfuLFslVarKRw,"Good food, just high as hell.  Could have came out better going to In N Out.  5 stars because the food is great and the quick service is even greater!",DzWc26yVUrHeFJiuldXcuw,0,0,5,ZT4to4p4r9LpCsqExNsGdA
200459,2016-12-17,1,LtXy1VinKWfuLFslVarKRw,"2 for 1 drinks! Sports on tvs! Lots of tvs! 

There's just this special something with chain restaurants where you know exactly what you're expecting. No complaints here! 

Staff are very accommodating and nice. Woo hoo!",lNQcG57E05Zqn--eKThgHg,1,1,5,TjEnTnCvb7jNXdNp5GBwvA
215640,2010-11-13,0,LtXy1VinKWfuLFslVarKRw,"Chedder Bacon cheeseburger, Wow. Open 24 hours!  Made to order.  Great burger joint",QeoipNhSt-iINdzs4BcD7w,0,0,5,yKCeuhu_2ZERTloQf_hFWQ
218019,2015-12-13,0,LtXy1VinKWfuLFslVarKRw,"My wife and I grew up with Fatburger in L.A. so we are very familiar with the menu.  We stopped in on our way home from Vegas and I had the Large with cheese, bacon and egg along with fat fries. Best burger I've had in a while. The staff was friendly and aside from feeling like a child having to ask the manager to open the restrooms it was a very pleasant experience. We'll be back.",XIOV8ZZto5UKEGWl_FZVvw,0,0,4,5WDLkHjpmNKscd2O4c5rvA
222469,2014-02-15,0,LtXy1VinKWfuLFslVarKRw,"Stopped here with a Groupon and SUPER glad I did.  2x 50oz frozen drinks with fries was the groupon deal I go but added a burger since me and the BF were hungry.  Sat at the bar immediately with no wait and a super friendly bar staff.  Super chill environment with great music that took me back to high school in SoCal circa 1996.  If you want a great burger and great drinks in a laid back place, Farburger is the joint to hit up. Farburger, love the burgers, drinks, music, and tattoos!",IAi19j1Ei3Jd_SBiPFbXGw,6,3,5,2xYxs_Ji6bYopOzOyxc6Hw
232515,2014-10-07,0,LtXy1VinKWfuLFslVarKRw,"Very disappointing!  They were passing out 2 for 1 drink coupons on the street outside of this restaurant, so I decided to go in and have a burger and a couple of beers.  I ordered the half pound burger expecting a nice thick pub style patty. What I got was two thin burgers stacked on top of each other. That was my first mistake. The bill for my ""buy one beer - get one free"" was $7.00 (for a PBR). Total rip-off. There are lots of good places to eat on this part of the strip. Avoid Fatburger!",tzTABI3rCtbEWdVFBDn6aw,0,0,1,Cp5d-RKmYH94AjdL6U2Zkg
245709,2014-05-09,0,LtXy1VinKWfuLFslVarKRw,"The first thing that you notice is that the food is overpriced.
Then you taste it.
The worst burger I have ever had. And that comes from a lifelong experience with burgers. I would never, ever give it a second chance. It was greasy, fatty, flavorless, and metallic.
The fries mirrored the burger.  An awful dining experience.
This place is perched on the lowest rung. Lower than the corner greasy spoon.
Steer far, far away from Fatburger. You have many other choices for burgers and fries, and they are all better than this place.",mGIry8i6CExFblB7XlQSHg,1,1,1,cxxqiPa3acPOUSvo9DOBKw
248780,2013-05-03,0,LtXy1VinKWfuLFslVarKRw,Best burger! Added patio with dj and Gogo dancers at night-the water misters outside are nice in the heat,0sRVV9GTh4r2iCNuWteUgw,0,0,4,YsDn8Pc0tpIZBvKGuKLZbw
248842,2014-05-12,0,LtXy1VinKWfuLFslVarKRw,"Awesome bar outside of the madness of the strip,   The pizzas are amazing as well as the burger selection,    Big doors open the restaurant up to a nice outside breezy setting.    The servers and bartenders are all friendly,  these are reasons why I'm in there once a week,",YHwerZQRxYl9amNVaYFizw,0,1,5,gPcQ7S4X3qEzkPQKGUDKKQ
252765,2009-03-18,2,LtXy1VinKWfuLFslVarKRw,"For the most part, FatBurger does an ok job with their food and drinks. In fact they are pretty decent about making sure that everything you get is on par with many of the other locations both in NV and Cali. 

For some reason this location just misses the point! Now, I understand it is in a high volume area, with heavy foot traffic and etc. Catering to tourist who probably will not come back, but regardless of who comes into eat, Consistency & Quality is key!  

Meat-overcooked
Bun-A little stale
Produce-Not very fresh-BK & Mr. Jack-had better. 
Extra items?-Actually paid extra for something I didn't get! I know stupid me! 
Overpriced food, drinks, and etc. 

Go to ""In-n-Out"" a few blocks away, if your really dying for a egg in your burger, go up the street to Fireside, I know they'll do it right! 

Cheers.",FWHbXUCndMVogI5EuH_TTQ,2,2,2,nxfSd3Dmz_W6psiZF3LOXA
267768,2011-10-14,0,LtXy1VinKWfuLFslVarKRw,i really liked fatburger for burgers. they were good burgers but i'm only giving it 3 stars. i prefer five guys and give them 4 stars so i have to give them 1 less. its a burger so nothing too special but still a good burger. nothing else really to say about it,LsSUL_MBwWEevUj1CYGj4A,0,0,3,MbcgufUoTwZ6dX9CptBvSw
285608,2010-09-09,0,LtXy1VinKWfuLFslVarKRw,"a transcendent burger experience. so greasy, so much, so wonderful.

the perfect (preventative) cure for a hangover.",swmVhId2k-63Ny30TttAbQ,0,0,4,I1VaeSaTxgY8zZTdBgvpGQ
291528,2014-04-02,0,LtXy1VinKWfuLFslVarKRw,"Concept is great, liked the value, burgers were cooked to well done. Maybe it's a Midwest thing but we'll done! I know medium rare isn't always an option but health code can be met long before the meat is dry and crunchy. Not sure if it's policy or an individual cook...won't go back to find out.",jLZ_pnuO5iqs-_Ymbdj3DQ,0,0,2,TcGfSwruVe6niqE-aFI_Dw
