,date,funny,business_id,text,user_id,useful,cool,stars,review_id
780,2013-01-20,0,LwQB9H3jZ9wTk24Lr-AnZQ,"Outside seating that's truly different!

As we were only in Vegas for a few nights we wanted to make sure we got to experience as much as possible - including the dining. After doing the usual hunt on Yelp we decided to try out Spago and it was a great suggestion.

When we arrived the waiter asked if we wanted sit inside or out and we opted to go outside - best choice! To be honest I thought the blue ceiling was tacky at first but after a while it really started to trick you that you were outside!

The food was awesome (as expected) but the service from the waiters was top notch as well. Highly recommend.",wcKvC0jov-kAHg-GIvWJqg,0,0,5,NZXayLIC5wMT63QBkAVqOw
5379,2015-08-29,0,LwQB9H3jZ9wTk24Lr-AnZQ,"Dinner was outstanding , service top quality and food 4 stars great place to have a meal",tTnFHscTvbWy7uOq_USA0w,0,0,5,IPS2OGKxq4IN60bEktTpUA
15533,2009-12-01,2,LwQB9H3jZ9wTk24Lr-AnZQ,"5 stars for yumminess, but minus 1 star for snootiness!

I've been here twice, and both times we were seated in the patio area. Why were we seated in the crowded patio area when there were empty seats inside the main area?.... and why did the greeting fool look my bf up and down and gestured for us to go to the patio? Why Spago, why are you so snooty?!  

The food here is really yummy, but I don't understand why waitors/waitresses/greeters here act as if they are better than the paying customers? Why? Tell me why???",3Gcb--Vsp1zG0CXU7xtZYw,2,1,4,Ah7humaHLaUy7x0QV3bKFw
26452,2011-02-02,0,LwQB9H3jZ9wTk24Lr-AnZQ,"They started off on the wrong foot with me when I had to return a glass and 2 knives because they were  dirty. I couldn't even wipe the crud and thumbprint off with my napkin. They acted like as it's normal, however. If I were eating at a roadside diner, maybe so, but that's not acceptable to me when you dress up for the prices they're charging. If the dishwasher doesn't catch that, then the waiter should when he sets the table. My gf got the tasting menu, about $100, but when I indicated that I wanted to peruse the menu, the waiter really pushed the tasting menu. As I don't like sashimi or lamb, I wasn't going to taste them but I got the sense that he wanted me to have the same menu as 1) it made his life easier to bring the same dishes out at the same time - isn't a waiter's job to bring the food you order? and 2) it was more expensive than anything else on the menu. I ended up ordering the crab cakes appetizer and duck breast. They were ok, but ok's not what you're supposed to get at a posh restaurant. Even though I ate half of my gf's dishes - other than the sashimi and lamb - I ended up going to Johnny Rockets later that evening. And I enjoyed that meal much more for 1/6 the price.",UeAdOA6o8tXKOQQK4sE_iw,0,0,2,Tn-MyXj-zovutM-r-9UbHA
27424,2013-12-12,0,LwQB9H3jZ9wTk24Lr-AnZQ,"*AMAZING*

For my 30th birthday we ventured into Spago for a fantastic night out and amazing experience.  Finding a great restaurant in Vegas is hand's down pretty easy...fantastic, gourmet, different...face it it's an easy task.

Our food was so fresh, the wine poured all night, the service was so welcoming and engaging.  I had the salmon, others at the table had sea bass, tuna & filet special.  Everyone had a clean plate.  We also had the seafood platter full of fresh oysters, shrimp, crab & lobster.  If that is a special don't pass it up!

Of course I was treated to a special ""Happy Birthday"" platter with a sparkling candle, which by the way doesn't blow out.  A fine, and classy way to end dinner.",UjaFrJyZh9b-NtWzW-luGQ,2,2,5,H2W1yIlBDrKn2_jMIWzi_g
35344,2010-12-15,0,LwQB9H3jZ9wTk24Lr-AnZQ,"Fantastic!  The portions are small but the flavors are perfect.  Went with coworkers while working in Las Vegas.  We happened to be in Ceasars Forum Shops and stopped here for dinner.  The place was near empty on a Wednesday night and we were treated to impeccable service.  The chef even came out to say hello a few times.  I honestly dont' remember what we all ordered but EVERYTHING was better than good.  Trust your server's recommedations as they never steered us wrong.  Even with drinks they nailed it.  We had a seasonal pumpkin martini that was so good we all asked for the recipe.  The chef hand wrote it and had it delivered to our table!  Even though Spago is no longer the trendy spot, they still got it.",JxuLXhN63Araqd7mdRaNIA,0,0,4,CmlDU4El0buRE3g2EmBZXQ
38834,2012-05-28,0,LwQB9H3jZ9wTk24Lr-AnZQ,"I had the chopped veggie salad.  The veggies were fresh the peas were not frozen...you could tell they were freshly plucked from the pod.  The bread and pita cracker basket was excellent.  Had the chocolate souffle for dessert... You order it twenty minutes ahead so they can make it especially for you.  Tried the ginger lime spritzer to drink,no alcohol, was perfect.  My husband had the turkey and avocado sandwich he ate every bite, as good as a sandwich gets",UKMFnJq_dHUTEqbBU3Bz9A,0,0,5,3UTx8fn9tiRskqwUM72kAQ
44491,2015-11-09,0,LwQB9H3jZ9wTk24Lr-AnZQ,"We had a very solid experience at Spago.  Business dinner, staff was very professional, good selection of wine.  Everyone enjoyed their meals.  We started with the seafood appetizer tray for a party of 6.  My wife said the oysters were excellent, no dirt and sweet.  I had the Short Rib and it was very good.",QJALXiD9-_iMV1bmoi0pcQ,0,0,4,Hmozt0dkQunF7ym_cmlsOQ
53961,2015-06-22,0,LwQB9H3jZ9wTk24Lr-AnZQ,"Food: 3/5
Service: 3.5/5
Cleanliness:  4/5
Price: $$$

You can find the restaurant within minutes of entering the Forum Shops from the Caesars Palace casino entrance. The restaurant is relatively easy to spot because it has a bright neon sign that says Wolfgang Puck's Spago. We arrived to the restaurant with no reservation around 3pm for a late lunch. 

We were seated in their casual cafe dining area because it was lunch time. The dining room is only open for dinner starting at 5:30pm. There is also a nice bar available for casual drinks throughout the entire day starting at 11:30am.

All dining tables were very clean with comfortable seats, crisp linen table cloths and napkins. We were seated immediately upon arriving because the restaurant wasn't too busy at that time of hour. When seated, one of the waiters welcomed us with the menus and served us with the water of our choice.

We ordered three things for ourselves:
(1) Truffled potato chips with maytag blue cheese fondue
(2) Garlic & Herb marinated roasted free range chicken (hubby)
(3) Housemade bucatini carbonara with parmesan and crispy prosciutto (me).

Our appetizer arrived sometime later after we ordered, and at first, we weren't too excited about how the potato chips tasted. It didn't WOW either of us, but we both agreed that it was getting addicting as we ate through our plate of chips. The blue cheese fondue was delicious, but we couldn't really taste the truffle in the chips. Topped with some fresh parsley on top, the appetizer was worth trying but it's not something we'd order again. We will try something else next time!

Hubby's roasted chicken was delicious. There was no extra side served with the chicken, which hubby actually appreciated because he wanted to eat a little more healthy (ie. no carbs?) for lunch that day. The chicken was full of flavour; it was well marinated and the marinade itself was quite tasty! It was sweet, tangy, and savoury all at the same time, making you reach for seconds and thirds. Hubby loved his dish, and I enjoyed it as well when I tried it; the dish was well balanced in terms of flavour! I'd order a side though to go along with the chicken.

It was my first time trying bucatini, a thick pasta noodle that has a hole running through its centre. The portion of my carbonara was smaller than I expected, but together with the potato chips, it actually made me so full that I wasn't able to order any dessert. :D Overall, my carbonara was good but not great. The prosciutto on its own was too salty for my taste, but it was balanced when eaten together with the bucatini. The pasta was some what bland without the prosciutto as well. Maybe it was because I had a lot of the blue cheese fondue from my appetizer, but I ended up not really feeling the carbonara. When I ordered it, I was so excited, but after a few bites of my carbonara, I wasn't content with my dish like my hubby was with his chicken. I finished my pasta because I don't like leaving food behind, but the carbonara wasn't anything memorable in my opinion.

All in all, our lunch at Spago café was great but nothing incredible. Then again, Spago is more well known for its dining room and dinner service than anything else, so we may give the restaurant another try one day for its dinner. Another reason to visit Las Vegas and the west coast again! :D

The restaurant is casually recommended, but it's not a must-go in our opinion so far. This may change at one point when we grab dinner at their dining room one day. If you're looking for a casual place to eat for lunch though, Spago would be a great fit overall. It will provide you with good food, great service, and enough energy to get you going on that shopping spree!",u4iBXHU_ZCUIXymxkcsHdA,2,0,3,sikKjsQog_u3uE5moqa02g
55353,2014-04-01,0,LwQB9H3jZ9wTk24Lr-AnZQ,"Liked the Caesar salad with fresh anchovy, and the thin crust pizzas were OK, but considering this is such a well-known spot, we expected much better food. Several things lacked salt or just overall flavor, such as the fettuccini and the shortrib w/ gnocci.",zCZBZLB6jHZ9Nt_Mh4Vadg,0,0,3,3XUy3T9Vr7FLAs1lpMaCAQ
74921,2013-02-05,1,LwQB9H3jZ9wTk24Lr-AnZQ,"I would come back here just for the bread!  Came here with a large group of girls, and ""the bread man"" quickly became our new best friend!  Our favorites were the parmesan lavosh and the bacon cheddar buns.  

The butternut squash soup was extra creamy and the salmon was tender on the inside with a crisp skin.  My friends were also raving about the short ribs!  

On a side note, our server was awesome and had us in and out in time for our show reservations - she was very accommodating without rushing us!  Definitely recommended for a fun girls night out!",gVaFXfqESHZ651BBvvltMA,1,1,5,rP14jMLE41qVJtsG6lEbqg
80975,2017-02-15,0,LwQB9H3jZ9wTk24Lr-AnZQ,"Valentine's Day dinner could not be any better from the food to the exceptional service. Every dish we had was truly outstanding, can't wait to go back.",450NIwTYSR-y-sq8TKZVYA,0,0,5,OSRf7Idzj9wfFgFNCic3sA
85885,2012-08-18,0,LwQB9H3jZ9wTk24Lr-AnZQ,"Excellent. Best in Las Vegas in my humble opinion 

Had corn soup today that was the best I ever had in my life. Chef, Food, Service and management the best.",pY5X0r3QPWXJNBogzB3fBg,0,0,5,i6CfVf0qvsJn2MpJ8QXYJQ
98413,2014-11-29,0,LwQB9H3jZ9wTk24Lr-AnZQ,"We loved Spago.  Everything was AMAZING!  If you're on a budget, maybe look elsewhere... but if you want outstanding food with really interesting and delicious flavors, this is your place.  So happy we chose it as one of our dinner spots.",T6cO900m_JEAf8DzJiUFMg,0,0,5,IapdtsIDA3SGU1HFPMlkNg
101514,2016-02-05,0,LwQB9H3jZ9wTk24Lr-AnZQ,"Delicious chopped salad and margherita pizza. Teya, our server at the bar, was so friendly and attentive. Free bread. Great Old Fashioned. Give it a try!",q6jjBqIBN2hIBxkdb9FaSg,0,0,4,0tV4s360U7oGpqdqx_v3HQ
109561,2013-03-11,0,LwQB9H3jZ9wTk24Lr-AnZQ,"I visited Spago with a party of 7 and we were all 100% satisfied with each and every dish we ordered, including the small portions of squash soup that were compliments of the chef. Seriously, we joked about fantasies of filling up the tub in our hotel room with the soup and bathing in it.

While we're talking about soup, let me sell you on the mushroom soup. If you aren't a mushroom lover, don't bother. The flavor of mushroom is strong, balanced by the dollop of creme fraiche and scallions. I struggled to get through half of this creamy bowl of deliciousness, as the portions at Spago are certainly large enough for even the heartiest appetite.  

As others mentioned, the service is extraordinary-- even for our group of 7 teetotalers who probably only spent 50-75% of other tables of our size. The chef stopped by several times and made jokes with the group. These touches are the nice cherry on top of an amazing dining experience.",zCyMCpQRNNVB0X9FrgqO5A,1,0,5,SlMm5Tg9d9qxgJKoR4esbg
111233,2012-02-27,0,LwQB9H3jZ9wTk24Lr-AnZQ,"Ive dined here on several occasions. For an upscale establishment, it is perfect for every occasion. I have enjoyed many of the menu items including an arugula salad, pizza, and an exceptionally cooked duck.",qQiHdR_B9YxaIOcqJ876wA,0,0,4,sGhZvO1kdz2ccDM_wtXDQA
115519,2013-06-21,0,LwQB9H3jZ9wTk24Lr-AnZQ,Absolutely the worst food!!!! Not even one star!! Ok the bread basket was good but that's about it. The pizzas were soggy. The pasta we ordered was very salty.,Hx7B4WARlup37n1rDSq7Wg,0,0,1,oG3ClpbYu0roGm1S2clS1g
