,date,funny,business_id,text,user_id,useful,cool,stars,review_id
2016,2014-04-17,0,LwXo16VrGPhhOWc_Wj7ifw,I have to say wow it completely blew me away. I ordered the chicken tikka and naan today. The chicken tikka was the best chicken tikka I ever had came with bell peppers and onions with masala on it. And the naan was so good. Everything was fresh. They make it right in front of you while your waiting. I would definitely recommend this place to friends. This is my new favorite place to eat Indian food.,SQm5TEeF_tP9QJKg1HAN6Q,0,0,5,2Wm9_ytkF_56LfFbCqk0ZQ
15582,2014-03-27,0,LwXo16VrGPhhOWc_Wj7ifw,WOW!  Is this food AMAZING!  No lie!!  Try it out. It's some of the best India cuisine I have had and I travel all over the country.  I can't wait to come back to have some more...I may even have it for lunch tomorrow-before my flight back home!!!  :),vlou5a25r_5D5Pk2Yk3NLw,0,0,5,1Bt3f-ZABwIb0wlGpFnNnw
136023,2014-06-24,0,LwXo16VrGPhhOWc_Wj7ifw,"So tasty!! We had Tikka Masala, lamb Biryani and some Samosas.  Everything tasted so fresh and delicious.  We'll do this again...and again!",_ybknlgSmFSTSEq3RqBXiA,0,0,5,uJn6FfOHepoMyHV6digPnA
148659,2014-03-29,0,LwXo16VrGPhhOWc_Wj7ifw,"Walking in I felt like I was back in California eating delicious cheap Indian food. They have serving trays full of items but we stuck with our usual items to compare to other places in Vegas. 

We ordered the chicken masala, lamb vindalo, cauliflower, samosas, garlic naan, pakora, and kofta. 

The kofta was my favorite. I was really impressed how much flavor it had and it was made with chicken instead of ground beef. The lamb vindalo was my next favorite. The lamb was falling apart as I was putting it on my plate which was a great sign to see that it was actually slow cooked. The sauce was on point too. 

Overall we had a great meal between the 4 of us, left with a couple of to-go containers and didn't spend a lot of money. 

I can't wait to go back and try other dishes that we missed!",NzqJBFA6QdOKBv1dIkTLDA,2,1,5,CRBtfADfDWEYXPxd_jIZ2g
205731,2014-05-11,3,LwXo16VrGPhhOWc_Wj7ifw,"I had a chance to try this place out and surprisingly, they offer MOMO's!  Now some of you might wonder what MOMO's are, so let me tell you, they are delicious gifts from God!  

This is a Nepali/Indian fusion offering amazing food for cheap!  Highly recommended, you won't be disappointed!",I22QueJ7v1WQu9LAmjeXlg,4,2,5,mEL92Yi39XBIQH5Vj8Pd6Q
504493,2014-03-14,0,LwXo16VrGPhhOWc_Wj7ifw,"As an Indian, I am rather fussy about food from my country and while I will often put up with mediocre offerings, I am very pleased to report that the food here is very authentic and delicious.

Ethnic food seems to finally be making some firm inroads in the Henderson Eastern corridor.  OM is the latest addition, just south of Serene - you have to look for it, since it is set back a bit from the street.  

It is a relatively small restaurant with a definite take-out setup and vibe.  The food is all laid out on a steam table and the menu choices are clearly displayed on big light boards behind the counter.  The food is on display with matching photographs on the menu boards.

The basic premise is very similar to Panda Express - a side plus 2 entrees $6.99, with 3 entrees $8.99.  Sides offered are naan, white rice, pulao rice, and noodles.  As with PE, you can select a half and half combo of two different sides.

Three of us ate there and between us we tried the Chicken Tikka Masala, Lamb Vindaloo and Chili Chicken which were all terrific.  On the vegetarian side of the menu, we tasted the Palak Paneer, Aloo Gobi and the Daal.  I didn't have any of the veggies, but my friends gave them all a strong thumb's up.

I expect to be back there frequently, both to eat there and for take out.",KVGxs-NiT5g-8uiHzu2bEw,1,2,5,3LGF0G2UtPuCfgXqOYy-gQ
563365,2014-03-16,0,LwXo16VrGPhhOWc_Wj7ifw,one of the #1 best places to eat traditional indian food!!!! food is fresh and ready! naan is made fresh right in front of you... i love this place,tw-F1CUvdukzlfxLqgmXWw,0,0,5,P1r8XLgOIyLA2F7tNW_4Ww
596958,2014-04-03,0,LwXo16VrGPhhOWc_Wj7ifw,"Being from Berkeley, I consider myself a connoisseur of Indian cuisine. Simply put, Amazing. Thank you OM for the wonderful food and smiles.

Items of Note: The Naan, Tikki Masala, and the Chicken Tikka,however, everything I have ordered has been perfect.",GBYGhO7j5-mnK_WoNBjFKA,0,0,5,2bCzG1pFypqwlMb2nE96dA
597900,2014-04-15,0,LwXo16VrGPhhOWc_Wj7ifw,This place is really good and very fresh. I don't over eat like a would at a regular Indian buffet. The employees are super friendly too.,oenzGqlVMNpVq_Qrn6iAjA,0,0,5,JZGaigCXeYin_NyAL6zcdg
601161,2014-02-20,0,LwXo16VrGPhhOWc_Wj7ifw,"The food at Om Restaurant is pretty darn good. I've never had Indian/Nepalese food so this was a very interesting experience for me. We came to this newly opened Indian/Nepalese fast food restaurant by accident. But once I entered the restaurant with my friends, we could smell the curry which made our mouths water.
If you like spicy and flavorful food you are in luck, if not, then try their Chicken Momo's (which is Nepalese dumplings) which is just awesome. A must try!!!
My friends got Hot & Spicy Chicken Wings and I'll say they are sooooo good. One of the best wings I ever had. What a great find! I cannot wait to continue exploring their menu. The food here is fabulous. Will Definitely recommend!!!!",xszoDQN-wuCezEfZILS7Hw,1,0,5,IfjXOFXJYuGXO42QKG4t9Q
705806,2014-03-09,1,LwXo16VrGPhhOWc_Wj7ifw,"Good fast food. Limited vegetarian dishes, but test is not bad at all. Nan and pakoras are made right in front of you.",q9JelqHqac06PkAe5p2uvw,0,0,5,aTnkbxb8hzVOoeQHEDbN1A
751279,2014-03-09,0,LwXo16VrGPhhOWc_Wj7ifw,"We ate Lamb Vindaloo and Chicken Tikka Masala. This place is known for their Indian style plate-lunch; meaning 2 or 3 entrees and 1 side. Comes all on one plate. They also offer a small selection of larger single serving entrees which come in 8/16 oz sizes: and, they divide the menu between non-vegetarian and vegetarian. We decided to order a large (16oz) of each dish and 1 side of Naan and 1 side of Pulau. The food was fantastic. I've eaten at a few restaurants across the world and this definitely stacks up. The server seemed very confused that we weren't getting the plate meal and kept warning that it was a lot if food, as this is a new restaurant I'm sure that will wear off as more people order of the other menus. We're definitely going back!",tTIXJkDn0SKriN5fSHLQQA,0,0,4,W9-R99lnZ4udx5QqgZvOTA
802792,2014-05-29,0,LwXo16VrGPhhOWc_Wj7ifw,"one of the best indian restaurants in las vegas..though its about 12 miles from the vegs strip, its worth trying...chicken tikka masala and some of the best in town :)",nehOXSBH9XDiKGLI7oiaPg,0,0,5,IsX2uIp6D1fpI5jQ6nv7RQ
1369469,2014-06-03,0,LwXo16VrGPhhOWc_Wj7ifw,"This place was my first Indian cuisine in Las Vegas. I ordered the hot mango chicken and the lamb. The mango chicken was spicy just how I like it. The lamb was very flavorful. Food overall was excellent. I thought the portion size was a little smaller than what I am used to, living in America and all, but it was just enough. Will definitely return.",cgQUUQlxBVs42OG647SIsA,0,0,4,ybe4h0lX2ztViRKlUTjHlw
1483670,2014-04-01,0,LwXo16VrGPhhOWc_Wj7ifw,"My office decided to order takeout from here last month.  I was doing a Whole30 diet - no grains, no dairy, no legumes, no sweeteners of any kind - at the time.  I emailed the restaurant to ask if they had any meals that I could eat.  They replied promptly that they didn't, but if I gave them notice, they could prepare some of their dishes to be complaint.  I asked them to make their tandoori without dairy and they did.  They let me know when it was ready to order and when takeout day came, I got to enjoy with everyone else.  And, the tandoori was fabulous!

Good food and kickass customer service make this place a win.",Fk3Io6ZVH0ExuUHd11jUnQ,0,0,4,zNOGeXJTZ569reAplnFXUQ
1600218,2014-04-08,0,LwXo16VrGPhhOWc_Wj7ifw,"This review is just from a Take-out perspective. I had a free voucher from LV Local and used it trying OM. I was pleasantly surprised with the quality and flavor of the food. We order two combo-entree's for $8.99 each and I ordered the aloo cauliflower, chicken curry, chili chicken, and naan. The naan was naan bad (not bad). Would have given them a 4-star but not all the entrees were available for the combo meal and the portions were small. I guess I'm spoiled from Panda express. Anyways I will definitely return because it's close by and inexpensive for Indian food. May give an update on review. Hope this helps.",ehAvwDt4Fpsz9KPordu5lA,1,1,3,xU4aP-TUNAUF5A3IAt48HA
1729379,2014-07-15,4,LwXo16VrGPhhOWc_Wj7ifw,"I thought this was a restaurant, but apparently it's just a hobby.

Drove half an hour out of my way to a sign saying they were closed ""due to a family emergency."" Reading through other reviews, this is not an isolated incident and apparently happens with a fair amount of frequency. 

We don't live in a communist country (yet)-  no one is mandating your hours. If you can't keep your own business hours, you should probably change them to something you CAN commit to.

If this were a one-time thing, I'd be inclined to be sympathetic- but clearly it isn't.",bLbSNkLggFnqwNNzzq-Ijw,4,1,1,AhM3e5-PnsG9txqn2Gq3hw
1732546,2014-04-03,0,LwXo16VrGPhhOWc_Wj7ifw,"I was pleasantly surprised at how good the food was.  I would defiantly be back again.  Nice variety of foods, quick easy lunch, great prices and Staff was extremely friendly!!",FLBSIjBC0Key7jfhsZFIUg,0,0,4,zoz6iHSsE2JXrjcxhpw_5Q
1737249,2014-03-28,0,LwXo16VrGPhhOWc_Wj7ifw,"I have to say that what's been missing from the entire Las Vegas valley was Indian fast food.  I was hoping this place would make the cut and I am glad to report that it does indeed.  It's not the best Indian food I've had but for fast food and an amazing price, this place is absolutely stellar.

Must get the Naan, it is the best I've had.",yMODenxFTfmib9uYz_3Vqw,0,0,5,CC5K-08TSFxp3WkGNTRM9w
