,date,funny,business_id,text,user_id,useful,cool,stars,review_id
18718,2016-08-25,0,Lzv68iVkRHstVvW3aXNWkA,We ordered from the Vegan menu. Yes they have special Vegan menu. We ordered roti with green curry it came with bowl of rice. It was delicious roti was crisp. Next we ordered pad Thai noodles with vegan sauce. The noodles were little oily but the taste was very good. There was no room for desserts but we inquired and they have or can make 3 out of 5 desserts vegan. Something for next  Time.,_n3S06MZ7FiTS7Fe1bK_rQ,0,0,5,TE8lp-gYsvERSbKY_-he8A
36087,2016-03-30,0,Lzv68iVkRHstVvW3aXNWkA,"I love Thai food and when I find one, I would definitely recommend and write the review for it.  The food is so delicious and very tasty.  I also like the decoration style of the restaurant, very warming.",x0U336tR1uW7pX9eFbVshw,0,0,5,7dfOsaLdu6DVhjF3Kno6CA
88611,2017-02-02,0,Lzv68iVkRHstVvW3aXNWkA,"We lived in Thailand and got addicted to Thai cuisine. Finally, we found a perfect Thai restaurant in Las Vegas! Real Thai food, nice atmosphere, amazing service. Definitely will come again and again.",dgFl0dj9bAj6qg1mZOeg_g,0,0,5,zcSkYSfbtYWOhZRwvLFtLA
92510,2015-03-12,0,Lzv68iVkRHstVvW3aXNWkA,"I stop by today for lunch their menu is an interesting offered between 11-3pm and the prices are under$10 for the 18 different lunch listed.serve with viggie or egg drop soup rice and salad and having vegan option!!! Service was great everyone was really friendly and welcome and helpful they explained to me very clearly.i had E-San set it's was awesome the set come with BBQ chicken Salad Sticky rice and papaya salad
I'm very happy eating ;)..I will definetely recommend this restaurant",Sq1DktFwU_nzDsukkMZSTA,1,1,5,ooPYq5K_RYyBrMjWKZmPGA
101771,2016-05-03,0,Lzv68iVkRHstVvW3aXNWkA,"Just ate here for the first time,an all I can say is if you're vegan or vegetarian.... This is the place to go for Thai food....not enough stars to rate this place!;",-HOdFyXfzE845IfbQobVGQ,0,0,5,YdL4LvD2GZNGUB4zctMsZw
122136,2016-06-09,0,Lzv68iVkRHstVvW3aXNWkA,This place is a hidden gem. The service is excellent and food tastes amazing. They have a great lunch menu that includes dumpling soup and a salad. The dumpling is amazing. I highly recommend this place for lunch. Most items on lunch menu are between $7-$9.,CC9nN2EMh7INGDDJf1gQVg,0,0,5,M3MHJj49c5XJ10KbUX07kg
133360,2015-03-04,0,Lzv68iVkRHstVvW3aXNWkA,Love this place...food are amazing. I had the hot & spicy basil spaghetti..it's gonna be my favorite one   :)) inside the restaurant is very pretty. Love the decoration,szIovm5kR_f7si_pfR8OSg,2,1,5,L9QmbT9zRPqMhHtFWNDf6w
135187,2017-02-27,0,Lzv68iVkRHstVvW3aXNWkA,Fantastic Little Thai restaurant. Really nice modern clean decor and super friendly people. Food was extremely good and their spiciness level was very thorough. Portion sizes we're fairly large and prices were excellent in the $10 to $12 range for entrees. Everyone in my group will definitely be going back.,zFX4ekd1k5RZr5yAY293oA,0,0,5,-wvQ7oPzryBG9j-NjUr9-w
146213,2015-08-08,0,Lzv68iVkRHstVvW3aXNWkA,Phenomenal Restaurant! We were lucky to have met the owners and the couple were extremely nice. The food was amazing and the customer was excellent. I would definitely recommend to anyone to is craving Thai Food!,tFnIrpSykfoQ7MihOyoy6Q,3,0,5,U941lLLwu0yZ-_70DTOuxQ
154601,2016-01-31,0,Lzv68iVkRHstVvW3aXNWkA,"Amazing place, great food! Definitely try if you're near that area. Their spicy eggplant is awesome!! Best I've ever had and their soups are delicious.",OSt8-pYDtz6vP9B4-aTNzQ,0,0,5,7geK8wxa19QycUC6kaNXXQ
171020,2015-11-18,1,Lzv68iVkRHstVvW3aXNWkA,"Friendly staff, good quality food, overall fantastic value for your money. Try the spicy eggplant grilled; you won't be disappointed!",gBUXkIKCdmKH2SKEBgHvzQ,1,1,5,Vu0SPSPGy93ZS6-y9fNxuA
173548,2016-01-21,0,Lzv68iVkRHstVvW3aXNWkA,"This place is enthusiastically getting an upgrade to 5 stars.  The food and service is consistently outstanding and the pricing makes it a great value.  This place has become a regular favorite for my wife and I.

The Salmon with Mango Salsa and Panang Curry are two of my favorites.",_f2gLN3JSI-WYpgakE66aw,2,0,5,qvW-UHzMqG54yPm1S3MIoA
177980,2016-08-28,0,Lzv68iVkRHstVvW3aXNWkA,"It is very unfortunate that I have to change my review from a 4 star to 1 star. When we first tried this place out, we were in love. They have the best spring rolls I've tried throughout town, and our server was very sweet. After the past two experiences I have had there, it pains me to say that I'll never come back.

Food - still good. It's nice that they add a separate vegan section to their menu, and the spicy herb bed tofu was very different and flavorful, but when I order a 5 out of 5 and was able to eat it with no rice and taking only a few sips of water, I'm not trying to be a badass. You are doing something wrong. However, as far as flavor goes, it is very yummy here.

Service - This is the entire reason we will not come back. One of the servers there, whose name I can't remember, and I am sorry for that, is awesome. She's shorter than the other servers that I have seen there. She works very hard for her guests and has a very friendly, open attitude.

The other servers are horrible, all of them. Their hours are posted as closing at midnight, but if you show up at 11:20pm, they announce that they're already closed, will seat you begrudgingly, make you order before youre even sested, toss your food onto the table, and rush you out of the door. It is a horrible experience for someone who walked in 40 minutes before they close. Not 10 or 5 minutes. 40, and we were one if four tables in there.

But every restaurant gets a second chance rule, which is why we came back. We had our awesome server, and the only complaint was the food, until right before we left. My friend had walked up to our server to hand her a cash tip, and another server interrupted her and snatched her cash out of her hands. Look, I am a server. I know how things work behind the scenes. I can spot which servers actually care and which servers are low and sheisty. She, who was the same server that rushed us before, was sheisty. She didn't even serve us and yet she still grabbed, actually snatched it from my friends hand, a tip from another table? Argue that they may split tips, it is still very, very rude how she handled the situation. As a regular customer, I don't think I've ever felt so uncomfortable and unappreciated.

Thai table lost 4 customers who used to dine there weekly. I would suggest looking up Komol for a more authentic, spicy, innovative thai food experience with friendly service.",L8yMLcRg7L7JZX80l6jRBA,0,2,1,uqPB3CuBM_L302Y7vsGK0g
242032,2015-08-03,0,Lzv68iVkRHstVvW3aXNWkA,"very good ! , very friendly , polite,excellent take-out Thai food. I had the pumpkin curry and the pad see ew noodles with beef both were excellent !! good food !!!",TcL2IiTi8wWvfo0B87tP2w,1,0,5,KF387PYHKuvNqhY36Glp5w
246043,2015-02-16,0,Lzv68iVkRHstVvW3aXNWkA,"Me and my husband were super hungry and we saw this restaurant in the middle of our way to our hotel. This place has a great Chi and it's very relaxing and nice.
Decoration is great. I ordered Tom Yum soup and so far, it is the best Tom Yum I had in Vegas. ( Im the Tom Yum Pro). My husband ordered shrimp fried rice and Thai Iced tea which was Delicious. I ordered Lamb shoulder and greens ...YUUUUM. and dessert,,,,,shortcake and strawberry. I definitely revisit this restaurant. The server was sooooo sweat and helpful.",cr16jmDeAGdv3NkDgbH4Lg,3,1,5,3EzFXRstGy1Oea8Tyw81Zg
272154,2015-09-09,0,Lzv68iVkRHstVvW3aXNWkA,"The best Thai food I have had in Vegas.  The wonton soup is freaking awesome and the Prime Rib w/ chili sauce is pure meat perfection!  I've ordered 3 times this week!  Especially compared to some other Thai fast food places, this place is the bomb!",pHUaTI-n_eZg8M_Nu8WMdQ,1,0,5,kpdF0U-XMwoTqWRwnXEjpQ
285252,2015-10-23,0,Lzv68iVkRHstVvW3aXNWkA,Great food and nice decor. Close to the airport easy to find and the staff was very friendly and helpful. What more could want?,09PObVKA904s3A25R8qSLA,1,0,4,rz-BoEC815K-I9HeT1ucAw
298429,2015-01-20,0,Lzv68iVkRHstVvW3aXNWkA,"We were going to the coffee shop next door, but decided to get lunch here first. We started reading the menu outside on the sidewalk, and the waitress popped her head out to make sure we didn't have any questions. We noticed they had many vegan options, so we went inside. The inside is very nice and cozy, with a romantic ambience and very clean. Perfect for a date night. The waitress was very nice. I ordered the vegan orange tofu, which was wonderfully presented. Portion size was bigger than I expected for the lunch price, and came with rice, side salad, and a broth soup with veggies. The orange tofu was delicious. Actually, everything was. Our waitress checked on us often, and gave us recommendations for vegan entrees to try next. We will definitely be back.",E1c3-o6CXLUzkdZnMIAMUg,2,2,5,aE6-57UXz3t108_itCu_aA
364818,2016-01-20,0,Lzv68iVkRHstVvW3aXNWkA,First time here and I was really impressed! Lipi and Patty waited on us and they were both an absolute pleasure. They helped us choose an appetizer and an entree. The food was very delicious and not too heavy. I've never had such personal service. I will definitely be back!!,ESblLBPUGU5nr7S1hN-91Q,0,0,5,KZDT9XhspNoUj_xRZ8zl7g
374738,2015-09-21,1,Lzv68iVkRHstVvW3aXNWkA,"Friendly service. Excellent food choices. Today for lunch I enjoyed the red curry chicken with brown rice soup and salad all for under $10.00.
Clean establishment. Fresh food.
What more can u ask for in a restaurant.",j0Ox9V0NVm10zeRT1_aO1Q,1,0,5,J29Rt57qG-hS4PqXvWcLcA
392470,2015-01-08,0,Lzv68iVkRHstVvW3aXNWkA,"I am a HUGE thai foodie. With that being said, I found Table Thai through Yelp, quickly placed an order for delivery and was very satisfied with what I got! Upon arrival the food was still warm as if it had come straight from the kitchen onto my dinner table. The driver was very nice and even gave me some free thai iced tea for ordering delivery. 

Food:

- The first thing i got was a yellow curry. For the price it was a bit small portioned but really satisfied my hunger. The sauce was excellent and had a bit of a kick to it (i got a medium) and had a VERY generous amount of meat in it. The flavor was excellent as well as the consistency; not too runny, not to thick. This came with your choice of white or brown rice. 

-Second, I ordered the pad thai. Once again this was on a scale from not spicy-spicy. I got a medium but the flavor was not spicy at all. Anyways, the noodle were very flavorful and all around good. They came with chicken, bean sprouts, green onion, egg, a lemon, and peanut topping.  

-Thai Iced Coffee. Enough said. It was absolutely amazing. 

-Thai Iced Tea: Simply amazing. Wow.

Overall, this was the best delivery thai I've had. 5/5 would order from here again.",2hnmM6kh0O2wwkmGuT5Bwg,1,0,5,CppoYs71-bxeLa0B2bTpTw
397580,2015-05-20,0,Lzv68iVkRHstVvW3aXNWkA,Oh my goodness gracious! Phenomenal! Absolutely the best thai I have ever tasted! I cannot talk more highly about this place! Do not give reviews often but when it is this good I must! Not one complaint- perfection- I suggest the pineapple curry duck and the lagoons also the spices are very authentic to levels of spiciness! My business partners and I go atleast one a week now and it's been great every time!,k2Wqi_mFucTiYIwZNoSmNQ,0,0,5,GQhdiOrW8F1TD6MfDMQ25A
399818,2017-08-02,0,Lzv68iVkRHstVvW3aXNWkA,This was the worst Thai food I've ever had. The chicken was not cooked fully and not cut up ( it was served as a very large piece in the curry ). I feel sick after eating it. I also got pad Thai which was dry and lacking flavor. I will never order from this place again.,wnmQNcpFizVq9QSj9nRPnA,0,0,2,Scsk1q8GtoE8w8EBrQVWkA
424054,2016-01-06,1,Lzv68iVkRHstVvW3aXNWkA,"Genuinely my favorite Thai spot in town! If you don't want to wait in impossible lines for Lotus, you won't be disappointed in Table Thai's food. Tip: ask for a coconut when you sit down, you'll be happy drinking coconut water out of a coconut - then eating the meat from the inside with a spoon! (Ask them to shave the sides for you though, as sometimes they don't. Unless you're up for a challenge with your meal.) the menu features veg and vegan options, (ask if other things can be made vegan, my favorite is Tom Kha  Kai as spicy as possible with tofu made vegan.) there are special plates/boxes, and as always, if you've never had one - you MUST get a Thai Ice Tea (only if you have a sweet tooth though.) You won't be disappointed. :)",7Pf9INxVhgNJJuCMe7cHPA,1,2,5,OJjZw1oRvUQSBorfFFwJpQ
426113,2017-07-17,0,Lzv68iVkRHstVvW3aXNWkA,If I could give a split rating I would. I actually give this place five stars for the quality and taste of the food which is wonderful but only three stars and that customer service is not all that great. sometimes we are looking for a wonderful place to eat and don't care about service but service does make the meal and unfortunately the service here is not all that great. The food absolutely amazing,IcR376PGQ7d5T3TbAVVFUg,0,0,3,bb_uiuQujbUnYFcljfXOHQ
430734,2016-04-11,0,Lzv68iVkRHstVvW3aXNWkA,"Needed some nice spice tonight. After reading reviews chose here. Glad I did. Great food, friendly staff. Will be back and highly recommend",eNsnM54d-iJu1YDS4ojseg,0,0,5,GlhZbkuEmoIX2aFkjzyfag
487478,2016-02-09,0,Lzv68iVkRHstVvW3aXNWkA,As a Thai-American I can say this is truly authentic Thai that everyone will love. It's our favorite Green Valley Thai place.,K7654R2BHusPsys2mnIlLQ,0,0,5,lK6tTBquiwbKCZ4lrjUG3w
527621,2017-04-13,0,Lzv68iVkRHstVvW3aXNWkA,Try to have a lunch before heading to airport.. small but busy restaurant.. Also good and tasty foods... Service also good too.,LL8EdQFjHKZxllz_rTD95Q,0,0,4,QGZ-oRkNVnLrVW_KtOm4rQ
603640,2017-12-24,1,Lzv68iVkRHstVvW3aXNWkA,"While small and cute, i have to say the food was far from good.  The intro soup was cooked with frozen peas and carrots.  The chicken mint was too oily and had a ""fast food"" taste.  No unity with the severs and staff.  All over the place.  Sorry but I will not be back.",CcxA20vK3cjW4Vo_pP0GAg,0,0,1,WdnLyebKfbAU4j7YyCtdeQ
618187,2014-12-17,0,Lzv68iVkRHstVvW3aXNWkA,We love this place! So excited they have a vegan menu. The vegan curry is amazing!  Nice atmosphere and great customer service :),YtH4IJwf-J28vJL7KNzhwA,0,0,5,5z9micqOIuZiqea1GrQFnQ
640469,2016-12-08,0,Lzv68iVkRHstVvW3aXNWkA,"We have eaten here before and the food was good, however not so on 12/7/16. The staff is friendly , but the cook is slow. We ordered Tom yum soup that was so overpowered by lemongrass that it was inedible. 
Also the drunken noodles tasted ok , but were swimming in oil. The best thing was the pineapple fried rice which was average.
This is not the worst Thai place I've eaten at , but I see no reason to return",WOPTZO7FzeZAVy9OfvhMnA,0,0,2,P9UbBS6z6OmBLOwjWbObGA
647700,2016-07-11,0,Lzv68iVkRHstVvW3aXNWkA,Amazing food & service! The crab fried rice & BBQ pork were my favorite! Chicken panang & pad thai also very good.,saA559plV1RVlyJJfoCkxA,0,0,5,MWdETIJw0XQRDv_hiSGeCg
