,date,funny,business_id,text,user_id,useful,cool,stars,review_id
78321,2011-07-26,1,MU1PQ5CWuV0OKKOeI7jx6Q,"I came to this place a few times and I have to say it has one of the worst customer service, if they hate their job so much maybe they shouldnt be working there. When running a business like this you need to have a friendly staff that can take orders right and not be rude to your customers. I always went thru drive thru and the supervisor that works drive thru is rude, non friendly, bad vibe. I love Popeyes but would rather give business to Pollo Loco or Church Chicken for better customer service. WIll never come back again, I had asked the supervisor for the person in charge of her and she was misguiding me and I told her I will find out and put in a complaint to the owner of the company. That kinda staff will take than bring business to Popeyes.",3YbgMXsqcjcoSS6xP11uLw,1,1,1,SFrgF04AKBlRHriJAOkoTQ
198652,2016-06-09,0,MU1PQ5CWuV0OKKOeI7jx6Q,"I ordered 10 pieces for $11.99 from drive thru. It took about 5 minutes with 3 cars in front of me. This place is by convenience store in chevron gas station. The chicken was big, good taste and still hot when I got home (7 minutes later). I have to say there were some days in the past that I got saugy ones.",Dznff28TRq2RB3Wbx42ufw,0,0,3,orll4WF9RpobWEuD6sFNMg
230521,2016-06-15,0,MU1PQ5CWuV0OKKOeI7jx6Q,"I just went to get lunch on my break period for work and when I was given the food they put my French fries just in a bag with no box or anything and I don't think that was very nice. Also I asked for spicy chicken tenders and they gave me regular, I'm very upset because it's not like I had a lot of time to go back and get it fixed because I only have 30 minutes for lunch. Also the gentleman at the window was very rude and as I was trying to put my drinks away he gave me the dirtiest look because he was having to wait and hold my change. I'm very upset, never had such a bad experience until today. Will not be returning.",LAopuAGozquNiH7Hw7zu1A,1,0,2,mqURTxNOQpht6yPrmyNQiA
254383,2016-06-12,0,MU1PQ5CWuV0OKKOeI7jx6Q,Don't go here. I waited 45 minutes in drive through for my food. The staff gave zero explanation or apologies for the wait time.,3yZ4zCsuLJXUonfFq9ib4g,0,0,1,gGC3Xc8uX32EYHmMP-fUgQ
299443,2014-08-17,1,MU1PQ5CWuV0OKKOeI7jx6Q,Bad fucking service 1 car in front of me in the drive thru I waited 30 mins. if the persons order In front of me is going to take a while make that fucking person pull to the side and wait what the fuck 30 mins wait time for an order of 9pcs of chicken this fucking place is ridiculous the manager on this shift is an idiot.,ui0E7goDDKMZ7fvz-7H9qw,1,1,1,USSdbEusvNvvevEjc9H4WQ
301161,2011-10-15,0,MU1PQ5CWuV0OKKOeI7jx6Q,"I have been driving past the store for the past week and I thought Popeye's sounded good.  And in theory it was a good idea...lol.  This place shares a store front with a Chevron gas station.  I went up to the counter and placed my order.  The girl took my order without a problem and I went to find a seat.  There are about 7 tables.  I looked at two of them and they were dirty.  The third table I found appeared clean so I claimed it. My order was ready quickly and the chicken was fresh and hot.  The biscuit was flat and dry.  

The Popeye's restaurant shares a drink fountain with the convenience store.  The area where you stand to get your soda was filthy.  The floor needed to be mopped.   The floor in the resturant area was also dirty with wet spots of soda spilled on the floor and a trail or something that I am guessing came from dragging a trash bag across the floor.

When I was done eating I took my tray to the front to dump the trash into the trashcan but I could barely open the door to the trashcan.  It was stuffed full even though there were only three trays sitting on top of the tashcan.  I needed to use the bathroom but I figured it would be in the same state or worse than what I had seen so I decided to wait. 

There are other Popeye's in town that I think you could get better service from and have a cleaner dining experience.  Overall I would try and avoid this place if possible and find somewhere else to eat.",fVK62lNSxqP6QtZPm6SreA,1,0,2,yqPdMjIV7H-k2tLeUZDvag
391283,2011-06-21,0,MU1PQ5CWuV0OKKOeI7jx6Q,"Went through the drive-through and was asked to pull up and park in the parking lot where someone was to bring me out my food.  Over 20 minutes later, waiting for a chicken breast (which you'd think they'd have plenty of on hand), I went into the restaurant and the manager acted like I was harassing her because I was complaining about waiting so long.  

Then, I called the Customer Service number and was told that someone would call me back - that was over 2 months ago.  I even filled out the survey on their website which asks if you want to be contacted and I gave all my contact information.  NO-ONE from Popeyes has ever bothered to contact me!!!

Popeyes doesn't care about its customers, so I wouldn't recommend going there.  Well, unless you have PLENTY of time to waste!",D6V8F2jre8E2u3WN0wV-VA,1,0,1,Vb_D-3bkyvAZpmseUQPflA
404402,2016-08-26,0,MU1PQ5CWuV0OKKOeI7jx6Q,"Drive tru is bad, they don't offer condiments they just hand you the food and close the window",c3ZqtQyFE3H4EX-12tLhzA,1,0,1,tW_Kx_Q3Sy_7QSZzhwhWUA
423511,2016-03-10,0,MU1PQ5CWuV0OKKOeI7jx6Q,"I went here Tuesday coz My boyfriend and I were craving for chicken.I don't know if the guy that took my order was new there ,I'm not sure.He's just taking forever and having a hard time to enter it on their register.I only ordered 8 drumsticks and 3 thighs of chicken.Then I'm like finally I can go home after 30 mins of staying there.Then when we're about to eat,I opened the box and still they got my order all wrong.Instead of giving me 8 drumsticks and 3 thighs they ended up giving me 4 drumsticks and the rest are thighs.It was just frustrating!",d8KtOo6uHueJdYRLd4051A,1,0,2,4r5-47T7AwZzndW_Btt9vQ
470798,2013-02-21,1,MU1PQ5CWuV0OKKOeI7jx6Q,"Really good fast food fried chicken when fresh.  They have a 6.99 8 Piece Mixed coupon available on the website...so I forgive them for the generous amounts of sodium they use in the batter.

Fat people love fried chicken and fat people love sodium....so its par for the course.",7ZZbQnHJ-BzTEzewEnj9kQ,0,0,4,3f_jeHM0LnGyI31Qxb9GHQ
516086,2016-10-30,0,MU1PQ5CWuV0OKKOeI7jx6Q,"This place is the worst in service. There are eight people working there and nobody notice it that I was standing by the register waiting for one of them to take my order. They had so much time for their own chatting that they don't pay attention customers coming in. Very, very bad. Never ever again they're gonna have my business.",9lmwq958Q9FqhFgVIvhaQw,2,0,1,U0TQT23UeivOyNnh6k2wBQ
590086,2017-01-25,0,MU1PQ5CWuV0OKKOeI7jx6Q,"The review is for the service I received tonight at the drive-thru.

My husband and I stopped by Popeyes before heading to work. I ordered a ""MILD 3pc Wing Combo"" but realized it was spicy when I bit into it. The husband ordered a ""Spicy 3pc Reg Chicken Combo"" but got chicken tenders. He had upgraded his medium drink to a large along with his spicy meal, but got a medium drink (we were waiting for awhile in line and at the window and already had to go). I tried calling the location at 702-407-9179 after realizing the mistake on BOTH meals and a couple times after that, but each time it was busy. Just pretty disappointing when you are looking forward to a meal before work.",Pae_Fy0g1Qp_Yx65EKVHRA,1,0,2,bNd_UQAxh6TYB1WwIlJCTw
597204,2018-01-10,0,MU1PQ5CWuV0OKKOeI7jx6Q,Every time I come to this location I receive the most unwelcoming service... and from the same cashier that I believe is the manager! This time I arrived home with no honey like I had asked and not a napkin in the bag!,1RiwrHglVjK3FEnlmJXx6A,1,0,2,0CqGgtsP6wWusGSxXSoCHw
609665,2017-08-30,0,MU1PQ5CWuV0OKKOeI7jx6Q,"FRY SOME CHICKEN!!  This place never has chicken ready. It's like oh duh you want chicken. Get this Popeyes, you are fast food, waiting 20 minutes for you to cook more chicken is poor planning and it costs you business. Next, when you do prepare an order - check it. I have never received the correct order from your team. I just encountered your general manager Luis, he lacks professionalism as well as good communication skills. We came through drive thru and ordered a 12 pic dinner. Luis says, we only have 2 legs left. Sorry about that. He does not offer any solutions until I drive around and drag it out of him. He has a bad attitude and is rude. He needs proper training. Good luck Popeyes selling chicken when your employees are unwilling to cook it!!",Jf1s4AQ8kCrCAU6FE4vDLw,1,0,1,fz99lnyLEsADG8WWMxUCdA
688742,2015-12-20,0,MU1PQ5CWuV0OKKOeI7jx6Q,"This is one of the best Popeye's in the chain.  The employees are extremely friendly.  The service is always fast, and they go out of the way to make sure we get what we want.  The lady behind the counter also recommended we go to the website to get a discount coupon for what we were ordering.  We showed the coupon on our phone and got a great deal.  We make this our first stop every time we drive to Vegas.",ftrIZDGzLjM9XVQ28yrhSg,0,0,5,ZU9nbo_uD-hEyfnEV-hZ2w
776716,2015-06-02,0,MU1PQ5CWuV0OKKOeI7jx6Q,"Avoid the drive thru if you can. You'll get stuck in a long line and can't get out. It may look like the line is short, but there a lot of cars usually behind the building especially in rush hour. they would probably rake in a lot more money if they had someone taking orders outside like other stores do.  I'll probably go back on me when its not busy.",EudE8t-ux8Ys1KfNXlOlSg,0,0,3,IExq1VjreBAvfuew82uFqw
800650,2013-08-08,1,MU1PQ5CWuV0OKKOeI7jx6Q,"Popeyes is one of my favorite places but the staff at this location is a joke. Got dinner for the family, drove home to find my order was missing an entire meal. Drove back and walked in with my receipt and got nothing but an additude from the young girl. She admitted to bagging it and acted like I was making it up to get more food. Instead of being apologetic she was rude and obnoxious. Won't be back here...",S79BW-oXG_59XWLakw0kAw,1,0,1,ssWyAEmElT-NqBPnW6UQYg
824752,2016-05-16,0,MU1PQ5CWuV0OKKOeI7jx6Q,"I am giving this one star, only because it was edible. Barely. I have definitely been to better Popeyes.  Chicken was cold and not tasty. I have been to other locations and was very sayisfied. I guess when hungry you'll eat anything,  well almost, I didn't even finish half of my meal. It was horrible. The only up side, the sweet tea was good.",g7BVhNukAjCVvaWmt7I1wg,1,0,1,_A3G252ImB7Jad1aMcrp9Q
830714,2013-07-31,0,MU1PQ5CWuV0OKKOeI7jx6Q,Horrible service had to wait 35 mins for a 3 piece meal. And the workers where so rude... no customer service skills at all... I guess that is what you get when you let kids run your food chain.,GjdGhbmsJRkd8KRf4oZAGw,1,0,1,2mhqr72MzWZfQ7zzsMSZLQ
877455,2016-07-25,0,MU1PQ5CWuV0OKKOeI7jx6Q,"I order my dinner for my family after a 10 hrs shift i spend a good amount of money i even order extra biscuits when i got home i notice they forgot my mash popatoes and gravy, i go back they don't apologize, i get home to feed my family and i notice i never got my extra biscuits i order i call 3 times never answer....what a great customer service  very annoying after a long shift just wanted to feed my family and get what i pay for.......i also forgot i waited 20 minutes after i order i the drive-tru to long",jaTgYGbNSwzCooV6NWSbDw,1,0,1,eCJzxPWQaXrY0yVL0nriEw
891278,2016-07-31,0,MU1PQ5CWuV0OKKOeI7jx6Q,Honestly the worst slowest unprofessional location ever!!! The drive thru is the worst the employees just sit there and talk and literally wait to for drive thru is always longer then 10mins,jFL7G1-uz-wyb1rZdE8aWA,1,0,1,5VHo4Esa4UjJvYnyV82JJQ
966922,2013-04-15,0,MU1PQ5CWuV0OKKOeI7jx6Q,"Located in or at least attached to a gas station (this was a bit of a new concept to us) but none the less clean and friendly. The staff greeted us right away and were super friendly and you could tell they really enjoyed their jobs and stood behind the product they were selling. 

The chicken was wonderful! I happen to have a slight chicken skin obsession, often only eating the skin off the fried chicken. OMG! The spicy chicken skin was so crunchy and flavorful. I was in love! 

The meal cost us about $13 for two adults. Much better than dining on the strip that afternoon. We will visit Popeyes again during our next Vegas vacation.",emqsUrE9-cgh-R0CybdZcw,0,0,5,pCaWPg1V8v3FRJ38EEBuOg
991686,2009-05-18,0,MU1PQ5CWuV0OKKOeI7jx6Q,"Popeyes fried chicken is one of the best. I love how crispy the skin gets as soon as it is scooped out of the fryer. Right amount of heat and spices. The mild flavor is a bit boring. I always go for the leg and thigh special for 99 cents. Awesome deal! Do not forget the red beans and rice, mashed with gravy and buttery biscuits. Sometimes the sides cost more than the chicken. Make sure you take your daily dose of cholesterol pills (statins). Welcome, you are in deep fried heaven.",HRyFtrmf19GTKEM_kOa2pg,0,0,4,klYl4Ycytr7j7M1CB9EnrQ
1117142,2018-01-23,0,MU1PQ5CWuV0OKKOeI7jx6Q,"if i went into detail of my experience it would be a nice long story. So with that being said, save your time, money and your stomach!!! cant believe we cheated on canes! ughh.. a few of the orders were wrong, the biscuits were ok and fries were ok, everything els ... also drive thru guy forgot to give us our drinks and im already half way home when i realized... yikes wont be back!! The drive through guy was nice but forgetful with his job duties.",cgMxodRSaOAAayCro0hbGw,1,0,1,-jfXS9FwGe0KZnNJFzmBhQ
1268194,2015-01-02,0,MU1PQ5CWuV0OKKOeI7jx6Q,"We were waiting over 30minutes in the drive thru tonight. These guys need to be better trained. If a huge order comes through the drive thru they should ask them to pull over. But what makes me really mad is my friend in the car behind us. She had ordered fish and shrimp. After waiting over 30 minutes, she gets to the window where they dare to say we didn't prepare any fish. And practically forced her to get chicken instead. What the hell kind of service is that?! They didn't seem sorry at all and forgot to give her sauce. I will never return to this location again. Also, while waiting for our food at the window we watched as one of the female workers just texted on her phone while doing nothing. Texting instead of making the fish. Someone fire these people and hire a better manager. I'm beyond disappointed.",9lMuFqssL7yOJbcGm4QZuw,2,0,1,5gwPPDWRA1Nn20oyVYHCQw
1330065,2017-02-19,0,MU1PQ5CWuV0OKKOeI7jx6Q,"This place is ok. It's close to my work and when I'm craving chicken I can satisfy my craving at Popeyes. Today I ordered the 3 piece combo with a medium strawberry soda. I would say the medium size soda  is like a large at other fast food places. I also got a large coleslaw. The drive thru is pretty fast so I would recommend not stoping inside. Overall I would come back for the food. 

On Tuesdays when they have there $1.99 deal for 2 pieces the place is super busy. But I've notice going around 8 pm you get fresh chicken and the lines are gone.",LaFfXvrcgWQXH1YqswREgA,0,0,3,wLzH7LN3T_U2SjQiluWFgQ
1352653,2013-10-06,0,MU1PQ5CWuV0OKKOeI7jx6Q,"I've come here a few times since I live down the street from it.  They have recently done a little remodel...nothing too fancy, just some new wall paper, table and chair replacements.  A nice update.  Soda machine was a lot cleaner this time as compared to last several times.  The older lady cashier was really nice, definitely could tell she enjoyed her fun little extra spending cash job.  :)  I got the promo dippin' chicken meal.  good deal, fair price, tasted good, fresh...tasty.  would recommend!",naZhgyS1OJFvHhGUYQh9fQ,0,0,5,7gn7iGBF4DAm5OJDvnNemg
