,date,funny,business_id,text,user_id,useful,cool,stars,review_id
629470,2011-05-02,0,Me12OazRUDZOuFJ8nbBbCg,"This place has definitely grown on me.  While the decor leaves much to be desired, it's in a convenient location and they have fairly priced lunch specials.  I go here pretty much for the red curry, since it's pretty dang good.  The dishes that my friends have gotten look pretty good, too.  I love their eggrolls and the sauce that goes with it.  The servers are also sweet.  Overall, when I'm hankering for Thai food and I'm at school, this is where I'm going.",XEiocbijRm1YLbZJwvAlQw,0,0,4,uRoOyiJRrtLQ9Hx8gSaoVg
1546867,2008-12-14,0,Me12OazRUDZOuFJ8nbBbCg,"Wow!  I had a lunch special and it wasn't half bad!  Okay, so the spring roll wasn't anything to write home about, but the chicken red curry and steamed rice were perfectly acceptable, as was the egg drop with vegetables soup.  I asked for 4-star hot, and that's exactly what I got (okay, so the waiter was a bit skeptical that I would eat 4-star hot, considering I'm as Anglo-looking Northern European Blue-eyed Redhead as they come).  I would still recommend something off the regular menu rather than the lunch special, but I was pleasantly surprised.",V33eN85b4PvAsPIQRaaecg,0,0,4,1cbXVJ4FF5Kmft1LS_531w
1798660,2011-06-01,0,Me12OazRUDZOuFJ8nbBbCg,I don't know how people think this place is even slightly ok....we went here based on all the yelpers good ratings and was so disappointed.  I didn't care so much that the restaurant is ugly.  I'll take an ugly restaurant as long as the food is tasty and authentic.  But the thai curry we ordered was watered down and not very flavorful.  My daughter's wonton soup was awful.  I'm sorry the people were nice but the food was bad.,LS55uJGLJddjGaJIMxJgwA,0,0,1,djpDuiJM_tlJNBYkx74z0w
1830338,2009-12-31,0,Me12OazRUDZOuFJ8nbBbCg,This place is amazing!! It's a little hole in the wall that has GREAT food! I would suggest the Curry and Pad Thai. It's right across the street from the UNLV campus and cheaper than popular Chipotle haha. I would definitely suggest it to anyone!! The family who runs it is so friendly and appreciative of the business. They are so gracious and provide amazing service!  Not overpriced and worth the try :),nfG1xZ70sQ5-Nds6zQiBMg,0,0,5,Cc20kWN003EngTbhsSdkTw
2005405,2012-07-30,0,Me12OazRUDZOuFJ8nbBbCg,"Went with the basic chicken teryiaki and veggies for $7.95. First time inside as i usually go italian next door. Place needs a serious makeover as curtains and tables seem outdated and it is very cluttered by the register. The teriayki place next door was closed, so decided to risk it here. Not bad, about 7 big slices of white meat with a decent sauce (not enough) and some assorted veggies which could have been better - skip the cabbage and throw in some mushrooms or pea pods. It was also served with a pint of steamed rice. Very healthy choice for a change, but fried rice that some guy was eating might be on the hit list next.",ELcQDlf69kb-ihJfxZyL0A,0,0,3,J_iqksb4cEz0N7e39kBNPw
2055286,2007-07-06,0,Me12OazRUDZOuFJ8nbBbCg,"This little hole in wall type Thai place is right across from campus, and they have great lunch specials. I love the fact that you can jay walk across Maryland parkway, and into this place that is really under utilized because people stick to their basic fast food and don't go out on a limb for some goodness. 
I stick to the basics here, but everything that I have had is super yummy. Great soups, and yummy noodles!!
This is a really good alternative to gross MSU food or the fast food that surrounds campus!",ko06Ptkr1YtZWR6FIDqubA,1,0,4,1UunZhbUGjUxNuMRMiGAwQ
2956115,2011-11-07,0,Me12OazRUDZOuFJ8nbBbCg,"Walking in here I hoped I was discovering a hidden gem. I was dying for some Thai food, and the thought of finding a great Thai restaurant near UNLV had my insides jumping with excitement and anticipation (but mostly with hunger).

The insides are pretty shabby. They still have those fat TVs perched on one corner of the wall, and I don't even know if it works. I went with the Pad Thai and my partner had a Chicken Dish. The Chicken Dish was great, I was impressed with it. I can't remember the name, I think it was Mai...something.

The Pad Thai was yummy, but something was off. My stomach wasn't reacting well. I finished half of it and asked for a to-go box to finish it at home.

I got home later that night and attempted to enjoy it, but soon after my stomach started to hurt again :( It wasn't the spiciness or anything I was aware of. Maybe too much MSG?

The service, however was undeniably great. I wish I can give it a better review, but my dish was not that great.",De-dImXf-TOFWWPTUWwIvw,2,1,2,GB4IH1qynM-ov58B0bLmsA
3052368,2009-05-27,0,Me12OazRUDZOuFJ8nbBbCg,"This place is small and seems family-owned.  It's good for UNLV students, and the prices are pretty good, and the staff is friendly.  The food is pretty good, too, but I can't really of think of anything stand-out awesome here...  

I'd come back.  It's small and unassuming and a nice change from corporate mass-production.",UIdX_cI1awxvPH7kIFKpXw,0,0,3,aycTpUJVgckzzlejGjxPeg
3145345,2009-12-14,0,Me12OazRUDZOuFJ8nbBbCg,"1st, the older gentleman who runs the place is very hospitable, he offers suggestions (since that have a large, varied, & unique menu) & even customize it based on what you like. I got the chicken with baby corn, instead of rice I get extra veg mixed with, they never charge me extra. They home make the thai sauce they serve with the chicken & baby corn. My friends got the green curry (the red curry is real hot) & Kung pao (which tingles but not to hot).
The best part is how frieny they are esp the older guy, he always shows me how to hold the bag so no sauce spills out the carton haha. Now that's customer service. 

PS I disagree with the price at ($$), all meals are 7-9$...I'm Jewish & that is cheap, so I would say it's ($).",cTITrWiofCi5XZuw6Ej1Dw,0,0,5,-xwKwmae6BNGx0zsMFE6eQ
3295359,2009-05-03,0,Me12OazRUDZOuFJ8nbBbCg,"Convenient for UNLV Students. 

The lunch special is the way to go. $6.95 and you get soup, and spring roll and the entree with rice.

The place has been recently remolded and the food is much better than before. Not the best .. but it hits the spot.

Best thing on the Menu is the curry and the orange chicken.

Staff is very friendly.",CXgMhhnD5WyFNFQo5mpDtQ,1,1,2,SPqnRhqVRb_xePMhhmdqMA
