,date,funny,business_id,text,user_id,useful,cool,stars,review_id
61103,2015-11-25,1,Mq1_dvcg5mbeplEmCEoUtQ,"I had heard an advertisement on the radio and have been looking for a job in an Italian restaurant, so I thought I would try this place.  It was very good. I went there for lunch with my sister and brother and we all enjoyed everything.  Laura was great too!!",DDGJF0kW5s9RTQfb_MIpBA,0,0,4,DQvJClc3jwSgB4IthxjQfA
63322,2017-12-16,0,Mq1_dvcg5mbeplEmCEoUtQ,Simply the food is amazing you cannot go wrong with anything you order. We had that arancini Italian rice ball it was awesome. Chicken piccata was melt-in-your-mouth delicious fettuccine alfredo always creamy and good and the tiramisu was a perfect finish to the evening.,vIJJgg9LDjQU4wN3ylL7OA,0,0,5,ZnUoLK1PHM8GRX73M_QPwA
80919,2017-06-20,0,Mq1_dvcg5mbeplEmCEoUtQ,"Excellent food and services. Laura was great. The leftovers are waiting for me. You will have leftovers for the portions are large. The eggplant siciliana appetizer was to die for. Thanks, Laura, for our most enjoyable lunch experience.",XlTCFQpNPCvE-9JXu1G1lw,0,0,5,yWH4mGNSWiPgB_t_7NH8Hw
181313,2012-03-24,0,Mq1_dvcg5mbeplEmCEoUtQ,"I'm new to Las Vegas and was looking for a good authentic, (off-strip, not chain) Italian restaurant...and I found it.  It's kind of out of the way, but completely worth it!  We went for lunch and the bruschetta appetizer was great.  The tomatoes were sweet even though they aren't in season.  I had the fettuccine primavera with olive oil and garlic.  The vegetables were cooked perfectly and the flavor was great.  One of my companions said the lasagna was the best he's ever had.  Another person in the party also went traditional with the fettuccine alfredo and said the sauce was creamy and cheesy without being too heavy.  We shared a tiramisu for desert which is homemade and perfect.  This small, obviously family-owned restaurant is a hidden gem.  It was casual enough to be comfortable, but still boasted cloth table clothes.  The service was really good also.  Hurray for supporting local small businesses and getting great food in the process.",dPPGxd7ULazi4uqvsTC4fw,1,0,5,NugHClWGEBKbUMm6yDcULg
227058,2014-07-22,1,Mq1_dvcg5mbeplEmCEoUtQ,"Visiting from out of town, we passed this place and decided to try it, since hubby is a native Calabrese.  Things started off poorly with a waiter who was Mr. Sarcastic.  We weren't  starving so we ordered a Caesar salad and dinner to share.  The salad was decent enough.  But dinner...ziti with sausage, eggplant and peppers...was almost inedible. The sauce tasted like it had been cooking for a week, thick and bitter, with too much sauce to pasta balance.  The few slices of sausage were pan fried and overcooked prior to adding it to the dish. The eggplant was practically non-existent.  A couple of wimpy slices of green pepper. All this for a whopping $18.95!   Wow.  Sorry, we will not be returning.",piIa6NGCEhpf96DhH6iiHQ,0,1,2,suF0gto0VRgnF9fe8W-d_w
330503,2017-05-16,0,Mq1_dvcg5mbeplEmCEoUtQ,Great food & atmosphere! First Italian restaurant I've been at where people eating there we actually speaking Italian. We will be back again.,RxwYJOiurwmVNWY0n7jOMw,0,0,5,rs4vdC1h9xxsCZgT7xAqpQ
337490,2017-07-04,0,Mq1_dvcg5mbeplEmCEoUtQ,"The food here are great. The environment is nice and cozy. The server is very nice, friendly, and provided us the great service. Our boy loves the food here too especially the eggplant rollatini.  It did not take long to get our food too. We surely will be back again.",KXIYZUEwjT51CXUHIrudtw,0,0,5,EZVCGVci8jq4dNd04amkRA
343033,2014-05-20,0,Mq1_dvcg5mbeplEmCEoUtQ,"I was very disappointed when I made a special trip to this restaurant.  For months I have listened to the wonderful commercials on the radio.  Could not wait to try.  The few times I was going to be in the area was always a Sunday, when they are closed. That is why it took me so long to go there.  

When I finally had the opportunity the food was just okay and the server was unwilling to recommend.  He actually asked me how he would know what item I would prefer.  

I had expected a wonderfully cheerful, friendly experience, based on the commercial.  I believe the owner or manager was there and visiting with another table with the kind of experience I anticipated, we however did not even get a hello.    Luckily, I had a friend in from out of town.  

Unfortunately, I was unimpressed.",kUwaZ02Stv5ZsgG10MvYSg,2,0,2,PwAdghFEKiofQlnasgVwdg
517037,2017-03-06,0,Mq1_dvcg5mbeplEmCEoUtQ,"Old school just like favorite joints in old Italian neighborhoods.
The food and service are as good as you'll find including the expensive Italian restaurants on the Strip.",vnTorUzeedqwEo4_f741uw,0,0,5,8Ss0HsK_j_shtxM3xn_GIw
526250,2017-05-20,0,Mq1_dvcg5mbeplEmCEoUtQ,"The staff is excellent but the food is just ok. First of all, no meatballs or sausage on the menu! Wow - really? An Italian restaurant with no meatballs or sausage - go figure.

I had the chicken parm and the sauce was good - the breading was not good - it was not crispy it was mushy. You get a tiny bit of pasta next to it and I was hungry 2 hours later. I am sorry but everyone kept saying how this was the best Italian joint in Vegas and it just can't be.

I went bec someone recommended it to a family member and there were 6 of us. The other 5 dishes were pasta dishes and ravioli which looked decent, How the hell do you not have meatballs???? Chicken Parm and dishes with cheese on them need to be under the broiler longer so they can crisp up a bit. This mush parm and chicken breading are not very good - ruins the whole dish.

The comment saying they just ate in Italy and now here and it was just as good? LOL seriously? Not buying that one bit,",mtPe2hWrB3G9_q0ZtbSW9g,0,0,2,Ebl_HlaNCCSPwV4kMWPzJw
