,date,funny,business_id,text,user_id,useful,cool,stars,review_id
18086,2017-07-23,0,NQXuoB9JTPUItHvouMgWjQ,"Food is always delicious, definitely my favorite vegan spot in town.  The menu has variety and the portions are fairly big. Definitely the place to go if your feeling nostalgic and craving something from before you went vegan. The service is good, everyone I've had as a server has been really nice and attentive.
My favorites include the California dreaming burger, the sassy wings, the southern comfort, and the date me smoothie.",DWWGVrfA5Zsbv4fd8bKKLQ,0,0,5,dF6u6OpBuK94eLvB3Q-xvQ
37629,2015-10-17,0,NQXuoB9JTPUItHvouMgWjQ,"I love this place! The food is amazing and organic!  I've never been in a more beautiful breakfast restaurant. Great vibes, great food, great location.",SJmWS1upVYkq2vdTnBUGtw,0,0,5,_UqbjGpc8ddVm8AfM-WtLg
59812,2016-02-28,0,NQXuoB9JTPUItHvouMgWjQ,"Been here twice, loved the country style dish it was absolutely amazing! Also loved the chicken wrap!!! Was extremely delicious. The zuchinni fries are to die for as well!
Next time i came in i tried the philly cheese steak which was amazing! Also tried the bacon cheeseburger but it was just ok. Kinda was disappointed because everything else was so amazing. I've just had better bacon cheeseburgers.
The chocolate cake was absolutely delicious and flavorful! Was very happy with that. Definitely would come here again.",ntkqPd156C7PJZvSAn9JJw,0,0,5,qSTaKfAKlQMixEByD0K-7w
63931,2015-06-14,0,NQXuoB9JTPUItHvouMgWjQ,"Delightfully crafted, Violette's food is guilt free but not free of flavor. The Gladiator burger is perfect for someone looking for a little extra protein in their diet. The staff is friendly and the layout is perfect for having a quiet conversation with friends. If you're debating where to eat on the west side, come here!",HFdLRhmYRFd0LJhQGulcIQ,1,1,5,9TV8u9et1-wfyzWun1Bjfw
107443,2016-12-23,0,NQXuoB9JTPUItHvouMgWjQ,Great food.  Good selection.  Friendly staff.  One of the better vegan places in the United States for sure.  Their California burger is great.,yIzK0fAN63IJdy1vRl3uhw,0,0,5,FkJ24oLc7LnggJv6pf0bAw
122758,2017-07-11,0,NQXuoB9JTPUItHvouMgWjQ,"I love Violette's Vegan! The reason I gave it four stars though is because I have a different experience every time I go. The first time I went was EXCELLENT service and food quality. I've gone about 5 or 6 times but the last time I went was the Fourth of July. Maybe because it was really busy but I ordered a chili cheese dog, but it came with hardly any chili and the bread wasn't complete. The server had forgotten to bring our drinks which I could tell because she walked to our table and jumped and went to the back and got our drinks. Love this place and will definitely go again maybe on a day when it's not so busy.",9v-WyhnOdFo_1PSaJEESXg,0,0,4,IRuNJI2tkvUpy7vtW8Ad3g
131124,2015-03-19,0,NQXuoB9JTPUItHvouMgWjQ,"I really like this place.  My husband ordered the Samurai burger and it was to die for.  I ordered the Tabouli salad and it wasn't anything special but it was a healthy option and I would order it again. Order the dressing on the side. 

If the service had been better, I would have given the place five stars. 

Vegans and non-vegans must give this place a try!",IYX9XafUYb8mtHyN1rRWhA,1,1,4,pTNRm_s8GIxSXjPx1RvG6w
157892,2016-04-13,0,NQXuoB9JTPUItHvouMgWjQ,"I'm sure everyone in here knows me by now. Jessica is the coolest waitress ever! Such a chill vibe with even better food. I can honestly say that I have tried every single thing on the menu. I can't recommend something in particular besides, whatever you are craving, order it! You won't be disappointed. I do wish they labeled how many calories are in each meal option though. I also wish they would get some EatPastry cookie dough and sell raw cookie dough balls. They could make soooooo much money off those!!! (Even though the desserts they have now are delicious). Anyways, just wanna thank them for making my transition to becoming a vegan that much easier! Ohhh a poker night/tournament would be fun as well.. I hear the owner is pretty good at poker ;) 
PS don't be rude, tip them every time so this place stays open FOREVER! lol",zW51df5fkHT3zpb--NGyyw,0,0,5,r3NTDD_3ZWZCtWxegILXoQ
169685,2016-02-19,0,NQXuoB9JTPUItHvouMgWjQ,"Delicious food, great service & atmosphere.....Even the ladies room is tranquil.....Motown music is awesome.....This restaurant is absolutely devine and the owner:Michael is wonderful.....Genuine New Yorker:Bronx",8dOlr_0dcVwDZEPj9vkfnw,0,0,5,Ks3vFg1UoCn-JbbCssozoQ
171799,2017-03-25,0,NQXuoB9JTPUItHvouMgWjQ,"Went here with my husband and cousin after hiking in the red rock canyon and boy are we glad we choose this place! It was very bright, service was amazing and the food was absolutely delicious. Our cousin is vegetarian so we went here instead of place that had vegetarian options. I don't mind not eating meat, but my husband likes his protein in the form of meat. Well even he lived his meal! The food was delicious. I would definitely come back here if I am ever in Vegas again.",n3O55S9hUTlOpaDsowfFsg,0,0,5,Z3se3Y6tt5psU0yfTpDfSQ
181774,2017-05-04,0,NQXuoB9JTPUItHvouMgWjQ,"Wow, delicious vegan food on the Westside.  Great place!",j3FTciMDOeHJp9x9srp-zQ,0,0,5,R5m2Y0cZ3e7_zWggBj8O2A
193996,2016-07-20,0,NQXuoB9JTPUItHvouMgWjQ,I really liked this place! We got the chili as it was free thru Yelp for checking in. That with a salad and an ice tea...I was set. The food is delish. I will go back.,WXTgR_X633GyIP_wZMb0pA,0,0,4,5Yoh1JOAJSgvYg7nk9HntQ
198944,2017-10-23,0,NQXuoB9JTPUItHvouMgWjQ,"My triplet daughters turned 17 last weekend, so we drove to Vegas for a little celebration. They wanted a yummy Vegan spot, so we searched Yelp and found Violette's. Good gravy!  There were 7 of us, so we got to sample a lot of menu items. Unbelievably tasty!  It did not disappoint. Everything was amazing. From the perfectly done eggplant in the Mamma Mia to the delicious California Burger, lick the bowl Mac and Cheese, wings, and cake to finish up!  Can't wait to come back. Thank you Violette's!",TEb_ZLbXzvEdZh2GisiZkQ,0,0,5,FfKBUytqwQV46yetklOOBQ
208774,2016-01-28,0,NQXuoB9JTPUItHvouMgWjQ,"Ordered the ""steak"" sandwich and Mac & cheeze. The sandwich had a very weird aftertaste couldn't get through the 2nd half. The Mac and cheeze was ok but not the best. The breadcrumbs were big enough to be considered croutons. Not sure I'd order from here again.",5rNXCE2dMgkS1bk-089cfg,1,0,2,JOUwYmvCCDa93N76Lcur2A
221687,2015-08-27,0,NQXuoB9JTPUItHvouMgWjQ,"The most diverse and loving vegan restaurant I have ever been to! The atmosphere is peaceful and positive! The staff is extremely polite and attentive to their customers! Cyndi is an extraordinary lady and her restaurant speaks volumes of incredible person she is and the wonderful people who helped manifest this immaculate vegan restaurant! From the pancakes to the nachos and back to the chili everything is wholesome, delicious and leaves you satisfied 100% I wish we had a Violettes Vegan in Clearwater, FL! All over the U.S.! I hope Cundi expands and takes over the world with her loving restaurant and all it has to offer! Thank you for an amazing experience that will never be forgotten!",FJ34Wenw4rDBFfVu2TgUkw,0,1,5,-I8JC7RZsWX7oH5F-Zhwxw
236951,2017-05-28,0,NQXuoB9JTPUItHvouMgWjQ,Yummy food and such friendly staff! Don't recommend really getting a smoothie with your food because you'll get stuffed!,JFMW34BKFyHPaIfF5FknZQ,0,0,5,XOq_le7jpF6V7BiSWXyyEQ
