,date,funny,business_id,text,user_id,useful,cool,stars,review_id
11230,2016-05-25,0,NmOBomyz63TP9Nn2q4Z1rg,well went for my birthday last night i really enjoy my dinner we had the porterhouse for two it was cook perfect   had veggies where ok not great and it can be a little more veg enjoy the bread and the mac and cheese with lobster to die for the service great the staff very good love the seating  with the glass kit window i will go again for sure the salad not great the choc cake the bomb,7VQW_MrPMnqxq-GAtXcBFw,0,0,4,iDUD1eynb9SPyjX-vBiM9w
11926,2013-02-26,0,NmOBomyz63TP9Nn2q4Z1rg,"Typisches Steakhouse auf den Strip. freundliche Bedienungen.
Vorspeise war Seafood, die Austern sehr frisch, der Hummer ein Traum, das Krabenfleisch 
ganz toll und Super frisch. leider kein geeignetes Werkzeug zum knacken der Scheren nur schlechte Nusskacker. Der César Salat sehr lecker und knackig. Als Steak hatte ich ein T- Bone Steak bestellt , welches lauwarm serviert wurde und nicht die gewohnte Konsistenz eines sehr heiß gegrillten US Steaks hatte. Seafood Super, Steak verbesserungswuerdig.",zRGMRSiYWeiYEniPR53l_A,0,0,3,MZr3NNIYufYli4mPf9lSDA
67565,2011-03-08,0,NmOBomyz63TP9Nn2q4Z1rg,"I have been coming to S&W for Wine Week (10 wines for $10) for about 2 years (once every six months). It is one of my favorite restaurants. The atmosphere is awesome, service is homey, & the food is prepared simply and delicious. Don't expect modern skimpy food, expect generous tried & true food. I used to think this was an expensive restaurant, but now I believe that prices have caught up to S&W instead of vise versa. 
This last visit I learned 2 thing new about steak at S&W...always order the fillet, and never order the rib eye (lol). 
This visit the wine week wine selection was amazing, the highlight was the Jordan Cab. Sav.
The food ordered was:
Apps:
Scallops-delicious-3 huge pieces w/fresh & tasty produce. Good peanut sauce. 4.5/5
Flat bread w/shrimp and avocado-pretty solid app. It had a welcome amount of spice and beautiful tomatoes & avocados. 3.5/5 
Main course:
Fillet Au Poivre-perfectly cooked, well made sauce, good texture. 5/5
Cajun marinated rib eye- it came bone-in (a plus), and was cooked as ordered, med rare. However, this had way too much fat + grizzle. I know the cut of meat I ordered is supposed to have fat, but this was way too much fat. The Cajun marinade was too peppery and over powering what little meat was on the bone. 2/5
Sides:
Mashed potatoes-good, solid. 4/5
Asparagus- big, fresh, & tasty. Served w/a nice sauce to boot. I cant help but feel that I am eating health as an added bonus. 5/5
Dessert:
Coconut cake: this is one of my wife's favorite desserts anywhere. It is simply put...Amazing! Moist, fresh, not too sweet,  served w/ berries & fresh coconut, and generously served. 
The service is 4/5. 
I am not going to do the math...this is a solid 4 star restaurant. Next time when I order the fillet it will be 4.5/5 (let's hope).  I dont believe this restaurant is trying to be anything more than a good stand by type of place.
More on the rib eye/fillet deal:
The best fillets I have had came from S&W. The previous time I visited S&W, back in October 2010, I ordered a bone-in rib eye and did not care for it. This time I ordered a Cajun rib eye and it came bone-in and did not care for it. One of my favorite steak memories hands down: bone-in Cajun seasoned rib eye from n9ne. I don't care for that place, but the steak on it's own was the absolute best piece of meat I ever had-nothing else about that place was mentionable. 
More about the service:
You get one server, that's it. He/she takes your order, fills your beverage, & serves your food. In my experience the servers have always been cordial, I have seen other servers being more friendly towards other patrons, but have never received poor service.",3UpoMVDPytHKsOCAsFBUcg,1,0,4,hirjen_XG68IF8nP6lqtHQ
68997,2015-01-05,0,NmOBomyz63TP9Nn2q4Z1rg,"So we (7) had reservations for 5:30, on New Year's Eve when we walked in it was not busy at all we were the only one seated in the main dining room which was sweet.  I've lived in Vegas for over two years and this is my first time, Needless to say they did not disappoint. I had the tomahawk cut which was by far the best looking piece of meat I ever laid my eyes on.  Everyone else had the filet to each their own. The sides were plentiful, the Mac n cheese and whipped taters were on point. Oh let me not forget the seafood basket that was a sweet surprise.  So if you want a good well rounded meal give this place a try.",q3JsM7AHbKiOVLfIxkDx8A,0,0,5,YZN56-gp9NvOyaK832_zVw
69654,2016-07-19,0,NmOBomyz63TP9Nn2q4Z1rg,"My fiance and I had dinner here last night...and it was absolutely FANTASTIC!!! Daniel and Aron were our servers and they are delightful to have a dining experience with.  The service is great, food is delicious and they make a perfect dirty martini...I had two! This will be ""our place"" from now on. Can't wait to go back!",AxmyxatZFtr4kLfVagxxuA,0,0,5,FYMu4SOILuQnFuhkbGfZlw
79258,2013-03-12,0,NmOBomyz63TP9Nn2q4Z1rg,"I've been to this Smith & Wollensky in the past & I would've rated them 5 stars for a family style dinner I had with a group of about 20 people a few years back. But on this occasion it was Thanksgiving Dinner date. Smith & Wollensky did not disappoint. 5 stars (or circles) again

They had a nice little Prix Fixe spread for $50 per person. Worth every penny! Soup & salad, deliciously juicy turkey slices (both white & dark meat) with all the fixings (carrots, potatoes, stuffing, etc...) and choice of desert. Far too much food for me & my girlfriend to finish, though we really did try. 

The service was top notch. You would think on Thanksgiving that people who had to work would have a bit of a chip on their shoulder, but no. Everyone had a smile on their face & was more than accommodating. I think about 3 or 4 different people came to check in to see if we were doing all right. And respectfully in between courses so I didn't have to answer with a full mouth for once.

In the past, the steak here has been tender & juicy. This time around the turkey was more of the same. At $50 per person, if they have a holiday prix fixe menu, I would undoubtedly recommend it. For just their regular dinner menu, on the whole it leans slightly towards the pricey side. But the bottom line is you're getting a great meal.

Visited November 2012",foeMl3LhX5_kuQLLOHrRag,0,0,5,CjXTmpiWj5JSyC6exHVyxg
120540,2008-03-17,2,NmOBomyz63TP9Nn2q4Z1rg,"We've been going here once a year for the last 10 years with a group of friends from high school.  Usaully a pretty darn good meal, but everyone was extremely dissapointed with our visit last weekend.

Steaks were dry and seemed like they had been sitting under a heat lamp for some time.  The presentation is horrible, really just a hunk of charred meat on a stark white plate.

I had the cajun ribeye.  The rub was dry, the steak was dry and it was overly charred.  Friends had the filet, with similar results.

I hear that they are under new owndership, so this may account for the rapid decline of a once great steakhouse.",S3lAI8FXiGxfVdDC4lunTw,3,3,1,JHHiVzrGIyQZOqEy7aCkVA
122283,2013-02-04,0,NmOBomyz63TP9Nn2q4Z1rg,"Excellent steak, good service from waitstaff. My complaint is that my husband and I walked in without a reservation on a Tuesday night dressed casually but not sloppy. We were seated at probably the worst table in the place when there were plenty of other available tables. They remained empty during our entire meal so I know they were not reserved.",nsl4IA_l6VQte0yNH7KREw,0,0,2,yo7xUxX_ltxYYWZTN2s0Vg
123022,2015-08-23,0,NmOBomyz63TP9Nn2q4Z1rg,"Booked a large party here in a private room. 4 course meal with drink option. Don't do it. The food was mediocre. Two filets were not high quality. Dessert wasn't worth it. The waiter was terrible. Didn't take drink orders. Repeatedly had to go into the kitchen looking for the waiter. We were concerned about the service and the restaurant being staffed for a party of 15. Our fears came true. One waiter for 15 people is unacceptable. He would leave for one drink, bring it back then get the rest.  At one point he delivered one plate, someone asked for a special item, he left all the food on the cart and left for 10 minutes. 

Please go somewhere else with better service.",WoxbESwvOJOrX5LTy_oV4A,0,0,1,_fz9x8T5L4AgJFjF7QfXLQ
144433,2017-01-09,0,NmOBomyz63TP9Nn2q4Z1rg,"Aloha!  Wanted to offer my comments albeit late.  Have dined four times at S&W Las Vegas (once at the Chef's Table) with the most recent on Christmas Eve and Christmas night '16.  They were all great food & service experiences!  Have dined at other steak houses in Las Vegas, but something about the dry aged flavor of the 24 oz. rib eye at S&W makes it unique and very flavorful.  Rooted vegetables sautéed in duck fat and the wild mushrooms w/ porcini butter are always great sides.  And w/ my Crown Royal!  In Hawaii we comment with ""ono, ono and broke da mouth""!  More importantly, the sincere warm hospitality of the entire staff led by Scott Nesjan made all the difference.  He's da man!  And with Ronan at the bar, what a fantastic evening.  Mahalo nui loa (thank you very much)!  Can't wait to be back dining there in March '17!  

B. Nuibe",9VZoTWnTqmFzNhGi-g1O3g,0,0,5,aMCmJ3gUnG-gAMxezf6k7Q
