,date,funny,business_id,text,user_id,useful,cool,stars,review_id
9495,2016-04-01,0,NuT1ejKruFnBFQWC6Xg82w,"We have went to several Papa Murphy's around the valley, but this one by far has the best service. The staff was friendly and fast. The manager even shook our hands and thanked us for our service. It was very clean and all ingredients were fresh. They even gave us new coupons to replace the ones we just used. We will never go to another Papa Murphy's again.",umd0lZaX5-NQTYcCKN3otA,1,0,5,hDzUilNU09rbn00Ua5q_IA
48473,2016-06-24,0,NuT1ejKruFnBFQWC6Xg82w,"This take out pizza spot is fantastic! The pizza is great and the sides are also tasty, but the real reason I believe this place is great is because of the service. 

The girl who helped me (I think her name was Tani) was really helpful. Being my first time there she helped me order and explained the differences in the pizzas. What really shocked me was when she asked ""Do you want help to the car?"" after my pizza was ready. I'm a pretty good sized guy and could easily carry the items, so really she really was being polite. It was impressive service. 

Round of applause to her and the management team for the impeccable training at this location!",MjoqIL3lTigoJA_FM2dMmg,0,0,5,Cd6JjKdkuT-E4jUXmG6kNA
198827,2016-05-05,0,NuT1ejKruFnBFQWC6Xg82w,"Best pizza place in the neighborhood.  Excellent customer service, and a great product.  Beats ANY of your traditional take-out pizza joints.  If you get the chance to meet the owner, let him know what you think, good or otherwise.  They'll go above and beyond to make your experience great.  From a repeat local customer.",TtB6cjnuLqMGDbsnI2J0Bg,0,0,5,a-9QEy3sgymY215myJb49g
223899,2017-12-16,0,NuT1ejKruFnBFQWC6Xg82w,"We go in, it's quiet, it's clean, the service is friendly and we order our pizza. As they're making our pizza, the Cowboy, they then inform us that they are out of mushrooms. It would have been nice to know that they were out when we ordered and before we paid. We could have gotten a different pizza or gone to the one off Tropicana if we had known before hand. They offered us a different option of topping as long as it wasn't meat. We said no. They didn't offer us compensation for the inconvenience which was irritating. Pizza is still good, but make sure to ask them if they have all their toppings first before you pay since they apparently won't tell you beforehand. Maybe they need a sign that says when they're out of a topping that's on almost all of their pizzas.",rqf-FkRjUrMpNxQCcc2VOg,0,0,2,9YunEeJWI-jPo4j31fTGzg
232193,2016-04-28,0,NuT1ejKruFnBFQWC6Xg82w,Wasn't always a fan of take and bake back home but Papa Murphys is making me a fan. Definitely get on their mailing list because with the coupons and their specials it is a great deal. I love that it's a another new business in the area and it shows. The staff is very nice and when they hand you your pizza they open the door for you on the way out. The girl even remembered my son from our last visit. I hope they keep up the great service. No complaints here.,OKXBFnKS_qKaVG-xSWUyZQ,1,0,5,qH0P99dCgndtYEPOoVfUNA
329248,2016-04-11,0,NuT1ejKruFnBFQWC6Xg82w,"I had the Chicago Stuffed Pizza and it was amazing!The crust was stuffed with all kinds of meats: Salami, Pepperoni, Etc. I would definitely recommend!",p6lHzlQeE2_DnYVpsz3HTQ,0,0,5,mnYJZHqCJ2qyhmuzaOF6xw
517915,2016-05-06,0,NuT1ejKruFnBFQWC6Xg82w,It was really good pizza taste fresh loved the ingredients I chose for it the Chicago style. friendly environment and they are really helpful in case of any questions on baking the pizza. You could even see them making the pizza which was nice.,vsXKBUDRxGAJfBSNe7Jk0Q,0,0,5,ex-3ITIj6XHa1d_3GoGmeQ
610120,2016-04-04,0,NuT1ejKruFnBFQWC6Xg82w,This location was great!! I ordered in advance and everything was ready when I got there. My order was correct and they were SO friendly! Pizza was delicious and so was the s'mores pizza! I will 100% be back!,4soTy_5P6lQdKj91OqNXCA,1,0,5,qyhC4fj1jQL4mMC14vL6-Q
844623,2018-01-13,0,NuT1ejKruFnBFQWC6Xg82w,"I work right around the corner from here at a unnamed health food restaurant lol so my coworkers and I order from here at least 3 times a week!! We always order the 5 meat stuffed pizza which is super good and we feed our crew of 6 with left overs, and their service is excellent they great you by name and open the door for you as you step out with pizza in hand. Thank you!! You guys are awesome!!",fBSuxWh7UKJWPKRDM1srKg,0,0,5,weLHauY8uVy9LLBgopWKKA
888372,2016-03-24,0,NuT1ejKruFnBFQWC6Xg82w,"Had to go to bank, asked if fiance wanted me to pick something up to eat. He said ""I got you two (my daughter and i) a pizza"". I was excited about this idea, until I got home and saw it was this place, again. Supposedly, ""half and half"", half cheese (I'm a vegetarian) and half pepperoni. Ratios, more like 80-20 with the pepperoni basically all over the pizza, making it inedible for me. Was hungry so i tried a very small piece that didn't have pepperoni. Tasted like chemicals. Barely any cheese. Gross. My daughter (who will even eat MY cooking) couldn't even stomach a whole slice of the pepperoni. All of this and I got to cook it myself, too!! Yah, needless to say, never again.",u2kUEnt88S7iumV-3Vdmbg,0,0,1,8UK9-1rKuPLZYE1iS7syFA
