,date,funny,business_id,text,user_id,useful,cool,stars,review_id
23704,2016-01-05,0,OAbwqq66Sc2JYkO6b6rEDw,They didn't want to take my order for pick up 20 minutes till closing and all I wanted was papaya salad. I live 5 minutes away. Guess they're doing good money wise.,tra04YToNONtiq1k2jlwfQ,0,0,4,u1uCdgDO0dIq_OdZOhT7ww
29792,2013-02-02,1,OAbwqq66Sc2JYkO6b6rEDw,"Sun's Thai Food & Jerky was a wonderful surprise! We stopped in to grab their lunch special, around six dollars for select entrees and it included a drink, a small appetizer (either soup or a spring roll), and steamed rice. They have a karaoke stage open to the public, and the atmosphere is relaxing and simple. The service was really friendly and was happy to answer any questions we had.

My boyfriend ordered red curry, and I ordered the green, each with pork as the meat. The orders came very quickly, and the appetizers were quite good. The spring roll was a little plain, nothing special, but the hot and sour soup was fantastic. The curry that we ordered for the lunch special came in a bowl with a scoop of rice next to it. It didn't look like a lot of food until they were combined, but I could barely finish half of mine, so don't worry about leaving hungry. Their portions are quite generous. As for drinks, the standard Thai tea and Thai coffee were delicious and included in the special. 

The only warning I have to give about this place is how spicy their seven was. I can usually handle spicy food pretty well, but they use baked Thai chilies, and they really bite you back. My boyfriend, however, ordered their ten and absolutely loved it, so I suppose it just depends on if you're a weenie or not. Either way, Sun's Thai Food and Jerky was a delicious spur-of-the-moment choice and we will definitely be going back.",wkKnzTG93gutdDWJpjwDQQ,1,1,4,c0uC-j_bGOGKjeWF3yLhUw
65662,2013-05-22,0,OAbwqq66Sc2JYkO6b6rEDw,"We found this place by accident.  We were looking for a different restaurant and couldn't find it.  We were starving so we pulled into the first restaurant we saw.  Being new to the area, we have tried other Thai places and have been very disappointed.  That being said, this place was awesome!  We had the appetizer sampler, chicken pad thai, beef noodle soup with meatballs and sweet sticky rice with mango for dessert.  The sampler came with spring rolls, two types of rangoons, shrimp and veggie tempura.  They were all very good.  I normally do not like rangoons but I was fighting my hubby for these.  My husband loved his pad thai.  He got the spice level 7 and said it was perfect.  My soup was very good.  The sweet sticky rice made my eyes roll back in my head.  The service was prompt and very friendly.  The restaurant was clean.  The prices were very good.  (pad thai was 8.95 and soup was 9.95) we didn't finish them because the portions were huge so definitely worth the money.  We are so pleased we stumbled across this little gem.  We will definitely be back for more!",r79QdFrVcIwO4mxNNCjfEg,0,0,4,yHeQNPIrDlQXxLanRSmzXw
86251,2012-12-23,2,OAbwqq66Sc2JYkO6b6rEDw,"I was happy to see that a real Thai place (not a chinese joint that sells Thai food) is finally closer to my place in NLV.

It's a small quiet place that I'm sure gets pretty loud when people get ""jiggy"" on their stage with Karaoke and also instruments for their live band. It's family owned and when our group of 6 entered we were greeted by the wife who is very very friendly. 
After our waitress/The Wife brought out our drink orders, she thoroughly answered every question we had, even as redundant as some of those questions might have been. Most places that I've been to, you can tell that the waiter/waitress gets a little annoyed when he/she has to answer the same sort of question. We got our orders within a reasonable amount of time and was always politely asked if we needed anything. We never had to hunt our waitress down for refills or anything extra that we needed, as she seemed to always come at perfect timing and to where it didn't feel like we were constantly hounded.

Now on to the food! The food was good. Sounds like a bland description, but...what can I say? It was good. It was your typical Thai place, where with whatever you order you select your spice level from 1 to 10. For only being the first time that I have eaten here, its kind of hard to tell if the food is consistently good or just for that night. Overall, out of all the orders from our group, me being a taste tester of everybody's order, it was all tasty. I will be going back to see if the food is really legit and not only being good on certain nights. Only draw back that I have, is that they don't have fountain drinks! For soda, they charge by the can...i think $1 each. Which sucks because if you get hella spicy food, you will drink more! But this isn't a reason that I wouldn't come back here. 

Unfortunately, they close at 9. I don't remember if this is closing every night, but that night it was at 9 pm. Being a karaoke place, and being that I am with a group of a bunch of friends, we wanted to have fun and sing a little. It was after 9 pm, and we nicely asked if we could still sing and our Waitress, with a big smile on her face, says ""Of Course! Have fun!"" The husband came and turned on the whole Shabang! Disco Lights, fog machine, and even dimmed the lights in the restaurant! He showed us how to use the machine and just let us have a blast. Even their kids were having fun recording us acting like fools on their iPads and phones! The husband and wife were watching and clapping for us even as they cleaned up! We only did maybe 4 or 5 songs and then decided we didn't want to hold them up, but they insisted that they wouldn't mind if we stayed longer. They were Super Nice!

So, 4 stars! I will be coming back! Great Food and Great People that own it!",mxHckHey5PQztpZtpD9ZFw,4,1,4,T2OlqS_gTcLKhssEVaZuoA
134297,2017-04-29,0,OAbwqq66Sc2JYkO6b6rEDw,"This has to be some of the best Thai food we have had in Vegas! The Thai egg rolls are flakey and full of flavor! The pad Thai (chicken, shrimp or pork) is delicious!  The chow mein had so much flavor! They also offer karaoke on the weekends. This place is an absolute must!",4xT2prT50S-USad93PEZQw,0,1,5,PPX1vIIQjHpC5CJyve2FBQ
137975,2014-11-18,0,OAbwqq66Sc2JYkO6b6rEDw,"Me and my wife found Sun's Thai Food just a couple of months ago. This place is amazing! They have the best Thai food in Las Vegas, hands down. And I mean every dish! I personally LOVE the Panang Curry. It's family owned and operated and has a very warm, inviting feel. We've been literally eating there twice a week since we found it! The prices are great. Saturday night karaoke is a blast, too! Very laid back and introvert-friendly. One tip before ordering: be sure to order your food between a spicy level 1 and 3 if you are used to ordering at a 5 and 6 (like us) other places. They use very high quality spices and the scale runs much hotter than normal!",URfvfA4cTI_tLNYWnMfsNQ,0,0,5,2MaKd77B-jK6_lS2gB693A
148121,2014-03-19,0,OAbwqq66Sc2JYkO6b6rEDw,03/19/2014- Went in this evening and the food was great and the staff was fantastic. I love eating somewhere where the owner is in-house and interested in everyone's experience. Great locally owned restaurant. Met Miss Sun in person tonight. What a genuinely sweet person! Swing by and give 'em some business folks! Know where and who your dollar goes too!,aNAmZ_TT3HLdHlJ_45SZcQ,0,0,4,Qb8BctcALpK7EKkT2scfCw
167176,2016-07-02,0,OAbwqq66Sc2JYkO6b6rEDw,"Favorite Thai place in Vegas, found it by ordering delivery one night on a whim... been hooked ever since... It's my go to Thai restaurant, eat here about once a week. Very authentic Thai food, probably the best Thai food in Vegas for locals and cheap! For those used to American Thai food, this place does Thai spicy, I will normally order an 8 at other Thai places and get a 6 here. The portions are awesome I get two meals out of mine...delivery and dine in is excellent, cute hole in the wall that's 3 mins from my house! Favorite dishes: Spicy Eggplant, spicy mint, green curry, and their beef jerky appetizer! Delicious!!",V5FeSpqn2ELxj9u9Szb_5g,0,0,5,deqZqta7fpKWzywAsQxCNA
203886,2014-07-12,0,OAbwqq66Sc2JYkO6b6rEDw,Great Thai good! I got the green curry with tofu and it's amazing! Great spice too! I called in my order for pickup and it was ready in 20 minutes! Would highly recommend.,fl8fxghzWAtDyKFjvKqDKw,0,0,5,Qm66iUebD0XEwWeoMQ6tew
228311,2017-05-01,0,OAbwqq66Sc2JYkO6b6rEDw,"the food is pretty good, but they charge $2.00 to have shrimp as your protein, for which you receive 4 small shrimp. 50 cents per shrimp is pretty ridiculous if you ask me.",p_2OU9rwmcmCk5FV9KbJSw,0,0,3,OmANp_-jHJtEDm9sLl6DeQ
