,date,funny,business_id,text,user_id,useful,cool,stars,review_id
93991,2014-07-14,0,OIrYGca3yQdxEZQR2yhj3w,"Love the flavored crust! On that note, that's about all to love besides the pretty cheap prices. On my first visit, I called ahead for pick up, and when I arrived I still had to wait an extra 10 minutes or so. This was around 5pm so I guess its a busy time on a Saturday. Being that its a new location I'm hoping their quality and service will get better over time.",iCWoDsTTUMrysVYa5Qb89g,0,0,3,HQ2HpVif_BfSD2CpRg8PlA
131548,2016-02-06,0,OIrYGca3yQdxEZQR2yhj3w,"I came in to pick up a pizza tonight shortly before 8PM, and waited for a minute or two as the family in front of me finished their order. The cashier ran to the back to begin preparing pizzas, and said nothing to me. I then waited for TEN MINUTES at the register, while at least 5 people were preparing food or doing other tasks behind the counter. At least half of them made eye contact with me. Not one said a word this entire time. Finally another person walked in the store, and only then did someone come to the front - to ask HIM if he had been helped yet.

When I said that I hadn't been helped yet and I had been waiting ten minutes, I'm sure I sounded frustrated but I did not yell or get angry. Thirty seconds later I finally had the pizza, but not once was I offered an apology for the wait. 

I would have been completely fine with the wait if just one person would have acknowledged me while I stood there for ten minutes. I even would have been okay if someone said ""sorry for your wait"" when I finally got the pizza. But to be completely ignored for that long and then not offered even a ""Sorry"" is absolutely unacceptable.",NWs_VdM8tqnNGilljXHo0g,2,1,1,Y7D-CLUSgjI8LJVsWQgbrQ
340216,2014-05-26,0,OIrYGca3yQdxEZQR2yhj3w,"Pizza is fresh and full of flavor. Salads are big and delicious. 
Staff needs to be more aware of promotions they are running, via email club or coupons!
Staff is friendly!",PumOlRzQbT9mr3VnKGOTRw,1,0,4,jPDyOD1eVx1OXdqC6EfKLw
393806,2015-09-24,0,OIrYGca3yQdxEZQR2yhj3w,"Ordered two large pizzas online. When I showed to pick it up, they said they hadn't received my order. Once we got it sorted out they quickly made my order and threw in a free cinnamon bread. Excellent customer service! The pizza is great, and the flavored crusts are what keep us coming back.",MEBR5JXfCM1DsQY7R7kI_A,0,0,5,iVsuF0dKT0Xsb-Kls5b4GA
401815,2015-07-30,0,OIrYGca3yQdxEZQR2yhj3w,"Not bad for deliverable Little Caesars. Toppings are good, and crust seasonings help. Howie breadsticks are yummy. My problem is, the eadibleness the day after; ew. The next day the leftovers were rocks. Amazing pricing!",bhxukS4FL8UbEPeGLH6cPg,0,0,3,cGKyqm8Fcu9xkTB9Jy2ewA
448028,2014-05-19,0,OIrYGca3yQdxEZQR2yhj3w,"Well it was a nice thought.lol. I ordered take out on 5-18-14 at about 7:43pm. Was told my food would be ready at 8:00 which is when I arrived. After waiting until 8:10 the clueless teenagers realized that a delivery guy took a bunch of wrong pizzas to deliver to some surprising customers Im sure, which were my pizzas and wings. Needless to say the dumb and dumbers had to remake my food and was ready at 8:27. FTP!",ucqCooQXnPfT1SBtQTSCVg,0,0,1,xdAALSGBfHBxM-Kf7py2Gg
455744,2014-06-17,0,OIrYGca3yQdxEZQR2yhj3w,Pizza was great! We ordered the Philly cheese steak specialty pizza with the garlic herb crust and a ham& jalapeno with the butter cheese crust.,6KrIG4dPkiuqFAC0rZVTCg,2,1,5,MviIjskdOCJfJVvmhlzSLA
551430,2015-11-22,0,OIrYGca3yQdxEZQR2yhj3w,"We've ordered from this location over 20 times because we liked the food and even though we have to wait 20-30 mins longer than places that take half the time we still ordered here. After tonights order we won't be getting delivery here anymore. The estimated delivery time always shows 60 mins, it doesn't usually take the full 60 mins but if it does we understand. Tonight it took over an hour and a half to get our delivery. I called to make sure they had the correct address because it has never taken this long to get an order and because we recently moved [even closer to where they are located]. The manager had nothing to say except that it was on it's way and the delivery driver had our order. I voiced my concerns about it possibly being cold by the time it got here and she said if it was cold or not up to our standards to let the driver know and they would remake it. Why would I have them remake it and wait another hour for my order? It sucks when you enjoy a place enough to order frequently but they can't even accept that this wait time was ridiculous or offer something for the inconvenience. It was just basically, it'll get there when it gets there, tough luck kinda service and it was very unappreciated.",3U8svCNYyETAFAE_VHI4eQ,0,0,1,mkULgN2r0cCuIV0Ptt8D_w
624060,2016-02-22,1,OIrYGca3yQdxEZQR2yhj3w,"The service was good and the food was ready for me when I got there 20 minutes after my order, but the pizza itself? Trash. Maybe I'm picky, or came on a bad day, but the dough was very bland, the cheese was barely melted, and the ""medium"" was undersized. I could have gone to little Caesars for half the price and gotten the same product, not an exaggeration. I wanted to like this place, but everything was just too mediocre. The girl at the counter was nice when I picked up my order, but the two young men that were also working there were making loud yelping noises across the kitchen and sitting on top of the front counter, instead of, you know, working. Lesson learned, continue going to New York Pizza restaurants.",ZTCmye3tIZTDsEY2F63NMA,3,2,1,dlXQLBr-eohQRMBxYCFafg
633852,2014-10-14,0,OIrYGca3yQdxEZQR2yhj3w,"Last night I hosted a last minute MNF party at my house. I spoke with a very polite and respectful employee named Danny. I placed my order through him and explained to him I needed this order to be right. He reassured me without hesitation my order would be taken care of. When my order arrived, I thoroughly inspected everything and boy was it spot on! Pizza and wings well done as I ordered. The wings were seasoned perfect with the right amount of wing sauce. My guest were very pleased with the food as I was and wings were definitely a hit! Thank you Danny for your attention to detail, your outstanding customer service and the great food! We will be ordering here, along with our friends, in the very near future. HH should be proud! 

Thank you, 
JR",fEabjyO1lAQlO93gblveZw,0,0,5,mEXv_8NBAD25hYTpAs-QMA
