,date,funny,business_id,text,user_id,useful,cool,stars,review_id
2281,2014-07-07,0,OWiKC7bjIvc7L2iIuBsHxw,My boyfriend and I come here all the time and sometimes we get good service we had Taylor she is by far the best server we have had there I love their breakfast here their dinner menu is ok they changed some stuff like instead of fresh veggies they use canned I was disappointed when I ordered the lemon chicken.,8bFE3u1dMoYXkS7ORqlssw,0,0,4,CJmrdo3Kq4WYyBc5Izatgw
30316,2012-05-15,0,OWiKC7bjIvc7L2iIuBsHxw,Came to Molly's for Mothers Day and was really excited to have my meal on the house! Really cool but I ordered the BBLTA and its supposed to be extra bacon and all that other stuff well instead I get 3 pieces of Rye bread 3 slices of bacon and tons of lettuce tomatoes and avocado! Geeez If I woulda known that I would have ordered a burger!,i6cOMdhHpvkMvy54_Flpyw,3,0,3,Ixvsw9g4umrCwFXmHgikXg
53426,2014-04-08,1,OWiKC7bjIvc7L2iIuBsHxw,"Only reason this place is getting two stars is because the food was pretty decent. They had no server, so the bartender had to serve us. I get that it was late at night, but she was rude for no reason. I didn't get her name but she was a blonde lady. Anyhow, she never checked on our table and we did not get any refills, I guess she expected us to come up to the bar and ask her. She gave us our food and that was it. We would even say thank you and she would just nod her head, haha. You can respond with ""you're welcome"". And there were literally only 5 people in the place so there was no reason for her not check on us. Probably won't go back, I don't really see this place lasting too long after seeing all the terrible reviews about the service. Do not go here if you don't have to!!!!!!!!!",q6XOqCSxGJehCZIC6cvxjw,0,0,2,3hacKvuympGUTY5mrArBNA
509328,2013-11-21,0,OWiKC7bjIvc7L2iIuBsHxw,Seriously i think they must pay fr the top reviews because the service sucks! Went here for lunch one day and it took nearly an hour for my food! I didn't order much! Who's running the kitchen???? Where's Jon Taffer? This place needs to be bar rescued!,VYKFMUH5af83nvDw2cD20Q,0,0,1,33jUKTSZYTlsut_hl87elQ
585669,2010-08-03,2,OWiKC7bjIvc7L2iIuBsHxw,"This place never seems crowded, the food is cheap, and the beer selection is pretty good.  That being said the food is just okay, nothing really stands out in my mind.  If you're in the Southern Highlands area, this place is really only one of two options for you if you want to go to a bar that is NOT in a casino... and as such, it serves its purpose well enough.  However, its nothing to write home about.",Ajxo_jYrugrE2lWf9AiNMA,2,1,2,1_7lEVuoxZVavMxC9vEpDA
632388,2010-04-13,2,OWiKC7bjIvc7L2iIuBsHxw,"im from out of town but some of my family moved out to southern highlands about 5 years ago, and back then molly malone's was one of the only restaurants around.  now southern highlands is all filled in and its still a nice brunch option on my way back home.  the portions are generous, the food is hearty, and the prices are more than reasonable at around $8 (especially when faced with $15+ breakfast on the strip or chains like dennys and ihop) the service is friendly but painfully slow if youre starving.  otherwise ive never been disappointed by molly.",zWLJTI5-r0FbZKiIfKWmGQ,3,3,4,3fTNoAOr8Z9Drg4_LrgTkA
666870,2013-04-26,1,OWiKC7bjIvc7L2iIuBsHxw,"Food is good but the service is horrible.

Second time our group went here for happy hour (we are talking aboout 15 people here), Both times the service is incredibly slow, the running joke became if you wanted something to drink then you had better order 2 because it would take the waitress that long to return.  General consensus, good food, worst service ever.",FFD6UvMyJhJ1ILVeQS6Ycg,0,0,2,CSL2XtJ--i5c99tyyEQazQ
690701,2014-07-09,0,OWiKC7bjIvc7L2iIuBsHxw,"Stoped by to watch world cup game
Jordan was our server
Food and service was excellent
The lobster bisque outstanding loved the pretzel bread. will be back !",yGUBiUxaRR8hIa1-zc3s9g,1,1,5,8ivVGlh14B4Jo92CdvAfVQ
717559,2014-01-07,3,OWiKC7bjIvc7L2iIuBsHxw,"This place is terrible. The customer service was absolutely the worst I've experienced in a long time. The people in the booth next to us shot a rubber band at us while eating and the waitress, Stephanie, laughed about it. I will NEVER come back to this place again. The food was decent, minus the fact that it took forever to get it and even longer to get the check.",i6XxEjwVymzIhFubsilQEA,2,0,1,wxT7FdBPXdNJ4BxJ_OjjiA
864406,2014-02-12,2,OWiKC7bjIvc7L2iIuBsHxw,The owner is always there gambling. He was pissed off I hit a royal. I tipped $100 and was then charged $15 for food. When I asked very nicely why it wasn't complimentary he called me an a**hole. Maybe he could treat his customers better if there wasn't so many of his free loading friends coming in. Btw I've been going there for years and this was the first time he ever spoke to me.,SDSGc9WmLC-45LQHQQC94g,1,0,1,gcNqbhyKRzVvFEgPcPQE_A
