,date,funny,business_id,text,user_id,useful,cool,stars,review_id
67188,2017-09-23,0,OaM2Bjeo2Ftt84ruTrzPNQ,Lemon pepperrrrrr!!!! Best wings in Vegas here! I eat WINGS once a week to stay healthy,Y4N8EP_jxCbb8HrR7WQ-dw,0,0,5,E37Zc-p2H0cGl6arcp7qQw
80645,2014-05-02,0,OaM2Bjeo2Ftt84ruTrzPNQ,"I came with my girl friend and tried some wings and fingers , everything was fantastic 

I was skeptical about coming but as I thought this place was great , service was fast pace and professional and food was made fresh. 
I am I big wing guy and often visit many spots around the Valley 
Hamburger hut 
Chicken shack 
Wingstop 
Wings and things 
That's just some of my favorites 

Overall I'll recommend this spot to friends and family !",Nym1l6I0gMFrr9WCAcMO0w,0,0,5,M45H5vcGjlEhoL6cfjBVgQ
99958,2015-09-28,0,OaM2Bjeo2Ftt84ruTrzPNQ,"I feel like I missed something because I didn't think this was a five star like other reviewers. 

The garlic parmesan were a grease sponge and the bbq ones weren't very flavorful. We also had to order a medium side of blue cheese for $1.79. At other places, this is typically included with the wings and not charged separately. 

I hate to say this but I've gotten better wings at chain pizza places. Even though the service was friendly, I think the search for great wings will continue.",GLp5vueztLtd8HtcvqvhBw,3,1,2,_UE-TUdvf8dtZHWwsnfLEA
117886,2015-11-26,0,OaM2Bjeo2Ftt84ruTrzPNQ,"This is my favorite place to eat at, especially since I love chicken wings. Only thing I don't like is that the pice is a little to pricey, but the food is amazing.",WyJRhi8kp0X6pTKG9GlEQQ,1,0,5,2AJWVgbUkYiGaioAlVRdlw
156158,2012-06-16,0,OaM2Bjeo2Ftt84ruTrzPNQ,"Well this place won't last long at this rate all of the bad reviews are true, I too got the wrong orders, greasy small wings,  and to top
It off wings with a funky smell almost like rotten smell which prompted me to throw away the complete order. I feel bad but I guess if u wants wings have them from anywhere but this place.   If you go well be warned.",n4cNUDyqA2_pWqGRSoCUXA,0,0,1,E0BmWaZhlSF6A9_kBxF6PQ
207042,2013-10-26,0,OaM2Bjeo2Ftt84ruTrzPNQ,"Was told by the old asian lady (who by was a very nice lady) at the counter that these will be the best wings I have ever had. Needless to say I was underwhelmed. I don't know if my expectations were high or if they were just that mediocre. It was worth a try, but I won't be coming back.",sUMFQWlX5ih-usQe5dubuw,1,0,2,040KjlZOBs_kEUxggIMCAA
312829,2011-05-30,0,OaM2Bjeo2Ftt84ruTrzPNQ,"We got an order of Hot Garlic and an order of Hot & Sweet.  The wings were very skinny, fatty, greasy, and to make it worse, they didn't put enough sauce so I ended up adding some Kraft BBQ sauce I had at home.  

The fries were pretty mushy, greasy, and tasteless.  

And to finish it off, both of us got food poisoning!!   I noticed that when they were serving them, a couple of wings fell on the kitchen counter and they just put it right in my box.  When I saw that I was crossing my fingers that the kitchen counter would have been as clean as their mixing bowls, but maybe that was not the case.  

DEFINETLY NOT COMING BACK.",iuiyKHOpvdK3RppXasc3kg,1,0,1,F5L4rOU1qi_Zs2iD5zAz1w
344970,2014-10-22,0,OaM2Bjeo2Ftt84ruTrzPNQ,"Wanted chicken wings today, got here and doors are locked. Tried calling no answer. I'm sure they are out of business :(",V__z73WEll4JzDkU7lbfqw,0,0,1,CZsojMoZ9Ii6R8bRCL7k4w
428566,2016-10-18,0,OaM2Bjeo2Ftt84ruTrzPNQ,"Wings are good here.  And good wings are hard to find.  They are meaty, flavorful and spun well.  So, if the wings are good and your looking for good wings, you should visit this restaurant.  

However, if you would like to dine in a nice, clean restaurant, maybe this isn't the best spot for you.  Wings puts about as much effort into their upkeep as creativity they put forth while coming up with a name for their restaurant.  I think they could do better.  

But, I'm still an occasional customer.  Like I stated, good wings are hard to come by.  The owner is nice and frequently on site.  If she were to put a little more effort into ambiance, I think her sales would pop.",8W1l2N8RXiIXqUTVh_U64A,0,0,4,aVG_6Tpmb9wnGVDxtErsTQ
463517,2017-04-06,0,OaM2Bjeo2Ftt84ruTrzPNQ,"Hands down the best customer service I've had ordering carry out! And the wings are great! If in Henderson, go here over any other wings spot.",b6YcAdmw2Hz0mbORUCQAUw,0,0,5,95srGaiG-YiCnZ3H0hzMzA
