,date,funny,business_id,text,user_id,useful,cool,stars,review_id
58924,2016-08-06,0,OzPSwxV8AH2S5KvoBTjH5Q,"This place is absolutely the worst. I must admit, I have given it WAY too many chances... only for the fact that I love tropical smoothie, and it's the only one in my neighborhood. 

Most of the people who work here look like they have either just got out of jail, or need help for a meth addiction. Which could explain the circus of shit that I hear on the speaker, and the fact that they are so RUDE and unprofessional. I pull up to the speaker today, and there is a woman laughing. She had me repeat my order 3 times, and she said it back to me.. Still laughing. I pull up to the window and a girl opens the window, and doesn't say anything... So I said, can you give me a total?!?! She said, what did you want to order? You've got to be kidding me. I said, didn't I just order and say it 3 times and you repeated me? She had a blank look on her face, like this was her first human interaction, or she was so high out of her mind she couldn't function. When they FINALLY handed me my order, it was a different woman. Her hands were so dirty, and her nails were chipped with old black polish.. It looked like she just spent all day changing oil. Needless to say I won't be eating the food I ordered, because I have no idea if these nasty people are wearing gloves. So there's 12 dollars wasted. 

Like I said this wasn't my first experience with this location, and it is my fault for going back. 

The other times I've tried to eat here, there seems to always be a problem with the speaker. It's so frustrating... The people are always so rude. They are ALWAYS out of something. You can never read the menu sign.  

Has the health inspector been here recently? I don't think the people working here would pass inspection. Who is hiring these junkies?",TXrUoqGq9GC6WpLRrekOGw,0,0,1,XN8steoZcPENysoZKbQTdw
212731,2016-04-25,1,OzPSwxV8AH2S5KvoBTjH5Q,"2nd time being here, I pull up to the drive through speaker and no one is there after about 3 mins I pull up to the window and continue waiting, I was about to leave when the same man from last time opens the window saying he was in the bathroom... I order my drink and after w little while I get it. As in driving home I notice there are things in the drink that are hard and not chewable. I thought maybe they were seeds or something but when I got home I inspected the pieces and I found a little part that was not anything that was supposed to be in the drink it was a little purple shard of something, felt like little rocks when I was drinking my smoothie... It was somewhat sharp too. 


Not the best... Customer service is poor... Our order was not done the way we asked. We got two smoothies unsweetened and when we got them they were both sweetened... We went back and when we told the guy over the speaker he just said ok. The smoothie was done right the 2nd time, but it is irritating having to drive back.",r4sY-L0PSxG5i379gzqCbQ,2,1,2,Z39ZdI1PdA3xObQJHGaLRQ
383418,2017-05-18,0,OzPSwxV8AH2S5KvoBTjH5Q,"Excellent service, clean location, pleasant staff ! Jojo is very dedicated and always helpful! I am stopping here for Lunch as much as I can, great healthy food.",3ojGexszbJIMdGOGC1rymQ,0,0,5,2tc5gSsv-sHCT2N3pw1qMg
1187086,2018-01-23,0,OzPSwxV8AH2S5KvoBTjH5Q,The staff that made my smoothie and meal were amazing but this is strictly for the management team who sets them up for failure. I stopped by on Sunday morning to order a flat bread meal but they were out of flat bread and bacon. I show up today hoping that they would have it but I was wrong and they ran out of Thai sauce. I felt bad for the employee because she had to apologize multiple times for the items she didn't have. So to the management team please keep track of what you have in stock because you will slowly lose customers.,TmQnQ3wh2KGOblDgcRXXIA,1,0,1,oOY5BRbPYNDcYuA5tsMcFw
1190609,2017-04-05,0,OzPSwxV8AH2S5KvoBTjH5Q,"Horrible service, wouldn't even pick up the phone and when we went they were just plain rude and messed up our order twice. Won't ever visit this location again. Hope they get some new employees who actually care a bit about their job.",v8Ee0mwdmfaK8AB0-vxXkw,0,0,1,wyNvFBvYmyjL6OYbObvpkQ
1200191,2016-04-09,0,OzPSwxV8AH2S5KvoBTjH5Q,"If I could give this location no stars I would. I've given this location three tries now and EVERY time something is missing from my order or made wrong. I am currently sitting at the drive thru window. I ordered a spinach and feta omelette wrap and a smoothie. I had to come back because they didn't put any egg in the spinach and feta OMELETTE wrap. No apology. Nothing. Just a ""Oh, I can remake it for you."" Ridiculous. Awful customer service. I will never come to this location again.",AKRCEwX8BNgguHFHFKvEvQ,0,0,1,5STqcqRrBQm5rK-kSTj1fg
1374590,2016-03-21,0,OzPSwxV8AH2S5KvoBTjH5Q,"Great smoothies, poor service. My friends were ordering their smoothies and The man went to go make them, but did not take my order. He didn't even acknowledge that i was there. I was trying to get his attention but it seemed as if he was deaf or ignoring me. I decided not to order because smoothies are $5 and I shouldn't have to wait. My friends and I were talking and then One of them had to go to the bathroom. She said it smelled like smoke before She went in and I want to go small bathroom and it did smell like smoke, Even though there is a no smoking sign outside of the café. Since I didn't buy  a smoothie I decided to ask for an extra cup to mix some of my friends smoothies into. The only thing I liked is that The café smoothies taste good, but according to my friends they were just too sweet. +1 star for taste, -4 for service.",HeDYzmuJv62ELVAvue-wuA,0,0,1,ao0cHddRWSBXyRN4X1e8mA
1382361,2017-04-20,0,OzPSwxV8AH2S5KvoBTjH5Q,"It says it's open until 2am, but that's really only the drive thru. We're here at 10:20am and the front doors are closed. It seems a bit overpriced for smoothies and sandwiches. I got the sunrise sunset and honestly it was a super boring smoothie. My husband got the peaches and silk and it was a lot more flavorful but still not great. We each got a Sriracha flatbread as well which was ok but nothing special. Disappointing.",1riapMfP5LpDb3OrqCwD-Q,0,0,3,NFewKfARUAeD6Pn-nIRqRA
1412225,2015-08-18,2,OzPSwxV8AH2S5KvoBTjH5Q,"Almost passed this location up. Their new logo makes it look like a generic Tropical Smoothie but I guess the entire company is rebranding.  This must be a new location because I couldn't find this one to check in on Yelp. 

I pulled up to the ""24 hour"" drive thru since I didn't want to walk the kids in.  After repeating ""Pear'ific Green Tea"" 4 times (she couldn't understand me), she asked me to pull up to the window to continue ordering. I asked if there's a menu at the window for us to look at while we are ordering. No response, so I pulled up to the window as requested. She said ""I couldn't understand you through the drive thru. What did you want to order?""  I repeated ""Pear'ific Green Tea with no sweetener or turbenado.""  I asked for a menu for the kids to review.  She left the window and came back with the catering menu.  I'm losing patience at this point as it's definitely more troublesome experience than if I had just walked in. She leaves the window again, so I decided to just go in to the restaurant. 

The experience inside wasn't much better. The menu is all the way up against the back wall but the ordering counter is about 20' from that wall and there's a partition in the line of sight from the ordering counter. Strange setup. The kids couldn't read the menu from the counter so they walked over to the bar where the menu is more visible (however awkwardly far from the cashier). What made it even worse was that while ordering at the counter, the cashier was ringing us in at the drive thru window. Lol. It was just such an awkward experience. Maybe it was because she was the only employee there so she had her drawer setup at the window to accommodate the drive thru?

After we finally got our smoothie orders in, I added on a spinach salad. She asked me if I wanted the small or the large. I told her the large as all 3 of us were going to share it as a side to our dinner. I asked her for the dressing on the side since we were going to accompany it with our dinner at home. She replied ""all of the toppings are in separate containers on the side.""  Perfect!  HOWEVER, when I got home and opened my salad, the bed of spinach was under all of the containers of toppings (yes the containers are placed IN the salad), and the toppings took up about 3/4 of the box. Large salad?  This was not even close to enough for all of us to share even as a side. There was maybe about 6 oz of spinach in the box, some turkey bacon that had a weird taste (almost tasted like fish, if that makes any sense at all) and the peaches on the salad are from a can with syrup. Ick. Not even in the slight bit satisfied. What a waste of money.  I used to order salads from Tropical Smoothie all of the time. They were huge and delicious.  This was definitely not THAT...

The cashier wasn't as friendly as the staff at other locations, however she wasn't rude either. She was just there to take my order and then make it. 

We did get a good deal on our smoothies because we ordered during their ""happy hour"" so it was buy 2 get 1 free AND because it was Sunday I got a free supplement added to my smoothie. That was probably the only positive to the experience. 

Overall (and unfortunately), this location failed to deliver what I expect of this brand.",Te7_l78PIzdfiu9ki3Jrbg,2,0,2,K022jFxFQjryXatouRULLQ
1445209,2017-04-25,0,OzPSwxV8AH2S5KvoBTjH5Q,I'd give negative stars if I could. On my way to work I ordered and paid via the app. When I arrived there was absolutely nobody there. There was even a Sysco delivery driver with a huge food delivery who was on able to get a hold of anybody. The corporate phone number on the website was continuously busy. I drove to the next closest location and they refused to help me or honor my order because they said it's a franchise and they won't get their money. Pretty crappy attitude over a huge $7 order.,tlaBwUvcqmwDTRTknTh7Bw,0,0,1,rfmf7VmOKaPH3srepQgXEA
1453565,2017-03-19,0,OzPSwxV8AH2S5KvoBTjH5Q,Terrible customer service and they don't ever have any Ingredients to make food. I come to tropical smoothie for the beyond meat and the guy literally had no idea they even carried it and of course they were out. I then tried to order a salad without it and they were out of the greens to make it. Why even offer food if you don't carry it. When I then asked about what was in the peanut butter cup he just said we have peanut butter cup or peanut paradise. Oh ok that's helpful. There's other locations that are better.,kTny8RFBPj9du2aIRb8V0A,0,0,1,tqAbtEsJ2qqlei3tRPiAlg
1692048,2017-09-09,0,OzPSwxV8AH2S5KvoBTjH5Q,"Not all Tropical Smoothie Cafe's are created equal. And unfortunately this place earned my first one star. This location needs a serious revamp. First of all, they're highly under-staffed, and I appreciated the one employee doing all he could. But he was overwhelmed, and it took awhile to take our order. And it was really hot in there. Perhaps problems with their A/C? The young man was great, apologetic and made our drinks. Unfortunately, he made my drink wrong. He offered to fix it, but it wasn't much better. I don't fault him, that's a lack of training. He also informed me that they were having a problem with their POS system so my rewards didn't register. I can't fault him, but this location needs help.",Nw-RuNh3HKIiQ5xb8sXSQQ,0,0,1,arUi7vUda54zco9F9IA_YQ
1738830,2018-01-10,0,OzPSwxV8AH2S5KvoBTjH5Q,THE WORST! SO TERRIBLE! HORRIBLE CUSTOMER SERVICE! RUDE RUDE RUDE! these people straight up do not give a crap about customers or their jobs! i've tried coming to this location twice now and both times have been a beyond miserable experience. they act like i'm bothering them by ordering a smoothie! i've never experienced anything this bad in my life. it deserves negative stars! other locations are no better either. way to turn away customers and loose business! you guys are aweful! thumbs down!,pJdCsa0_zIEPG_t3s8Bhfw,3,0,1,YktmkJI-ZOe2jkKhAMbCPw
1745421,2016-06-27,0,OzPSwxV8AH2S5KvoBTjH5Q,"We stop in several mornings a week and Andy is always quick and super friendly.  This location seems to have a bad rap, but I've never had a bad morning when Andy is working!",4XI7-maVhE4p1lhl-Fh7xQ,0,0,5,Ykafug764TlsE4AsZM0_ag
1881548,2017-09-22,0,OzPSwxV8AH2S5KvoBTjH5Q,"The workers in this location keep your credit and debit  card info and use it later to make purchases for their friends and family, do not use your card here.",qGjUdqJ17c8aX2KqdqdpZA,0,0,1,ssRqBP2N_OzkwojqT2PNug
