,date,funny,business_id,text,user_id,useful,cool,stars,review_id
10067,2015-10-12,0,PChG1Dm0A6AXIXkXGVK8Fw,"This's not my first time here, the sushi is great but you need to overlook the waiter he's totally rude. He wouldn't let me finish what I need to order, he drove me  crazy. 
The sushi and the price is good.",IiaubqpQyQ4Y1XjPdigRCA,2,1,4,-PeJAD94mQM7sx7vxztiMg
12966,2015-05-19,0,PChG1Dm0A6AXIXkXGVK8Fw,"Sasa sushi became our go to spot, I was always there with my family or sisters.... 
A regular. 
I will never go again!!! First of all waitress both of them were drunk or on something 
I was ignored sat myself down they took 30 min to notice us I stood up to grab my own menus!?!?  they didn't take our order due to the fact that they were busy taking shots and drinking beer..... Employees wasted on the job. 
And i asked for my check they ignored us 3 times, I could have walked out with out paying... 
Then to top off the night, I was walking out waitress threw up outside in front of the restaurant..... 
It was really bad, I never ever review any business and this was just so disappointing. 
:(",LW-WvhPva2RGL0Zxe0hffA,0,0,1,OEGL5fwVINDEdO265d5TIw
37780,2014-11-17,0,PChG1Dm0A6AXIXkXGVK8Fw,"I've been to a lot of sushi places out here in Vegas, even some at the casinos. This place is by far one of the best sushi places in town. I eat here at least once a week and never had a bad experience. I see people complain on here and think to myself, they were probably born that way cause there are a lot of complainers out here anyways. You can't beat the price or the quality. Good job Nick and crew.",n6uoAbAo7UY1s9f5hCK8Ag,1,0,5,3aKzEsAgYvnna3JuU8f3NA
41708,2016-08-31,0,PChG1Dm0A6AXIXkXGVK8Fw,I had the lunch time box meal and for $14:00 it was not only a bargain but very tasty and very filling. I can't wait to order from here again.,zBZsHp1WjHCoZqOD2YrtUA,0,0,5,9KP86mYTpVHonzjwinXg8g
114423,2015-01-17,0,PChG1Dm0A6AXIXkXGVK8Fw,"It looks like the only bad reviews are when people go on Friday nights. We loved this place and then....we didn't.  I'm totally cool with mistakes were all human but it was almost like they were doing it on purpose? It wasn't just one thing it was numerous things like placing a tempura shrimp in a hand roll with the tail pointing up in the first bite what really? The octopus was so thick it couldn't be chewed literally had to spit out in my napkin (the ones I usually have to go in the back to get myself, on more than one occasion) Then we ordered a couple of special items (they made us these dishes on their own for us to try when we were trying this place out) fail. If you make someone something special to try and they like it, and they order again and again and then it's not the same or even close to all the other times ... What changed? People like consistency We were so disappointed. FOH servers are below average, it's like they do the bare minimum I've seen tables leave due to lack of attention, there is no consistency here.

We drop $75-80 for two AYCE  that always included 20% tip! We never overstay or overheat and are pretty low maintenance. So now we have to find a new place to drop that money. 

I love it when people break up and say it's not you, it's me. In this case it's you!

Goodbye",X-A5fzOcN0GpcTSCdVJeeQ,0,0,2,0DqOuVdH6wa3iCE8CiFXZA
119191,2016-03-01,0,PChG1Dm0A6AXIXkXGVK8Fw,"I'm not very impressed with the food, my server seemed like he didn't want to be there. I honestly wanted to walk out, you need to have a good vibe as a server not a ""dead i dont wanna be here vibe"".",9QNILUtzl2Rl1myL0nEhgA,2,0,3,_e97YK_wH9xgiXXeY8UHFA
126054,2014-06-08,3,PChG1Dm0A6AXIXkXGVK8Fw,The photos for this place on previous reviews lied. I'm writing this review to state that I got the smallest cut of Tuna that I've ever seen. Place sux. Really? How can u serve cut of sushi the size of a mailbox key? So what if its AYCE? Took 4 pcs to equal one normal piece anywhere else. Really? Still haven't gotten an order I placed 45 minutes ago. Server disclosed she was from AZ. I don't care where ur from if u can remember an order.  I was patient.  I asked nicely after 30 minutes.  Now I'm writing this review just becuz it was so comical. Sushi rice is like sludge. Cuts are smaller than I've ever seen in my life... ANYWHERE. Can't stand stingy places.,HFOQy-DOugDxxrdvT4dP8Q,7,1,1,m8E-zlxdzK8ANiqngiQpTA
126275,2016-02-10,0,PChG1Dm0A6AXIXkXGVK8Fw,This was horrible... brought my wife for her birthday no one helped us we grabed our own menus after 10 min still nothing finally got upset got up and left. The server still had the nerve to ask why i was leaving told her she didnt help us at all and she didnt say a word horrible place wouldn't go back even if they paid me smh..,HIS6quKvjU4EcDXkekQCuw,2,0,1,TC3mdL3scnpPUQwSlCiBAQ
129268,2014-02-22,0,PChG1Dm0A6AXIXkXGVK8Fw,I ordered Sasa to-go for the first time tonight! I thought they were fabulous! The service was great when I came to pick up my dinner. They even arranged the rolls artistically in my carryout box! I would certainly order from here again!,YQPJvtp7aKcAx_BqUjzJhw,2,2,4,AvsxWsXyM3DlUYLSVlha0Q
132935,2014-06-12,0,PChG1Dm0A6AXIXkXGVK8Fw,"I have been enjoying sushi for 21 years!  I have to say this is the BEST sushi AYCE, I have ever had. It is an experience, a delectable delight to go here!! Nick and Chris are the best!! They offer unique sushi creations and are so attentive to their customers!!  The fish is so fresh, the employees are so friendly and funny!! I am definitely a regular here after this first time today!!  Thanks SASA SUSHI you rock!!!",qB5RzmEyahL793cRFkt4DQ,0,0,5,Nw14BtVD5gjveTcnmDnhDA
