,date,funny,business_id,text,user_id,useful,cool,stars,review_id
8192,2014-02-17,0,PL3cimEUfNHlenOGSOAdJg,"Just ate here for dinner. Sat at the lounge/bar area. Spent ~$70 on two sushi rolls, one gyoza app, and two drinks. Entrees (rolls) came out before the app (gyoza). We asked the waitress abt it and she was quick to blame others (well i put it in in order!) and never followed up, apologized, explained, or made any effort to show that she cared. Never asked how the food was or how the drinks tasted. Overpriced and underwhelming. Food was average- nothing to write home about. Specialty drinks were overly complicated and overpriced for what you got.",N2wkNFHrkQZRh6-7XGBDSw,0,0,2,SoGssCqlIwb6N9KNSP8fnw
48549,2015-05-24,0,PL3cimEUfNHlenOGSOAdJg,"I ate here on a Sunday night in May before a concert at the MB events center, and because we didn't have a reservation, we sat at the sushi bar. If I go back again, I'd actually ask to do so because it was super interesting to watch them make the rolls, and the guys who work there are very nice. You're able to order off of the full menu when seated there, so you don't miss out on anything.

We ended up having edamame, fried calamari, and two rolls to share between two people. Everything was really, really good. I'm not a fried foods fan, but that calamari was incredible (especially whatever that sauce was - I wish I could buy it in a bottle)! We had the Kumikaze roll, which was a little spicy (which I enjoy), and the sushi chef made me a Rainbow Roll even though it's not on the menu just because I mentioned it's my favorite. Those two, with the appetizers, were perfect for two peoples' meal. Without an appetizer, I'd recommend three for sure.

If I'm back at MB around dinnertime in the future, I'd definitely go back again.",0c-F2TWIcP8ejWoc5MWajQ,0,0,4,DCO4Nlb5CyeR1dSdfVO9uw
51803,2016-06-04,0,PL3cimEUfNHlenOGSOAdJg,I would give this zero stars but it's not available. We sat there for 30 minutes and all we got the opportunity to order was water. Our server walked past us numerous times and never acknowledged us or asked if we'd like a drink. Needless to say we will not be going back,pxXozrkDwtq3ckK30iB3Bw,1,0,1,gyQHKLQ3NcrV2uC1k35uPA
52160,2014-01-12,0,PL3cimEUfNHlenOGSOAdJg,"Kumi is for sure the top Japanese restaurant in Vegas. I always make it a point to eat there every time I get out to Vegas! Bartenders are super knowledgeable, Kobe tataki is to die for, ambience is on point, and the music is always great!",NUDVIpGa7-AFhMkJ_a2e2w,0,0,5,9LwhBqB1sqMLtivGeShyOQ
55150,2017-03-19,1,PL3cimEUfNHlenOGSOAdJg,"Made reservations for an early dinner. Our table was ready for us when we got here. The service was great with all members of the wait staff really attentive and polite. The waitress offered good recommendations and we started with the calamari appetizer. The calamari was so light and tasty. We ordered rolls and a shashimi plate. The sushi is extremely fresh. To end the meal, I definitely recommend the strawberry soufflé. It was perfect. Well worth a trip to Mandalay Bay!",qh8ELOct-tPTjUybhYYHrg,1,1,5,7mzO1oThno2w5ggqCi0mjA
79033,2016-09-06,0,PL3cimEUfNHlenOGSOAdJg,"Sadly, My family of four made reservations at this restaurant over the holiday weekend. What a disaster and joke. We like to order from the sushi menu and usually a couple appetizers, small plates and few entrees. Our server was pretty nice, a bit snotty. We decided to try the shrimp tempura and the gyoza, meh it's was okay. Then we order sushi rolls...5 rolls and 3 orders of Salmon.I have to say that my 12 year old said that the sushi at our Colorado Springs KING SOOPERS was better and it is just okay sushi. The salmon was super small and tasted terrible. The yellowfin with scallion rolls we actual sent back, fishy and terribly disgusting. Trying to find the good we awaited the Filet and Chicken that our waiter suggested for us all to share., Meh okay the filet was okay but NOT worth the 50$ for a small plate with 8 pieces on it? The chicken was about six pieces and it tasted terrible!!! We tried to eat it knowing we were heading to a show and needed to eat. I would never eat here again, what a terrible representation of the Mandalay Bay Resort. The cost just burns me 323$, we were just at Sushi Roku, eat there if your looking for excellent sushi!! This restaurant is exactly what they advertise-taste like dead fish! YUCK",IkGhfhpIcfZv9Nx7Kuh_uQ,0,0,1,9auTfx4W1ORklQm_wYlo1A
122145,2016-02-16,0,PL3cimEUfNHlenOGSOAdJg,"The sushi was just ok for the price. Menu was limited and portions were small but tasted good. Drinks, especially Saki were priced extremely highly priced. Travel down Eastern ave 5 minutes and you can get just as good sushi for half the price.",CC9nN2EMh7INGDDJf1gQVg,0,0,3,KT5YJc5zdpmnkX2vjUme0A
172959,2014-03-22,1,PL3cimEUfNHlenOGSOAdJg,"Worst excuse for a high priced restaurant.   Where do i begin.   We were a party of 8, three couples and two teenagers.   We were seated and of course,  we had the unfortunate experience of a half naked,  stripper looking girl seated just besude us.  I complained to our waiter but he said,  this is vegas and there is not much we can do.   That's a bunch of b.s.  I've been to plenty of fine dining establishments in Vegas and never saw this before.  If she wasn't acting in an explicit manner it would've been ok.   But remember we had two young girls with us.  

Moving on,  we ordered the hot mess, which our waiter ranted and raved about,  but never brought it out nor did he come and ask how our food was or if were missing something?  Yes idiot you forgot our hot mess.   Also ordered fillet mingon, salmon, chicken,  and rib eye.  All portions were ectremely tiny.  So if you're starved this won't cut it.   For the money we spent i wouldve expected much better food and service.   The worst part of all, we got our food in intervals.  So we didn't all get to enjoy our dinner together as a family.  Instead we watched one eat while the other waited for theirs.  Waste of money,  will never go to kumi and will NEVER recommend this place to any of my cali friends who frequent vegas a lot.  Very disappointing!!!!",LQcfcBwFaLgpetghKrwaiA,2,0,1,-Z1APD6lvQKrYcMxqWWIxg
174155,2016-10-18,0,PL3cimEUfNHlenOGSOAdJg,"Went for sushi and sashimi for the first time at Kumi and it was AMAZING! The salmon sashimi was absolutely gorgeous! The taste and texture was out of this world! The rest of the sashimi was fabulous as well. The Pop Rock Roll was fun and quirky! Very expensive, but that's true of every high quality Japanese restaurant.",MwRpbxjy0djyrfziCS6a7g,0,0,5,Qqx5SY-GB_o45Csgs_6Qpg
222655,2016-03-19,0,PL3cimEUfNHlenOGSOAdJg,"this place was pricy and everything was so salty.  the worst shushi place i ever been to. stay away ! 
never give reviews but cant really stand the terriable taste.",2XjWQjMkMlM5ZJvBHXxUzA,0,0,1,-7mbLD4q5NfZeaHN2k953Q
256237,2013-07-30,0,PL3cimEUfNHlenOGSOAdJg,Went to dinner on my business trip here. The price of food was high compared to other places I've been. Quality was OK but portions were small. Expect to spend about $150 for 2 people for some rolls & entrees.,hyY0PQrJSnC1sc_1qDX_kg,3,0,2,KO2AVYLxeUQ54YBxxNPnpA
267087,2013-12-24,0,PL3cimEUfNHlenOGSOAdJg,"Had the change to dine here last week.  I had the roll with the ""pop rocks"".  I have to say thay they were amazing.  Jenny , our waitress, was wonderful.  She was on point with drink refills and had the check ready at the conclusion of our meal.  I would highly recommend.",LH1efDDUSqRYP_41bEGY0Q,0,0,5,NtU9XuXxeGO55Ql8aeSMUQ
274521,2016-01-02,0,PL3cimEUfNHlenOGSOAdJg,"Absolutely , 100%, without a doubt, the best place to eat on EARTH! I'm fascinated with high end eateries and this place is not only affordable in the scope of high end restaurants,  it's absolutely the best prepared and thought out place to eat, PERIOD. the food is so good, I had to ask Chef Simon to come out and thank him personally for the great detail and thoughtfulness him and his team put into every dish. I'm not kidding, try this place and you will be hooked, guaranteed!",8_pSrpoA5Q1YdkA4n74Vhw,0,0,5,sbUb-MTJIqiV3VGZnYNfnA
277075,2016-02-09,0,PL3cimEUfNHlenOGSOAdJg,My husband and I went to Kumi a few weeks ago and it was amazing. Andre our waiter was so friendly and attentive. We ordered based on his suggestions and I'm glad we did. The food was incredible and the atmosphere esthetically pleasing. The GM Keith made sure our experience was memorable. Thanks for a delicious dinner. Definitely will go again.,3QXWgVJ5Kj7mbHENMnx3oQ,0,0,5,gySh2LK2V5EmkeeGer0LWA
308109,2016-07-01,0,PL3cimEUfNHlenOGSOAdJg,"I can't remember the last time at a restaurant every single thing we ate was outstanding. Went for wife's birthday and cannot say enough good things. The bonus- not only was the food remarkable, but the service was phenomenal as well.  When our server was busy with some larger groups - another guy checked in and thankfully he did because we ordered more sushi!

Take their suggestions! They know what they're talking about. Our server was Ken and he was right on with each roll and app he recommended. The 'Hot Mess' is amazing by the way.  We will be coming back for sure.

Thanks Kumi and thanks Ken for making my wife's birthday a total success!!",8IwEMiAAs9Gr44fPEiZwVw,0,0,5,6cNTHgWON0E6yU6UzfL5Ag
308568,2016-04-07,0,PL3cimEUfNHlenOGSOAdJg,"Great service, very fresh raw fish, and delicious lamb, can't find anything wrong.

The restaurant locates in a lovely hotel, and its ambiance is decent, just a little noisy.",b0UTuZgEIa6MYvVLpX-HjA,0,0,5,vC6B2FkRdh9AaySs_kjDVA
326824,2016-12-31,0,PL3cimEUfNHlenOGSOAdJg,"Made a reservation and was quickly shown to my table at the time reserved. My favorite was the Chef's selection of sashimi, and we also had some rolls. Fish is super fresh! Service was good.",rNevES5ICgr5RydiDogfvg,0,0,4,sDMQg-Mx_pBvCgUn-pycvw
330821,2015-08-06,0,PL3cimEUfNHlenOGSOAdJg,"Definitely the worst meal we had in Vegas and one of the worst sushi dinners we've ever had. The fish was fresh. That's a positive. Other than that, the rolls were drowned in sauce, the seaweed was tasteless, and there really was nothing that made us want to finish our meals.  We had to repeatedly ask for water, and our glasses were filled with warm tap water.    Go somewhere else.",aKPyOCGFQR6ZqnWTBxDiyQ,0,0,1,sUtDJaVujaG0jF26km8xDQ
341285,2017-09-02,0,PL3cimEUfNHlenOGSOAdJg,"Everything was wonderful, we had an amazing chef's tasting menu. From the house salad to the rock shrimp tempura, every ounce of food prepared for us was awesome.

Service is exceptional and very attentive. 
Definitely going back!",hEabApEybPJ2fCNYSENNhw,0,0,5,t7NrXahSFp5Pl_Yx63BtMw
344289,2016-01-15,0,PL3cimEUfNHlenOGSOAdJg,"This place is the bomb. Best sushi spot I have had. The crispy rice is amazing, well everything is amazing.",8iGf6wE0pj2myOWsmLVcrw,1,1,5,iUmPtNYWlVrl1TnhNc2REw
366307,2014-02-18,0,PL3cimEUfNHlenOGSOAdJg,"This place was awesome. Great food, beer, drinks and staff. We got there right at five when they opened and the place was instantly filled. But the service was still perfect and the food came fast. We ordered two apps and two rolls. Rock shrimp app, dumpling app, spider roll, and pop rockin roll. All four were beyond great. The entrees looked good and I'm sure they were, but we are going back and sticking with the rolls and apps!",LsJStyUF8czsPOFaPsHAag,0,0,5,OrbYWevPyXYVN2OfSVbdcg
369870,2016-03-23,0,PL3cimEUfNHlenOGSOAdJg,"My husband and I had the pleasure of meeting Ken, our waiter, the first time we dined for dinner.  I am not a Sushi savvy person, Ken was patient knowledgeable and enthusiastic about my choices.  his choices hit the mark!! He was a key point in our return before we left.  It says a lot when you stay at the Mandalay Bay, where there are so many choices for fine dining and savory meals, and you go to the same place because of the waiter.  During our dinner we had a conversation with Ken only to find out he is familiar with the Phila and  Atlantic city area.  He recommended a city restaurant to us with hopes we could find a similar taste close to home.
Thanks Ken  let you know when we try out the Phila restaurant.
We give the Kumi and Ken 5 stars",c5fRZJAayaNXMu3b7dQnAA,0,0,5,I2HGYNlG8WyxrbcM8_fo-Q
403772,2016-11-21,0,PL3cimEUfNHlenOGSOAdJg,"Best way to put it is that it's basically overpriced sushi.  I was in Cabo a couple of months ago and ate at two sushi places that were half the cost and many times better.   The environment and service were good but nothing to write home about.  I expected to be blown away by the food given the location and the menu prices, but it was far from that.  In general I have not been too impressed with food choices at the Mandalay Bay.",puosIRN55LeHMmR848nW-Q,0,0,2,awqrDGLK8y1Fgtwv8G46xw
415371,2016-11-05,0,PL3cimEUfNHlenOGSOAdJg,Thought it was decent until I found a bone in my sushi.  I brought it up to the manager and he could have cared less.  Completely unacceptable and a waste of $200,TDEl8I3s59ZTPRAQdPwhSQ,0,0,1,wpg4renL5ND9bdI4Bua43w
420245,2013-09-03,0,PL3cimEUfNHlenOGSOAdJg,"Kumi is a great Sushi spot if you have the paper (or plastic) to support their prices!

Highly recommend the Spider Roll and Kumikazi rolls - out of this world! I also had some Bombay Chai tea before the rolls came out.

There is a live DJ playing progressive/deep house with a blend of top 40 remixes. Definitely dress up for this spot and there is a bar at the front if you want to watch the talent passing by.

Light Group has done well with this venue and will frequent it often.",1GbW2gw8-SA3Iuv3a2AxwQ,1,0,5,t0KZHzEadZ_v2nA8GjfWfw
420904,2017-02-16,1,PL3cimEUfNHlenOGSOAdJg,"My family and I just recently dined here at Kumi this past Sunday. The food was really good, but was very shocked to see that I had been charged $35 for an individual side bowl of fried rice. We ordered 3 individual small orders of fried rice and although this item was not on the menu I would have NEVER guessed that it would have cost $35. Our bill for just fried rice ended up being $105 which is absolutely RIDICULOS! The sushi or sashimi didn't even cost that much. I was in shock and would never go back there again because I think they took advantage of the fact that the item wasn't on the menu and over charged us purposely. BEWARE EVERYONE! DO NOT ORDER FRIED RICE HERE!!!!!!!!!!!",eOTkXHKhnBK7yGaUx4xQwQ,1,0,1,cUOmFUHdBtqw3T1nVx2bDg
421013,2017-01-23,0,PL3cimEUfNHlenOGSOAdJg,"Two stars only because the hosting staff was so nice. After ten minutes at our table, a member of the wait staff walked by, and removed a straw wrapper from our table... we were clearly ready to order, but he said nothing. Three other servers were having a discussion near their POS terminal, and then left without a glance our way. No idea on the food since there was no one available to take our order, we left to try another restaurant. I think it was Derek that left us wondering.",37XZw_1M6ZTjudSVLuFuvw,0,0,2,NeNFox88WeC1D57HiKHkaw
432032,2015-03-24,0,PL3cimEUfNHlenOGSOAdJg,Great food with modern style atmosphere. But the price is a bit irrational considering the amount of the dishes. It's very dark inside.,t2zODM0e3oSQ4HPkzO5vLg,0,0,4,cIbpEGHXXtew1NjOnn3wOA
440590,2013-10-13,0,PL3cimEUfNHlenOGSOAdJg,Unbelievable. This place is so amazingly great. The chefs are absolute geniuses. Don't miss this place.,n0p_Pf8jiHxLo8uGUq30VA,0,0,5,CsYVCehAwfnRgwDkznlnfA
442918,2013-09-08,0,PL3cimEUfNHlenOGSOAdJg,The food was great! A tad bit pricy! I have never felt so rushed to dine though! Glasses were taken away before drinks were finished and rolls came out at the same time as cocktails! Also really loud that we could hardly hear our server speak!,b-jh2grfaruol6QfZHYH2A,0,0,3,3TYuUFzzYSm4u-0McYdAAA
449507,2017-03-29,0,PL3cimEUfNHlenOGSOAdJg,Awesome service and great food..came with a group of 20 and not one complaint..good selection of sushi rolls and drinks!,X2AwLr80A9b1Aa3cu-xSlQ,0,0,5,xfP4nqjOj3e0M765ycIqzw
462680,2016-01-09,0,PL3cimEUfNHlenOGSOAdJg,"I know it's Vegas but this place is super expensive for food that's good not great, not worth the price! You can spend $200 and I bet you leave hungry!",77cOZTDRslmY5Mv00ohW1A,0,0,3,2A7siFJtXC2yS1qZqMptJA
467668,2016-11-15,0,PL3cimEUfNHlenOGSOAdJg,"The atmosphere of this restaurant is what drew me in. I was staying in Mandalay Bay and walked by here a few times so I finally decided to stop in for dinner. Our waiter was super friendly and funny. 
For appetizers we went for edamame and the kobe beef tacos. Both were okay but next time I'll try something different. 
I was very intrigued by the Pop Rockin signature roll, but honestly was a little skeptical of the actually pop rocks. Looking back, I should've just tried it! I went for the Good Times hand roll and the classic spicy tuna. Both were well made and tasted delicious.",HSZLlgJugk_Nix0K4GFWnA,0,0,4,O9NQQV7PHNC-hYnaK_vXDQ
491256,2015-02-17,0,PL3cimEUfNHlenOGSOAdJg,"The best thing about Kumi was the decor - very pretty (although really loud).  The experience was well below average.  The food was nothing more than you would get at a very average Japanese restaurant.  The worst part, however, was the service!  Our food came out in a really odd order at such different  times (1 dish did not show up at all)- my entree was about 20 minutes behind my daughters!?  With this experience you might expect the waiter to at least acknowledge that things were not right and try to explain or apologize - did not happen.  He actually seemed annoyed that we were getting annoyed!  We would not go back, nor would we recommend this to anyone - at rather high prices, it really should have been much, much better.",zV1bwmQ9NY8UdeeugFBg5A,1,0,2,bC61xqplzHLS-XuVa7CjPg
555188,2015-07-11,0,PL3cimEUfNHlenOGSOAdJg,"We decided to eat hear since we were going to the shark reef. The food was decent and the staff was great. The portions are very small such as the sashimi cuts. For example 2 pieces of Salmon would have been one piece in most LA restaurants.

The price for each item was horribly high, I guess they feel its necessary to pay higher for the atmosphere, even know in other sushi restaurants prices seemed more reasonable. 

Menu was also very limited. I would not suggest this place unless you find it convenient and just for a smaller party.",UZQ2OWtpsSsL1I5avb7BbQ,0,1,4,WOvGqrPr9HzXazFgBSvleg
559286,2015-08-16,0,PL3cimEUfNHlenOGSOAdJg,"Very good fish, for a price. 

Service started out very well with Paul our waiter explaining the approach to the fish and the menu to us. He was extremely knowledgeable and articulate about the different types of fish, meats and preparation. Very sharp guy. Realizing his knowledge we told him what we liked and let him pick some dishes for us to try. His reccomendtions were quite varied: Hot mess, Yellowtail, Tuna, Kumu Mari, Kobe Beef and Yuzu Mushrooms.

All of them were fantastic! However if you go to Kumi you must have the hot mess! The roll is piled high with crab and diced fish and drizzled with a spicy sauce they call the O sauce. Oh my. We ended up ordering one for everyone at the table. The yellowtail is also excellent. Served with a ponzu sauce and peppers it has a nice balance of sweet and acidic.

Great food, not cheap by any measure but if you are looking for excellent sashimi and a very nice experience this is the place to visit.",pKzziqu5OriW_mD03EkN5A,0,0,4,rmTYe_qSMitmw5nfyajKow
567026,2016-07-24,0,PL3cimEUfNHlenOGSOAdJg,"Delicious every time!
This place does not disappoint. We throughly enjoyed Kumi twice on our last visit to Vegas and have craving ever since. (That says a lot with all the other food choices) 
We had Kumi again last night and guess where we are dining again tonight? Go with the chefs choice and bring your appetite.",o0qi8OkjjfUiE9SkSWSw7Q,0,0,5,8sOl-2av2sQ8ehKc9CQ4SQ
568806,2017-10-16,0,PL3cimEUfNHlenOGSOAdJg,It was a friend's birthday and we got seated very fast by the hostess.  As the waiter can by she made suggestions on the menu which helped me make a decision on what I wanted.   She suggested the hot mess and lychee drink.   The hot mess was mouth watering and a good appetizer to socialize and snack on.  The lychee drink tasted great.  Tasted like lychee and the drink didn't taste strong but gave me a good little buzz.,Z3vXYNgLdGKUR8pv-SIVFA,0,0,4,j_AT3qTxOx6xOW4niCUtBQ
628479,2014-01-07,0,PL3cimEUfNHlenOGSOAdJg,Amazing place. Anything chef Akira does is gold!!! Must try.,Ir7Z9AjzI5F84UbaVKYSlg,0,0,5,BaPhc0VH-h4xXdrtqf-BJg
