,date,funny,business_id,text,user_id,useful,cool,stars,review_id
45516,2010-11-22,0,PSRZaGGxXmOmabL2si8pKw,"MmMmMm....Italian food! Carrabba's if one of the best Italian place to eat. The service is great, the food is fantastic, and perfect place for dates or big crowds or just because. As for the prices (ranging from $10 to $20) it is really reasonable because the serving is good for two people. They have signature dishes if you do not know which one you want to try. But surely enough if you like this place as much as I do you will definitely come back for more. 

I highly recommend trying the Chicken Bryan, Pollo Rosa Maria, Pasta Weesie, Lobster Ravioli, Linguine Pescatore, all are delicious and will satisfy your stomach. Every meal comes with soup or salad, the soup's are all delicious, especially with the cheese they put. The bread they serve before the meal is delicious because it's fresh and warm.",jEBySjq6tgL-_R3P7LHq0w,2,0,5,DNfonfdl9yfnvkiyYN6tqQ
90694,2015-03-21,0,PSRZaGGxXmOmabL2si8pKw,"came here with my family . started off bad . then JT came,  JT has great customer service . thank you .",HtrYjrp-K31If8gW9vgEdg,0,0,5,uhe9mV4tzBpMrR5lSqyaBg
93084,2011-01-29,0,PSRZaGGxXmOmabL2si8pKw,I'm typically not one for brand restaurants but these guys nailed it! The Cozze en Bianco is one of my favorites. Always a great meal at this restaurant.,OP9OJlAFn6r7t9rIZQ2mqg,0,0,5,cO5STwoK-AlTCZbLt_Z4DQ
149296,2011-07-04,0,PSRZaGGxXmOmabL2si8pKw,"All I need to say is get the ""Chicken Trio""!  They also usually have a bruschetta of the day which is always a winner.  The bread with herb oil dip is terrific but be careful not to fill up as the chicken trio dish is large and come with a salad and side dish.",DWfos3PxcrkqAJoAZHEg3A,0,0,4,m2oqYumKQUWoyLq1iEUbGA
214518,2017-12-19,0,PSRZaGGxXmOmabL2si8pKw,"First time dining here and would definitely go back. Was greeted promptly by our server Anthony who kindly let me sample the blackberry sangria prior to ordering. It was delicious! 

My boyfriend and I decided to do the special Monday menu that included an app/dessert, soup or salad then our choice of entree. We started with the calamari which was good. Then had our salads which came with an awesome house cream parm dressing which was amazing (beware, lots of garlic!) !!! To follow, my boyfriend LOVED his lasagna & I had a great shrimp + scallop dish with a side of pasta in their vodka tomato cream sauce. Everything was delicious and we even ended with a strawberry cheesecake that was divine!

Service was excellent and attentive. I really appreciated all the recommendations and look forward to going back and trying more things on the menu!",RGVhScYjw0rGRaS5HQmocA,0,0,5,00AZHpd-XXhanA_wgLTi0A
238865,2013-03-29,0,PSRZaGGxXmOmabL2si8pKw,"I don't understand the ""call ahead"" service Carrabba's offers when u call ahead 15 minutes before u leave the house and they ask how long till u arrive and then drive 15 to get there and have to still wait and additional 25 when u arrive? Confused and annoyed by this the food is good but customer service sucks! And by the way the hostess is very rude and should not roll her eyes at the guests that put money in her pocket! Be polite seriously! Call ahead is crap? Have reservations or nothing it's worthless to think call ahead is important ????",nv-LSmnBJqpS7-7VnMY7nw,3,0,1,ifcxDIf-AvnNBJMhW0o39A
253039,2011-01-25,0,PSRZaGGxXmOmabL2si8pKw,"Very friendly staff, food was good. Had about 6 people and no one anything really to complain about.  Nothing to brag about either though.  I would go back and try it again.",6j4Sf7Lg1zn6upBW3rf6yA,0,0,4,vxCrnzl_wTppreg9OGMIyQ
296418,2012-01-15,0,PSRZaGGxXmOmabL2si8pKw,"Really didn't feel like cooking tonight, and it is my cheat day, so I tried this place.  The food was amazing, while not on the healthy side, it made for a great cheat meal.  I'll have to come back and try something new on the menu.  I give this place a bit thumbs up!!!",xyHM9aX1Q1TjTwK0_uCoag,0,0,4,_XTxEB_aw7ZCz2ZrXxi_-g
332180,2015-08-01,0,PSRZaGGxXmOmabL2si8pKw,We absolutely enjoyed our visit. Never had a bad meal at Carrabbas and the service was excellent.,_b5mbg64_7ACsVMqJmwIUA,1,0,5,hEN_2D6RBg8XPcHFr8xPBQ
344086,2017-03-09,0,PSRZaGGxXmOmabL2si8pKw,"Great service...but the restaurant changed their lighting with no way to dim the lights..feels like you are in an interegation room., sooo bright..not good atmosphere...",V4sqzvXqgLO86XgCNXt2Yw,0,0,2,lwpLObuf1g3E14S4pJZjWw
344529,2015-02-25,0,PSRZaGGxXmOmabL2si8pKw,"We were greeted very abruptly, no welcome and hurried to our table. The waitress was very nice and the food was excellent. The hostess did make our visit most unwelcome and uncomfortable but everything else was good.",hsd4LiKXQ47la028dYel7Q,0,0,3,4dT6bCvTdpbDD0TSI3vKrg
386777,2015-12-18,0,PSRZaGGxXmOmabL2si8pKw,Great food and great service. Every time I've been to this location I leave with a smile on my face. When my mom comes to town for a visit this is where she wants to go. She loves the food but especially loves the friendly staff.  Keep up the good work! Service matters and the staff at this location knows it.,-HZ2T8WEXfgPpGSw6NA2dw,0,0,5,WLO-4ypa_hlMXmAoD3TMIQ
402074,2013-06-08,0,PSRZaGGxXmOmabL2si8pKw,"My husband and I went there twice now....it's not too bad for the price that you pay.  The appetizer was pretty good, it was shrimp with sun dried tomato on the flat bread.  I ordered Penne with artichokes, olives, and tomatoes.  My husband ordered seafood dish with pasta.  If you want an inexpensive Italian place, but still want to have some good meals, you can try it out.",Zh5bFX7D5-XWThAltRs-OA,0,0,3,08vE0UW6QvHulaWF_nJOjQ
426043,2007-12-07,0,PSRZaGGxXmOmabL2si8pKw,"This place is recommended fairly highly mostly for how the meal starts out.

They bring out oil and warm bread but they sprinkle spices on a small plate before pouring the oil.  It is a simple but the best olive oil and bread combination I have had at any Italain restaurant.

They have 2 outstanding appetizers:  the Scotty Thompson and calamari with red sauce.  They have another sauce but it's not good.  The Scotty Thompson is off-menu and not always available.  It is a simple bruschetta with cheese and red sauce that is surprisingly good.

Their soups are good to outstanding.  My favorite is the spicy sausage and lentil but it's not always available.  Their soups are better than their salads.  The house is bland and the Ceasar's not much better.

When it comes to entrees they drop off a bit.  B&B and Circo are better but their steak and double pork chop marsalas are pretty good.  

For 2 people who share an appetizer and don't get wine, you can keep it under $60 including the tip.  We have never gotten to dessert because we are stuffed by then.  As a value, it is definitely recommended.",DBzVCu2k2z-l5nl0rbVqmg,1,1,4,F_dZTLsvWqFuHuSgp1AQvQ
449731,2014-06-27,0,PSRZaGGxXmOmabL2si8pKw,I first encountered this place with some friends and I have seen commercials for it. The atmosphere was very nice and laid back. We were seated quickly and the service was prompt and very friendly. I enjoyed the bread and oil however it wasn't anything outstanding. The food was hot and very good and I tried the chicken Bryan. Very tasty. The chocolate dream was just that a dream! I was stuffed from dinner and still managed to put away most of it. Great service. Good food and a nice casual atmosphere.,RWhsNzyE1EvB8DYsqWIX9g,0,0,4,msjzPY2sghXIEtFcc7ar8A
566365,2015-04-21,1,PSRZaGGxXmOmabL2si8pKw,Received free gift cards from the manager of a Milford Ct location due to a poor experience ...dirty dishes and subpar food quality just to begin with when using the cards in another state I realized that there food wasn't to bad but the service was equally poor as it was in Ct not returning even for free,MWpLsv5mSSHhoX3T-QSMXw,0,0,2,sK7i4JcL3gZrlJBX-9Zz-w
608516,2015-09-01,0,PSRZaGGxXmOmabL2si8pKw,Great food and great prices for Amore Monday 3 course meal. Waiter lacked personality.,hGnrf2vaPtSnNl4c6vfkBg,0,0,4,Alf5ymWuiWpFSd-LL4Tfmw
610020,2016-09-29,0,PSRZaGGxXmOmabL2si8pKw,"My first time here. Lobster ravioli was rich and  delicious! My partner had the Chicken Bryan and son had spaghetti and meatballs. Servings were plentiful, and hot bread was available. Good stuff. We will be back.",mvloWsh8-Zg4lJCA2Y9Krg,0,0,5,RPdE69DfTnscGJRktAqAlA
