,date,funny,business_id,text,user_id,useful,cool,stars,review_id
299570,2016-03-17,0,PbNKg8t_VNKzxPKydtkFDg,"I really don't even want to give it one star, but it looks like I have no choice. First of all, there service was okay when we walked in. The kid was nice to me, but just decided to stare down my shirt as I leaned over the counter, so freaking rude. So after that we waited about 10 minutes to get our food, and even though it's fast food I really don't mind waiting for good food, but when we asked for ranch for my wings they said it was 42 cents... I said nevermind. And when I got my wings I opened the box and they where small, and no sauce on them. I started to eat them and they where really soggy. Like they had been sitting out at least for 3-6 hours and then they put them in a microwave. GROSS!! And then I looked on the receipt and it said you only get one ounce of sauce! Cheap!! So my boyfriend decided to get 2 for $6 burger and a chicken sandwich. And he just says they where nasty. He did tell me that the little cheese bites that where in the burger and chicken sandwich... he says they tasted like fake cheese and they where a bit rubbery! Cooking 101... a microwave it's used for cooking!! This place needs to be shut down! There fries where okay, but I would have rather gone somewhere else. Now I have a stomachache and I am not happy at all. Wouldn't recommend it to anyone and I am never going back.",lXpiFIUeNp4QNq6Rpa3gtw,0,0,1,CGcKc38pNUXUI2MSBBrdAg
375861,2016-02-21,0,PbNKg8t_VNKzxPKydtkFDg,Took a while to get our food. There was like no one there and I soon understood why. Once we finally got our food I was very disappointed. Tasted like the cafeteria food I got in middle school. The chicken was soggy. The fries were under cooked. Just all around not very good. Not worth the price at all. I would go McDonald's over this place.,a5o-Occwj7-24ia5vd9hDw,0,0,2,tXDhG_keLGHYKxXbGMDf_Q
655787,2016-07-27,1,PbNKg8t_VNKzxPKydtkFDg,"This location I'll give them 2 stars only because we like their food. 

First off customer service sucks here. Been here a handful of times and the workers here just suck. Once I came here and there was a really friendly female worker, who was very welcoming...Other than that some of the workers here need to either find new jobs or step up their game!! That is all.",re3C9Kw0s7mPDugRyw0WTg,3,0,2,NK1cBB2V6eHXA2DfjIVFuQ
886204,2016-09-16,0,PbNKg8t_VNKzxPKydtkFDg,"Checker's problem is that it competes in the USA against titans like
Wendy's, Mc Donald's, and Burger King. Compared to those three
chains it rates a one star because it does NOT stand out in any
facet of the fast food competitive environment. Checker's lacks
top locations, the inside seating is small, the food is merely OK,
yet prices are higher than at those three chains. If Checker's was
in Haiti, or today's Venezuela, it would rate 4 or 5 stars in those
countries. But, IMO, in the USA Checker's is below average. If
you are starving and you pass a Checker's you won't die if you
buy a burger there...but if your stomach's growling can be held
in check 5 minutes longer then find Mc D, Wendy's or B.K.",MPlMQddB2VlkpE7DtxJh9Q,1,0,1,6qthuDGzNS7ExHOVYyrOqw
967025,2015-01-21,0,PbNKg8t_VNKzxPKydtkFDg,"This restaurant seems to market more towards those that want food late...so late we went. We went three times around 10 pm to try their famous shakes and every time we went, ""the shake machine was down."" Each time we felt forced to order something considering we were in the drive thru. Twice our simple orders were botched. Terrible multiple first impressions. Food wasn't even worth the extended wait.",-_CYFt6Gjj5E5NA4JaD1Qw,0,0,1,-43KDFY05J4zPGR4uf0ShQ
1072283,2016-03-20,0,PbNKg8t_VNKzxPKydtkFDg,"Can there be a no star option??? I officially hate this location. 1. They couldn't just give the grand total at the intercom. 2. Forgot one of my damn orders, luckily I sat there and looked at my receipt and checked everything. (Wait for it, I didn't get my drink) 3. They took so long to come back to the window, not even hesitating to check. 4. No mf napkins. 5. The fries were soggy as fuck. AND 6.!!!! They forgot to give us our fucking large drink like I said. And I didn't realize it til I was almost home (was so irritated with the bad service already) and didn't think it was worth it to go back just thought I would never come again. Horrible service every time we come here. Hire new people seriously. my burger was disgusting, that was actually free because they took so damn long to come back to the window. Greatly appreciated. But if the service is this bad, bump down the price so that its ""you get what you pay for"" type of food. or quit",Ly_xtVTTNSA-iXJl-uRK9Q,0,0,1,vn4uar-6a6xsq2MLoMnnLg
1098549,2015-01-05,0,PbNKg8t_VNKzxPKydtkFDg,"I had high hopes for this place. When I learned that they were building one (at this location), I was incredibly stoked because (previously) they only had 1 on Boulder/Lamb and that was way to far for me to drive.

This would be the first time I have been able to eat frequently at a Checkers since I moved to Las Vegas from Georgia 10 years ago.

Unfortunately, there are just too many flaws with this place for me to overlook, and here they are:

(1) The cooks can't tell the difference between sandwiches: I ordered a Big Chicken Deluxe... the only difference between the 'Deluxe' and the regular Big Chicken sandwich is that the deluxe comes with a tomato and cheese. ON 2 OCCASIONS IN A ROW they forgot to add the tomato and cheese. I had to bring it back to the counter and explain it to them. The SAME staff prepared it both times... so apparently they don't learn their lesson nor do they care.

(2) Pricing and menu layout is inaccurate and incredibly confusing. They have a HUGE sign on the OUTSIDE window stating that the ""Big Chicken Deluxe"" is 2-for-$6 yet on the menu (at the top) inside the building, it says it's 2-for-$5 ... I pointed this out to the cashier and she did nothing to get this corrected. So, I ended up paying MORE than what the menu says.

(3) For some strange reason, they make EVERYTHING available except napkins. Keep in mind this is really greasy food, so you're going to need some napkins. But, if you want napkins you have to go out of your way to ask them for some because they don't have the foresight",XlW0fpO5JN2CxKswMoiT2A,1,1,1,1zHYNz7FdfO1VAwdQmVriQ
1228871,2017-10-05,0,PbNKg8t_VNKzxPKydtkFDg,"I took my kids out for dinner here last week. I never will return. It may be fast food, and I would never expect much, but they messed up all 3 orders, overcharged us, and we had to go through the drive through multiple times to get everything fixed. Double check your receipts!",qX0SRZflFDPN8iG-qp0_Sw,0,0,1,-MPg-IPDQSaZeshQm9eJWA
1254248,2015-08-01,0,PbNKg8t_VNKzxPKydtkFDg,"Just left here spent 16.80 and by the time we drove home by the Southpoint, only the  Buford burgers _were worth eating.  
Our order was 2 Buford  burgers, 1 xlfry, and  a chicken bites combo with a coke. 
The chicken wad so hard you can play hockey with them. And this is the first time in  26 years that I've not eaten the fries  had to  toss them out. 'So sad",BB9HSGkrJJppYmIgF37fgw,0,0,2,ozCNTALiLePKLN9s_oFbiA
1613458,2015-08-23,1,PbNKg8t_VNKzxPKydtkFDg,"This is just a copy and paste from a McDonalds, the service is an average burger joint but the food is just bad and looks nothing like the advertisement it was soggy and flavorless. Best burger in town is in n out and I'm sticking to that!",CyyUHfzdXE__YjCNB5OzgQ,2,1,1,fePqJFiy5MhVZ0K4jziUTQ
