,date,funny,business_id,text,user_id,useful,cool,stars,review_id
180528,2010-03-24,1,PelhNV5WsvEJjhUShubLvQ,"this is my GO-TO Taco spot... AUTHENTIC!!! and a Full Menu (burritos, tamales, enchilladas, tortas) none of that imposter mexican food, like Roberto's, Baja Fresh, and Taco Bell.. If i wanted lettuce in a burrito, i would go there. But here you get real street style tacos for 90¢..Meat, Onions, Cilantro, Salsa...easy ryt?...they will have the meat of your choice.. Asada, Chicken, Carnitas..and if you want some Lengua, they have that too..Small Salsa bar, but it doesn't mater, cuz the Red salsa is all you need..grab a couple cups of red salsa, sit down and grub..and occasionally glance at all the celeb deco around... and last Lunch specials (well now they are all day)..cuz everyone loves a special during these times... 5 Bux..gets you 4 Tacos, rice, beans, and a drink.. So go grab a special with a Horchata or Jamaica and enjoy...",5yu78hEuTomuwXtSiRq2mw,2,1,5,AnrIQKzg3QpLO15XVl33FQ
333484,2010-11-23,0,PelhNV5WsvEJjhUShubLvQ,This place was pretty good.  I'd give it 3.5 stars.  Had some tacos and carne asada nachos.  Really cheap - the tacos were 90 cents each.,s29zPllOQxEjBaS0-lHUhA,0,0,3,716jVh5ObNNtaDd7ygxlyw
527574,2011-06-05,0,PelhNV5WsvEJjhUShubLvQ,"I'm not quite sure how this place got to have that many stars or how they even stay in business. I'm sorry. I'm not usually one to seem this harsh but I have to be honest. The food sucked! Yes, I know good Mexican food.  We had blah tamales, meduno and chicken tacos. Complete Fail!",j5svaUwC_XZ5snEsaIKTKA,0,0,2,Ze9moFZaR0xFRXvjjAExvQ
625536,2010-01-29,0,PelhNV5WsvEJjhUShubLvQ,"I love this place. Can't stop eatin' those carnitas tacos! Everything is good here. If you want to visit a neighborhood kinda establishment, not pretentious, just really good food. This might be your place. All kinds of interesting hot rod memorabilia, pictures of the owner with lots of celebrity types that also visit this very cool spot. Awesome!",CrtpnkrmyrG6ZcJf_zEi4g,1,0,5,D_vnT03Cy2uhPYMc6PMj-w
1138520,2008-05-20,1,PelhNV5WsvEJjhUShubLvQ,"hit la mexicana for lunch on monday with a small group.   My kind of place.  it's a very casual mexican restaurant.  One large room with about 20 tables, you order and pick up the food at a counter.  Besides your standard, tacos, burritos, tostadas, etc, they had a slew of items that sounded good, but i'll be damned if i knew what they were.

the standard street cart taco ( a couple soft tortillas, meat, onion, cilantro and various sauces from the salsa bar cost 85 cents.  Given my pathetic limitations of low carb, i basically ordered 4 carnitas tacos minus the tortillas , placed in a bowl - very good, yeah, kinda dull, but it hit the spot.

others had the tacos, cuille relleno, gorditas ( i just thought that was a taco bell thing ) tamales and some sort of stew made with pork rinds - it all looked great and everyone was pleased.

the lunch crowd was hopping - that's always nice to see in a local mom & pop restaurant.

highly recommend if you are in the area and hankering for mexican food at a place high on quality in a casual setting.

Happy Eating !",N044aCKJv3G5WuvwT5AJcA,2,1,5,L9CsUoO01feH49X3ALDhdg
2347852,2010-05-29,0,PelhNV5WsvEJjhUShubLvQ,"I was torn between giving this restaurant a 4 or a 5 because the carnitas tacos are to die for but the sauce on the chile rellenos was average. We came by La Mexicana Bakery about half an hour before they were closing and not a single customer was inside which I immediately feared to be an indication of bad food.

We were greeted by a pleasant woman who took our order and we told her that we had come here just because of reviews from other people. She smiled graciously and said that indeed, they did have the best tacos in Las Vegas. I was brimming with excitement to try these hyped up tacos and I was greatly rewarded. The tacos were in fact so-so delicious and authentic, just like the ones my fiance and I had in Manzanillo. We ordered 10 tacos and the chili rellenos (which were good but the sauce needed more flavor) We got home and gobbled the food up, stuffed, but wishing we had ordered more because it was so good.

---After further thought, I decided to give La Mexicana 5 stars just because their tacos are so amazingly delicious.",vX4zE6Plk7lOlSme_U2lKw,0,0,5,Dc9zqU8IWboEM7dmUxgcOA
2358426,2009-10-08,1,PelhNV5WsvEJjhUShubLvQ,"I love this place! It's not your average Mexican American food. The price is cheap and quality is wonderful. Although the menu is minimal, tacos, burritos, enchiladas, and the soup are my top picks. The soup is only available certain days, so if you enjoy real mexican food...I suggest to try this place.  If not, then please enjoy your Chipotle!",Oz8Bp1NY-Szz4lvSbVsV4Q,3,2,5,Z0NOWfNTuV_Ad2VgHVjqfw
2798910,2010-04-23,0,PelhNV5WsvEJjhUShubLvQ,"The word ""authentic"" is so overused when talking about Mexican places. I'm guilty of using it on more than one occasion. But, for lack of a better term that is exactly what this place is. It's a small, locally owned restaurant with authentic Mexican food. All the usual stuff (tacos, burritos, tamales, tortas, soups) at great prices. Tacos are 90 cents! I got 3 tacos and a soda for under 4 bucks. That's a great deal for any lunch.

Tacos are two soft  4-inch tortillas piled with your choice of meat, onions and cilantro. The pastor was good, but not great. The carnitas on the other hand were amazing. Soft and tender and full of flavor. The best carnitas tacos I've had in a long time. They were so good I stopped by a second time a couple days later to order 2 more. I wanted to try their tamales but they were out so I ordered 2 asada tacos, which were amazing. Some of the best authentic (there, I said it again) Mexican food around.",C2C0GPKvzWWnP57Os9eQ0w,3,1,5,l6ETYMwL8zobchX5t2pw_Q
3058130,2011-04-22,0,PelhNV5WsvEJjhUShubLvQ,"Not sure if I saw anything related to a 'bakery' but definitely this place serves great authentic tacos like the ones you would get from a taco truck. I had both the chicken and carnitas tacos - actually went with the 4 tacos, beans, rice and soda special for $5.00. What a deal! I'd take this over a $5 footlong anyday.

A sign says 'best nachos' in Las Vegas. Not sure I would go that far but can definitely agree the carne asada nachos were good and for the price $6.75, can be split between 2 people.

Interesting decor and wooden tables inside, 'hole in the wall' strip mall atmosphere. Would definitely return for more tacos!",OktfRbV9zJb4WoJafRMthQ,0,0,4,Zvx1qa_VvdX-dZmUMj-6vQ
3887679,2008-10-27,1,PelhNV5WsvEJjhUShubLvQ,"Give me a break!
I went to this place because of my fellow yelpers' very positive reviews.

Was it better than Roberto's? 
Was it better than Baja Fresh? 
Was it better than Chipotle?
Was it better than Agave?
Was it better than any of the Michoacans?

No! Not even equivalent!

The worst part of it is now I'm suspect of what gets posted on this site. It's a crisis of confidence! Sigh.",yi_4YTVS6XL7s5atKPbmpA,2,0,1,cBr8rV-021n58f-nnWW7Uw
