,date,funny,business_id,text,user_id,useful,cool,stars,review_id
206856,2017-09-12,0,Q1m3ZAO1t9JRhHK3txhJQw,"This place is very strange to me, a restaurant that looks and smells like a butcher shop. The table was very sticky and the place was so dark. During my visit, I was also in the bathroom, which was very filthy. About food? I couldn't finish the plate, that means it all. Definitely a one-time experience, I will not go back there again.",-_T2PFiSFzHHHufwuGjrpA,1,0,1,ug6gmSfzd8_PQ7Gyvec7_A
926206,2017-07-27,0,Q1m3ZAO1t9JRhHK3txhJQw,"If you like Israeli/Middle Eastern food, this is the restaurant for you. It's not fancy, but the food is divine!

We tried a little bit of a lot of menu items, and all were served piping hot or fridge cold. From the homemade hummus and baba ganoush to the chicken shawarma and kebabs, everything tastes delicious. 

Try it, you'll like it, and you won't be sorry.",wqWXLB6yXrDb-JP_qohiZg,1,2,5,9l5ZmhpantAjdqv1wycvWQ
1034178,2017-08-15,1,Q1m3ZAO1t9JRhHK3txhJQw,"Shawarma is so delicious.
Great service.
And you must try it if you visit in town..!!",KVNDbpXvpIbf_Qet8VLmdA,0,2,5,itv8y-fjzQAKAA3xHgKcCg
1073009,2017-07-29,0,Q1m3ZAO1t9JRhHK3txhJQw,"I had the beef and chicken kabob combo today, it was OUTSTANDING!  Also loved the potato salad.  Great family friendly place with all fresh ingredients made in-house.  This was my second visit, i will be back again and again.",iv0QfwWonIDu0QsrZwZ4bg,1,2,5,wCuQy1Ui9QTKaFd-25wbKg
1356051,2017-09-29,0,Q1m3ZAO1t9JRhHK3txhJQw,"So far my food is not bad . ...I had the shawarma chicken pita and the flavor was excellent, except I found a few pieces of the chicken in there was still raw and hopefully I don't get sick from it so I take the rest home to microwave to fully cooked my chicken before I finished it. On the other hand, my uncle's plate of chicken kabob and shish Kafta beef was bland in flavor and not grilled, so will not order kabob plate but will definitely order the chicken shawarma again.",k7ytYuNCl9BfIQFgKz8y6g,1,0,3,x4Vq0cNVXw1ZfT_MISjVPQ
1363739,2018-01-14,0,Q1m3ZAO1t9JRhHK3txhJQw,"We walked into this establishment for the first time me and my girlfriend, we did ask the hostess to order our meal, the meal she gave us was very good very filling and was a really nice plate, place was very clean atmosphere very nice, I would recommend this place to anyone we will come back again to try a different dish",DI0P1F8W0sOJElK-Z1Y7aA,0,0,4,885rQPKCodZ2YazOBBrDLA
1371596,2017-07-31,0,Q1m3ZAO1t9JRhHK3txhJQw,"We stopped by this place for lunch yesterday purely by accident.  So glad we did.  The people were friendly and the food was fabulous.  We split a combo plate special that had kafta kebab and chicken kebab my husband ordered an additional beef kebab....this was on a plate with rice, three salads, hummus, two fresh warm flat bread oh and three different sauces ....spicy...that was a little spicy, but very good, garlic, and tahini. This was way more food than we were expecting for about $23 including bottled water.  The cashier brought our food to the table, and was extremely nice to us, giving us an extra plate, cups for our water, a small tray with olives, peppers and beets before our meal was ready and to go box when we were ready to leave.  The chef was also friendly asking how we liked the food and thanking us as we were leaving. Great experience!",qXImBOkJGFFaX6Mw7Z9caA,2,2,5,YpfvD7rp7JbNzq8LhdLyyw
1504279,2017-09-23,0,Q1m3ZAO1t9JRhHK3txhJQw,Best middle eastern food in town. It is always is in and out. It is a hidden gem. People don't know about it. So it always empty. But the food is unbelievable. The mix plate is heaven on earth and they have the best Babakhanouch ever,hWafs_MKb6dwd6wPYzxztg,0,1,5,Ec35yZ1f17gBtHoBgIhXrg
1694489,2017-08-11,0,Q1m3ZAO1t9JRhHK3txhJQw,"I have been her 2x and will continue coming here. The first time I got the chicken box this time I got the beef kafta pita. Both times the food was too much for me but it's so amazing. It's family owned and I feel like family when I come here. Everyone is so friendly and I feel as though I belong there. They have fresh food, great service and wonderful smiles. The garlic sauce is delicious, I'm addicted. 

There's nothing I can ask for that they don't have. Great food Service and even more they are warm. I'll be back again and again and plan on bringing more people with me.",cqy-OvaSX5fCiL6F6_Rffw,0,1,5,6Mo94R4HOeby1LOh3vECJg
1914443,2017-09-08,0,Q1m3ZAO1t9JRhHK3txhJQw,Their Lintel soup and rice is the best!  A must try.  Cute atmosphere and warm friendly service.,p4rLkuev6N6DeO7fgHoz2Q,0,0,5,9Dn1I1Y7Vsu8ht9pZen6pw
