,date,funny,business_id,text,user_id,useful,cool,stars,review_id
4426,2014-10-26,0,QGAv-8tj5i4m4G-HDMnIbA,"This place has great french press coffee and O-Worthy french toast. The decor leaves a little to be desired, but the buttery, sugary goodness makes up for it. Come early or be prepared to wait in line. It's worth it!",Qy1UICsVBVbhAFuImloYyg,0,0,5,KBLU67MOImbzE98iZcUWPQ
44235,2014-09-15,1,QGAv-8tj5i4m4G-HDMnIbA,"Wow! What an amazing choice of food ... we were struggling to pick what we wanted to eat, the staff at the griddle knows the menu, and makes suggestions based on there own personal experience...

Harlon was our server, his knowledge of the menu is incredible!  He was polite, friendly and didn't rush us.  It's a smaller cafe, and when we were there it took us about 15 mins to get a booth ... 

Bottom line, I would recommend this establishment,  and I would recommend sharing a meal!",rstS97bKyC-o5hxjyoHPxQ,1,1,5,z9_x9yVf_EC2q629jVcUNA
50877,2014-10-06,1,QGAv-8tj5i4m4G-HDMnIbA,"Love the griddle.

After eating at their Hollywood location for some time now, I decided to check out their vegas location during a trip. Its consistent, large portions, friendly service, and deliscious. My favorite part about the griddle is getting your very own french press with each visit. 

Their omelettes are great as always. French toast the size of your head, if you're super hungry. Theres almost always a wait time, but line goes fast. Its inside the SLS, free self parking.",ktZzjG2OAccIGLWr9kXGfQ,1,1,5,QYUb0FKJQrqRp4RotvStqg
80871,2014-11-02,0,QGAv-8tj5i4m4G-HDMnIbA,"This place is over-the-top!!!

Must try!!! Make sure you go hungry or with a friend who can help you share a large portion of yummy food! 

The service is incredible, the staff is just amazing, very friendly, and time-sensitive. 

I came a couple of times while I was staying at the SLS Hotel. I highly suggest the banana pancakes, shrimp tacos, chicken Sicilian sandwich, and the amazing French toast! 

This place made my visit complete.",e1e1ckcOnjJvnUKQNBTvSA,1,0,5,7FUifNBSqQu7_E4UeyY5FA
100931,2014-12-25,0,QGAv-8tj5i4m4G-HDMnIbA,"Got the Manhattan Frittata. $12.95, and it was enough to feed four 'healthy' people who would not be healthy for long after eating that. I think there must have been 10 eggs in it. This is probably a good place to come if you know the unbelievable portion sizes before you order so you can share an order among several people. For hotel guests who are not aware of this and have a lot of food left over, it kind of sucks because the hotel rooms don't have fridges. Service is good. The pancake menu does look like the quick path to diabetes.",8b_yYnch8mqlN8LdYyjoYQ,0,0,3,J46WMlEsKsNl61wNBu3Sfg
107531,2014-10-08,0,QGAv-8tj5i4m4G-HDMnIbA,"Overpriced for anything but the pancakes.  Food was okay.  Had huevos, decent.  Huevos,  side of eggs,  order of cakes and 2 coffees was over 50 bucks.",j4K1XeIS5GJcu9Xc5PnKYQ,0,0,3,8I-WhE5sSRpK4bj1B0zZdg
112283,2014-12-11,0,QGAv-8tj5i4m4G-HDMnIbA,My wife had the French toast and I had the too hot to handle hamburger.  Finally for a spicy hamburger it was hot spicy. both were good. Portion size is large but the price is also. For the portion size the price is fair to good.,reDk21yGrkUGAVZx4Fg8Tw,0,0,4,PjX3jw0VonBQYISMsbbS8w
218160,2014-11-29,0,QGAv-8tj5i4m4G-HDMnIbA,Amazing service and food! Delicious French Toast! !! I'm making this a must whenever I'm in Vegas.,I50ShjahX-ufsDiyW9xhVQ,1,0,5,VjGAIzwdQhQJ82RQpcdObg
221270,2014-08-27,3,QGAv-8tj5i4m4G-HDMnIbA,This was my first experience at SLS/ The Griddle Cafe to check the new place out and grab lunch. After this experience I won't be back to the SLS property period. I ordered the Cobb salad and it was the worst ever...pretty hard to mess that up but they managed. Just plain and dry. No complaints on my waiter he did his job but when I go out to eat its mainly to enjoy the food. *When writing a review you're forced to pick a star but it's not even a one star!,_cE9Qy9DoWUVxDeKYiLkqQ,2,0,1,XYKjBwffY_HVYM6qM1RvmQ
228227,2014-10-31,0,QGAv-8tj5i4m4G-HDMnIbA,"Once again a restaurant at the SLS fails.  Seated and then ignored by the wait staff.  I don't want the "" LA experience"" of being ignored.",uy8xw6ToJe3UWFzS_p3OFA,0,0,1,ls9ZxactoAb7vPnGz2u0-w
