,date,funny,business_id,text,user_id,useful,cool,stars,review_id
138114,2013-04-19,1,QcdKTLeP3J5Ki-fVcPZkfA,"These donuts are the best around.  I drive ""past"" Krispy Kreme almost every time I go to Winchells.  Their donuts are tastier, larger and staff is always friendly.  Next going to try a sandwich, but, will save room for a donut!",59J0RMbA0tSquX7j2Qr81g,1,0,5,Awk2xjPjFfvaZLHGBtumhg
212715,2014-09-27,1,QcdKTLeP3J5Ki-fVcPZkfA,The woman here is really not nice at all. It always feels like she trying to just give me my food and get me out. She doesn't say anything besides what she had to like taking my order. No word after she takes my card.,r4sY-L0PSxG5i379gzqCbQ,0,0,1,vCzD7rjIDwi8c-oUHtdr2g
234785,2013-02-27,0,QcdKTLeP3J5Ki-fVcPZkfA,"The main baker there at night not only keeps a great variety of donuts available, but he is entertaining. It must be hard to works as hard as bakers do and stop what your doing to help people who sometimes take forever to choose (ok ...I'm talking about myself) and still greet them with a smile and even joke about the total at the register.
this place has never been a disappointment. yeah they are just donuts but when they are warm and fresh...fugget-about-the--diet!!",w2BTRaLtFaW-JQs-zVBu7A,0,0,5,yLNUJUKjFu3AH-Gn447qLQ
882328,2013-01-18,1,QcdKTLeP3J5Ki-fVcPZkfA,Winchells has the best donuts in my opinion. Theres nothing special about this particular shop. There chillas are my favorite though :),wIxxsEizdA6I0bD4B8ooiA,0,0,3,4cCYMqxhxnBQo4TIVlg5Og
1069154,2014-11-19,3,QcdKTLeP3J5Ki-fVcPZkfA,"Breaking my no-chain-reviews rule once again, it was just nice that after a piss-poor experience at Umami Burger, we found the exact opposite when stopping in for some late night donuts at Winchell's. The crew is always smiling and the donuts are still fresh even in the late hours. There's not much to say, really. The donuts are tasty and the service is pleasant. That's all you really need to succeed.

Certain places should take a look and revisit their policy.",8prr02BTumjFLYSLmMpO1Q,2,2,4,utd9EL16xZtigNJKDHnFfA
1330184,2016-01-06,2,QcdKTLeP3J5Ki-fVcPZkfA,"Went here for a breakfast croissant. It was pretty good and made the eggs and croissant were both fresh. I will be getting it again soon.

I didn't like the donuts though still too much bread and I have a palate for Krispy Kreme.

All in all a great experience.",KEerqlFNhzl1I-yVK6mHVA,0,0,3,IkMxZL4Gq4G0YPuZKaAm_w
1372097,2018-02-23,0,QcdKTLeP3J5Ki-fVcPZkfA,I don't know what these people's problem is. They got signs all over their fucking restaurant it's a they have sandwiches they have oatmeal that other things aside from Donuts but when I go in there and ask for a donut the idiot behind the counter doesn't understand what I mean when I ask for a fucking sandwich. So then I asked if he had anything else but Donuts. He said yes I asked what he said Donuts. But I said I didn't want donuts and I told him that then I asked him again do you have anything but Donuts right now. And he said again yes we have Donuts I don't want donuts I said we went back and forth like this for nearly 15 goddamn minutes because this guy was too stupid to understand that I didn't want fucking Donuts the only reason I came to this place it's because it's the only goddamn place here that's open. And their advertising all over the place that they have things other than donuts and it says right on that advertisement served all day. But this guy refused to sell me anything but Donuts. This type of customer service is flat-out unacceptable.,CkUfTZdDsiHqTvkbKCBNQA,0,0,1,e1c1SOejkyEb2xUS-8ze_g
1402017,2015-11-25,2,QcdKTLeP3J5Ki-fVcPZkfA,"Darn you Winchells for being 24 hours and having a good selection of doughnuts always on standby. I went yesterday for my usual apple fritter and cinnamon roll and to my surprise I selected a Pumpkin cake doughnut. Wholly moly was it delicious- moist with just enough allspice and nutmeg! Sadly, I didn't turn around and grab the other 3, but I went today and they were all sold out! I shed a small tear, because that's my luck so I grabbed two regular glazed and polished them off instead.",4vj_0BQeXjCyNB7ESS5mGg,0,0,5,jh6k2u7YBW3NGaatQMyI-g
1490966,2014-05-11,0,QcdKTLeP3J5Ki-fVcPZkfA,"I like the guys they r always nice and friendly, the donuts are always. Fresh always the best place for a midnight snack.",T1ASBq3_W44BdnSCJhrX-g,1,0,5,1RCU8P-hNKwHxalHjzRSXg
1559528,2015-12-18,8,QcdKTLeP3J5Ki-fVcPZkfA,"24/7 donuts, bagels, coffee, and sandwiches- what more could you ask for?! Service is quick, fast, and usually bilingual. The bagel sandwiches are a favorite of mine, as well as their iced hazelnut coffee. 

If you need to grab breakfast for your work squad, call ahead for a discount: the Winchell's dozen (14 assorted glazed and filled donuts, bars, and twists) is entirely customizable and regularly $10, but calling ahead with a large order has saved me a few bucks, thanks to friendly management. 

But I keep coming back for the sandwiches: $5 for a bagel sando packed with fresh toppings, add a dollar for chips and a drink. The turkey is my go-to, but the BLTCC (BLT + cream cheese) is a tasty indulgence too, if you opt for savory over sweet. Note that the bagels themselves are not of stellar quality- they can be a bit hard (rather than chewy) even when they're not toasted.",bLbSNkLggFnqwNNzzq-Ijw,6,8,3,i8vcYhaHGQWxon7oks8U5A
1648296,2017-05-08,0,QcdKTLeP3J5Ki-fVcPZkfA,"Always consistent always great donuts and great service.
Sometimes fancy donuts are complicated and over done to cover up for an inferior product.  These are good old fashioned, consistently superior donuts.
Try the latest fad, but come back here for the tried and true!",3XSBHH432euFfSq9TBXXXg,0,0,5,jL17bAu4UmmxvcPVFt68RQ
1826560,2017-10-24,0,QcdKTLeP3J5Ki-fVcPZkfA,"Where this place lacks bagel variety it makes up in service, taste, cost, and accessibility. Open 24 hours 7 days a week I pop in and always greeted warmly. Food is super fresh and everything tastes awesome. I recommend this place for your doughnut and breakfast needs",fJ2BTM2ZeoNYvUO1zEv2Ug,2,0,5,aHGg2ZHKzo64_h4NyeM7lQ
