,date,funny,business_id,text,user_id,useful,cool,stars,review_id
55772,2017-05-19,0,Qe71AVaQZW9EbATLpCec0Q,"Fish and chips were just okay. We were on this end of the strip and decided to give it a try rather than walk down to Gordon Ramsay, but the fish and chips we had were not nearly as good here. Fish quality was probably the kicker,  as the batter and fries were pretty good.",p2EIwS1EpXInl3zredLssw,0,0,3,YP7ap2oobulIVLtYtjgYYg
213558,2015-04-14,0,Qe71AVaQZW9EbATLpCec0Q,Love the food here it's our go to every time we visit vegas and just don't want fancy but good. Always made fresh fish has light batter but huge pieces we always share a fish and shrimp basket with chowder and it's way too much food for two. It's inexpensive unlike most food in Vegas. Lots of seating around to people watch.,5hHB4TfSxrvHWqkBiEAxvA,0,0,5,1d8y2jCQXmT5GCbnTBtrAw
221703,2010-03-24,0,Qe71AVaQZW9EbATLpCec0Q,YES. YES and YES. The only other food to trump this joint in Vegas as far as hang over cures go is pizza. Reasonably priced. Greasy to the max. Hits the spot ever so just right. This place is also delicious when high out of your mind and aren't quite sure what the hell you're eating. Just get the family bucket meal and share with three other people. Jumbo shrimp are pretty damn jumbolicious too.,W7mxLhmRy2gP21zF-UmM2A,0,0,4,uaqZxmb5WtRLVm-xUd9iQg
379904,2013-06-18,0,Qe71AVaQZW9EbATLpCec0Q,"Had eaten here a few times prior... about 7 years ago and before.  Always raved about the fish 'n chips.  BEST fish ever... crispy outside, tender and flavorful inside.  So, had to stop by again to savor this treat.  Well, sadly, it's not the same as previously noted.  The first piece of fish was very good... just what I remembered... but the second piece had a distinctly ""fishy"" smell and flavor, like it was not fresh.  Did not finish it and very disappointed.  The chips were not crisp (McDonald's french fries are better).  So... overall, one piece was good, one was not, fries were mediocre, thus the 3 star rating.",CaShYPXIORdP87ad-T2p4w,1,0,3,78o1UrqDI0ba3aBgddEMFA
455235,2010-03-24,1,Qe71AVaQZW9EbATLpCec0Q,"We were really hungry and there was no line for this place so we went for it.  Turned out to be a great find.  We ordered the calamari rings and a family combo plus a few beverages.  The cost was $20--unheard of for a meal in Vegas.  We had to throw food away!  The fish planks were huge, the hush puppies were yummy, and the cole slaw fresh.  It did take a bit of time, but it was cooked to order and hot, hot, hot when we go it.  Greasy, hot food when you are hungry and tired--the best!!",kb7ANywWPZzbCYwurzmHFA,2,1,5,Ia_R_TsyrFYCF0TWvq1qug
468077,2014-10-28,0,Qe71AVaQZW9EbATLpCec0Q,"Don't compare your local eatery with similar offerings on LV Blvd.  On the strip, everybody knows high prices are the norm.  Even eating at hamburger joints here can empty your wallet.  If you find cheap eats with acceptable food, you cherish that place and hold that place near to your heart.  You forgive them their flaws.

We just found Fulton Fish Market in New York, New York on the ground floor near the front entrance.  Our lunch there was decent and was easily half the price of eating at a hamburger joint.  The fish was crisp, the fries were hot.  The chowder in a bread bowl was hearty.  There were even some nice tables to sit at.  No complaints from this grateful customer.",LYqweFmnkZ155q4sZBIzkw,0,0,4,aVJ1liSMtOhyt5-Ya50pfg
497590,2017-03-05,0,Qe71AVaQZW9EbATLpCec0Q,"Wanted some good clam chowder in las vegas on the strip and came across this place. I got the clam chowder and my boyfriend got the chicken and chips. The chowder was all potatoes! And runny. No clams! Had to put a ton of hot sauce to give it flavor. My boyfriend's chicken was plain and very, very oily! The best thing was had was the fries. A small soda was $3.75. Almost as much as my chowder. Do no go to this place!!!",jQQgWpHcjbXNZnIhmbdRQQ,0,0,1,IrogSP4_mbpwBC0zxRw9GA
608543,2016-03-14,0,Qe71AVaQZW9EbATLpCec0Q,"Worst seafood ever. I feel bad for the shrimp and calamari that had to die for this, only to be prepare like hot garbage. The calamari rings are frozen from a bag and the ""garlic"" shrimp are actually pre cooked shrimp battered and then cooked again. Hot rubbery trash. Everything was bland. No seasoning in their batter. 

If you live near water, or eat seafood often I say never eat here. I assume the 5 star reviews are from people who don't get fresh seafood ever. 

I guess the only good thing is that it's really cheap. (You get what you pay for.) But if your in Las Vegas with hundreds of great food options, why would you ever eat frozen seafood? You could go to the grocery store anywhere in the country and buy the same product they are selling you here! Do yourself a favor and explore the Las Vegas food scene.",yjfUSLyGgZ5zRXTM83Ufsg,0,0,1,1cWdlLNKPlZC8bswei7Vnw
623411,2014-08-24,0,Qe71AVaQZW9EbATLpCec0Q,This is good place to get a quick snack. The service is quick and friendly. The food is very fresh.,-XouWRfq24qMx37oJcXXmg,1,0,3,Pv6Jo8Rpi7nmQzDQIGuF3g
641845,2018-01-21,0,Qe71AVaQZW9EbATLpCec0Q,"We got the clam chowder bread bowl, calamari rings and  fries. Very good food, friendly staff(Chris and mary),very accommodating.and you can't beat those prices around here",KYVQ-GEYMz5MXojWPEIMeA,0,0,5,LUX_8DSRahthChTwHpDiyg
