,date,funny,business_id,text,user_id,useful,cool,stars,review_id
67521,2017-06-29,0,QvC9BTeewBxMgdUadFglKw,"I'm still fairly new to Northwest Las Vegas and I am missing being able to have a Mediterranean meal.  The server suggested that I try the Pomegranate chicken.  Oh my!  It was the best!  I've never heard of it before.  The restaurant is very clean, portions are generous and all who work there are very friendly!  I would suggest you try this place soon!",WBiBO0wkblwywgiNwVz07Q,1,0,5,GtHY0OL9dfmzmq1lJs4anQ
115799,2011-07-18,0,QvC9BTeewBxMgdUadFglKw,"If  you're looking for a late night breakfast place, chalk off the Promanade Cafe at the Rampart.  
Upon being seated we specifically asked the bus person, for fresly brewed decaf, what we got instead was cold coffee that had been sitting in a thermal pot for several hours.
 We sent it back.  The second time around  we got  coffee from the same pot but this time it had been reheated and it was burnt.  
We finally gave up on the decaf and ordered regular coffee which was not great, but acceptable. When I'm shelling out  $2.25 for coffee, I expect it to be fresh.  
I noticed the place was empty, except for a  couple that was seated shortly after us.  A half hour after we ordered we were still waiting for our food. 
When we realized the other couple finished eating and left  we complained to the server who suddenly decided to find out about the delay. 
Obvisously, the cook was sending us a message.  I heard it loud and clear, but my husband was hungry and insisted we stay. Realizing the cook was seeking retribuation I barely touched my food, even though I was starving.
We've had problems during the graveyard shift in the past. Obviously, they lose money  by staying open and upper management could care less about what goes on.
After complaining, we were comped , but our evening was ruined so who cares.",Xx5J5SC5PQZURP0SJ338Lw,0,0,1,VYkDjJJoHImBssSEXrbN6w
331833,2016-03-28,1,QvC9BTeewBxMgdUadFglKw,"This is at the J.W.Marriott at the Rampart casino off Rampart blvd. Near Summerlin Parkway.  Just on the outskirts of Summerlin. The thing I love about this place is I always feel young every time I go because most of the customers are between 60-90years old. It seems like the social networking area for them when they get out to gamble. You see families also, nice atmosphere. The great thing is though most of the waitresses are long beyond their prime, they are very pleasant. A few times though I have had absentee waitress and had to go looking for them I figured they were taking a nap! But the food is good, large portions, we have stayed at the Marriott and dined here before right after being at the pool and in tank tops, shorts and thongs, so its very casual, nobody really cares.  There are approximately 6 TV plasmas mounted with usually sports or news playing. Booth and table seating, no more than a 5 min wait typically.  I really like it, my kids like it they have nice deserts,  nice portions and friendly people. The only thing is service can be very slow if you get a slower moving waitress over 70 yrs old,what can you expect! It's sweet they are still working. I respect that, so I try to tip them well and cut them some slack. I too will be old one day...They do a good job for there age! So, if you can stomach all that... you will love the food they have a great special weekly, either steak 8oz. and lobster or steak and shrimp 3 course meal for only $9.99 can't be bad, the restaurants down the street are charging $29.99!
So put the coin in your pocket and maybe use it on the slots for a nice time out!",vJ75NZXebNrVrRFYzLjLZw,0,0,4,sdiiCIOqObB3df4xQGA_dw
360698,2017-08-24,0,QvC9BTeewBxMgdUadFglKw,This place is cheap! Fantastic for the price! Ate here about 6 times throughout my stay! Try the steak!,g0-W7171msydiqJD27b1yg,0,0,5,u5k_lSBqWgIcIXwgCVVTKA
513762,2014-04-28,0,QvC9BTeewBxMgdUadFglKw,"Food OK, Service Horrible
Come here about every other month.
Food and service was always adequate by the standard of an average coffee shop in Las Vegas.
Our visit on 4-27-14 could be our last. Food is still ok, other than the fact their cook (definitely not qualify as a chef), did not know (or not care) about what customers requested. Four of us all ordered prime ribs - one medium well, one medium, and two medium rare. It came out all the same - RARE. Before we had a chance to have one of them to be cooked a little bit more (not difficult - just put it in the Au Jus for a little while), our waitress already disappeared (she gave us our check when the main course arrived) and never suraced again.
So service was horrible.
Even the hostess did not ask how was everything (afraid to?).
It is a shame this cafe shop is associated with the Marriott resort in Summerlin.",_EaCWNwuJUEx5vW5r3C7PA,0,0,1,Ox0Qf7e1lAaEHwFs56_xtQ
585297,2009-05-14,2,QvC9BTeewBxMgdUadFglKw,"You get what you pay for at this place.  Don't count on any fresh food.  In my party, it was easy to tell that most of the food came from cans or boxes (including the mashed potatoes).  Meats and vegetables were overcooked and flavorless.  The service was not much better.  Over the course of an hour dinner, our waiter changed 3 times due to breaks.  The waiter of the minute never knew what anybody was drinking.  I would only recommend this place if you are already at the Rampart Casino and you are dying of hunger.",XSof-Aed5SRJSp7uNXBR5w,0,0,1,xdO57ooRRUyq94xd2rC0-A
706136,2012-06-17,0,QvC9BTeewBxMgdUadFglKw,"Service was mediocre and the waitress brought bacon instead of sausage, but the worst was the biscuits that tasted like they'd been freezer burned. What kind of restaurant puts biscuits in the freezer until they get that nasty? Maybe they thought the gravy would mask the flavor. In any event, this is a poor restaurant. Wish I hadn't chosen it for Father's Day.",Ke2UApZbSV22Ril9PgJNBA,0,0,1,ekYvFv1dy5zIui714tRIVQ
731460,2012-06-01,1,QvC9BTeewBxMgdUadFglKw,"My experience with this cafe is that it is mainly geared towards seniors with small servings, cheap prices and mediocre food. Although my company of great family made this experience better this restaurant seemed like the step child of rampart casino. Our server was great, his name was Anthony and he was as attentive as he could be.",g6KtzJeCf9jKM3jZVDOG6w,4,1,2,tYLAoVRG-YrE3z-CbVTD7Q
986183,2012-05-30,0,QvC9BTeewBxMgdUadFglKw,"Only good for breakfast; they can handle the morning rush but that's about it. Lunch and dinner options, while varied, fall short of expectations - bland food and low quality ingredients. Service also follows the same path.",AinBRMwTs5nW_Di4PLwieA,1,0,2,cZKfeclwU7g24LS4ADQ5CA
1030534,2017-07-06,0,QvC9BTeewBxMgdUadFglKw,"The service is absolutely terrible here! They are so incredibly under prepared for the people who stay in this hotel. We come to this hotel every two years and I think, ""it has to be better this time."" No...it doesn't get better. There is a ton of open tables, the wait staff is terribly slow, and we have been waiting for 45 minutes now for a table!! The sad part is that at 9:45 PM, this is the only option for a hot meal. JW Marriott, please get it together...you know how many people are staying at your property and you clearly don't care.",TmxtbvR0dw8rY8KLN2BTHw,3,0,1,6NNOfy3Nd5GuCgUXTs_svw
1194503,2018-06-07,0,QvC9BTeewBxMgdUadFglKw,"A super late post of my visit at Promenade Cafe inside JW Marriott.  We visited earlier this year.  Both hubby and I were hungry @ 6 in the morning but didn't want room service.  Went downstairs to see what they got and Promenade Cafe opens 24/7.  It was busy already at 6 in the morning.  

The waitress was attentive and smiley (@ 6? geeze but I like that).  We ordered a smoked salmon bagel, vegetable omelet with avocado, a side of a waffle and white toast :)  All were fresh and delicious.

My only issue was that I had to request to be reseated somewhere away from the slot machines; those gamblers were smoking their lungs out!",1KfGEJWkLKIL26m4aCNqEg,0,0,4,zSHinj_Nfj8PGbRO2hnFNw
1214110,2017-04-02,0,QvC9BTeewBxMgdUadFglKw,"Typical cafeteria style restaurant in a smokey casino.  Food was mediocre, slow service and staff wasn't very friendly.",Eaz1DWD8K992v38uNuhWzw,1,0,1,7-RlR4KIZf8_6AcUerpg_A
1334059,2016-07-29,2,QvC9BTeewBxMgdUadFglKw,"Not sure if this is the norm here, but Molly was super slow and didn't bring out what she was supposed to. Drink glasses sat empty. Other people sitting in different sections who came in 10 minutes after us, we're waited on before us. So think we just got a bad waitress. Not a good first experience.",MnaLdPRD84Te8D0FnoCaZA,1,0,1,qybVex9bJX5zIiO83KmY-g
1382197,2016-02-26,0,QvC9BTeewBxMgdUadFglKw,I really enjoy the food here.  I have been here about 10 times over the past 18 months.  Every time I go I order something different off of the menu.  The one thing that NEVER changes is the SLOOOOWW SERVICE.  I often feel ignored by some of the waitresses.  I like the food so I will be back.,CXTEm80fN8V2k4FuD5ub1g,0,0,4,5TiQ9h4sggXE-zJnRrQQ6g
1416208,2016-01-12,0,QvC9BTeewBxMgdUadFglKw,"Surprisingly good. I didn't used to go to Rampart because it was so smoky, but they must've fixed something, because it's not as bad as it was. That's a good thing, because the Promenade cafe is open to the casino, although they do use a non-smoking area as a buffer zone.

Even if you're the only ones waiting, it usually takes a few minutes to get seated. The service can be hit and miss. But the menu has a wide variety, and the portions are substantial. The salads are good, not just a few handfuls of lettuce from a bag. The omelets are good. The burgers are good. The chicken pot pie is good. The sandwiches are good. You get the point...This isn't a place where you're stuck with just one thing that you like on the menu. 

This has replaced the Suncoast cafe for us since they've gone downhill, and we're not missing it at all.",O11n5wP5sq_NtxEGF6dwMA,0,1,4,jWLj03-AtquQWKY2Iv88Ow
1739033,2013-04-14,0,QvC9BTeewBxMgdUadFglKw,"The Promenade Cafe very nice classy place in side Rampart Casino. I had San Francisco sour dough burger priced at only $7.99 a good deal. The service was great even though it was Saturday the cafe was extremely busy.  The food was good thumbs up, far better than Posh Burger!!!",xSjplM7QywApbaw8ILo5pA,0,0,4,wjCFHPimb2r-CAEOyQy0lQ
1753942,2012-03-13,0,QvC9BTeewBxMgdUadFglKw,My wife and I enjoy going here. We use a restaruant.com certificate and we always have left overs. The food is decent and we enjoy the prime rib dinner the most. I personally dont like the parking because it soooo far from the entrance. The service is sub par and they ignore us majority of the time. But i cant complain because we are getting a good deal with the food.,AoAJc0mp6OJWcjj4-cj7Kw,0,0,4,IyXNOttHISl7j11pkPs49w
