,date,funny,business_id,text,user_id,useful,cool,stars,review_id
9349,2015-12-30,0,R0ukZ5FgY_2Pn96Go5mftA,"Worst service ever from Little girls at the register, I don't know how they got that job or any job.. because they have no customer service experience seems like. Just talking and hanging out. If your ordering out They don't care if your food has been done they won't tell you. You have to go get it, but they will cater to the young men and give them their food. Doesn't even deserve 1 star",qjnwrcZPOIXnJWLznQkhTg,0,0,1,2h3crOlPtiB51Bk1IhuUSQ
110015,2017-07-26,0,R0ukZ5FgY_2Pn96Go5mftA,"Good Customer Service, nice people. I like Rachel. When i Went Friday, she welcomed me with a good greetings and great smile. Apparently had problem with the shake we bought night before that. She fixed it for me and gave me another shake. The best shake in town. We will keep coming back me and my family.",MqEKom_s53m5SUcrKinsHQ,0,0,5,AKQLWxlvEUfAFZzgG5ZwGw
129428,2015-12-09,0,R0ukZ5FgY_2Pn96Go5mftA,Came to this place while on a lunch break they were no to busy sat there a good ten minutes before even acknowledged then they ask what I would like they guy stop wiping down the tables and starts cooking my food without washing his hands,KSJQRnDQvx76YvwT34SstA,0,0,1,fBfQ2mkU3OF7ve9Hnt8epg
167040,2015-12-10,0,R0ukZ5FgY_2Pn96Go5mftA,"After a busy day shopping, my boyfriend and I decided to stop for lunch at Johnny Rockets.  We had an extremely enjoyable experience thanks to our sensational server Sherri.  Sherri greeted us as soon as sat down and we ordered water and shakes.  Sherri even gave us some ideas on what to do in town later that night, an added service for sure! 

I've never been to a Johnny Rockets so wasn't expecting to see singing and dancing.  I absolutely adored seeing our server Sherri participate in the entertainment and it added a nice oldies feel to the restaurant.  The food was tasty and the shakes were really thick.  I would definitely come back and request Sherri every time!",gYOdXI9dsIBtwru_JNtlrA,1,0,5,v9WHwGjnsiUzI1CjFfJw1Q
171398,2014-06-29,1,R0ukZ5FgY_2Pn96Go5mftA,Both me and my wife got food poisoning from this place. It was the only meal we had in common all day.,r4WqolYXdZ79EJRUck5lPg,0,0,1,qzI6nnc7n-k7owd9Mmwylw
290634,2014-05-04,0,R0ukZ5FgY_2Pn96Go5mftA,"Husband and I checked this place out while in Vegas... I am really picky about chilli cheese fries and theirs were pretty darn yummy! Kind of expensive but still good... I think the only thing that bothered me was the proximity to a kids play area. And since the restaurant isn't enclosed, the screaming kids got on my nerves a little bit",jOrdibUl4VHD2zfYCVC5hw,0,0,3,PQBZ2vSyPVsTBLr6X5MRbQ
336734,2013-12-22,0,R0ukZ5FgY_2Pn96Go5mftA,"Food was slow & not very tasty. The peppermint shake advertised tasted nothing like peppermint & cost $7.95!! I expected a thick, creamy, heavily flavored peppermint shake. Nope. Thin, lumpy vanilla flavored. Not worth it at all! Plus it wasn't ready by the time our food was at the table but weren't told it was still coming.  We just assumed they forgot to make it & looked for the waitress to ask.  She hadn't brought my friend's ice tea either. When she finally came over she had forgotten the tea but the shake was still being made.  When my friend said at this point just cancel it she immediately brought the tea.  We had a $12 Groupon & they had to remove the nice military discount on order to use a groupon. Food too expensive for its lack of taste & quality.  My first & last time to Johnny Rockets.",77dW3yaxp68yMz2GlhZMRg,0,0,1,B9mfROd0XZmqr_9850SWvg
432185,2015-08-29,0,R0ukZ5FgY_2Pn96Go5mftA,I love Johnny Rockets. I am Vegan and was very excited to go and get the Streamline (Boca burger with all the toppings and they sautée the onions. ),1ZDKE_TWBDnSS_x87kfvMQ,0,0,5,2elumLyk2z9obBkR1YF4eg
495190,2015-08-20,0,R0ukZ5FgY_2Pn96Go5mftA,"Typically, you will see 8-10 empty tables and an empty counter. Don't let this fool you, because you will still be asked to wait 15-20 minutes. The management explains that the kitchen is backed up, therefore guests are asked to wait outside the restaurant in the mall. When I suggested that perhaps they should add extra staff to the kitchen, she said it was too difficult because ""nobody wants to work here!"" This is the only place in the mall that will force you to wait outside their restaurant. Do yourself a favor and go elsewhere.",T0Q4JwchwRJ8MlWBDt9g2g,0,0,2,-mCX9Iq0uxllTsKe14RIow
528233,2013-10-13,0,R0ukZ5FgY_2Pn96Go5mftA,"After a long day of shopping. Me and my wife decided since we were starving and this was the first place we saw we would go ahead and just eat here get it over with.

We both had a squealer burger with fries and some milkshake. The food was decent but maybe one of the most expensive hamburger I have ever eaten at 14.99. 

I would definitely not go out of my way to eat here unless it happen to be the only place around to eat.",chLdy0akpmhuuKrne6CZYQ,0,0,3,gASYUSHHdq1DdO52ycOXMQ
