,date,funny,business_id,text,user_id,useful,cool,stars,review_id
24225,2010-08-10,0,RNi6tW22UMgHwWLAb0mYdA,"To even think about the Surf and Turf Prime Rib special brings tears to my eyes.  Even if I was a Vegetarian, I bet I couldnt pass it up.",XV-PY_an--b-vS4AUOQhZQ,0,0,5,svb8jxeAf3kMt0c-NZARyg
26463,2013-03-04,0,RNi6tW22UMgHwWLAb0mYdA,Not a fan of their yorkshire bread pudding but this place has the best prime rib I ever tasted.  Excellent ambience and excellent service. Good place to take somebody you want to impress too.,BeiZoBhWmdfxV2sAdwVp_A,0,0,4,kh6z7DZ6BgPmbezuTYajpA
36714,2010-01-14,0,RNi6tW22UMgHwWLAb0mYdA,"What a great way to start the New Year...have a mouthwatering piece of Prime Rib at Lawry's.  I've only been to the original in Beverly Hills but watching all the Rose Bowl teams enjoy the annual Beef Bowl on the news made me crave Lawry's even more.

I love how Lawry's has never changed.  You still receive exceptional service, delicious food and a grand experience unlike no other.

Screw those Las Vegas buffets that offer all you can eat Prime Rib for $9.99.  You will never want another slab of succulent Prime Rib carved from anywhere else but LAWRY'S famous silver cart!",CTQEOKv5QTcn5J8z5MYe1g,1,1,5,FQkP-d_CJVn8_wrHIWS-aA
47725,2011-10-28,0,RNi6tW22UMgHwWLAb0mYdA,"I LOVE this place!!  Every time there is a special occasion; this is the place in mind.  I LOVE their stuffed salmon w/ crab.  It is the best salmon I've ever had :)  If you guys like salmon, you have to try theirs.  And the cream corn is delicious!!  I even looked up the recipe for the cream corn.  

And of course, the customer service is always SUPERB!!  Also, feel welcomed and taken care of!!",4b4tZehvmY1rOfXYXxjNnw,2,0,5,lbkNIdLYRNjZS41LzWU7kg
51867,2011-02-13,12,RNi6tW22UMgHwWLAb0mYdA,"I hope management reads this... and our rating of the service is NOT about our waitress, Ms C - she was AWESOME!!! our complaint and it just set the tone - a bad vibe for sure was arriving 7:20 for 7:30 reservations... Very very long line at front check in, but hey it was a Saturday night... we get to the hostess stand and are told that they do not have a reservation for us and that it will be an hour wait... I told ""Biotch #1"" that I had a confirmation and she said that there was no reservation... then she said oh, our reservation is for 9:30 and that it would be an hour... I showed her the confirmation on my iphone... no matter, what was in the computer was what it was... I was furious!

""Biotch #2"" before she became a biotch 2 tells  biotch #1 to just change the reservation in the computer... wow problem solved yes - uh er no... in the meantime we see and hear other guests coming in with 7:45 reservations who get seated before us... WTF... really? I'm going postal now... Biotch #2 (who is now truly a biotch) says, they had earlier resi's than us... uh uh... I was standing right next to them and heard them check in... I would like to speak with the manager who I plead my case to, only to hear biotch #2 tell him that they have been trying to seat us and calling us but we didn't answer... FML really??? UGH set the night off to crappollazville...

We get seated next and go to the back of the restaurant only to see 3 empty tables for two... that 2 of the 3 sat empty the rest of the night... OMG hello Management are you there??? What was the issue people?

Ok, enough with the ranting... our server, Ms C was awesome... smart, funny, whitty... Food was perfect! We finally settled in and put the horrendous hostess f;up behind us and enjoyed a great meal... Notice we're not spending a lot of time talking about the food... Why, cuz it was Lawry's perfect! Somebody should have seen me eating off the bone, cuz it was not very gentlemanly... it was carnivorous.. Very reasonable prices when as it is off strip... Reasonable compared to hotel prices btw...

Note to Management... training 101... ""Oh, we're terribly sorry for the simple mistake Mr. F... here, we will have a table in just a few moments... thank you so much for your patience... ""

Note to Upper Management... fire lower management and the hostesses...",NnOJAzj8HnYWEqu9cV6_4w,15,0,1,1O5Tv_YUcwghhweIdDmyuA
63486,2016-05-15,0,RNi6tW22UMgHwWLAb0mYdA,"A classic! Prompt service, delicious food. The prime rib is the highly of their menu with table side carving and top notch horseradish spread. Or courses it's pricey but it's a meal to remember.",oe1kk6DVItfx_RJJx7cO6A,0,0,5,1Iz77N_s6IPbp_pPv83xZw
73901,2013-08-14,0,RNi6tW22UMgHwWLAb0mYdA,"Went here last year, and hands down the best prime rib i have ever had. Have yet to find a prime rib better. Benchmark",ic5zou6Eb3nKEXa5vqCkhQ,0,0,5,hFU0ijCbVyu4-m9RScdGwA
74498,2016-05-24,0,RNi6tW22UMgHwWLAb0mYdA,"The prime rib is fantastic! My husband and I started with the champagne Cosmo and the cucumber lemon drop. Both were delicious. We loved the table side preparation of the salad. The prime rib also comes with mashed potatoes and Yorkshire pudding. Fabulous! I also ordered half creamed spinach and cream corn. The best I've ever had. Of course, we ordered dessert. I would recommend the sticky toffee pudding and the hot fudge sundae. They make the sundae at the table to your liking! Yum!",7prkNiK37Zaqt456INjHnA,0,0,5,ZqXAZ0qjdDTmDuvZSwssJA
76180,2010-05-28,0,RNi6tW22UMgHwWLAb0mYdA,"Very similar to the Beverly Hills one. Except in Vegas, they have a crazy ribeye and the interior is more modern and newly built with less personality. I prefer the old school charm of the Beverly Hills location. 
Delicious warm sourdough bread, refreshing spinning salad with Lawry's seasoned pepper and cold forks, huge baked potatoes with the works, juicy prime-rib with a lot of horseradish, a double order of creamed corn and spinach on the side, and fluffy Yorkshire pudding to soak up the bloody au jus!
One of the best meals on the planet!!",KLgxLlRHcbfcLiuUTJ8XVw,0,0,5,KflUYMNpsAeUjvLC1TDk5A
89522,2010-11-15,0,RNi6tW22UMgHwWLAb0mYdA,"This Lawry's is good, but we like the lawry's at Chicago better somehow. Maybe we went to this one on a bad day. The prime rib was good, it wasn't bad at all, but really not as good as the one we've got in Chicago. And there are really too many steakhouses in Las Vegas, so we feel that we don't have to go to Lawry's. This Lawry's is good though, not bad, but not a must spot when we are in vegas. But I do recommend you to try Lawry's in general, so if you don't get to try the one in Chicago, try the one in las vegas, shouldn't be disappointed.",gm8nNoA3uB4In5o_Hxpq3g,0,0,3,xhoWLP0JMNtlugoLP43vbQ
