,date,funny,business_id,text,user_id,useful,cool,stars,review_id
25329,2015-06-17,0,RO1h2JPbvp0QeqSHDJbeKw,Anchor bar opened today. Great Wings. Also had the Beef on Weck and it was amazing.,yGiY4a4xYBgjyhmAst3M2g,0,0,5,uN7ig6zYsfBI6ULaK_lNqg
85452,2015-12-31,0,RO1h2JPbvp0QeqSHDJbeKw,"I love chicken wings. So I ordered the 8-10 piece wings. 
The flavour of the chicken wasn't bad. 

However, 2 out of 9 pieces of my wings weren't cooked throughly, as in the chicken was still pink and still had blood running through them. I walked up to them and showed them, with no intention of getting my money back, just wanting to let them know that it was raw and to cook it a bit longer in future for the next person who orders the wings. I own my own business so I know things like this can happen. 

To my shock, the employees there told me the chicken was cooked and not raw. Getting a bit wound up that they think I'm lying or something, I picked up the chicken with my fingers and opened up the wing and the drum even more to show them it was still bleeding. They said it was just the blood line, that it's happened before and that no one has gotten sick. (Are they trying to tell me raw chicken is normal and that this happens all the time?) I said to them 'can't you see the chicken is bleeding?? I'm just here to let you know for next time'. Feeling infuriated at this point I asked for my money back. No apology, no nothing from Anchor Bar staff. 

Will NEVER be returning.",jjpiLy7KllK4XgmDczn10w,0,0,1,PEvXvnrySZnTTGyOTXfe2A
192818,2015-11-21,0,RO1h2JPbvp0QeqSHDJbeKw,"Creators of the original chicken (Buffalo) wings! Similar quality to the original location in Buffalo, New York. This is a must-try for wings lovers.",7HdQzeBVNsizifa-Qsy_UA,0,0,5,hbwq1yHF5UeKQYxB5pM0rg
252887,2015-08-15,0,RO1h2JPbvp0QeqSHDJbeKw,Ordered a chopped chicken salad and the chicken cheese steak combo. Maddelynn was very nice. Food was very very good. Fries were great. Very reasonably priced.,teYIjtZqpRD1as7ZrxMlAg,0,0,5,VIYx40AgkoOUAOgTI5989g
345698,2015-10-25,0,RO1h2JPbvp0QeqSHDJbeKw,Great wings and fries. Will come back and tell friends and coworkers who come through. Staff was awesome too,E9zKeKDmL28FkC09OpT8kg,0,0,5,V05zBQNu4g0bDCPUF26g-g
591829,2015-07-30,0,RO1h2JPbvp0QeqSHDJbeKw,"I decided to revisit The Anchor Bar and give it another chance since last time I was there it was opening week. I thought maybe all that chaos was the reason for the bad food, and I was right. This time my wings were crispy and well sauced, unlike last time. The blue cheese was on point this time as well, and the fries, man the fries are good!! Service again was GREAT! Maria and the rest of the staff were very AWESOME! I'll definitely will be back after realizing the first time was just a minor hiccup.",VJYbm95hGi4t9FTWWG94qQ,0,0,4,ylUKYaKRDXSJvn28-exfmw
692494,2015-06-26,1,RO1h2JPbvp0QeqSHDJbeKw,I don't know what those other reviewers are talking about. I had the wings and they were great.  I don't do hot so I had the Teriyaki Sesame wings. My husband did get the hot wings and he said they were some of the best he ever had. Their spring roll is quite yummy as are the sweet potato tots.  This place is definitely worth a try.,DoKAjcyA4kd3wMmkms7_uQ,1,1,5,SMg9i8eZ3J471mkRfxPycw
742354,2015-12-31,0,RO1h2JPbvp0QeqSHDJbeKw,"Its cool to visit the inventor of the buffalo wing once. Ive had better. The wings needed more sauce.  The teriyaki ones were actually tastier than the original. Also note, this is a food court not a ""bar"". Nothing wrong with that but it is food court seating which we werent expecting.  So if you want a more sot down with family/friends thpe experience, this might not suit. The fries were ok. Service was slow. Also, many people like the meatier wings they serve but makes me wonder where the chicken comes from.....would go once for the experience.",1IANPV5oU7gXvoItNBrwDg,0,0,3,xTMFRcjWDX5p0waRe3f8aw
794031,2015-11-23,0,RO1h2JPbvp0QeqSHDJbeKw,"This is the place! Hands down The Best Wings we have ever wrapped our mouths around! We feasted on a mixed combo of hot and med wings that came with the traditional blue cheese dip and celery stalks. The wings were perfectly cooked.. Crispy on the outside ,moist and drop off the bone tender inside. We also had the Beef on a Weck sandwich that was great and the Buffalo Spring Roll. I believe that anything on their Menu will be wonderful. 
Good selection of Beers.. My fav Anchor Steam and Brooklyn Brown Ale the perfect brews to wash it all down with are on tap. 
We will definitely be back whenever in Vegas! Oh and the Staff...they are so much fun and entertaining. Great place!!",3ZNBLgxu2JZId9SCyBXv-Q,0,0,5,4e5iNRFsZMm2R3KgUBrqfA
916507,2015-07-14,1,RO1h2JPbvp0QeqSHDJbeKw,"Being natives of Buffalo, we had high hopes for Anchor Bar when we saw it as an option at the food court in the Venetian. We talked to a couple employees while we were there and they said they are committed to staying true to the original restaurant quality. They said they get all of the sauce directly from Buffalo! We went two days in a row and got the wings (both medium and hot) and beef on weck (delicious) We asked for the wings 'extra crispy' both times and I would recommend that to anyone (they were the perfect level of crispiness). We were very happy with our experience!",NQSqyn7HPBMfT8aI9iT8fA,1,1,5,2WZB9LXuDCuDnl0XeSLwOw
920207,2016-01-16,0,RO1h2JPbvp0QeqSHDJbeKw,Might be the best wings I've ever had.. I eat wings all the time and these are better than awesome!  Even my no brother good in law from Illinois thinks they are the best he ever had!,HVJPUNi7WLyt0B40N1Ol-w,0,0,5,tFU8zDiZM8_x5u5iYTga-A
964279,2015-11-23,0,RO1h2JPbvp0QeqSHDJbeKw,"Very disappointed. I got the combo bone in wings for $28. It said it come with 16-20 wings and got 18. I got half salt and pepper and the other half honey ginger. The honey ginger wasn't bad but the salt and pepper was very disappointing. It had no flavor what so ever. In fact, it was plain without salt or pepper. I had to go back and they gave me some hot sauce. The fries were overcooked. I'm not sure how this place got four stars but I would highly suggest avoiding it.",2MANvtM2H8w33p6f9SBwJQ,0,0,2,u8fqF8pITlSj80wOUcrMIA
1076991,2016-01-02,0,RO1h2JPbvp0QeqSHDJbeKw,"I wanted to grab a late night meal since I hadn't eaten dinner earlier. None of the other places in the food court sounded too great, or had too long of a line, so Anchor Bar was a bit of a consolation prize for me.

I went with some boneless wings and sweet potato tots. Both of them were pretty mediocre. Definitely not worth the price, but not horrible.",NWqTF-Vm4Rm5qDVuOira9A,0,0,3,HFHUxgsBQeSGEUWLgy1l5A
1093920,2015-12-15,0,RO1h2JPbvp0QeqSHDJbeKw,"Came here while I was staying at the Venetian! I'm glad this place was conveniently close. 

The reviews are right! These wings are meaty unlike Wingstop and pretty dang good. I would most definitely go again if I was staying at the Venetian. However, I really wouldn't go out of my way to get wings in Vegas here.",5rR4_iULiiSEFDRY8Oa52Q,0,1,4,UsVn_1UVqyz_3N_qF_DQtg
1208451,2016-01-23,0,RO1h2JPbvp0QeqSHDJbeKw,Ordered delivery from a service. Boneless wings with hot sauce & an order of salt & vinegar fries. Wings were good and was the blue cheese dressing but not unique or outstanding....just basic like everywhere else. Don't know how the fries were because they didn't give them to me. They just threw a few plain fries in the same box as the wings & those were a soggy mess.,8Ox2EA8A7FVSzVEM3TRn7Q,1,0,3,onubxpBXzv6aFZSVpk1GcA
1245959,2015-07-10,1,RO1h2JPbvp0QeqSHDJbeKw,"Amazing wings.  They are big and crispy on the outside...juicy on the inside.  Love the sauce and it's just the right amount, not swimming in it like some other places.  Check out their salads too!  $9.00 for a chopped chicken salad is a great deal.  I just love this place.",apc574lH3iGJ1OiHHdFo2w,2,0,5,NrR--LuEv8I29r4BWDeCtg
1309281,2016-02-22,0,RO1h2JPbvp0QeqSHDJbeKw,"Oh no! Where did you go? I had my diet ""cheat day"" today and wanted nothing more than delicious wings and beef on weck. But you're not here. SO SAD! Please find a new location soon!",-191gKrqDzXGUrpl7npkXw,0,0,5,AKRSab7c5iZAS19TWtmHeA
1389370,2016-01-04,0,RO1h2JPbvp0QeqSHDJbeKw,"Located in the Venetian, the offering is bar style in a food court.

Went with the single wings. The lemon pepper was outstanding!!
Washed down the wings and celery with Anchor Steam.

Very satisfied!!",zI0AdylxbD7iYgWGSdY0Jg,1,0,4,51EjwcklBSklO4RwVaj2Iw
1464503,2016-01-05,3,RO1h2JPbvp0QeqSHDJbeKw,"After checking in at the Palazzo hotel, Anchor Bar was a small walk to the food court at the connecting Venetian hotel. 

Pros

Lemon Pepper Chicken Wings: The meat was juicy and not overly cooked or undercooked. The crispy skin was the best part and lemon pepper seasoning was on point. It was definitely a finger lickin good kinda chicken. The fries that came with my combo was also delicious since it was super crispy and flavorful. 

Cons: 

Prices: Pricing was a bit high compared to their competitors for chicken wings.",-pzlhxN6-DtuvpX4blnTxw,4,4,4,UQoshRQjcw5kOdpuxoo_7g
1584396,2015-08-23,1,RO1h2JPbvp0QeqSHDJbeKw,"I love hot wings.  One could say I'm a hot wings addict.  I've got way out of my way to sample the best of the best hot wings (literally) around the world. So when i say these hot wings rank among the best I've had you should pay attention.  A bit on the high price side these wings are worth those extra dollars.  Izzy, our bartender was awesome.  He made our drinks to protection.",ZqFy7aGY_D0XMFuB9vqUIQ,1,1,5,YouIarIpOX8KT0kgqQU8Ug
1679689,2015-07-03,0,RO1h2JPbvp0QeqSHDJbeKw,"After hearing all the hype, I had to give this place a try.  I went with the chicken spring rolls and an order of medium wings. The spring roll was crispy on the outside and juicy inside..... And to my surprise there was goat cheese inside!!!   Absolutely delicious.

The wings were crispy and juicy. I like them sauced, but not swimming in the stuff. They were done just right. I am down on the Strip often and will definitely be returning.",ml9jfCIkibr4GgDzEU_iTQ,1,0,5,6L4MrOcVahLn1mGm3q-jpQ
2354144,2015-07-05,0,RO1h2JPbvp0QeqSHDJbeKw,"Here we go!

Been anticipating these wings for a few months... My buddy from Buffalo speaks highly of the original spot and this place backed it up! I expected a larger venue but it works. Tried hot and lemon pepper both were AMAZING, got them crispy and I recommend you do the same.

Fries were good but they needed to be a little crisper! Overall good experience think im going back soon. Service was great, just wasn't WOWED by this place like i thought i would be!",pZZpeQqLLbX7XZNTk6CsoQ,3,1,4,37tgD0yFVeRtoNyvgB7giw
2393093,2015-12-31,0,RO1h2JPbvp0QeqSHDJbeKw,"Anchor bar is popular for being the fine chaps to of had invented the buffalo wing.

They have a large multitude of flavors you can choose from, both on their French fries or wing sauce. I ordered the combo and got lemon pepper flavor for the fries (choose from lemon pepper, salt and vinegar, Cajun, or regular) and chose teriyaki ginger and sesame  honey for my wings.

The wings itself is pretty juicy and not overcooked at all, and the combo comes with a lot of food. Their teriyaki sauce was pretty interesting and had a slight spicy kick to it that I really enjoyed. If you ask too, they'll let you get a pick and you can try their sauce before you order if you are indecisive.

The bar seating sort of makes things easier if you want to be able to get a refill on your drink and keeps you out of the way of tourist traffic walking through the casino, so I suggest sitting there instead of in the food court area.

Our cashier was also pretty cool at checking up on us and attentive, which I wasn't expecting for a food court slash casino bar type restaurant, or whatever you want to call it..?

The entire combo was about $19.76 which was pretty pricy for chicken wings and French fries but you do get a lot of food for what you pay.
Pretty in short, Its good to try, but I still prefer cheaper options myself for the quality food you are getting. But if you are in the area, anchor bar is a must try for the wing connoisseur.
I'm sure i'll come back and try it again.",oJV6f25IK_UeghoFmalPvA,0,0,3,kWruTdjey6pmopfSjdbRaw
2480189,2015-08-24,2,RO1h2JPbvp0QeqSHDJbeKw,"Pretty cool little location, they are located in the food court area of the Venetian but the way they have their store setup it makes it feel like a little wing bar. They had some sauces out to try and see what you would want, but would only let you sample 2, thus limiting my ability to choose wisely which sauce I wanted. They only have 8 or so, so its not a huge selection, but the ones I tried (3 total, since I tried 2 and ordered a different one) were just okay. 
I settled on their medium buffalo, and since I had babies to take care of I opted for the boneless (against my normal preference) to make minimize messy fingers. It was fine but not as spicy as I thought it would be considering the mild was the one I tried and assumed it would have been a bit more spicy than that, but really that's just preference and didn't affect my review. 
The chicken was just okay, and at least 3 pieces had some unpleasant gristle in them, and though I cant be certain, they just sort of seemed to be frozen chicken bites like the ""Anytizers"" ones or something. The sauce itself other than not being as spicy as I thought was pretty good, but I prefer my wings to be quite saucy rather than just lightly coated and served sort of dry, and there was no leftover pool of sauce left in the basket. They also had a strange after-spice to them that sort of lingered strangely in the back of the throat that I didn't care for. 
My wife settled on the ""Chicken cheesesteak"" which I think they should have just called ""Chicken Philly"" or something since a Cheesesteak implies specifically that there is steak in there, and though I was not confused by this or expecting anything, and it was laid out well on their menu, but I guess that's just a suggestion, as the name is like an oxymoron. 
All that nonsense aside it was quite good but a bit small. It came with grilled onions and they were very tasty and well caramelized. Both entrees also came with a side of seasoned fries which were good. 
The service wasn't anything special, and the girl at the coulter was a bit awkward and shy, so ordering was difficult. I also ordered 2 extra ranch sides  (which cost $1.50!)  in addition to the one they give you with the wings, and when I got my order she asked ""Ranch or Bleu Cheese"" and I was a bit confused since I was the only customer she had helped all day (we walked up right as they were opening) and so I confirmed ranch and she gave me just the one. when I asked for the 2 more she said they are $0.75 each... hmmm you really forgot about that from ringing me up then only standing there with a blank look for 5 minutes since? 
Anyway so I said I had already paid for 2, so after asking to see my receipt she gave me one more now making my total 2 (in case you aren't following I should be getting 3 total) then I said, yeah I need one more, and again confused she said it would be $0.75, so I pointed out on my receipt I had paid for 2 and she said I had 2, so I asked ""doesn't the meal come with 1? then she got it!
Overall ity wasn't bad, it just wasn't great, and I probably wouldn't ever eat here again, just because it isn't worth the time or money (it, like everything in Vegas was pretty pricey).",p_6-Q9uAqn3i8NLjudkJ1A,0,0,3,QDCBMn1BpQD_WH4fcqbVsg
2663780,2017-12-06,1,RO1h2JPbvp0QeqSHDJbeKw,"Awww, I'm sad to see that this particular Anchor location at the Venetian food court has closed.

Food venues inside casinos - no matter how casual - are usually overpriced, so when I stopped by I was delighted to see that they offered a good amount of boneless wings at prices that weren't terribly inflated over, say, what you might get if you were to drive into a regular Las Vegas community. The wings were just a tad excessively breaded for my tastes but weren't bad at all.

Let's face it, being in Vegas can lead to lots of eating, particularly unhealthy eating at that. While boneless fried chicken wings aren't healthy by any means, this venue was still a decent way to get a good amount of protein fast and inexpensively. RIP.",bQCHF5rn5lMI9c5kEwCaNA,4,3,4,i5j2_nuFEovk9bT7WYI14w
2703902,2015-10-12,1,RO1h2JPbvp0QeqSHDJbeKw,"We were happy to find this place in the food court at the Venetian. This is the ""original"" chicken wing (supposedly) from the same named bar in Buffalo, NY.

The wings were, of course, great. They were good sized, seasoned well and the sauce was not overly spicy. My wife and I shared a medium order.

We also shared the kale salad. It was good - it had blue cheese, cranberries, nuts and a raspberry vinegarette. My only complaint was that they should chop the kale up a bit more. There were some huge pieces that required some additional tools to not be overwhelming.

With all the other options in the food court (Chipotle, Panda Express, Johnny Rockets) this place certainly won.",hVeH9MYWGSihYBxfmAW9RA,2,1,4,pYHVaCEqWdxwP4c-JLHv9g
2905915,2015-11-07,0,RO1h2JPbvp0QeqSHDJbeKw,"Got fried wings well seasoned with casino pricing. Very good, tasted home made.  Will return and try other things",Bc6c80OfYN174xRKEQSvzA,0,0,5,v7JJF38NeZHF_HwsU1kKCQ
2914749,2015-08-02,1,RO1h2JPbvp0QeqSHDJbeKw,It was a little overrated. I have had better wings at albertsons. Also the prices were not very friendly. 2 orders of wings fries and drinks almost 50 bucks!,uFww5fsOH9KEj5hnhSgNTw,1,1,3,HwFwT5w3RJd9iIY91OmQeA
3055736,2015-10-18,0,RO1h2JPbvp0QeqSHDJbeKw,"I was expecting this to be an actual bar,  but it's essentially a counter service restaurant in a food court.   I tried the traditional and boneless wings with medium sauce and fries with Cajun spice.   The fries were the best part of the meal.   The were cooked just right - a little crispy on the outside but still soft on the inside.   The wings were just average.   Overall,  the meal was just ok.   I probably will not go back.   There are better food options in Vegas, and I can get better wings at other chain restaurants at home.",XiUbglJGsZNMS5WOzMlllw,0,0,3,TggVCL1UWpYq4eJbuE3cDw
3481911,2015-06-24,1,RO1h2JPbvp0QeqSHDJbeKw,"I ordered the portobello sandwich as I was so excited to try it. I know this place is known for wings but I wasn't feeling wingey.

I should of stuck to wings. The sandwich was just not good  the bread wasn't warmed all the way through so when you bit into it it was cold doughy and gross. Waste of $10,   I tried my friends fries and they were incredibly salty. I tried a chicken wing boneless and not to bad. The have a buffalo spring pretty good until the after taste of plastic like taste comes in. I'm not sure if its because this place is new but it didn't leave a good impression. 



I hope it gets better.",b7ppmK1yIvK5vx5IcdE-3g,1,0,2,u6GR6Dw30RPj7ZdCtqUTQA
3746515,2016-01-17,0,RO1h2JPbvp0QeqSHDJbeKw,"The ""mild"" wings tended toward the hot, the beef on weck was adequate.  What was insulting was that after spending $30 on decent but not outstanding food, the manager charged us eighty cents for an additional bleu cheese container. Are you kidding me -- cheap and stingy is no way to grow your business. There are many other choices in the Venetian -- next time I will choose one of them.",hoALruc6Rk7rKP7sn5XVgQ,0,0,2,c-HAni8qe1cibg5DY9chHQ
3864035,2015-10-07,1,RO1h2JPbvp0QeqSHDJbeKw,"I'm a wing connoisseur and I enjoying venturing out to get wings wherever I am...so why not while in Vegas? 

Just a walk down from our awesome hotel (see my review on The Palazzo), this place is located within the food court at the Venetian. It's a nice stroll walking through the Grand Canal Shoppes and then entering a familiar mall-type food court...but don't let the simple atmosphere fool you.

Me and some friends came here around 4pm with no wait. We ordered 50 wings with 6 different flavors (the 5 unique flavors and 1 hot flavor) and the order only took about 20 minutes to make- very impressive! The wings were just so. freaking. delicious. Such yummy batter, great flavors, and large wing size... how I wish I was back in Vegas to eat these right now!! I would also like to add that the service was great and the employees were friendly.

Do yourself a favor and make a stop here while you're in Sin City.",xOA-Mu3EutYjxEdqaFBXxg,2,1,5,xj-GC9s0d2SSZDlTRY7NeQ
4016752,2015-11-13,0,RO1h2JPbvp0QeqSHDJbeKw,"Yes - these truly are the BEST hot wings you will ever have. So good that the rest of your Vegas trip, you will be finding ways to get back and have more. Great friendly staff too!",pqpLYpuoF2Wfon1qwIU4qA,0,0,5,BhY7JHVfa0bSj3f-cV63yA
